Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
NaN,THE FIRST NATIONAL BANK OF CLINTON,COMMERCIAL BANK,FEDERAL,CLINTON, OK,2/1/1936 ,FDIC,NaN,ACQUISITION,437.0,NaN,NaN
NaN,PEOPLES BANK,COMMERCIAL BANK,STATE,COLE CAMP, MO,2/5/1936 ,FDIC,NaN,PAYOUT,143.0,186.0,NaN
NaN,THE ANN ARBOR SAVINGS BANK,COMMERCIAL BANK,STATE,ANN ARBOR, MI,2/15/1936 ,FDIC,NaN,ACQUISITION,6758.0,NaN,NaN
NaN,FARMERS & MECHANICS BANK,COMMERCIAL BANK,STATE,ANN ARBOR, MI,2/15/1936 ,FDIC,NaN,ACQUISITION,3734.0,NaN,NaN
NaN,THE FIRST NATIONAL BANK & TRUST CO.,COMMERCIAL BANK,FEDERAL,ANN ARBOR, MI,2/15/1936 ,FDIC,NaN,ACQUISITION,1729.0,NaN,NaN
NaN,MERCHANTS AND FARMERS BANK,COMMERCIAL BANK,STATE,STARKVILLE, MS,2/17/1936 ,FDIC,NaN,PAYOUT,142.0,213.0,NaN
NaN,COLUMBIA STATE BANK,COMMERCIAL BANK,STATE,COLUMBIA CITY, IN,2/18/1936 ,FDIC,NaN,PAYOUT,775.0,906.0,NaN
NaN,THE BANK OF HIGH HILL,COMMERCIAL BANK,STATE,HIGH HILL, MO,2/20/1936 ,FDIC,NaN,PAYOUT,93.0,106.0,NaN
NaN,FARMERS BANK OF LEONARD,COMMERCIAL BANK,STATE,LEONARD, MO,2/27/1936 ,FDIC,NaN,PAYOUT,51.0,69.0,NaN
NaN,PEOPLES BANK,COMMERCIAL BANK,STATE,FRANKLINTON, KY,3/2/1936 ,FDIC,NaN,PAYOUT,75.0,93.0,NaN
NaN,FARMERS AND MERCHANTS BANK OF LINN,COMMERCIAL BANK,STATE,LINN, MO,3/5/1936 ,FDIC,NaN,PAYOUT,198.0,228.0,NaN
NaN,CITIZENS BANK OF BOSWORTH,COMMERCIAL BANK,STATE,BOSWORTH, MO,3/18/1936 ,FDIC,NaN,ACQUISITION,80.0,NaN,NaN
NaN,FARMERS STATE BANK,COMMERCIAL BANK,STATE,AMHERST, SD,3/18/1936 ,FDIC,NaN,PAYOUT,59.0,56.0,NaN
NaN,BENJAMIN STATE BANK,COMMERCIAL BANK,STATE,BENJAMIN, TX,3/18/1936 ,FDIC,NaN,PAYOUT,181.0,254.0,NaN
NaN,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,RILEY, KS,3/24/1936 ,FDIC,NaN,ACQUISITION,71.0,NaN,NaN
NaN,DONELSON BANK & TRUST CO.,COMMERCIAL BANK,STATE,DONELSON, TN,3/25/1936 ,FDIC,NaN,ACQUISITION,131.0,NaN,NaN
NaN,CLIFTON STATE BANK,COMMERCIAL BANK,STATE,CLIFTON, TN,3/27/1936 ,FDIC,NaN,PAYOUT,22.0,30.0,NaN
NaN,THE EARL PARK STATE BANK,COMMERCIAL BANK,STATE,EARL PARK, IN,3/28/1936 ,FDIC,NaN,PAYOUT,134.0,181.0,NaN
NaN,LELAND COOPERATIVE BANK,COMMERCIAL BANK,STATE,LELAND, IA,3/31/1936 ,FDIC,NaN,PAYOUT,155.0,150.0,NaN
NaN,BANK OF HOLCOMB,COMMERCIAL BANK,STATE,HOLCOMB, MS,3/31/1936 ,FDIC,NaN,PAYOUT,11.0,23.0,NaN
