Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
2359.0,UNITED SOUTHERN BANK OF CLARKSVILLE,COMMERCIAL BANK,STATE,CLARKSVILLE, TN,8/26/1983 ,FDIC,22577.0,ACQUISITION,11494.0,9943.0,NaN
2360.0,THE DOUGLASS STATE BANK,COMMERCIAL BANK,STATE,KANSAS CITY, KS,9/2/1983 ,FDIC,16614.0,ACQUISITION,31156.0,35385.0,NaN
2361.0,WARREN COUNTY BANK,COMMERCIAL BANK,STATE,MCMINNIVILLE, TN,9/16/1983 ,FDIC,20736.0,ACQUISITION,18728.0,19639.0,NaN
2363.0,NATIONAL BK OF ODESSA,COMMERCIAL BANK,FEDERAL,ODESSA, TX,9/30/1983 ,FDIC,17957.0,ACQUISITION,100531.0,92878.0,NaN
2362.0,DOMINION BK OF DENVER,COMMERCIAL BANK,STATE,DENVER, CO,9/30/1983 ,FDIC,19609.0,ACQUISITION,13724.0,16709.0,NaN
2364.0,THE DESCHUTES BANK,COMMERCIAL BANK,STATE,REDMOND, OR,10/7/1983 ,FDIC,22807.0,ACQUISITION,10021.0,10207.0,NaN
2365.0,THE FIRST NAT BK OF MIDLAND,COMMERCIAL BANK,FEDERAL,MIDLAND, TX,10/14/1983 ,FDIC,3343.0,ACQUISITION,780076.0,1409639.0,NaN
NaN,CLEVELAND COMMUNITY SAVINGS CO.,SAVINGS ASSOCIATION,FEDERAL/STATE,CLEVELAND, OH,10/28/1983 ,FSLIC,30642.0,TRANSFER,17336.0,21027.0,NaN
7506.0,STATE OF CLOVIS, SA,SAVINGS ASSOCIATION,FEDERAL/STATE,CLOVIS, NM,11/3/1983 ,FSLIC,31281.0,TRANSFER,30147.0,30904.0,NaN
5448.0,FIRST NAT BK OF BROWNING,COMMERCIAL BANK,FEDERAL,BROWNING, MT,11/11/1983 ,FDIC,2166.0,PAYOUT,13366.0,13703.0,NaN
6449.0,ATKINSON TRUST & SAVINGS BANK,COMMERCIAL BANK,STATE,ATKINSON, IL,11/25/1983 ,FDIC,11692.0,TRANSFER,18511.0,21074.0,NaN
7507.0,METRO FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,LAKE CHARLES, LA,12/2/1983 ,FSLIC,31114.0,TRANSFER,18509.0,27381.0,NaN
2367.0,BANK OF HACKLEBURG,COMMERCIAL BANK,STATE,HACKLEBURG, AL,12/13/1983 ,FDIC,1731.0,ACQUISITION,6421.0,6531.0,NaN
2368.0,THE BANK OF RED OAK,COMMERCIAL BANK,STATE,RED OAK, OK,12/16/1983 ,FDIC,431.0,ACQUISITION,10489.0,11135.0,NaN
2369.0,FARMERS BK & TR CO.,COMMERCIAL BANK,STATE,WINCHESTER, TN,1/6/1984 ,FDIC,4971.0,ACQUISITION,48269.0,48606.0,NaN
2370.0,CITY & COUNTY BK OF JEFFERSON CT,COMMERCIAL BANK,STATE,WHITE PINE, TN,1/20/1984 ,FDIC,9960.0,ACQUISITION,22775.0,21712.0,NaN
NaN,UNION MUTUAL S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,RICHMOND, VA,1/27/1984 ,FSLIC,31584.0,TRANSFER,7945.0,8641.0,NaN
6455.0,INDIAN SPRINGS STATE BANK,COMMERCIAL BANK,STATE,KANSAS CITY, KS,1/27/1984 ,FDIC,20567.0,TRANSFER,27345.0,30896.0,NaN
2372.0,THE TUCKER COUNTY BANK,COMMERCIAL BANK,STATE,PARSONS, WV,2/3/1984 ,FDIC,843.0,ACQUISITION,14785.0,15437.0,NaN
2371.0,EMERALD EMPIRE BANKING CO.,COMMERCIAL BANK,STATE,SPRINGFIELD, OR,2/3/1984 ,FDIC,22929.0,ACQUISITION,21331.0,22278.0,NaN
2373.0,HERITAGE BANK OF BUREAU COUNTY,COMMERCIAL BANK,STATE,DEPUE, IL,2/8/1984 ,FDIC,10466.0,ACQUISITION,7846.0,8706.0,NaN
2374.0,WEST OLYMPIA BANK,COMMERCIAL BANK,STATE,LOS ANGELES, CA,2/10/1984 ,FDIC,19282.0,ACQUISITION,19916.0,20411.0,NaN
2375.0,BROWNFIELD STATE BK & TR CO.,COMMERCIAL BANK,STATE,BROWNFIELD, TX,2/17/1984 ,FDIC,1177.0,ACQUISITION,37585.0,38854.0,NaN
2377.0,ALL AMERICAN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,VIRGINA GARDENS, FL,3/2/1984 ,FDIC,22922.0,ACQUISITION,12033.0,13855.0,NaN
2376.0,UNITED BANK OF OREGON,COMMERCIAL BANK,STATE,MILWAUKIE, OR,3/2/1984 ,FDIC,22784.0,ACQUISITION,16056.0,17258.0,NaN
2378.0,NATIONAL BANK AND TRUST COMPANY OF TRAVERS,COMMERCIAL BANK,FEDERAL,TRAVERSE CITY, MI,3/9/1984 ,FDIC,14598.0,ACQUISITION,97825.0,103968.0,NaN
7508.0,EMPIRE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MESQUITE, TX,3/14/1984 ,FSLIC,31716.0,PAYOUT,303451.0,332512.0,NaN
6465.0,HERITAGE BANK,COMMERCIAL BANK,STATE,ANAHEIM, CA,3/16/1984 ,FDIC,22093.0,PAYOUT,180425.0,186068.0,NaN
5464.0,SEMINOLE STATE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SEMINOLE, TX,3/16/1984 ,FDIC,15783.0,TRANSFER,48364.0,51131.0,NaN
NaN,AMERICAN S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,BILOXI, MS,4/3/1984 ,FSLIC,31836.0,TRANSFER,15631.0,9444.0,NaN
2380.0,WATAUGA VALLEY BANK,COMMERCIAL BANK,STATE,ELIZABETHTON, TN,4/6/1984 ,FDIC,22210.0,ACQUISITION,14880.0,15393.0,NaN
2379.0,FIRST SECURITY BANK,COMMERCIAL BANK,STATE,ERWIN, TN,4/6/1984 ,FDIC,20227.0,ACQUISITION,21289.0,22457.0,NaN
5468.0,SECURITY NATIONAL BK OF LUBBOCK,COMMERCIAL BANK,FEDERAL,LUBBOCK, TX,4/13/1984 ,FDIC,18961.0,TRANSFER,49854.0,51404.0,NaN
2381.0,THE SHELBY NAT BK OF SHELBYVILLE,COMMERCIAL BANK,FEDERAL,SHELBYVILLE, IN,4/19/1984 ,FDIC,4380.0,ACQUISITION,65542.0,67778.0,NaN
6469.0,GAMALIEL BANK,COMMERCIAL BANK,STATE,GAMALIEL, KY,4/19/1984 ,FDIC,9312.0,TRANSFER,21509.0,22773.0,NaN
6471.0,UNITED OF AMERICA BANK,COMMERCIAL BANK,STATE,CHICAGO, IL,4/26/1984 ,FDIC,18527.0,TRANSFER,36913.0,38145.0,NaN
6473.0,WEST COAST BANK,COMMERCIAL BANK,STATE,LOS ANGELES, CA,4/27/1984 ,FDIC,22744.0,PAYOUT,189986.0,198210.0,NaN
2382.0,CITIZENS BK OF MONROE COUNTY,COMMERCIAL BANK,STATE,TELICO PLAINS, TN,4/27/1984 ,FDIC,1472.0,ACQUISITION,20643.0,21099.0,NaN
2383.0,WESTERN NATIONAL BK OF CASPER,COMMERCIAL BANK,FEDERAL,CASPER, WY,5/4/1984 ,FDIC,19091.0,ACQUISITION,23329.0,27373.0,NaN
2384.0,STATE BANK OF MILLS,COMMERCIAL BANK,STATE,MILLS, WY,5/4/1984 ,FDIC,22861.0,ACQUISITION,6424.0,7240.0,NaN
2385.0,THE FIRST NAT BK OF RUSHFORD,COMMERCIAL BANK,FEDERAL,RUSHFORD, MN,5/4/1984 ,FDIC,5239.0,ACQUISITION,21360.0,21991.0,NaN
5476.0,FIRST NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SNYDER, TX,5/4/1984 ,FDIC,23335.0,TRANSFER,22169.0,23518.0,NaN
5478.0,THE NAT BK OF CARMEL,COMMERCIAL BANK,FEDERAL,CARMEL-BY-THE-SEA, CA,5/8/1984 ,FDIC,23358.0,TRANSFER,68381.0,76185.0,NaN
6479.0,FIRST CONTINENTAL BANK & TRUST COMPANY OF,COMMERCIAL BANK,STATE,DEL CITY, OK,5/11/1984 ,FDIC,18112.0,TRANSFER,104028.0,107237.0,NaN
2386.0,THE MISSISSIPPI BANK,COMMERCIAL BANK,STATE,JACKSON, MS,5/11/1984 ,FDIC,17036.0,ACQUISITION,182956.0,238037.0,NaN
2387.0,BLEDSOE COUNTY BANK,COMMERCIAL BANK,STATE,PIKEVILLE, TN,5/18/1984 ,FDIC,21891.0,ACQUISITION,5402.0,5272.0,NaN
2388.0,PLANTERS TRUST & SAVINGS BANK OF OPELOUSAS,COMMERCIAL BANK,STATE,OPELOUSAS, LA,5/18/1984 ,FDIC,11791.0,ACQUISITION,66396.0,71427.0,NaN
2389.0,BANK OF IRVINE,COMMERCIAL BANK,STATE,IRVINE, CA,5/18/1984 ,FDIC,21410.0,ACQUISITION,29401.0,30992.0,NaN
2390.0,WASHINGTON NAT BK OF CHICAGO,COMMERCIAL BANK,FEDERAL,CHICAGO, IL,5/18/1984 ,FDIC,22568.0,ACQUISITION,13809.0,14077.0,NaN
2391.0,FIRST NAT BK OF PRIOR LAKE,COMMERCIAL BANK,FEDERAL,PRIOR LAKE, MN,5/24/1984 ,FDIC,24098.0,ACQUISITION,11494.0,12231.0,NaN
2392.0,GARDEN GROVE COMMUNITY BANK,COMMERCIAL BANK,STATE,GARDEN GROVE, CA,6/1/1984 ,FDIC,22848.0,ACQUISITION,41127.0,43892.0,NaN
2393.0,CHEROKEE COUNTY BANK,COMMERCIAL BANK,STATE,CENTRE, AL,6/5/1984 ,FDIC,9054.0,ACQUISITION,37588.0,39391.0,NaN
6488.0,STEWARDSHIP BANK OF OREGON,COMMERCIAL BANK,STATE,PORTLAND, OR,6/8/1984 ,FDIC,23362.0,PAYOUT,5843.0,6314.0,NaN
2394.0,FARMERS STATE BANK,COMMERCIAL BANK,STATE,LYONS, SD,6/15/1984 ,FDIC,9009.0,ACQUISITION,2984.0,3231.0,NaN
2396.0,THE CORNING BANK,COMMERCIAL BANK,STATE,CORNING, AR,6/15/1984 ,FDIC,5631.0,ACQUISITION,30570.0,32030.0,NaN
2395.0,THE LAWRENCE COUNTY BANK,COMMERCIAL BANK,STATE,LAWRENCEBURG, TN,6/15/1984 ,FDIC,20188.0,ACQUISITION,24521.0,25155.0,NaN
6492.0,REPUBLIC BK OF KANSAS CITY,COMMERCIAL BANK,STATE,KANSAS CITY, MO,6/18/1984 ,FDIC,12213.0,TRANSFER,38328.0,41326.0,NaN
2397.0,THE FARMERS NAT BK OF AURELIA,COMMERCIAL BANK,FEDERAL,AURELIA, IA,6/21/1984 ,FDIC,4424.0,ACQUISITION,19142.0,19900.0,NaN
6494.0,AMERICAN BANK,COMMERCIAL BANK,STATE,SAINT JOSEPH, TN,6/27/1984 ,FDIC,9175.0,TRANSFER,29811.0,32993.0,NaN
2398.0,EAST TEXAS BK & TR CO.,COMMERCIAL BANK,STATE,LONGVIEW, TX,6/29/1984 ,FDIC,16654.0,ACQUISITION,97121.0,106092.0,NaN
2399.0,THE COFFEEN NATIONAL BANK,COMMERCIAL BANK,FEDERAL,COFFEEN, IL,7/12/1984 ,FDIC,3782.0,ACQUISITION,9374.0,9359.0,NaN
2400.0,THE GUARANTY BK OF SAINT PAUL,COMMERCIAL BANK,STATE,ST. PAUL, MN,7/19/1984 ,FDIC,18510.0,ACQUISITION,27461.0,28619.0,NaN
2401.0,COALMONT SAVINGS BANK,COMMERCIAL BANK,STATE,COALMONT, TN,7/24/1984 ,FDIC,10699.0,ACQUISITION,24039.0,25716.0,NaN
2403.0,JACKSON COUNTY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,TUCKERMAN, AR,8/9/1984 ,FDIC,3895.0,ACQUISITION,12941.0,13254.0,NaN
2405.0,THE TINGLEY STATE SAVINGS BANK,COMMERCIAL BANK,STATE,MOUNT AYR, IA,8/10/1984 ,FDIC,14796.0,ACQUISITION,18478.0,19404.0,NaN
2404.0,PEOPLES STATE BANK OF CLAY COUNTY,COMMERCIAL BANK,STATE,POLAND, IN,8/10/1984 ,FDIC,10480.0,ACQUISITION,17106.0,17724.0,NaN
2406.0,AMERICAN NAT BK IN MCLEAN,COMMERCIAL BANK,FEDERAL,MCLEAN, TX,8/16/1984 ,FDIC,14422.0,ACQUISITION,13408.0,14271.0,NaN
2408.0,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,THAYER, KS,8/22/1984 ,FDIC,4780.0,ACQUISITION,11224.0,12163.0,NaN
6505.0,HEREFORD STATE BANK,COMMERCIAL BANK,STATE,HEREFORD, CO,8/24/1984 ,FDIC,9219.0,PAYOUT,2476.0,2707.0,NaN
2412.0,BANK OF THE NORTHWEST,COMMERCIAL BANK,STATE,EUGENE, OR,8/31/1984 ,FDIC,22485.0,ACQUISITION,19793.0,21780.0,NaN
2413.0,DAVID CITY BANK,COMMERCIAL BANK,STATE,DAVID CITY, NE,9/6/1984 ,FDIC,13256.0,ACQUISITION,18801.0,21321.0,NaN
2414.0,OAKLAND SAVINGS BANK,COMMERCIAL BANK,STATE,OAKLAND, IA,9/7/1984 ,FDIC,233.0,ACQUISITION,19921.0,22101.0,NaN
2415.0,COMMUNITY BK & TR CO.,COMMERCIAL BANK,STATE,ENID, OK,9/14/1984 ,FDIC,19119.0,ACQUISITION,28002.0,32236.0,NaN
2416.0,BANK OF VERDIGRE & TRUST COMPANY,COMMERCIAL BANK,STATE,VERDIGRE, NE,9/19/1984 ,FDIC,16531.0,ACQUISITION,12729.0,13356.0,NaN
2417.0,CENTURY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,JACKSONVILLE, FL,9/20/1984 ,FDIC,22369.0,ACQUISITION,13267.0,13207.0,NaN
2418.0,SECURITY STATE BANK,COMMERCIAL BANK,STATE,WEATHERFORD, OK,9/21/1984 ,FDIC,2304.0,ACQUISITION,48462.0,50126.0,NaN
2420.0,THE FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,TECUMSEH, OK,10/5/1984 ,FDIC,9883.0,ACQUISITION,30968.0,31139.0,NaN
2421.0,THE REXFORD STATE BANK,COMMERCIAL BANK,STATE,REXFORD, KS,10/10/1984 ,FDIC,12867.0,ACQUISITION,5294.0,5770.0,NaN
2423.0,BUCKLIN STATE BANK OF BUCKLIN,COMMERCIAL BANK,STATE,BUCKLIN, MO,10/12/1984 ,FDIC,11008.0,ACQUISITION,15265.0,16133.0,NaN
2422.0,ONEIDA BK & TR CO.,COMMERCIAL BANK,STATE,ONEIDA, TN,10/12/1984 ,FDIC,16991.0,ACQUISITION,5445.0,6292.0,NaN
2424.0,AMERICAN STATE BANK,COMMERCIAL BANK,STATE,THOMAS, OK,10/19/1984 ,FDIC,8985.0,ACQUISITION,22195.0,23869.0,NaN
2427.0,STATE BANK OF BOYD,COMMERCIAL BANK,STATE,BOYD, MN,10/24/1984 ,FDIC,16646.0,ACQUISITION,6221.0,7117.0,NaN
2425.0,THE BANK OF CODY,COMMERCIAL BANK,STATE,CODY, NE,10/24/1984 ,FDIC,1994.0,ACQUISITION,9380.0,10277.0,NaN
2426.0,FARMERS STATE BANK,COMMERCIAL BANK,STATE,KILGORE, NE,10/24/1984 ,FDIC,8342.0,ACQUISITION,5538.0,6082.0,NaN
2428.0,THE FIRST NAT BK OF GAYLORD,COMMERCIAL BANK,FEDERAL,GAYLORD, KS,10/25/1984 ,FDIC,4671.0,ACQUISITION,6074.0,6426.0,NaN
2429.0,FIRST AMERICAN BANKING COMPANY,COMMERCIAL BANK,STATE,PENDLETON, OR,11/16/1984 ,FDIC,21016.0,ACQUISITION,15269.0,18630.0,NaN
NaN,SAVANNAH FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SAVANNAH, TN,11/16/1984 ,FSLIC,31883.0,TRANSFER,14507.0,19343.0,NaN
2430.0,THE STRONG CITY STATE BANK,COMMERCIAL BANK,STATE,STRONG CITY, KS,11/29/1984 ,FDIC,12429.0,ACQUISITION,4746.0,5026.0,NaN
6524.0,THE DAYTON BK & TR CO.,COMMERCIAL BANK,STATE,DAYTON, TN,11/30/1984 ,FDIC,2378.0,TRANSFER,50035.0,51433.0,NaN
2431.0,GOLDEN SPIKE STATE BANK,COMMERCIAL BANK,STATE,TREMONTON, UT,12/4/1984 ,FDIC,22999.0,ACQUISITION,7269.0,7788.0,NaN
2432.0,FARMERS STATE BK OF HOLYOKE,COMMERCIAL BANK,STATE,HOLYOKE, CO,12/7/1984 ,FDIC,18946.0,ACQUISITION,3578.0,3901.0,NaN
7514.0,SAN MARINO S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN MARINO, CA,12/7/1984 ,FSLIC,31987.0,TRANSFER,212229.0,856806.0,NaN
2433.0,UNIVERSITY BANK OF WICHITA,COMMERCIAL BANK,STATE,WICHITA, KS,12/11/1984 ,FDIC,21505.0,ACQUISITION,4474.0,4700.0,NaN
6528.0,UEHLING STATE BANK,COMMERCIAL BANK,STATE,UEHLING, NE,12/18/1984 ,FDIC,20978.0,TRANSFER,3713.0,4224.0,NaN
2434.0,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,SELDEN, KS,12/20/1984 ,FDIC,17700.0,ACQUISITION,13697.0,14578.0,NaN
2435.0,FIRST SECURITY BANK,COMMERCIAL BANK,STATE,SANDWICH, IL,12/22/1984 ,FDIC,22160.0,ACQUISITION,12101.0,13422.0,NaN
6531.0,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,EDGERTON, WY,1/4/1985 ,FDIC,22433.0,PAYOUT,2563.0,2907.0,NaN
6532.0,STATE BANK OF DANNEBROG,COMMERCIAL BANK,STATE,DANNEBROG, NE,1/7/1985 ,FDIC,18751.0,PAYOUT,4350.0,4870.0,NaN
2436.0,COAST COMMUNITY BANK,COMMERCIAL BANK,STATE,HARBOR, OR,1/11/1985 ,FDIC,22757.0,ACQUISITION,8473.0,9123.0,NaN
2438.0,FIRST NATIONAL BANK IN CLARKSVILLE,COMMERCIAL BANK,FEDERAL,CLARKSVILLE, TX,1/24/1985 ,FDIC,13812.0,ACQUISITION,33390.0,34955.0,NaN
2437.0,THE FIRST NATIONAL BANK IN MARLOW,COMMERCIAL BANK,FEDERAL,MARLOW, OK,1/24/1985 ,FDIC,4141.0,ACQUISITION,27006.0,27447.0,NaN
2439.0,THE STEELE STATE BANK,COMMERCIAL BANK,STATE,CHEROKEE, IA,1/25/1985 ,FDIC,17833.0,ACQUISITION,20586.0,21891.0,NaN
2440.0,CITIZENS FIDELITY BANK,COMMERCIAL BANK,STATE,BRISTOL, TN,2/1/1985 ,FDIC,22822.0,ACQUISITION,17599.0,18223.0,NaN
2441.0,FIRST NATIONAL BANK OF WOODBINE,COMMERCIAL BANK,FEDERAL,WOODBINE, IA,2/7/1985 ,FDIC,4523.0,ACQUISITION,25800.0,25782.0,NaN
2442.0,FARMERS NATIONAL BANK OF ERICK,COMMERCIAL BANK,FEDERAL,ERICK, OK,2/7/1985 ,FDIC,4093.0,ACQUISITION,17340.0,16845.0,NaN
2443.0,WEST VALLEY BANK,COMMERCIAL BANK,STATE,WOODLAND HILLS, CA,2/8/1985 ,FDIC,22673.0,ACQUISITION,43364.0,48262.0,NaN
6540.0,PEOPLES BANK & TRUST CO.,COMMERCIAL BANK,STATE,WARTBURG, TN,2/8/1985 ,FDIC,2393.0,TRANSFER,23107.0,24408.0,NaN
2444.0,FIRST NATIONAL BANK OF EADS,COMMERCIAL BANK,FEDERAL,EADS, CO,2/14/1985 ,FDIC,14563.0,ACQUISITION,16718.0,17547.0,NaN
6543.0,CITIZENS STATE BANK OF FULDA,COMMERCIAL BANK,STATE,FULDA, MN,2/15/1985 ,FDIC,10997.0,TRANSFER,36355.0,39376.0,NaN
2445.0,INWOOD STATE BANK,COMMERCIAL BANK,STATE,INWOOD, IA,2/19/1985 ,FDIC,16248.0,ACQUISITION,7648.0,8147.0,NaN
2446.0,HALIFAX NATIONAL BANK OF PORT ORANGE,COMMERCIAL BANK,FEDERAL,PORT ORANGE, FL,3/1/1985 ,FDIC,19064.0,ACQUISITION,35745.0,38584.0,NaN
2447.0,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,ARAPAHOE, NE,3/8/1985 ,FDIC,8345.0,ACQUISITION,15644.0,16932.0,NaN
7515.0,WESTERN COMMUNITY S&L,SAVINGS ASSOCIATION,FEDERAL/STATE,EL CERRITO, CA,3/8/1985 ,FSLIC,32171.0,TRANSFER,7606.0,110589.0,NaN
2448.0,COMMERCIAL STATE BANK,COMMERCIAL BANK,STATE,AFTON, IA,3/8/1985 ,FDIC,949.0,ACQUISITION,15561.0,16260.0,NaN
2449.0,TAYLOR STATE BANK,COMMERCIAL BANK,STATE,EMINGTON, IL,3/15/1985 ,FDIC,10811.0,ACQUISITION,4840.0,4980.0,NaN
2450.0,GOLDEN VALLEY BANK,COMMERCIAL BANK,STATE,TURLOCK, CA,3/25/1985 ,FDIC,22387.0,ACQUISITION,79818.0,82236.0,NaN
2451.0,FIDELITY BANK OF DENVER,COMMERCIAL BANK,STATE,DENVER, CO,3/29/1985 ,FDIC,23408.0,ACQUISITION,48789.0,54700.0,NaN
2452.0,BANK OF HUNTER,COMMERCIAL BANK,STATE,HUNTER, OK,4/4/1985 ,FDIC,2336.0,ACQUISITION,3109.0,3001.0,NaN
2453.0,CAPISTRANO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SAN JUAN CAPISTRA, CA,4/5/1985 ,FDIC,22159.0,ACQUISITION,56664.0,58224.0,NaN
6553.0,STATE BANK OF ALEXANDRIA,COMMERCIAL BANK,STATE,ALEXANDRIA, NE,4/10/1985 ,FDIC,17466.0,PAYOUT,2413.0,2545.0,NaN
2455.0,SOUTH COAST BANK,COMMERCIAL BANK,STATE,COSTA MESA, CA,4/12/1985 ,FDIC,21984.0,ACQUISITION,29483.0,31304.0,NaN
7516.0,STATE S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SALT LAKE CITY, UT,4/12/1985 ,FSLIC,28447.0,TRANSFER,417950.0,639002.0,NaN
2454.0,FIRST STATE BANK OF ELGIN,COMMERCIAL BANK,STATE,ELGIN, OR,4/12/1985 ,FDIC,16255.0,ACQUISITION,15775.0,18169.0,NaN
2456.0,THE PEOPLES NATIONAL BANK OF LAMPASAS,COMMERCIAL BANK,FEDERAL,LAMPASAS, TX,4/18/1985 ,FDIC,3294.0,ACQUISITION,40518.0,39427.0,NaN
2457.0,THE FIRST NATIONAL BANK OF SPRINGFIELD,COMMERCIAL BANK,FEDERAL,SPRINGFIELD, CO,4/18/1985 ,FDIC,3057.0,ACQUISITION,14011.0,15305.0,NaN
2458.0,PEOPLES STATE BANK,COMMERCIAL BANK,STATE,ODEBOLT, IA,4/26/1985 ,FDIC,12414.0,ACQUISITION,12654.0,13541.0,NaN
6599.0,FIRST ENTERPRISE BANK,COMMERCIAL BANK,STATE,OAKLAND, CA,4/26/1985 ,FDIC,20708.0,PAYOUT,43013.0,43809.0,NaN
2459.0,THE BANK OF COMMERCE,COMMERCIAL BANK,STATE,CHANUTE, KS,5/2/1985 ,FDIC,11775.0,ACQUISITION,63907.0,66843.0,NaN
2460.0,FARMERS SAVINGS BANK,COMMERCIAL BANK,STATE,MASSENA, IA,5/3/1985 ,FDIC,16573.0,ACQUISITION,15393.0,16920.0,NaN
2461.0,FARMERS STATE BANK,COMMERCIAL BANK,STATE,ST. JOSEPH, MO,5/3/1985 ,FDIC,10599.0,ACQUISITION,49603.0,50867.0,NaN
2462.0,STORY COUNTY STATE BANK,COMMERCIAL BANK,STATE,STORY CITY, IA,5/9/1985 ,FDIC,5813.0,ACQUISITION,31633.0,33586.0,NaN
2463.0,BANK OF NEWCASTLE,COMMERCIAL BANK,STATE,NEWCASTLE, OK,5/16/1985 ,FDIC,21757.0,ACQUISITION,31169.0,32623.0,NaN
2464.0,THE ENERGY BANK, N.A.,COMMERCIAL BANK,FEDERAL,DALLAS, TX,5/16/1985 ,FDIC,23889.0,ACQUISITION,27370.0,29744.0,NaN
2465.0,NORTHWEST BANK,COMMERCIAL BANK,STATE,WHITE SETTLEMENT, TX,5/23/1985 ,FDIC,19076.0,ACQUISITION,51102.0,54001.0,NaN
2469.0,SECURITY STATE BANK,COMMERCIAL BANK,STATE,EDGAR, NE,5/31/1985 ,FDIC,18738.0,ACQUISITION,6072.0,6570.0,NaN
6571.0,FAIRFIELD STATE BANK,COMMERCIAL BANK,STATE,FAIRFIELD, NE,5/31/1985 ,FDIC,18388.0,PAYOUT,6034.0,6795.0,NaN
6570.0,SCROGGIN & COMPANY BANK,COMMERCIAL BANK,STATE,OAK, NE,5/31/1985 ,FDIC,19117.0,PAYOUT,3219.0,3552.0,NaN
2467.0,BANK OF LOCKESBURG,COMMERCIAL BANK,STATE,LOCKESBURG, AR,5/31/1985 ,FDIC,13790.0,ACQUISITION,23508.0,25469.0,NaN
2466.0,BANK OF TAYLOR,COMMERCIAL BANK,STATE,TAYLOR, NE,5/31/1985 ,FDIC,13797.0,ACQUISITION,13360.0,14542.0,NaN
6568.0,FIRST TRUST BANK OF LAKEFIELD,COMMERCIAL BANK,STATE,LAKEFIELD, MN,5/31/1985 ,FDIC,5177.0,TRANSFER,22126.0,24288.0,NaN
NaN,COMMUNITY FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,NASHVILLE, TN,6/7/1985 ,FSLIC,31323.0,PAYOUT,18798.0,22747.0,NaN
NaN,MAGNOLIA FS&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,KNOXVILLE, TN,6/7/1985 ,FSLIC,31674.0,TRANSFER,3649.0,4816.0,NaN
2470.0,AMERICAN NATIONAL BANK OF RIVERTON,COMMERCIAL BANK,FEDERAL,RIVERTON, WY,6/11/1985 ,FDIC,18551.0,ACQUISITION,39595.0,37937.0,NaN
2471.0,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,EDNA, KS,6/13/1985 ,FDIC,4657.0,ACQUISITION,8119.0,8325.0,NaN
2472.0,SWIFT COUNTY BANK,COMMERCIAL BANK,STATE,BENSON, MN,6/14/1985 ,FDIC,1602.0,ACQUISITION,38007.0,41598.0,NaN
6576.0,STRONG S BANK,COMMERCIAL BANK,STATE,DODGEVILLE, WI,6/14/1985 ,FDIC,11613.0,TRANSFER,28240.0,30733.0,NaN
6577.0,FARMERS STATE BANK OF DEXTER,COMMERCIAL BANK,STATE,DEXTER, KS,6/20/1985 ,FDIC,10507.0,PAYOUT,4166.0,4267.0,NaN
5580.0,GOLDEN PACIFIC NATIONAL BANK,COMMERCIAL BANK,FEDERAL,NEW YORK, NY,6/21/1985 ,FDIC,22452.0,TRANSFER,131418.0,146254.0,NaN
2474.0,FIRST CITY BANK, N.A.,COMMERCIAL BANK,FEDERAL,OKLAHOMA CITY, OK,6/21/1985 ,FDIC,4165.0,ACQUISITION,92708.0,97808.0,NaN
2473.0,URBANA SAVINGS BANK,COMMERCIAL BANK,STATE,URBANA, IA,6/21/1985 ,FDIC,13153.0,ACQUISITION,6325.0,7158.0,NaN
7536.0,NEW ORLEANS S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS, LA,6/25/1985 ,FSLIC,31480.0,TRANSFER,105339.0,118050.0,NaN
7532.0,CRESCENT SAVINGS BANK,SAVINGS BANK,STATE,NEW ORLEANS, LA,6/25/1985 ,FSLIC,32098.0,TRANSFER,83950.0,89114.0,NaN
7535.0,AUDUBON S&LA,SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS, LA,6/25/1985 ,FSLIC,31891.0,TRANSFER,222109.0,211301.0,NaN
