Unnamed: 0,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
924.0,4500.0,dodge,van,2014.0,clean vehicle,95377.0,white,  2c4rdgcg9er400696,1.67783994E8,california, usa,2 days left
925.0,25900.0,dodge,durango,2019.0,clean vehicle,32724.0,silver,  1c4rdjdg6kc684983,1.67553512E8,california, usa,8 days left
926.0,13900.0,dodge,caravan,2019.0,clean vehicle,45089.0,gray,  2c4rdgcg3kr514530,1.67553571E8,california, usa,8 days left
927.0,14200.0,dodge,journey,2019.0,clean vehicle,35948.0,silver,  3c4pdcgg4kt707549,1.67553584E8,california, usa,8 days left
928.0,15400.0,dodge,caravan,2019.0,clean vehicle,41601.0,blue,  2c4rdgeg5kr563175,1.67553585E8,california, usa,8 days left
929.0,17500.0,dodge,challenger,2019.0,clean vehicle,26370.0,gray,  2c3cdzagxkh583746,1.67785326E8,texas, usa,1 days left
930.0,17500.0,dodge,caravan,2019.0,clean vehicle,18271.0,white,  2c4rdgcg1kr761805,1.67785571E8,texas, usa,2 days left
931.0,18000.0,dodge,caravan,2019.0,clean vehicle,9476.0,white,  2c4rdgcg3kr753690,1.67785577E8,texas, usa,1 days left
932.0,25200.0,dodge,door,2012.0,clean vehicle,80899.0,gray,  3c6ud5dl9cg338415,1.6778613E8,new jersey, usa,2 days left
933.0,14100.0,dodge,caravan,2018.0,clean vehicle,57394.0,black,  2c4rdgeg5jr337118,1.67786903E8,texas, usa,2 days left
934.0,13300.0,dodge,caravan,2018.0,clean vehicle,42190.0,white,  2c4rdgcg3jr364854,1.67555073E8,california, usa,8 days left
935.0,16200.0,dodge,caravan,2019.0,clean vehicle,22591.0,black,  2c4rdgbgxkr624069,1.67787079E8,oklahoma, usa,21 hours left
936.0,13300.0,dodge,caravan,2018.0,clean vehicle,48681.0,gray,  2c4rdgegxjr331914,1.67555075E8,california, usa,8 days left
937.0,13100.0,dodge,caravan,2018.0,clean vehicle,42621.0,silver,  2c4rdgcg0jr241626,1.6755508E8,california, usa,8 days left
938.0,15500.0,dodge,caravan,2017.0,clean vehicle,27761.0,silver,  2c4rdgeg9hr852858,1.67556225E8,california, usa,8 days left
939.0,4500.0,dodge,door,2013.0,salvage insurance,107768.0,white,  2c3cdyag9dh607919,1.67559924E8,california, usa,18 hours left
940.0,28400.0,dodge,durango,2019.0,clean vehicle,14355.0,gray,  1c4rdjdg7kc780041,1.67565682E8,colorado, usa,3 days left
941.0,17400.0,dodge,caravan,2019.0,clean vehicle,9467.0,gray,  2c4rdgcgxkr747353,1.67565747E8,colorado, usa,3 days left
942.0,6000.0,dodge,door,2014.0,clean vehicle,122837.0,silver,  2c3cdxbg1eh268115,1.67568295E8,florida, usa,53 minutes
943.0,20700.0,dodge,challenger,2019.0,clean vehicle,18313.0,gray,  2c3cdzag9kh642088,1.67570322E8,virginia, usa,2 days left
944.0,20300.0,dodge,challenger,2019.0,clean vehicle,19506.0,black,  2c3cdzag1kh656275,1.67570325E8,virginia, usa,2 days left
945.0,14000.0,dodge,journey,2018.0,clean vehicle,14750.0,black,  3c4pdcbb1jt319818,1.67787973E8,oklahoma, usa,21 hours left
946.0,22000.0,dodge,challenger,2019.0,clean vehicle,11280.0,green,  2c3cdzgg5kh709017,1.67570337E8,virginia, usa,2 days left
947.0,17200.0,dodge,journey,2019.0,clean vehicle,13944.0,blue,  3c4pdcgg2kt803633,1.67570512E8,virginia, usa,2 days left
948.0,15000.0,dodge,door,2016.0,clean vehicle,26922.0,blue,  2c3cdzag4gh309689,1.67788142E8,oklahoma, usa,21 hours left
949.0,17500.0,dodge,journey,2019.0,clean vehicle,12690.0,gray,  3c4pdcgg0kt809995,1.67570522E8,virginia, usa,2 days left
950.0,1300.0,dodge,door,2013.0,salvage insurance,239822.0,gray,  1c3cdzcb5dn552741,1.67682466E8,michigan, usa,2 days left
951.0,1750.0,dodge,door,2014.0,salvage insurance,74975.0,red,  1c3cdfbaxed815126,1.6769078E8,nevada, usa,3 days left
952.0,16300.0,dodge,caravan,2019.0,clean vehicle,28289.0,red,  2c4rdgeg0kr557123,1.67715827E8,florida, usa,21 hours left
953.0,15700.0,dodge,caravan,2019.0,clean vehicle,38041.0,red,  2c4rdgeg9kr529238,1.67715831E8,florida, usa,21 hours left
954.0,10000.0,dodge,journey,2017.0,clean vehicle,52386.0,silver,  3c4pdcab0ht524414,1.67789024E8,florida, usa,2 days left
955.0,23100.0,dodge,charger,2019.0,clean vehicle,34391.0,white,  2c3cdxct7kh608441,1.67715833E8,florida, usa,21 hours left
956.0,14900.0,dodge,caravan,2019.0,clean vehicle,39515.0,red,  2c4rdgcg9kr578507,1.67715835E8,florida, usa,21 hours left
957.0,16700.0,dodge,journey,2019.0,clean vehicle,22074.0,orange,  3c4pdcgg0kt783155,1.67570536E8,virginia, usa,2 days left
958.0,16300.0,dodge,caravan,2019.0,clean vehicle,28782.0,white,  2c4rdgeg6kr578882,1.67715849E8,florida, usa,21 hours left
959.0,25800.0,dodge,durango,2019.0,clean vehicle,30092.0,red,  1c4rdjdg5kc733915,1.67717748E8,north carolina, usa,21 hours left
960.0,23800.0,dodge,challenger,2019.0,clean vehicle,26443.0,black,  2c3cdzbt4kh578392,1.67717749E8,north carolina, usa,21 hours left
961.0,16800.0,dodge,journey,2019.0,clean vehicle,28981.0,red,  3c4pddeg4kt738776,1.67717794E8,north carolina, usa,21 hours left
962.0,15500.0,dodge,journey,2019.0,clean vehicle,32865.0,white,  3c4pdceg4kt716822,1.67717801E8,north carolina, usa,21 hours left
963.0,6000.0,dodge,door,2014.0,clean vehicle,117258.0,blue,  2c3cdxbg9eh266032,1.67575083E8,florida, usa,23 hours left
