Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2015-07-01,1091697,38446.0,5393,150.0,615242,18347.0,935027,32368.0
2015-08-01,1109570,31990.0,5665,124.0,627795,15244.0,927134,27108.0
2015-09-01,1022734,20436.0,5144,78.0,550129,8283.0,799367,15337.0
2015-10-01,1077870,23660.0,5442,92.0,613227,10513.0,888290,18439.0
2015-11-01,1076535,27777.0,5355,112.0,588034,12516.0,864646,21238.0
2015-12-01,1120531,31496.0,5490,124.0,611959,14050.0,904744,24317.0
2016-01-01,1050573,29649.0,5228,114.0,545829,12210.0,812816,21619.0
2016-02-01,994574,23665.0,4903,92.0,534529,9169.0,788039,15636.0
2016-03-01,1129983,28541.0,5568,110.0,642494,12890.0,957492,22540.0
2016-04-01,1148766,33770.0,5599,132.0,641111,16630.0,964613,29239.0
2016-05-01,1198777,33986.0,5808,132.0,683966,16557.0,1032829,28884.0
2016-06-01,1236172,37652.0,5849,146.0,699641,18951.0,1076037,32789.0
2016-07-01,1295890,42261.0,6072,162.0,731774,21254.0,1128351,37188.0
2016-08-01,1292958,35914.0,6055,136.0,721356,17581.0,1112977,31438.0
2016-09-01,1179226,21569.0,5709,82.0,660743,9504.0,994406,17179.0
2016-10-01,1196385,23068.0,5784,89.0,670805,11686.0,1009759,19501.0
2016-11-01,1238722,25504.0,5905,101.0,670504,12621.0,1009082,19970.0
2016-12-01,1246101,30734.0,5988,121.0,655373,15191.0,987505,24737.0
2017-01-01,1181081,,5649,,594775,,899365,
2017-02-01,1030465,,4960,,540567,,813494,
2017-03-01,1171636,,5674,,627404,,981327,
