Exam Subject,Score,Students (11th Grade),Students (12th Grade),Students (Male),Students (Female),Students (White),Students (Black),Students (Hispanic/Latino),Students (Asian),Students (American Indian/Alaska Native),Students (Native Hawaiian/Pacific Islander),Students (Two or More Races),All Students (2016)
PSYCHOLOGY,Average,3.03,3.08,3.07,3.06,3.26,2.28,2.5,3.45,2.55,2.58,3.07,3.06
RESEARCH,5,50.0,200.0,100.0,155.0,132.0,7,40.0,58.0,2,*,12.0,255.0
RESEARCH,4,99.0,272.0,150.0,243.0,209.0,16,67.0,73.0,2,*,19.0,393.0
RESEARCH,3,248.0,687.0,373.0,624.0,497.0,70,229.0,148.0,1,*,30.0,997.0
RESEARCH,2,231.0,531.0,346.0,469.0,375.0,70,206.0,91.0,2,*,40.0,815.0
RESEARCH,1,16.0,31.0,30.0,28.0,17.0,8,19.0,1.0,       ,*,4.0,58.0
RESEARCH,All,644.0,1721.0,999.0,1519.0,1230.0,171,561.0,371.0,7,4,105.0,2518.0
RESEARCH,Average,2.9,3.05,2.94,3.02,3.05,2.67,2.83,3.26,3.57,*,2.95,2.99
SEMINAR,5,440.0,35.0,226.0,431.0,384.0,15,72.0,148.0,,       ,26.0,657.0
SEMINAR,4,756.0,71.0,479.0,882.0,809.0,37,174.0,247.0,3,4,67.0,1361.0
SEMINAR,3,2927.0,342.0,2414.0,3803.0,3395.0,384,1233.0,836.0,19,9,252.0,6217.0
SEMINAR,2,1023.0,202.0,1138.0,1469.0,1029.0,388,789.0,214.0,13,7,114.0,2607.0
SEMINAR,1,250.0,104.0,298.0,319.0,144.0,177,218.0,40.0,3,3,18.0,617.0
SEMINAR,All,5396.0,754.0,4555.0,6904.0,5761.0,1001,2486.0,1485.0,38,23,477.0,11459.0
SEMINAR,Average,3.02,2.64,2.82,2.95,3.05,2.33,2.64,3.17,2.58,2.61,2.94,2.9
SPANISH LANGUAGE,5,17093.0,13621.0,14470.0,27367.0,6711.0,185,31918.0,2086.0,17,8,473.0,41837.0
SPANISH LANGUAGE,4,20136.0,19913.0,19517.0,33894.0,10736.0,500,37784.0,2914.0,42,11,748.0,53411.0
SPANISH LANGUAGE,3,14162.0,17168.0,16036.0,25573.0,10603.0,838,26322.0,2380.0,36,21,701.0,41609.0
SPANISH LANGUAGE,2,4307.0,6347.0,6180.0,8059.0,4278.0,651,7844.0,828.0,28,13,314.0,14239.0
SPANISH LANGUAGE,1,593.0,979.0,1084.0,1033.0,529.0,255,1079.0,121.0,5,2,56.0,2117.0
SPANISH LANGUAGE,All,56291.0,58028.0,57287.0,95926.0,32857.0,2429,104947.0,8329.0,128,55,2292.0,153213.0
SPANISH LANGUAGE,Average,3.87,3.67,3.7,3.82,3.57,2.88,3.87,3.72,3.3,3.18,3.55,3.77
SPANISH LITERATURE,5,663.0,893.0,538.0,1209.0,293.0,14,1294.0,98.0,       ,       ,40.0,1747.0
SPANISH LITERATURE,4,1900.0,2891.0,1703.0,3767.0,705.0,36,4409.0,202.0,1,1,69.0,5470.0
SPANISH LITERATURE,3,3016.0,4388.0,2823.0,5921.0,658.0,69,7698.0,156.0,4,3,52.0,8744.0
SPANISH LITERATURE,2,1797.0,2507.0,1981.0,3393.0,244.0,49,4916.0,40.0,1,1,22.0,5374.0
SPANISH LITERATURE,1,498.0,896.0,879.0,930.0,75.0,22,1642.0,17.0,2,       ,9.0,1809.0
SPANISH LITERATURE,All,7874.0,11575.0,7924.0,15220.0,1975.0,190,19959.0,513.0,8,5,192.0,23144.0
SPANISH LITERATURE,Average,3.05,3.03,2.88,3.06,3.45,2.85,2.94,3.63,2.5,3,3.57,3.0
STATISTICS,5,6978.0,17145.0,16088.0,11519.0,16122.0,332,1452.0,8178.0,31,20,1162.0,27607.0
STATISTICS,4,9313.0,30093.0,21606.0,21324.0,27170.0,976,3592.0,8926.0,72,33,1713.0,42930.0
STATISTICS,3,9376.0,36999.0,22916.0,26474.0,31047.0,1863,6006.0,7753.0,133,64,1969.0,49390.0
STATISTICS,2,5229.0,24488.0,13816.0,17396.0,18135.0,1925,5431.0,3992.0,80,62,1229.0,31212.0
STATISTICS,1,6803.0,38900.0,20074.0,27340.0,19957.0,5765,13757.0,4922.0,212,130,1920.0,47414.0
STATISTICS,All,37699.0,147625.0,94500.0,104053.0,112431.0,10861,30238.0,33771.0,528,309,7993.0,198553.0
STATISTICS,Average,3.12,2.74,3.0,2.73,3.01,1.91,2.13,3.34,2.3,2.19,2.87,2.86
STUDIO ART: DRAWING,5,775.0,1978.0,542.0,2421.0,1553.0,94,469.0,653.0,5,3,117.0,2963.0
STUDIO ART: DRAWING,4,1039.0,3369.0,876.0,3945.0,2686.0,206,868.0,720.0,13,10,199.0,4821.0
STUDIO ART: DRAWING,3,1461.0,4850.0,1409.0,5500.0,3667.0,391,1648.0,669.0,20,11,305.0,6909.0
STUDIO ART: DRAWING,2,546.0,1799.0,780.0,1873.0,1134.0,249,871.0,182.0,6,5,124.0,2653.0
STUDIO ART: DRAWING,1,104.0,267.0,187.0,261.0,136.0,87,166.0,21.0,       ,3,26.0,448.0
STUDIO ART: DRAWING,All,3925.0,12263.0,3794.0,14000.0,9176.0,1027,4022.0,2245.0,44,32,771.0,17794.0
STUDIO ART: DRAWING,Average,3.47,3.41,3.21,3.46,3.48,2.97,3.15,3.8,3.39,3.16,3.33,3.4
STUDIO ART: 2-D DESIGN,5,916.0,2913.0,955.0,3204.0,2459.0,134,655.0,608.0,10,3,198.0,4159.0
STUDIO ART: 2-D DESIGN,4,2109.0,6696.0,2324.0,7528.0,5844.0,410,1822.0,1050.0,34,14,430.0,9852.0
STUDIO ART: 2-D DESIGN,3,2261.0,7009.0,2694.0,7816.0,5624.0,677,2504.0,896.0,64,18,457.0,10510.0
STUDIO ART: 2-D DESIGN,2,1045.0,3032.0,1302.0,3347.0,2022.0,493,1455.0,295.0,28,8,211.0,4649.0
STUDIO ART: 2-D DESIGN,1,201.0,381.0,264.0,400.0,199.0,115,284.0,27.0,4,       ,17.0,664.0
STUDIO ART: 2-D DESIGN,All,6532.0,20031.0,7539.0,22295.0,16148.0,1829,6720.0,2876.0,140,43,1313.0,29834.0
STUDIO ART: 2-D DESIGN,Average,3.38,3.44,3.32,3.44,3.52,2.98,3.17,3.67,3.13,3.28,3.44,3.41
STUDIO ART: 3-D DESIGN,5,87.0,510.0,255.0,394.0,408.0,20,107.0,59.0,1,1,36.0,649.0
STUDIO ART: 3-D DESIGN,4,167.0,1000.0,324.0,943.0,846.0,33,189.0,105.0,2,2,56.0,1267.0
STUDIO ART: 3-D DESIGN,3,314.0,1294.0,381.0,1383.0,1098.0,67,321.0,142.0,10,2,77.0,1764.0
STUDIO ART: 3-D DESIGN,2,205.0,784.0,279.0,830.0,558.0,73,314.0,65.0,7,2,51.0,1109.0
STUDIO ART: 3-D DESIGN,1,36.0,81.0,54.0,92.0,38.0,27,57.0,7.0,1,1,4.0,146.0
STUDIO ART: 3-D DESIGN,All,809.0,3669.0,1293.0,3642.0,2948.0,220,988.0,378.0,21,8,224.0,4935.0
STUDIO ART: 3-D DESIGN,Average,3.08,3.29,3.35,3.2,3.35,2.75,2.97,3.38,2.76,3,3.31,3.24
U.S. HISTORY,5,47621.0,1749.0,27649.0,30033.0,36288.0,1314,5275.0,11181.0,69,68,2686.0,57682.0
U.S. HISTORY,4,71568.0,2627.0,43341.0,43614.0,55166.0,2990,10926.0,12655.0,137,109,3849.0,86955.0
U.S. HISTORY,3,90019.0,3283.0,54366.0,55038.0,66434.0,5380,17797.0,13061.0,270,148,4918.0,109404.0
U.S. HISTORY,2,93035.0,3333.0,52713.0,60324.0,61164.0,8283,25292.0,11072.0,403,210,5075.0,113037.0
U.S. HISTORY,1,98621.0,3770.0,45058.0,73126.0,42483.0,17429,42295.0,8179.0,735,291,4650.0,118184.0
U.S. HISTORY,All,400864.0,14762.0,223127.0,262135.0,261535.0,35396,101585.0,56148.0,1614,826,21178.0,485262.0
U.S. HISTORY,Average,2.69,2.68,2.8,2.61,2.93,1.94,2.13,3.14,2.01,2.34,2.76,2.7
WORLD HISTORY,5,1967.0,755.0,9497.0,8828.0,10471.0,409,1639.0,4651.0,18,16,893.0,18325.0
WORLD HISTORY,4,3928.0,1583.0,22017.0,21496.0,25249.0,1529,5260.0,8602.0,75,63,2166.0,43513.0
WORLD HISTORY,3,6545.0,2420.0,39591.0,42884.0,45861.0,4517,14432.0,12251.0,232,142,4002.0,82475.0
WORLD HISTORY,2,5339.0,1994.0,33795.0,47281.0,37512.0,7133,21994.0,8844.0,319,187,3847.0,81076.0
WORLD HISTORY,1,2863.0,1452.0,21091.0,34966.0,15426.0,9429,23501.0,3629.0,337,181,2268.0,56057.0
WORLD HISTORY,All,20642.0,8204.0,125991.0,155455.0,134519.0,23017,66826.0,37977.0,981,589,13176.0,281446.0
WORLD HISTORY,Average,2.84,2.78,2.72,2.5,2.84,1.97,2.1,3.05,2.1,2.23,2.66,2.6
