MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIEUS,197701.0,87.215,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197702.0,75.943,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197703.0,75.092,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197704.0,68.641,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197705.0,74.916,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197706.0,80.942,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197707.0,90.667,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197708.0,89.046,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197709.0,80.975,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197710.0,77.369,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197711.0,78.058,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197712.0,83.279,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197713.0,962.143,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197801.0,85.191,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197802.0,71.476,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197803.0,67.829,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197804.0,69.051,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197805.0,74.201,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197806.0,81.372,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197807.0,88.003,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197808.0,91.836,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197809.0,85.066,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197810.0,79.494,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197811.0,79.291,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197812.0,87.107,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197813.0,959.916,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197901.0,93.946,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197902.0,83.91,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197903.0,83.689,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197904.0,78.077,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197905.0,83.19,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197906.0,88.15,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197907.0,96.579,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197908.0,97.246,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197909.0,84.463,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197910.0,86.071,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197911.0,86.09,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197912.0,94.293,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197913.0,1055.704,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198001.0,100.568,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198002.0,94.862,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198003.0,93.21,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198004.0,81.245,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198005.0,82.785,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198006.0,91.484,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198007.0,107.126,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198008.0,106.245,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198009.0,95.662,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198010.0,90.03,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198011.0,91.239,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198012.0,102.138,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198013.0,1136.594,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198101.0,108.164,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198102.0,94.766,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198103.0,95.724,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198104.0,86.386,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198105.0,89.002,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198106.0,99.05,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198107.0,111.044,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198108.0,107.758,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198109.0,95.891,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198110.0,94.541,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198111.0,92.986,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198112.0,105.056,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198113.0,1180.367,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198201.0,113.136,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198202.0,97.313,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198203.0,95.335,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198204.0,86.587,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198205.0,90.83,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198206.0,94.419,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198207.0,109.995,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198208.0,109.179,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198209.0,96.39,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198210.0,92.24,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198211.0,95.165,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198212.0,101.367,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198213.0,1181.956,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198301.0,105.965,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198302.0,90.912,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198303.0,93.568,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198304.0,86.575,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198305.0,90.75,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198306.0,99.98,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,198307.0,119.945,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
