Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1990,Butane,Saskatchewan,Total,Railway,78015.7,490703.14986,9151694.7,7875929.14265,11.73058,38.214798
1990,Butane,Saskatchewan,Total,Total,100683.9,633281.59422,11097266.6,9542898.70123,11.021887,35.878316
1990,Butane,Saskatchewan,Total,Truck,3532.0,22215.5736,504189.9,433710.34564,14.274912,46.482645
1990,Butane,Total,PADD I,Railway,340608.9,2142361.85922,48766416.29,41704853.3711,14.317422,46.349214
1990,Butane,Total,PADD I,Total,343319.0,2159407.8462,49092887.15,41986843.73055,14.299496,46.294261
1990,Butane,Total,PADD I,Truck,2710.1,17045.98698,326470.86,281990.35945,12.04645,39.387708
1990,Butane,Total,PADD II,Pipeline,457329.0,2876507.9442,55526244.74,47567448.69448,12.141422,39.37249
1990,Butane,Total,PADD II,Railway,1052656.3,6620997.59574,142754335.2,122320669.26305,13.561343,43.987067
1990,Butane,Total,PADD II,Total,1544892.8,9717066.73344,203779391.64,174607455.95606,13.190519,42.783488
1990,Butane,Total,PADD II,Truck,34907.5,219561.1935,5498811.7,4719337.99853,15.752522,51.176916
1990,Butane,Total,PADD IV,Pipeline,185002.0,1163625.5796,23521737.0,20130497.87991,12.714314,41.189816
1990,Butane,Total,PADD IV,Railway,99513.2,625918.12536,11335392.1,9717672.6631,11.390842,36.965222
1990,Butane,Total,PADD IV,Total,284610.2,1790141.23596,34867721.6,29857023.5583,12.251044,39.710724
1990,Butane,Total,PADD IV,Truck,95.0,597.531,10592.5,8853.01529,11.15,35.276003
1990,Butane,Total,PADD V,Railway,380081.6,2390637.24768,45706254.56,39187434.07697,12.025379,39.028488
1990,Butane,Total,PADD V,Total,392088.3,2466156.98934,46663697.7,40007754.66087,11.901323,38.625317
1990,Butane,Total,PADD V,Truck,12006.7,75519.74166,957443.14,820320.5839,7.97424,25.862572
1990,Butane,Total,Total,Pipeline,642331.0,4040133.5238,79047981.74,67697946.57439,12.306424,39.895909
1990,Butane,Total,Total,Railway,1872860.0,11779914.828,248562398.15,212930629.37422,13.271808,43.037257
1990,Butane,Total,Total,Total,2564910.3,16132772.80494,334403698.09,286459077.90578,13.037637,42.276805
1990,Butane,Total,Total,Truck,49719.3,312724.45314,6793318.2,5830501.95717,13.663342,44.390773
1990,Propane,Alberta,PADD I,Railway,120.8,759.80784,12309.52,10508.75013,10.19,32.930315
1990,Propane,Alberta,PADD I,Total,120.8,759.80784,12309.52,10508.75013,10.19,32.930315
1990,Propane,Alberta,PADD II,Railway,40625.9,255528.78582,5272935.18,4515106.61643,12.979245,42.070413
1990,Propane,Alberta,PADD II,Total,42142.3,265066.63854,5445624.46,4664063.376,12.921991,41.894593
1990,Propane,Alberta,PADD II,Truck,1516.4,9537.85272,172689.28,148956.75957,11.388108,37.184177
1990,Propane,Alberta,PADD IV,Railway,35258.8,221770.80024,3846218.91,3300421.27009,10.908536,35.433464
1990,Propane,Alberta,PADD IV,Total,119029.7,748673.00706,11892172.58,10207744.149,9.990928,32.462814
