Fiscal Year,Fiscal Period,Month,Date,Branch,Service,Metric Name,Value,Metric Type
2019-2020,5,August ,2019-08-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2019-2020,6,September,2019-09-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,99.99,Non Cumulative
2019-2020,6,September,2019-09-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2019-2020,7,October,2019-10-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2019-2020,7,October,2019-10-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2019-2020,8,November,2019-11-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2019-2020,8,November,2019-11-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2019-2020,9,December,2019-12-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,99.98,Non Cumulative
2019-2020,9,December,2019-12-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2019-2020,10,January,2020-01-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2019-2020,10,January,2020-01-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,99.04,Non Cumulative
2019-2020,11,February,2020-02-29,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2019-2020,11,February,2020-02-29,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2019-2020,12,March,2020-03-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2019-2020,12,March,2020-03-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,1,April,2020-04-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,1,April,2020-04-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,99.38,Non Cumulative
2020-2021,2,May,2020-05-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,2,May,2020-05-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,3,June,2020-06-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,3,June,2020-06-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,4,July,2020-07-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,4,July,2020-07-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,5,August ,2020-08-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,5,August ,2020-08-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,6,September,2020-09-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,6,September,2020-09-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,7,October,2020-10-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-20217,7,October,2020-10-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,8,November,2020-11-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-20217,8,November,2020-11-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-20217,9,December,2020-12-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,9,December,2020-12-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-202110,10,January,2021-01-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,99.98,Non Cumulative
2020-2021,10,January,2021-01-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,11,February,2021-02-28,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2020-2021,11,February,2021-02-28,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,12,March,2021-03-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2020-2021,12,March,2021-03-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2021-2022,1,April,2021-04-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2021-2022,1,April,2021-04-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2021-2022,2,May,2021-05-31,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2021-2022,2,May,2021-05-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2021-2022,3,June,2021-06-30,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2021-2022,3,June,2021-06-30,Networks Security and Digital Services,External Credential Management,% of time the Secure Key Concierge service is available,100.0,Non Cumulative
2021-2022,4,July,2021-07-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2021-2022,4,July,2021-07-31,Networks Security and Digital Services,External Credential Management,% of time the Government Sign-in by Verified.Me (GSVM) service is available,100.0,Non Cumulative
2021-2022,5,August ,2021-08-31,Networks Security and Digital Services,External Credential Management,% of time the GCKey service is available,100.0,Non Cumulative
2021-2022,5,August ,2021-08-31,Networks Security and Digital Services,External Credential Management,% of time the Government Sign-in by Verified.Me (GSVM) service is available,100.0,Non Cumulative
