Nom_bâtiment,Adresse_civique,Arrondissement,Année_consommation ,Superficie,Émissions_GES,Année_construction,Électricité ,Gaz_naturel,Mazout ,Eau_refroidie  ,Vapeur 
ÉDIFICE DU 6000 NOTRE-DAME OUEST,6000 Rue Notre-Dame O,Le Sud-Ouest,2019,5635,"202,47",1969,800820,106023,0,0,0
ARÉNA MICHEL-NORMANDIN,850 Avenue Émile-Journault,Ahuntsic-Cartierville,2019,3917,"202,07",1981,1289177,105426,0,0,0
STADE DE SOCCER DE MONTRÉAL,9235 Avenue Papineau,Villeray-Saint-Michel-Parc-Extension,2019,11341,"199,02",2015,1547497,103615,0,0,0
CENTRE OPÉRATIONNEL  NORD ET ENVIRONN.,855 Boulevard Crémazie E,Ahuntsic-Cartierville,2019,9029,"196,52",1991,2712217,101378,0,0,0
PISCINE INTÉR. PIERRE-LORANGE (BIBLIO),1870 Rue Davidson,Mercier-Hochelaga-Maisonneuve,2019,3896,"195,58",1983,583444,102567,0,0,0
CTMO - OUEST,9091 Boulevard Henri-Bourassa O,Saint-Laurent,2019,23040,"183,86",1972,85320,96783,0,0,0
LABORATOIRE COUR DE LOUVAIN,999 Rue de Louvain E,Ahuntsic-Cartierville,2019,4063,"180,22",1966,259251,94729,0,0,0
ÉDIFICE DU 1650 DES CARRIÈRES,1610 Rue des Carrières,Rosemont-La Petite-Patrie,2019,3250,"176,87",1960,412837,92842,0,0,0
CENTRE SPORTIF NOTRE-DAME-DE-GRÂCE,6445 Avenue de Monkland,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,5146,"176,51",2011,1396509,91878,0,0,0
GARAGE D'ENTRETIEN SAINT-MICHEL,7959 16e Avenue,Villeray-Saint-Michel-Parc-Extension,2019,2590,"171,24",1961,280620,89985,0,0,0
COMPLEXE SPORTIF MARIE-VICTORIN,7000 Boulevard Maurice-Duplessis,Rivière-des-Prairies-Pointe-aux-Trembles,2019,15587,"170,84",2010,1523168,88790,0,0,0
ARÉNA MARCELIN-WILSON,11301 Boulevard de l' Acadie,Ahuntsic-Cartierville,2019,3977,"169,31",1971,892149,88484,0,0,0
ARÉNA MAURICE-RICHARD,2800 Rue Viau,Mercier-Hochelaga-Maisonneuve,2019,25599,"164,46",1959,1759582,85014,0,"2736,9",0
"CASERNE NO 66, ARROND.VERDUN",4398 Boulevard LaSalle,Verdun,2019,5403,"162,11",1967,678960,84861,0,0,0
CASERNE NO 28 ÉDIFICE GONCOURT,7650 Boulevard Châteauneuf (ANJ),Anjou,2019,5844,"158,68",1976,1882800,82101,0,0,0
ARÉNA AHUNTSIC,10560 Rue Saint-Hubert,Ahuntsic-Cartierville,2019,3796,"140,35",1970,952394,73182,0,0,0
CASERNE NO 47 (MAIS.CULT.PETITE PATRIE),2111 Rue Saint-Zotique E,Rosemont-La Petite-Patrie,2019,3292,"140,31",1931,578385,73455,0,0,0
CENTRE ÉTIENNE-DESMARTEAU,3430 Rue de Bellechasse,Rosemont-La Petite-Patrie,2019,18880,"139,4",1976,4481303,69891,0,0,0
ARÉNA SAINT-DONAT,6750 Rue de Marseille,Mercier-Hochelaga-Maisonneuve,2019,3375,"140,09",1970,1043689,72970,0,0,0
CASERNE NO 31 (EX-POSTE 43),7047 Rue Saint-Dominique,Rosemont-La Petite-Patrie,2019,2762,"139,68",1931,94647,73506,0,0,0
ARÉNA CLÉMENT-JETTÉ,8780 Avenue Dubuisson,Mercier-Hochelaga-Maisonneuve,2019,3975,"139,1",1971,892026,72570,0,0,0
CASERNE 73 / COUR MUNICIPALE,820 Rue Saint-Germain,Saint-Laurent,2019,3591,"127,92",1961,323705,67128,0,0,0
CASERNE NO 29 (EX-POSTE 51),5375 1re Avenue,Rosemont-La Petite-Patrie,2019,3760,"125,74",1965,330708,65974,0,0,0
GARAGE DE LA COUR BERCY,1501 Rue Bercy,Ville-Marie,2019,2888,"124,95",2001,621120,65328,0,0,0
HÔTEL DE VILLE DE MONTREAL,275 Rue Notre-Dame E,Ville-Marie,2019,22814,"122,29",1878,2786989,3,0,0,"2041,8"
QUARTIER GÉNÉRAL DU SIM,4040 Avenue du Parc,Ville-Marie,2019,2886,"121,23",1930,631948,63361,0,0,0
ARÉNA FRANCIS-BOUILLON,3175 Rue de Rouen,Mercier-Hochelaga-Maisonneuve,2019,3405,"120,65",1971,1037697,62736,0,0,0
CENTRE OLIVER JONES,525 Rue du Dominion,Le Sud-Ouest,2019,3181,"116,83",1925,281544,61321,0,0,0
BAIN MORGAN & CENTRE MORGAN,1875 Avenue Morgan,Mercier-Hochelaga-Maisonneuve,2019,2457,"116,44",1916,306122,61097,0,0,0
ARÉNA CAMILIEN-HOUDE,1696 Rue Montcalm,Ville-Marie,2019,4162,"114,3",1981,1369177,59127,0,0,0
CASERNE NO 30 ET MUSÉE DES POMPIERS AUX.,5 Avenue Laurier O,Le Plateau-Mont-Royal,2019,2192,"108,5",1905,93818,57082,0,0,0
2150 DICKSON (C.S.M. DICKSON),2150 Rue Dickson,Mercier-Hochelaga-Maisonneuve,2019,2208,"107,31",1958,250149,56331,0,0,0
ÉDIFICE GASTON-MIRON,1210 Rue Sherbrooke E,Ville-Marie,2019,7412,"105,79",1917,818864,55078,0,0,0
ÉDIFICE ALBERT DUMOUCHEL,10300 Rue Lajeunesse,Ahuntsic-Cartierville,2019,6349,"105,13",1948,642995,54870,0,0,0
CENTRE SAINT-EUSÈBE,2349 Rue de Rouen,Ville-Marie,2019,3025,"105,23",1906,117914,55340,0,0,0
CENTRE SAINT-ZOTIQUE,75 Rue du Square-Sir-George-Étienne-Cartier (,Le Sud-Ouest,2019,5591,"104,44",1958,206284,54855,0,0,0
CASERNE 33 / BIBLIO & M.CULT.MARIE-UGUAY,6040 Boulevard Monk,Le Sud-Ouest,2019,3226,"103,37",1960,438387,54104,0,0,0
EDIFICE LUCIEN-SAULNIER,155 Rue Notre-Dame E,Ville-Marie,2019,14218,"102,14",1857,1860920,0,0,0,"1717,7"
MANOIR NOTRE-DAME-DE-GRÂCE,5319 Avenue Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,2819,"96,53",1955,86377,50781,0,0,0
CASERNE NO 23/CENTRE ST-HENRI,523 Place Saint-Henri,Le Sud-Ouest,2019,3209,"96,37",1930,379321,50467,0,0,0
LA SOLITUDE,21253 Boulevard Gouin O,Pierrefonds-Roxboro,2019,2190,"95,56",1961,26435,0,34666,0,0
GARAGE DE LA COUR DARLINGTON,6960 Avenue de Darlington,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,2228,"93,93",1997,360406,49196,0,0,0
M.A.Q. M.C.I.P. INTERV. & CIRCUL. SUD,944 Rue Saint-Paul O,Le Sud-Ouest,2019,2742,"93,52",1966,629141,48766,0,0,0
CENTRE SPORTIF JEAN-ROUGEAU,8000 Rue De Normanville,Villeray-Saint-Michel-Parc-Extension,2019,3415,"90,86",1958,457061,47502,0,0,0
CASERNE NO 65,1300 Avenue Dollard (LSL),LaSalle,2019,3931,"89,02",1976,923017,46164,0,0,0
CASERNE NO 38,14201 Rue Sherbrooke E,Rivière-des-Prairies-Pointe-aux-Trembles ,2019,2118,"87,61",1972,267892,45936,0,0,0
ARÉNA HOWIE-MORENZ,8650 Avenue Querbes,Villeray-Saint-Michel-Parc-Extension,2019,3772,"84,16",1979,811014,43693,0,0,0
CENTRE GABRIELLE-ET-MARCEL-LAPALME,5350 Rue Lafond,Rosemont-La Petite-Patrie,2019,4528,"82,48",1965,610326,42964,0,0,0
QUARTIER GÉNÉRAL DU SPVM,1441 Rue Saint-Urbain,Ville-Marie,2019,14329,"80,9",1957,5108237,38579,0,0,0
CASERNE NO 09,8100 Boulevard Saint-Michel,Villeray-Saint-Michel-Parc-Extension,2019,2818,"80,74",1968,210459,42368,0,0,0
CENTRE ST-DENIS,5115 Rue Rivard,Le Plateau-Mont-Royal,2019,2269,"78,15",1967,127637,41064,0,0,0
CCSE MAISONNEUVE,4375 Rue Ontario E,Mercier-Hochelaga-Maisonneuve,2019,3438,"76,23",1914,418021,39828,0,0,0
ÉDIFICE DU 9515 ST-HUBERT,9515 Rue Saint-Hubert,Ahuntsic-Cartierville,2019,3132,"68,39",1966,192154,35873,0,0,0
CENTRE MONSEIGNEUR-PIGEON,5550 Rue Angers,Le Sud-Ouest,2019,2766,"65,65",1959,241330,34394,0,0,0
ÉDIFICE CHAUVEAU (COUR CHAUVEAU),5670 Rue Chauveau,Mercier-Hochelaga-Maisonneuve,2019,3872,"59,75",1959,396944,31159,0,0,0
BIBLIOTHEQUE RIVIÈRE-DES PRAIRIES,9001 Boulevard Perras,Rivière-des-Prairies-Pointe-aux-Trembles ,2019,2695,"50,81",1995,361301,26481,0,0,0
CASERNE NO 63,530 Boulevard Bouchard (DVL),Dorval,2019,3361,"50,71",1965,520320,26304,0,0,0
CASERNE NO 64,3175 Chemin Remembrance,Lachine,2019,2567,"50,21",1961,683117,25910,0,0,0
ARÉNA DOUG-HARVEY (ANC. CONFÉDÉRATION),4985 Avenue West Hill,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,3729,"48,74",1970,1154592,24763,0,0,0
ARÉNA BILL-DURNAN,4988 Rue Vézina,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,4172,"48,24",1982,1058200,24573,0,0,0
2620 ST-JOSEPH,2620 Boulevard Saint-Joseph,Rosemont-La Petite-Patrie,2019,2282,"46,16",1965,221303,24142,0,0,0
ÉDIFICE LUCIEN-SAULNIER ANNEXE,85 Rue Notre-Dame E,Ville-Marie,2019,5763,"37,9",1905,685494,0,0,0,"637,5"
CENTRE INTERCULTUREL STRATHEARN,3680 Rue Jeanne-Mance,Le Plateau-Mont-Royal,2019,4847,"37,28",1910,905296,18924,0,0,0
ARÉNA RENÉ-MASSON,9175 Boulevard Perras,Rivière-des-Prairies-Pointe-aux-Trembles,2019,4145,"36,64",1978,1473097,18136,0,0,0
CHÂTEAU DUFRESNE,4040 Rue Sherbrooke E,Mercier-Hochelaga-Maisonneuve,2019,2484,"36,68",1918,293200,19092,0,0,0
QUARTIER D'HIVER,3400 Boulevard des Trinitaires,Le Sud-Ouest,2019,4052,"35,04",1968,409447,18133,0,0,0
BIODOME,4777 Avenue Pierre-De Coubertin,Mercier-Hochelaga-Maisonneuve,2019,34875,"29,23",1976,19486112,0,0,0,0
PDQ NO 38 EST (OPER.),1033 Rue Rachel E,Le Plateau-Mont-Royal,2019,3025,"31,23",1990,741830,15867,0,0,0
BIBLIOTHÈQUE MARC-FAVREAU,500 Boulevard Rosemont,Rosemont-La Petite-Patrie,2019,3619,"30,62",2013,655877,15614,0,0,0
ÉDIFICE GEORGES-VANIER,2450 Rue Workman,Le Sud-Ouest,2019,2045,"25,88",1904,318170,13380,0,0,0
CASERNE 48 / ÉD.ÉMMANUEL-ALBERT-DOUCET,3616 Rue Hochelaga,Mercier-Hochelaga-Maisonneuve,2019,2923,"24,41",1931,636120,12355,0,0,0
PISCINE INT. GEORGES-VERNOT,8475 13e Avenue,Villeray-Saint-Michel-Parc-Extension,2019,2971,"22,21",1968,286800,11472,0,0,0
COMPLEXE SPORTIF CLAUDE-ROBILLARD,1000 Avenue Émile-Journault E,Ahuntsic-Cartierville,2019,49577,"19,04",1976,12693223,0,0,0,0
ÉDIFICE 6150 ROYALMOUNT,6150 Avenue Royalmount,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,4376,"21,02",1985,758938,10474,0,0,0
ÉDIFICE DU 5010 PARÉ,5010 Rue Paré,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,5600,"19,1",0,47158,10025,0,0,0
MAISON DE LA CULTURE DE P.A.T.,14001 Rue Notre-Dame E,Rivière-des-Prairies-Pointe-aux-Trembles,2019,3416,"18,89",1998,534110,9531,0,0,0
EX ILOT DES VOYAGEURS SUD,505 Boulevard de Maisonneuve E,Ville-Marie,2019,7062,"18,44",1954,0,9716,0,0,0
CHALET-RESTAURANT,3933 Avenue du Parc-La Fontaine,Le Plateau-Mont-Royal,2019,2643,18,1952,456263,9121,0,0,0
CASERNE 34/BIBLIO&MAISON CULTURE N-D-G,3755 Rue Botrel,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,3225,"15,28",1912,909960,7332,0,0,0
CENTRE RÉCRÉATIF RIVIERE-DES-PRAIRIES,7650 Boulevard Maurice-Duplessis,Rivière-des-Prairies-Pointe-aux-Trembles,2019,2070,"14,34",2004,759507,6952,0,0,0
MAISON DU CITOYEN ET BUR. D'ARROND.,12090 Rue Notre-Dame E,Rivière-des-Prairies-Pointe-aux-Trembles,2019,4250,"12,22",0,19510,6423,0,0,0
BIBLIO ET CENTRE COMMUNAUTAIRE CDN-NORD,6767 Chemin de la Côte-des-Neiges,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,8066,"2,31",1976,1542329,0,0,0,0
CENTRE OPÉRATIONNEL OUEST (SLR),2805 Boulevard Thimens (SLR),Saint-Laurent,2019,4195,"1,81",1986,1208044,0,0,0,0
THÉÂTRE OUTREMONT,1248 Avenue Bernard (OUT),Outremont,2019,3016,"1,71",1929,1142613,0,0,0,0
CENTRE CULTUREL DE NOTRE-DAME-DE-GRÂCE,6400 Avenue de Monkland,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,5881,"1,66",2015,1109845,0,0,0,0
MAISON DE LA CULTURE MERCIER,8105 Rue Hochelaga,Mercier-Hochelaga-Maisonneuve,2019,4970,"1,12",1987,748909,0,0,0,0
BIBLIO. & MAIS.CULT.COTE-DES-NEIGES,5290 Chemin de la Côte-des-Neiges,Côte-des-Neiges–Notre-Dame-de-Grâce,2019,3477,"1,09",1982,726875,0,0,0,0
MAISON DE LA CULT. MAISONN.(EX-CAS. 45),4200 Rue Ontario E,Mercier-Hochelaga-Maisonneuve,2019,2125,"0,98",1907,650749,0,0,0,0
CITÉ DES HOSPITALIÈRES,251 Avenue des Pins O,Le Plateau-Mont-Royal,2019,10153,"0,94",1858,624426,0,0,0,0
BIBLIOTHEQUE ST-MICHEL,7601 Rue François-Perrault,Villeray-Saint-Michel-Parc-Extension,2019,2437,"0,72",1968,482555,0,0,0,0
BIBLIOTHEQUE MORDECAI-RICHLER,5434 Avenue du Parc,Le Plateau-Mont-Royal,2019,2299,"0,54",1992,362160,0,0,0,0
CENTRE DE FORMATION (CARRIÈRE DEMIX),11171 Boulevard Métropolitain (MTE) E,Montréal-Est,2019,2586,"0,47",1958,313537,0,0,0,0
ARÉNA MONT-ROYAL,4355 Rue Cartier,Le Plateau-Mont-Royal,2019,3145,"0,45",1973,298610,0,0,0,0
RÉCUPÉRATION LOUVAIN (COUR DE LOUVAIN),973 Rue de Louvain E,Ahuntsic-Cartierville,2019,3828,"0,32",1966,211527,0,0,0,0
INSECTARIUM,4581 Rue Sherbrooke E,Rosemont-La Petite-Patrie,2019,2192,"0,26",1990,174960,0,0,0,0
ÉDIFICE DU 7500 ST-DENIS,7500 Rue Saint-Denis,Villeray-Saint-Michel-Parc-Extension,2019,5100,"0,07",0,45542,0,0,0,0
ÉDIFICE MARIE-VICTORIN,4101 Rue Sherbrooke E,Rosemont-La Petite-Patrie,2019,14294,"0,03",1938,0,15,0,0,0
8600-8618 AV DE L'ÉPÉE,8600 Avenue de l' Épée (MTL),Villeray-Saint-Michel-Parc-Extension,2019,2137,"0,01",0,8981,0,0,0,0
ÉDIFICES 1300-1330 SAINT-ANTOINE OUEST,1300 Rue Saint-Antoine O,Ville-Marie,2019,3200,0,0,0,0,0,0,0
BIBLIOTHÈQUE ROBERT-BOURASSA,41 av Saint-Just,Outremont,2019,2408,"0,91",0,603840,0,0,0,0
CENTRE COMMUNAUTAIRE INTERGÉNÉRATIONNEL,"999, ave McEachran",Outremont,2019,10951,"76,12",0,2540160,38090,0,0,0
COUR DE SERVICES (TRAVAUX PUBLICS),"600, ave de la Gare-de-Triage",Outremont,2019,2774,"115,04",0,522360,60187,0,0,0
Centre communautaire Anjou (CCA),"7800, Boul. Métropolitain Est, Anjou",Anjou,2020,2788,"0,75",2013,500040,0,0,0,0
Édifice 7751 LHL,"7751, Boul. L.-H. Lafontaine, Anjou",Anjou,2020,4922,"67,2",1974,63690,35347,0,0,0
Bureau d'arrondissement Anjou (Mairie),"7701, Boul. L.-H. Lafontaine, Anjou",Anjou,2020,2252,"161,82",1984,827520,84589,0,0,0
"Permis, travaux public et cours de service","7171, rue Bombardier, Anjou",Anjou,2020,4996,"388,99",1977,719040,204341,0,0,0
Aréna Chaumont,"8750, ave Chaumont, Anjou",Anjou,2020,5070,"243,87",1976,884400,127763,0,0,0
Centre Roger-Rousseau(CRR),"7501, ave Rondeau, Anjou",Anjou,2020,2099,"1,12",1977,748000,0,0,0,0
Aréna Chénier,"8200, ave Chénier, Anjou",Anjou,2020,3088,"177,98",1968,713304,93192,0,0,0
ARÉNA MARTIN-LAPOINTE,183 rue des Érables,Lachine,2020,3103,"204,51",0,1198320,106782,0,0,0
ARÉNA PIERRE «PETE» MORIN,1925 rue Saint-Antoine,Lachine,2020,7288,"132,35",0,536400,69297,0,0,0
CENTRE TECHNIQUE GARAGE REMISAGE,2200 rue Saint-Antoine,Lachine,2020,4545,"303,76",0,1060200,159174,0,0,0
CENTRE ALBERT-GARIÉPY,800 rue Sherbrooke,Lachine,2020,4910,"97,43",0,80080,51261,0,0,0
BUREAU D'ARRONDISSEMENT DE LACHINE,1800 boul Saint-Joseph,Lachine,2020,4361,"81,75",0,608400,42583,0,0,0
BIBLIOTHÈQUE SAUL-BELLOW,3100 rue Saint-Antoine,Lachine,2020,10951,"0,64",0,425160,0,0,0,0
BUREAU D'ARRONDISSEMENT LASALLE,55 av Dupras,LaSalle,2020,7977,"366,59",0,1589281,191853,0,0,0
ATELIER MUNICIPAUX ANDRÉ-TRAVERSY,7277 rue Cordner,LaSalle,2020,11378,"361,12",0,1719361,188868,0,0,0
BIBLIOTHÈQUE L'OCTOGONE LASALLE,1080 av Dollard,LaSalle,2020,2833,0,0,0,0,0,0,0
CENTRE SPORTIF DOLLARD-ST-LAURENT,707 av 75e,LaSalle,2020,6048,"105,15",0,1128000,54500,0,0,0
ARÉNA JACQUES-LEMAIRE,8681 boul Champlain,LaSalle,2020,5016,"150,18",0,1604528,77845,0,0,0
L'AQUADÔME LASALLE,1411 rue Lapierre,LaSalle,2020,4892,"351,56",0,1904400,183690,0,0,0
CENTRE HENRI-LEMIEUX,7644 rue Édouard,LaSalle,2020,2469,"29,95",0,562081,15334,0,0,0
CENTRE DE LOISIRS MONTRÉAL-NORD,11121 av Salk,Montréal-Nord,2020,3619,"104,75",0,119036,55083,0,0,0
ARÉNA ROLLAND MTL-NORD,12000 boul Rolland,Montréal-Nord,2020,3221,"181,7",0,1928319,94192,0,0,0
MAISON CULTURELLE COMMUNAUTAIRE MTL-NORD,12000 boul Rolland,Montréal-Nord,2020,4555,0,0,0,0,0,0,0
ATELIER MÉCANIQUE ET ENTREPÔT CHARLEROI,4260 rue de Charleroi,Montréal-Nord,2020,4674,"129,51",0,272811,68005,0,0,0
ARÉNA FLEURY,3700 rue Fleury E,Montréal-Nord,2020,3822,"124,45",0,859200,64879,0,0,0
ARÉNA GARON ET CSLDS,11212 av Garon,Montréal-Nord,2020,8434,"90,68",0,759275,47166,0,0,0
BUREAU D'ARRONDISSEMENT MONTRÉAL-NORD,4242 Place de l'Hôtel-de-Ville,Montréal-Nord,2020,2966,"1,2",0,801214,0,0,0,0
TRAVAUX PUBLICS,"14 150, boul Gouin O",Pierrefonds-Roxboro,2020,2429,"17,46",0,491939,8807,0,0,0
BUREAU D'ARRONDISSEMENT,"13 665, boul de Pierrefonds",Pierrefonds-Roxboro,2020,2299,"0,89",0,594694,0,0,0,0
BIBLIOTHÈQUE DE PIERREFONDS,"13 555, boul de Pierrefonds",Pierrefonds-Roxboro,2020,4599,"54,09",0,632519,27995,0,0,0
ARÉNA MARTIN-BRODEUR,5300 boul Robert,Saint-Léonard,2020,4043,"147,8",1967,4294839,74464,0,0,0
ARÉNA ROBERTO-LUONGO,7755 rue Colbert,Saint-Léonard,2020,3180,"89,02",1975,1409400,45778,0,0,0
PISCINE INT SAINT-LÉONARD,5115 rue des Galets,Saint-Léonard,2020,2857,"329,25",2006,0,173442,0,0,0
"DIRECTION TP, GARAGES, ATELIERS, BUREAUX ET MAGASIN","7880,Rue de la Salette",Saint-Léonard,2020,4498,"204,53",1962,1044558,106918,0,0,0
DÔME DU STADE HÉBERT (STRUCTURE TEMPORAIRE),7655 Colbert,Saint-Léonard,2020,2788,0,2005,0,0,0,0,0
BUREAU D'ARRONDISSEMENT ET BIBLIOTHÈQUE,8400 -8420 Lacordaire,Saint-Léonard,2020,2947,"0,75",1974,498519,0,0,0,0
ENTREPÔT PASCAL-GAGNON,8925 Pascal-Gagnon,Saint-Léonard,2020,3088,"33,56",1974,78481,17617,0,0,0
TRAVAUX PUBLICS SAINT-LAURENT,13001 boul. Cavendish,Saint-Laurent,2020,12394,"371,4",1980,1793978,194226,0,0,0
LOISIRS ET DÉVELOP COMMU SAINT-LAURENT,1375 rue Grenet,Saint-Laurent,2020,9105,"274,46",1993,1054344,143745,0,0,0
ARÉNA RAYMOND-BOURQUE,2345 boul. Thimens,Saint-Laurent,2020,6707,0,1968,0,0,0,0,0
BUREAU D'ARRONDISSEMENT SAINT-LAURENT,777 boul. Marcel-Laurin,Saint-Laurent,2020,6495,"2,2",1956,1463575,0,0,0,0
