Food-Group-Name, Food-Group-Code,Sex,Age,Number-of-Respondents,Percentage-of-Eaters,All-Person-Consumption-Intake-g-per-person-Mean,All-Person-Consumption-Intake-g-per-person-SE-Mean,All-Person-Consumption-Intake-g-per-person-P50,All-Person-Consumption-Intake-g-per-person-SE-P50,All-Person-Consumption-Intake-g-per-person-P90,All-Person-Consumption-Intake-g-per-person-SE-P90,All-Person-Consumption-Intake-g-per-person-P95,All-Person-Consumption-Intake-g-per-person-SE-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-Mean,All-Person-Consumption-Intake-g-per-kg-body-weight-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P50,All-Person-Consumption-Intake-g-per-kg-body-weight-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P90,All-Person-Consumption-Intake-g-per-kg-body-weight-P95,All-Person-Consumption-Intake-g-per-kg-body-weight-SE-P95,Eaters-Only-Consumption-Intake-g-per-person-Mean,Eaters-Only-Consumption-Intake-g-per-person-SE-Mean,Eaters-Only-Consumption-Intake-g-per-person-P50,Eaters-Only-Consumption-Intake-g-per-person-SE-P50,Eaters-Only-Consumption-Intake-g-per-person-P90,Eaters-Only-Consumption-Intake-g-per-person-SE-P90,Eaters-Only-Consumption-Intake-g-per-person-P95,Eaters-Only-Consumption-Intake-g-per-person-SE-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-Mean,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P50,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P90,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-P95,Eaters-Only-Consumption-Intake-g-per-kg-body-weight-SE-P95
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,1 Year,735,31.2,8.81,±1.34,F,F,29.71 E,±5.15,44.32 E,±9.86,0.8,±0.12,F,F,2.68,±0.41,4.44 E,±0.85,28.24,±3.58,21,±1.67,65.25 E,±12.08,82.82,±8.55,2.57,±0.32,1.84,±0.17,5.88 E,±1.17,7.95,±0.89
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,2 - 3 Years,1453,38.2,12.24,±1.09,F,F,38.55,±4.61,67.34,±11.05,0.83,±0.08,F,F,2.48,±0.24,4.36,±0.59,32.08,±2.20,21,±0.16,80.09,±7.40,112.39,±16.38,2.19,±0.16,1.41,±0.09,4.83,±0.69,6.74,±0.99
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,4 -8 Years,3238,43.3,14.41,±0.79,F,F,42,±1.30,62.64,±4.03,0.61,±0.03,F,F,1.71,±0.10,2.54,±0.15,33.3,±1.52,22,±1.17,65.68,±5.43,99.61,±11.30,1.42,±0.07,1.04,±0.05,2.67,±0.24,4.17,±0.52
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,9 -13 Years,4060,42.4,16.65,±0.79,F,F,51.01,±3.07,75.23,±5.59,0.4,±0.02,F,F,1.21,±0.06,1.79,±0.08,39.28,±1.44,27.84,±0.90,82.9,±5.03,112.23,±8.25,0.93,±0.04,0.62,±0.03,1.9,±0.09,2.81,±0.27
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,14 -18 Years,4565,45.7,20.51,±0.97,F,F,62.65,±2.51,85.05,±3.95,0.32,±0.02,F,F,0.99,±0.05,1.35,±0.05,44.83,±1.61,30.95,±1.83,87.07,±4.85,119.97,±12.38,0.7,±0.03,0.5,±0.02,1.38,±0.05,1.9,±0.17
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,19 - 30 Years,3821,40.8,17.04,±0.92,F,F,52.77,±3.45,80.09,±4.89,0.23,±0.01,F,F,0.69,±0.04,1.06,±0.06,41.81,±1.83,28.35,±0.84,84,±2.45,121.64,±7.65,0.57,±0.02,0.39,±0.02,1.13,±0.09,1.61,±0.10
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,31 - 50 Years,5351,34.3,14.71,±0.86,F,F,45.67,±3.61,75.28,±6.15,0.2,±0.01,F,F,0.62,±0.04,0.96,±0.06,42.89,±1.81,29.98,±1.50,85.05,±5.64,114.04,±9.61,0.57,±0.03,0.4,±0.02,1.19,±0.09,1.61,±0.12
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,51 -70 Years,5751,27.2,9.59,±0.57,F,F,33.35,±2.94,56.52,±4.11,0.13,±0.01,F,F,0.45,±0.02,0.73,±0.05,35.29,±1.55,26.05,±2.68,74.69,±6.29,105.16,±11.56,0.47,±0.02,0.34,±0.02,0.97,±0.07,1.32,±0.14
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,71 + Years ,4130,18.8,5.82,±0.71,F,F,21,±0.98,41.85,±5.05,0.08,±0.01,F,F,0.3,±0.02,0.55,±0.07,30.93,±2.74,21,±0.98,61.26 E,±11.87,90 E,±19.47,0.43,±0.03,0.31,±0.02,0.91,±0.14,1.2,±0.12
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,0 -18 years,14290,41.4,15.88,±0.43,F,F,49.03,±1.86,74.38,±2.70,0.48,±0.01,F,F,1.38,±0.04,2.16,±0.08,38.37,±0.86,27.15,±0.79,80.52,±2.40,110.93,±3.90,1.15,±0.03,0.75,±0.02,2.38,±0.10,3.55,±0.16
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Both,19 +  Years,19053,32.1,12.9,±0.44,F,F,42,±0.38,64.55,±3.21,0.17,±0.01,F,F,0.57,±0.02,0.9,±0.04,40.13,±1.01,28.35,±0.27,84,±1.57,113,±4.70,0.54,±0.01,0.38,±0.01,1.11,±0.05,1.55,±0.06
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Male,9 -13 Years,2080,41.5,18.28,±1.21,F,F,56.7,±3.26,88.5,±7.90,0.43,±0.03,F,F,1.29,±0.11,1.94,±0.19,44.01,±2.27,28.5,±2.16,94.23,±7.52,128.95,±9.75,1.03,±0.06,0.68,±0.05,2.22,±0.22,3.27,±0.38
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Male,14 -18 Years,2288,49.2,25.1,±1.50,F,F,70.84,±5.08,97.95,±8.33,0.37,±0.02,F,F,1.09,±0.07,1.44,±0.11,51.06,±2.36,41.78,±2.03,98.7,±7.91,145.45,±15.10,0.76,±0.04,0.56,±0.03,1.45,±0.11,2.21,±0.26
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Male,19 - 30 Years,1804,45.5,20.1,±1.20,F,F,56.7,±2.99,84,±3.75,0.26,±0.02,F,F,0.75,±0.06,1.06,±0.11,44.15,±2.12,30.03,±1.75,84.76,±6.97,133.44,±11.10,0.56,±0.03,0.38,±0.02,1.13,±0.12,1.66,±0.15
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Male,31 - 50 Years,2596,35.6,16.33,±1.22,F,F,55.02,±4.77,84,±6.78,0.2,±0.02,F,F,0.64,±0.06,0.97,±0.12,45.9,±2.41,33.5,±2.31,99.21,±8.75,117.52,±11.08,0.56,±0.03,0.4,±0.02,1.19,±0.12,1.61,±0.12
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Male,51 -70 Years,2550,27,10.28,±0.79,F,F,41.63,±4.35,59.73,±4.16,0.12,±0.01,F,F,0.45,±0.04,0.76,±0.08,38.11,±2.05,28.35,±2.80,77.44,±5.91,100,±12.23,0.46,±0.03,0.34,±0.02,0.93,±0.08,1.17,±0.12
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Male,71 + Years ,1520,19.1,6.63 E,±1.52,F,F,21 E,±3.60,42.82 E,±10.72,0.08 E,±0.02,F,F,0.29,±0.04,0.55 E,±0.14,34.71 E,±5.82,21,±3.09,F,F,113.68 E,±36.39,0.42,±0.06,0.3,±0.03,1.02 E,±0.22,1.2 E,±0.21
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Male,19 +  Years,8470,34,14.66,±0.64,F,F,48.2,±3.53,75.8,±5.54,0.18,±0.01,F,F,0.58,±0.03,0.9,±0.05,43.14,±1.36,30.53,±1.32,84.94,±4.46,116.73,±4.77,0.53,±0.02,0.38,±0.02,1.12,±0.08,1.54,±0.09
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Female,9 -13 Years,1980,43.3,14.94,±0.90,F,F,44.32,±2.91,63,±4.49,0.36,±0.02,F,F,1.09,±0.09,1.63,±0.11,34.5,±1.56,26.91,±2.11,68.33,±5.88,90.64,±6.56,0.83,±0.04,0.59,±0.03,1.72,±0.10,2.17,±0.19
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Female,14 -18 Years,2277,42.2,15.69,±1.11,F,F,50.57,±4.66,72.28,±4.56,0.27,±0.02,F,F,0.88,±0.06,1.25,±0.09,37.21,±1.82,27.27,±1.58,74.38,±4.33,100.11,±8.97,0.64,±0.03,0.45,±0.02,1.32,±0.06,1.54,±0.16
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Female,19 - 30 Years,2017,35.8,13.89,±1.43,F,F,42,±3.50,66.24,±7.35,0.21,±0.02,F,F,0.66,±0.05,1.06,±0.08,38.74,±3.28,27.85,±1.59,82.69,±8.11,109.04,±12.91,0.57,±0.04,0.42,±0.03,1.13,±0.11,1.61,±0.17
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Female,31 - 50 Years,2755,33,13.09,±1.13,F,F,41.77,±2.50,65.68,±6.46,0.19,±0.02,F,F,0.6,±0.04,0.94,±0.06,39.64,±2.61,27.52,±2.06,83.57,±7.40,109.45,±16.69,0.58,±0.04,0.42,±0.03,1.15,±0.13,1.75,±0.29
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Female,51 -70 Years,3201,27.4,8.93,±0.81,F,F,28.35,±1.89,49.5,±5.80,0.13,±0.01,F,F,0.45,±0.03,0.69,±0.08,32.62,±2.35,22.02,±2.53,70.14 E,±12.37,105.16,±14.05,0.48,±0.04,0.34,±0.03,0.98 E,±0.18,1.5,±0.22
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Female,71 + Years ,2610,18.6,5.22,±0.47,F,F,21,±0.83,38.53,±4.43,0.08,±0.01,F,F,0.32,±0.03,0.58,±0.07,28.07,±1.66,21,±0.90,56.7,±5.03,76.23,±7.40,0.43,±0.03,0.34,±0.02,0.86,±0.09,1.24,±0.16
"CHEESE, 10% B.F. TO 25% B.F. ",14C,Female,19 +  Years,10583,30.4,11.2,±0.56,F,F,36.46,±1.83,56.9,±2.38,0.17,±0.01,F,F,0.55,±0.03,0.88,±0.05,36.87,±1.47,26.09,±1.57,78.5,±4.45,105.16,±7.78,0.54,±0.02,0.39,±0.02,1.11,±0.06,1.57,±0.11
"CHEESE, MORE THAN 25% B.F. ",14D,Both,All ages,33343,39.6,13.64,±0.39,F,F,45.19,±2.36,75.23,±4.02,0.25,±0.01,F,F,0.75,±0.02,1.32,±0.04,34.48,±0.82,18.84,±0.75,85.05,±1.01,117.45,±5.64,0.62,±0.02,0.3,±0.01,1.53,±0.04,2.22,±0.07
"CHEESE, MORE THAN 25% B.F. ",14D,Both,0 - 5 Months,48,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
"CHEESE, MORE THAN 25% B.F. ",14D,Both,6 - 11 Months,191,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
"CHEESE, MORE THAN 25% B.F. ",14D,Both,1 Year,735,36.2,9.1,±1.24,F,F,31.55 E,±10.47,58.68,±4.35,0.83,±0.12,F,F,2.92 E,±0.77,5.67,±0.68,25.13,±2.69,14.18 E,±2.48,63.24,±3.68,72.58,±9.90,2.29,±0.25,1.31 E,±0.25,6.25,±0.49,6.37,±0.99
"CHEESE, MORE THAN 25% B.F. ",14D,Both,2 - 3 Years,1453,39.1,10.96,±1.20,F,F,28.35,±2.60,59.09,±7.51,0.73,±0.08,F,F,2.02,±0.21,4.17,±0.67,28,±2.68,14.14,±1.48,65.93 E,±13.09,128.29,±20.48,1.87,±0.17,0.97,±0.13,5.06,±0.83,7.71,±1.02
"CHEESE, MORE THAN 25% B.F. ",14D,Both,4 -8 Years,3238,46,12.48,±0.91,F,F,38.25,±2.83,57.92,±7.69,0.56,±0.05,F,F,1.63,±0.10,2.82,±0.30,27.12,±1.78,14.14,±1.22,62.4,±9.57,110.76,±11.64,1.22,±0.10,0.59,±0.07,3,±0.34,4.96,±0.59
"CHEESE, MORE THAN 25% B.F. ",14D,Both,9 -13 Years,4060,44.7,14.21,±0.85,F,F,51.91,±5.23,74.83,±6.69,0.34,±0.02,F,F,1.08,±0.10,1.94,±0.17,31.8,±1.64,18.53,±1.78,80.57,±6.27,113.23,±6.14,0.77,±0.04,0.45,±0.04,2.09,±0.16,2.63,±0.15
"CHEESE, MORE THAN 25% B.F. ",14D,Both,14 -18 Years,4565,45.8,13.67,±0.70,F,F,45.83,±4.44,76.5,±6.84,0.22,±0.01,F,F,0.69,±0.04,1.22,±0.09,29.81,±1.31,14.54,±1.12,84,±6.34,113,±4.89,0.47,±0.02,0.22,±0.02,1.28,±0.09,1.77,±0.16
"CHEESE, MORE THAN 25% B.F. ",14D,Both,19 - 30 Years,3821,44.2,16.59,±1.12,F,F,56.7,±2.08,85.05,±7.96,0.24,±0.02,F,F,0.81,±0.06,1.28,±0.09,37.54,±2.33,18.66,±2.13,95.71,±8.29,139.91,±17.19,0.54,±0.03,0.25,±0.02,1.34,±0.09,2.05,±0.23
"CHEESE, MORE THAN 25% B.F. ",14D,Both,31 - 50 Years,5351,40.1,14.5,±0.84,F,F,51.64,±3.92,81.31,±4.49,0.2,±0.01,F,F,0.64,±0.04,1.02,±0.10,36.13,±1.70,20.42,±2.98,85.05,±3.76,114.8,±14.87,0.49,±0.02,0.28,±0.03,1.26,±0.10,1.64,±0.12
"CHEESE, MORE THAN 25% B.F. ",14D,Both,51 -70 Years,5751,34.8,12.82,±0.74,F,F,38.52,±3.91,75.77,±7.60,0.17,±0.01,F,F,0.52,±0.04,0.97,±0.07,36.88,±1.86,23.81,±2.38,87.27,±7.65,128.83,±9.66,0.5,±0.03,0.29,±0.02,1.25,±0.10,1.75,±0.11
"CHEESE, MORE THAN 25% B.F. ",14D,Both,71 + Years ,4130,28.8,8.94,±0.70,F,F,28.35,±1.01,56.7,±4.17,0.13,±0.01,F,F,0.41,±0.03,0.75,±0.06,31.06,±2.27,18.68,±2.22,70.88,±10.32,113.4,±9.80,0.44,±0.03,0.26,±0.04,1.05,±0.13,1.61,±0.19
"CHEESE, MORE THAN 25% B.F. ",14D,Both,0 -18 years,14290,43.6,12.74,±0.44,F,F,40.22,±2.23,66.61,±3.52,0.43,±0.02,F,F,1.28,±0.05,2.18,±0.09,29.25,±0.89,14.75,±0.64,74.87,±4.77,113,±3.07,0.98,±0.04,0.42,±0.02,2.36,±0.10,3.73,±0.30
"CHEESE, MORE THAN 25% B.F. ",14D,Both,19 +  Years,19053,38.4,13.91,±0.50,F,F,47.43,±2.79,80.07,±4.47,0.19,±0.01,F,F,0.62,±0.02,1.04,±0.05,36.26,±1.06,20.11,±1.46,85.21,±3.55,125,±8.44,0.5,±0.02,0.27,±0.02,1.26,±0.05,1.78,±0.09
"CHEESE, MORE THAN 25% B.F. ",14D,Male,9 -13 Years,2080,44.4,14.94,±1.31,F,F,53.19,±5.62,80.53,±11.97,0.35,±0.03,F,F,1.14,±0.14,1.82,±0.23,33.62,±2.55,21.25,±3.28,85.05,±11.96,115.08,±7.09,0.79,±0.06,0.48,±0.05,2.08,±0.24,2.65,±0.33
"CHEESE, MORE THAN 25% B.F. ",14D,Male,14 -18 Years,2288,46.6,15.22,±1.00,F,F,56.52,±4.72,85.05,±8.98,0.22,±0.02,F,F,0.75,±0.04,1.22,±0.13,32.66,±1.80,15.74,±2.52,85.22,±7.89,114.04,±5.93,0.48,±0.03,0.24,±0.03,1.28,±0.12,1.81,±0.18
"CHEESE, MORE THAN 25% B.F. ",14D,Male,19 - 30 Years,1804,44.7,16.27,±1.54,F,F,53.13,±4.08,85.05,±9.81,0.21,±0.02,F,F,0.72,±0.07,1.1,±0.15,36.37,±3.11,17.97,±2.81,89.76,±9.45,125.11 E,±26.12,0.48,±0.04,0.24,±0.03,1.24,±0.15,1.72 E,±0.33
"CHEESE, MORE THAN 25% B.F. ",14D,Male,31 - 50 Years,2596,38.9,14.1,±1.20,F,F,52.7,±4.07,80.94,±8.13,0.17,±0.01,F,F,0.61,±0.05,0.9,±0.07,36.28,±2.55,20.11 E,±4.33,85.05,±4.82,114.56 E,±19.37,0.43,±0.03,0.25,±0.04,1,±0.11,1.56,±0.16
"CHEESE, MORE THAN 25% B.F. ",14D,Male,51 -70 Years,2550,33.6,14.3,±1.24,F,F,44.95,±5.98,85.05,±7.15,0.18,±0.02,F,F,0.52,±0.06,1.04,±0.12,42.59,±3.22,28,±1.91,113.4,±12.47,153,±13.66,0.52,±0.04,0.3,±0.03,1.31,±0.16,1.97,±0.22
"CHEESE, MORE THAN 25% B.F. ",14D,Male,71 + Years ,1520,26.7,8.13,±1.22,F,F,24.6 E,±4.85,51 E,±8.74,0.11,±0.02,F,F,0.3 E,±0.06,0.62 E,±0.11,30.42,±4.52,14.18 E,±2.99,77.57 E,±21.87,113.4,±17.73,0.39,±0.06,0.18 E,±0.04,1.03 E,±0.26,1.44 E,±0.29
"CHEESE, MORE THAN 25% B.F. ",14D,Male,19 +  Years,8470,37.6,14.1,±0.74,F,F,49.64,±3.37,81.7,±5.13,0.17,±0.01,F,F,0.59,±0.04,0.95,±0.05,37.44,±1.62,21.02,±2.46,89.76,±5.11,128.83,±12.42,0.46,±0.02,0.25,±0.02,1.15,±0.09,1.63,±0.09
"CHEESE, MORE THAN 25% B.F. ",14D,Female,9 -13 Years,1980,44.9,13.44,±1.12,F,F,45,±7.24,73.78,±7.08,0.34,±0.03,F,F,1.03,±0.13,1.99,±0.22,29.9,±2.02,15.9,±1.89,74.83,±6.71,107.19,±10.19,0.75,±0.05,0.39,±0.04,2.1,±0.20,2.61,±0.14
"CHEESE, MORE THAN 25% B.F. ",14D,Female,14 -18 Years,2277,45.1,12.05,±0.94,F,F,35.62,±4.38,68.86,±8.49,0.21,±0.02,F,F,0.6,±0.06,1.2,±0.14,26.72,±1.80,13.53,±1.81,75.31,±8.21,103.7,±7.95,0.46,±0.03,0.21,±0.03,1.29,±0.13,1.73,±0.24
"CHEESE, MORE THAN 25% B.F. ",14D,Female,19 - 30 Years,2017,43.6,16.91,±1.70,F,F,56.7,±2.77,86.06 E,±14.66,0.27,±0.03,F,F,0.92,±0.09,1.36,±0.20,38.77,±3.41,19.38,±3.18,102,±13.44,139.91 E,±23.40,0.61,±0.05,0.29,±0.04,1.49,±0.24,2.15,±0.33
"CHEESE, MORE THAN 25% B.F. ",14D,Female,31 - 50 Years,2755,41.4,14.89,±1.21,F,F,51,±5.69,83.93,±6.87,0.23,±0.02,F,F,0.73,±0.07,1.26,±0.14,35.99,±2.39,20.42,±3.32,85.83,±6.69,116.23,±18.39,0.55,±0.04,0.3,±0.03,1.46,±0.11,1.86,±0.20
"CHEESE, MORE THAN 25% B.F. ",14D,Female,51 -70 Years,3201,35.9,11.4,±0.82,F,F,33.6,±4.41,59.78,±5.55,0.17,±0.01,F,F,0.52,±0.04,0.93,±0.07,31.74,±1.91,19.13,±2.66,77.96,±6.17,113.4,±11.76,0.48,±0.03,0.28,±0.03,1.15,±0.13,1.63,±0.14
"CHEESE, MORE THAN 25% B.F. ",14D,Female,71 + Years ,2610,30.3,9.54,±0.89,F,F,28.39,±3.86,56.7,±4.07,0.14,±0.01,F,F,0.47,±0.03,0.8,±0.06,31.48,±2.35,20.75,±3.34,62.96,±9.78,100,±14.65,0.47,±0.04,0.32,±0.03,1.07,±0.11,1.65,±0.23
"CHEESE, MORE THAN 25% B.F. ",14D,Female,19 +  Years,10583,39.1,13.74,±0.63,F,F,45.05,±3.61,74.37,±5.63,0.21,±0.01,F,F,0.68,±0.04,1.16,±0.08,35.17,±1.36,19.38,±1.84,85.05,±3.61,116.23,±9.97,0.54,±0.02,0.3,±0.02,1.35,±0.07,1.88,±0.11
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,All ages,33343,14.8,22.99,±1.20,F,F,100,±3.60,170.1,±12.19,0.46,±0.02,F,F,1.59,±0.07,2.86,±0.08,154.8,±6.52,122.5,±1.05,245,±3.16,339,±16.38,3.12,±0.11,2.15,±0.05,6.06,±0.25,9.25,±0.58
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,0 - 5 Months,48,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,6 - 11 Months,191,24.5,24.44 E,±7.33,F,F,120.1 E,±31.22,F,F,2.64 E,±0.79,F,F,12.78 E,±3.13,F,F,99.84 E,±17.45,88.97 E,±22.90,F,F,F,F,10.77 E,±1.87,9.94 E,±2.25,F,F,F,F
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,1 Year,735,30.5,26.77,±3.19,F,F,113,±14.14,124.26,±15.58,2.5,±0.31,F,F,9.91,±1.25,12.01,±1.34,87.8,±6.25,61.25,±10.16,183.74 E,±34.07,222.66,±18.64,8.18,±0.62,5.88,±0.78,17.13 E,±3.34,22.1,±2.16
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,2 - 3 Years,1453,25.7,30.2,±2.79,F,F,120,±4.54,137.8 E,±24.54,2.07,±0.19,F,F,7.56,±0.53,10.59,±0.82,117.3,±7.57,107.19,±7.16,207.1,±13.90,245,±22.64,8.02,±0.52,6.67,±0.41,14.94,±1.84,18.52,±0.91
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,4 -8 Years,3238,20.7,26.47,±2.04,F,F,107.19,±6.31,160,±20.08,1.19,±0.09,F,F,4.61,±0.32,6.71,±0.56,127.75,±6.88,103.55,±5.32,245,±17.61,321.55,±40.74,5.75,±0.31,4.48,±0.26,11.67,±1.10,16.45,±1.69
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,9 -13 Years,4060,14.4,19.17,±1.66,F,F,76.57 E,±17.21,125,±11.27,0.45,±0.04,F,F,1.85,±0.28,3.4,±0.26,133.32,±7.20,113,±3.21,226.8,±11.88,300,±32.01,3.16,±0.16,2.71,±0.15,5.76,±0.26,6.48,±0.88
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,14 -18 Years,4565,11.2,18.27,±1.88,F,F,F,F,153.12,±20.22,0.3,±0.03,F,F,F,F,2.51,±0.29,163.25,±9.22,125,±13.04,296.51,±36.43,428.74,±64.49,2.67,±0.15,2.19,±0.18,5.1,±0.61,6.81,±0.81
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,19 - 30 Years,3821,14.2,26.98 E,±5.46,F,F,100,±13.61,175,±16.31,0.41 E,±0.08,F,F,1.33,±0.21,2.5,±0.16,189.78 E,±35.90,125,±6.80,250 E,±45.46,414.2 E,±109.38,2.85 E,±0.52,2.05,±0.14,3.97 E,±0.76,7.25 E,±2.05
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,31 - 50 Years,5351,14.8,24.73,±2.13,F,F,113,±7.95,181.21,±13.37,0.34,±0.03,F,F,1.51,±0.15,2.47,±0.15,166.74,±9.42,129.44,±8.81,267.76,±24.79,350,±24.99,2.31,±0.12,1.92,±0.10,4.21,±0.23,4.71,±0.42
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,51 -70 Years,5751,14.4,21.3,±1.47,F,F,101.86,±7.92,153.12,±17.14,0.3,±0.02,F,F,1.35,±0.10,2.17,±0.13,148.08,±6.07,122.69,±0.91,244.99,±8.60,275.61 E,±49.74,2.08,±0.09,1.82,±0.08,3.53,±0.19,4.54,±0.63
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,71 + Years ,4130,11,14.63,±1.43,F,F,F,F,122.5,±5.27,0.22,±0.02,F,F,F,F,1.77,±0.08,132.99,±7.44,122.5,±3.84,245,±12.09,300,±37.05,1.97,±0.12,1.73,±0.07,3.73,±0.32,4.54,±0.50
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,0 -18 years,14290,17.1,22.18,±0.95,F,F,100,±5.23,137.8,±11.30,0.9,±0.04,F,F,3.09,±0.18,5.82,±0.25,129.81,±3.54,113,±1.71,244.99,±9.21,304.56,±16.39,5.28,±0.18,3.69,±0.11,11.45,±0.50,14.93,±1.25
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Both,19 +  Years,19053,14.2,23.23,±1.50,F,F,101.86,±4.80,175,±10.97,0.33,±0.02,F,F,1.36,±0.07,2.34,±0.09,163.86,±8.71,125,±1.35,245,±7.86,350,±19.21,2.33,±0.12,1.86,±0.05,3.97,±0.15,4.86,±0.43
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Male,9 -13 Years,2080,14.6,19.97,±2.10,F,F,91.87 E,±21.18,125,±16.41,0.48,±0.05,F,F,1.88 E,±0.38,3.63,±0.31,136.94,±8.40,113,±5.25,245,±13.01,321.55 E,±56.89,3.28,±0.19,2.79,±0.21,6.23,±0.44,8.19,±0.92
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Male,14 -18 Years,2288,8.5,15.44 E,±2.60,F,F,F,F,122.5 E,±21.27,0.23 E,±0.04,F,F,F,F,1.86 E,±0.35,181.85,±19.59,153.12,±18.70,367.5 E,±75.12,F,F,2.72,±0.31,2.1,±0.24,4.86 E,±1.44,F,F
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Male,19 - 30 Years,1804,11.9,F,F,F,F,F,F,163.6,±20.54,F,F,F,F,F,F,2.2,±0.36,F,F,129.44,±16.63,F,F,F,F,F,F,1.82,±0.30,F,F,F,F
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Male,31 - 50 Years,2596,11.8,22.47,±3.42,F,F,F,F,175,±23.22,0.27,±0.04,F,F,F,F,2,±0.30,189.63,±20.70,141.75,±15.28,316.31,±48.93,F,F,2.3,±0.24,1.7,±0.17,3.99 E,±0.67,4.94 E,±1.58
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Male,51 -70 Years,2550,9.9,15.76,±2.06,F,F,F,F,122.5,±8.05,0.19,±0.03,F,F,F,F,1.43,±0.13,159.16,±14.55,122.5,±5.69,245 E,±48.09,F,F,1.93,±0.19,1.43,±0.11,3.23 E,±0.61,5.46 E,±1.46
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Male,71 + Years ,1520,6.6,8.77 E,±1.81,F,F,F,F,F,F,0.12 E,±0.02,F,F,F,F,F,F,132.04,±13.31,122.5,±14.46,258.88,±31.76,F,F,1.76,±0.18,1.6,±0.14,3.2,±0.48,F,F
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Male,19 +  Years,8470,10.9,20.64,±2.83,F,F,F,F,137.8,±13.89,0.26,±0.04,F,F,F,F,1.75,±0.15,189.9,±22.05,129.44,±8.21,283.5,±30.61,416.17 E,±118.60,2.4,±0.30,1.66,±0.08,3.67,±0.38,5.46 E,±1.24
YOGHURTS (NATURAL AND WITH FRUIT) ,15,Female,9 -13 Years,1980,14.2,18.33,±2.57,F,F,F,F,125,±17.50,0.43,±0.06,F,F,1.77 E,±0.38,3.25,±0.38,129.4,±12.21,113,±5.47,214.37,±15.09,245 E,±44.38,3.03,±0.26,2.67,±0.19,4.96,±0.48,5.97,±0.51
