Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Cas_Actifs,Nb_Deces_Cumulatif_Total,Nb_Deces_Cumulatif_CHCHSLD,Nb_Deces_Cumulatif_RPA,Nb_Deces_Cumulatif_DomInc,Nb_Deces_Cumulatif_Autre,Nb_Nvx_Deces_Total,Nb_Nvx_Deces_CHCHSLD,Nb_Nvx_Deces_RPA,Nb_Nvx_Deces_DomInc,Nb_Nvx_Deces_Autre
2020-10-13,89002,950,8844,6022,4039,1020,665,298,10,7,2,1,0
2020-10-14,90099,1097,8994,6042,4049,1024,670,299,20,10,4,5,1
2020-10-15,91247,1148,9125,6052,4055,1026,671,300,10,6,2,1,1
2020-10-16,92384,1137,9195,6072,4065,1029,675,303,20,10,3,4,3
2020-10-17,93441,1057,9294,6079,4066,1031,679,303,7,1,2,4,0
2020-10-18,94412,971,9327,6091,4072,1034,682,303,12,6,3,3,0
2020-10-19,95259,847,9185,6112,4081,1038,688,305,21,9,4,6,2
2020-10-20,96297,1038,9511,6124,4085,1042,692,305,12,4,4,4,0
2020-10-21,97278,981,9807,6146,4090,1046,705,305,22,5,4,13,0
2020-10-22,98211,933,9891,6166,4095,1051,714,306,20,5,5,9,1
2020-10-23,99251,1040,9882,6181,4104,1053,718,306,15,9,2,4,0
2020-10-24,100088,837,9728,6201,4110,1059,726,306,20,6,6,8,0
2020-10-25,100912,824,9545,6218,4115,1063,733,307,17,5,4,7,1
2020-10-26,101901,989,9495,6236,4117,1065,746,308,18,2,2,13,1
2020-10-27,102869,968,9576,6255,4124,1070,751,310,19,7,5,5,2
2020-10-28,103860,991,9679,6278,4131,1077,759,311,23,7,7,8,1
2020-10-29,104925,1065,9721,6297,4141,1081,763,312,19,10,4,4,1
2020-10-30,105878,953,9647,6325,4153,1083,775,314,28,12,2,12,2
2020-10-31,106862,984,9678,6355,4168,1088,784,315,30,15,5,9,1
2020-11-01,107886,1024,9769,6375,4179,1090,789,317,20,11,2,5,2
2020-11-02,108781,895,9761,6389,4183,1093,795,318,14,4,3,6,1
2020-11-03,109843,1062,9894,6411,4191,1098,802,320,22,8,5,7,2
2020-11-04,111008,1165,10211,6435,4201,1109,805,320,24,10,11,3,0
2020-11-05,112279,1271,10373,6455,4213,1112,810,320,20,12,3,5,0
2020-11-06,113476,1197,10590,6482,4228,1116,817,321,27,15,4,7,1
2020-11-07,114714,1238,10804,6505,4240,1121,823,321,23,12,5,6,0
2020-11-08,116022,1308,11120,6534,4259,1128,826,321,29,19,7,3,0
2020-11-09,117226,1204,11220,6565,4267,1137,835,326,31,8,9,9,5
2020-11-10,118529,1303,11606,6599,4284,1143,844,328,34,17,6,9,2
2020-11-11,119918,1389,12075,6630,4298,1153,850,329,31,14,10,6,1
2020-11-12,121251,1333,12142,6665,4324,1155,855,331,35,26,2,5,2
2020-11-13,122627,1376,12343,6685,4335,1158,859,333,20,11,3,4,2
2020-11-14,123864,1237,12362,6711,4350,1163,862,336,26,15,5,3,3
2020-11-15,124978,1114,12229,6737,4369,1168,862,338,26,19,5,0,2
2020-11-16,126000,1022,11875,6762,4383,1174,867,338,25,14,6,5,0
2020-11-17,127126,1126,11785,6798,4405,1179,873,341,36,22,5,6,3
2020-11-18,128331,1205,11829,6835,4418,1193,880,344,37,13,14,7,3
2020-11-19,129642,1311,11585,6865,4427,1201,892,345,30,9,8,12,1
2020-11-20,130787,1145,11408,6891,4439,1211,893,348,26,12,10,1,3
2020-11-21,131905,1118,11334,6919,4448,1219,903,349,28,9,8,10,1
2020-11-22,133115,1210,11216,6952,4459,1229,914,350,33,11,10,11,1
2020-11-23,134191,1076,10989,6977,4467,1238,920,352,25,8,9,6,2
2020-11-24,135422,1231,11195,7017,4490,1245,928,354,40,23,7,8,2
2020-11-25,136809,1387,11702,7048,4495,1256,938,359,31,5,11,10,5
2020-11-26,138143,1334,11734,7077,4509,1262,944,362,29,14,6,6,3
2020-11-27,139425,1282,11804,7104,4519,1273,949,363,27,10,11,5,1
2020-11-28,140857,1432,12151,7135,4535,1280,954,366,31,16,7,5,3
2020-11-29,142242,1385,12411,7168,4543,1296,963,366,33,8,16,9,0
2020-11-30,143512,1270,12680,7200,4560,1306,968,366,32,17,10,5,0
2020-12-01,145030,1518,13142,7224,4567,1312,978,367,24,7,6,10,1
2020-12-02,146577,1547,13661,7259,4585,1321,984,369,35,18,9,6,2
2020-12-03,148080,1503,13902,7298,4602,1331,995,370,39,17,10,11,1
2020-12-04,149845,1765,14321,7335,4611,1347,1006,371,37,9,16,11,1
2020-12-05,151485,1640,14801,7371,4629,1356,1014,372,36,18,9,8,1
2020-12-06,153023,1538,15125,7400,4645,1364,1016,375,29,16,8,2,3
2020-12-07,154649,1626,15373,7435,4663,1373,1023,376,35,18,9,7,1
2020-12-08,156307,1658,15909,7480,4681,1386,1036,377,45,18,13,13,1
2020-12-09,158050,1743,16409,7512,4697,1397,1039,379,32,16,11,3,2
2020-12-10,159809,1759,16504,7544,4709,1406,1050,379,32,12,9,11,0
2020-12-11,161719,1910,16892,7590,4727,1416,1063,384,46,18,10,13,5
2020-12-12,163714,1995,17332,7631,4739,1429,1075,388,41,12,13,12,4
2020-12-13,165476,1762,17559,7665,4754,1435,1085,391,34,15,6,10,3
2020-12-14,167366,1890,17967,7712,4772,1445,1101,394,47,18,10,16,3
2020-12-15,169157,1791,18429,7753,4784,1460,1115,394,41,12,15,14,0
2020-12-16,171276,2119,19129,7785,4799,1466,1125,395,32,15,6,10,1
2020-12-17,173591,2315,19481,7838,4820,1482,1138,398,53,21,16,13,3
2020-12-18,175710,2119,19788,7874,4835,1491,1148,400,36,15,9,10,2
2020-12-19,177763,2053,20063,7908,4846,1500,1162,400,34,11,9,14,0
2020-12-20,179729,1966,20201,7948,4859,1510,1178,401,40,13,10,16,1
2020-12-21,181839,2110,20524,7986,4873,1523,1188,402,38,14,13,10,1
2020-12-22,183993,2154,20952,8047,4897,1539,1205,406,61,24,16,17,4
2020-12-23,186217,2224,21572,8098,4922,1551,1216,409,51,25,12,11,3
2020-12-24,188612,2395,22022,8139,4941,1562,1226,410,41,19,11,10,1
2020-12-25,190911,2299,22472,8186,4955,1582,1236,413,47,14,20,10,3
2020-12-26,192999,2088,22665,8235,4976,1595,1249,415,49,21,13,13,2
2020-12-27,195157,2158,22937,8284,4994,1609,1262,419,49,18,14,13,4
2020-12-28,197465,2308,23328,8330,5011,1623,1276,420,46,17,14,14,1
2020-12-29,200324,2859,24434,8379,5027,1634,1293,425,49,16,11,17,5
2020-12-30,203125,2801,25529,8438,5050,1650,1311,427,59,23,16,18,2
2020-12-31,205650,2525,25723,8479,5059,1660,1332,428,41,9,10,21,1
2021-01-01,208380,2730,26177,8512,5071,1671,1338,432,33,12,11,6,4
2021-01-02,210782,2402,26161,8563,5088,1687,1352,436,51,17,16,14,4
2021-01-03,212945,2163,26545,8605,5103,1696,1368,438,42,15,9,16,2
2021-01-04,215496,2551,27566,8660,5121,1713,1386,440,55,18,17,18,2
2021-01-05,218078,2582,28190,8711,5142,1725,1401,443,51,21,12,15,3
2021-01-06,220942,2864,29078,8766,5156,1743,1421,446,55,14,18,20,3
2021-01-07,223774,2832,29123,8819,5172,1756,1443,448,53,16,13,22,2
2021-01-08,226517,2743,29138,8867,5188,1772,1455,452,48,16,16,12,4
2021-01-09,228523,2006,28554,8917,5202,1787,1471,457,50,14,15,16,5
2021-01-10,230557,2034,28591,8959,5215,1796,1489,459,42,13,9,18,2
2021-01-11,232349,1792,28417,9009,5233,1808,1506,462,50,18,12,17,3
2021-01-12,234536,2187,28231,9059,5249,1821,1524,465,50,16,13,18,3
2021-01-13,236549,2013,27589,9128,5270,1840,1551,467,69,21,19,27,2
2021-01-14,238497,1948,26401,9189,5297,1859,1564,469,61,27,19,13,2
2021-01-15,240377,1880,25425,9238,5314,1874,1580,470,49,17,15,16,1
2021-01-16,242302,1925,24895,9289,5333,1887,1598,471,51,19,13,18,1
2021-01-17,243814,1512,24190,9335,5351,1894,1615,475,46,18,7,17,4
2021-01-18,245152,1338,23271,9391,5370,1913,1632,476,56,19,19,17,1
2021-01-19,246670,1518,22019,9442,5386,1924,1653,479,51,16,11,21,3
2021-01-20,248238,1568,21432,9504,5406,1945,1667,486,62,20,21,14,7
2021-01-21,250034,1796,20472,9554,5420,1962,1682,490,50,14,17,15,4
2021-01-22,251568,1534,19973,9615,5440,1974,1706,495,61,20,12,24,5
2021-01-23,252897,1329,18853,9668,5458,1988,1723,499,53,18,14,17,4
2021-01-24,254061,1164,17929,9727,5474,2003,1747,503,59,16,15,24,4
2021-01-25,255278,1217,16987,9755,5483,2012,1756,504,28,9,9,9,1
2021-01-26,256629,1351,16777,9798,5498,2024,1768,508,43,15,12,12,4
2021-01-27,257902,1273,16450,9843,5516,2041,1778,508,45,18,17,10,0
2021-01-28,259190,1288,15964,9879,5527,2052,1791,509,36,11,11,13,1
2021-01-29,260470,1280,15681,9918,5538,2060,1809,511,39,11,8,18,2
