Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
JFK,1982,Mar,14374,5263,19637
LGA,2006,Jan,30122,1738,31860
EWR,1985,Oct,29431,362,29793
ACY,2012,May,1051,4,1055
EWR,1983,May,16753,214,16967
SWF,2008,May,1234,0,1234
JFK,2014,Jan,17193,12599,29792
JFK,2011,Nov,20046,11396,31442
EWR,2012,Sep,24360,7613,31973
EWR,1978,Oct,13118,265,13383
SWF,2013,Nov,606,2,608
EWR,2009,Feb,23791,6848,30639
LGA,1991,Oct,25707,1448,27155
SWF,2006,Nov,748,10,758
LGA,2010,May,28200,2189,30389
EWR,1986,Feb,25491,271,25762
EWR,2003,Aug,27984,6164,34148
EWR,1990,Oct,28717,1885,30602
JFK,1988,Aug,12427,9446,21873
JFK,1995,Apr,16734,9003,25737
LGA,2000,Aug,28763,1909,30672
EWR,2009,Jul,26816,8547,35363
JFK,2003,Sep,13052,8930,21982
LGA,1996,May,25897,2139,28036
JFK,2011,May,22166,12477,34643
SWF,2012,Dec,648,3,651
JFK,1979,Aug,15520,8182,23702
JFK,1989,Jun,10935,8773,19708
LGA,2009,May,26921,1916,28837
EWR,2013,Mar,25987,8111,34098
LGA,2013,Jan,26918,2739,29657
LGA,1993,Nov,24676,1486,26162
EWR,1994,Mar,32741,2794,35535
LGA,2007,Feb,26912,1523,28435
EWR,1979,Nov,13049,162,13211
LGA,1996,Mar,24989,2023,27012
SWF,2007,Oct,1361,4,1365
LGA,2014,Sep,26667,2815,29482
LGA,2001,Nov,24516,1405,25921
EWR,2014,May,22541,7991,30532
LGA,1980,Nov,19463,0,19463
JFK,1987,Jul,14333,8692,23025
EWR,1982,Oct,13372,155,13527
SWF,2008,Oct,733,4,737
EWR,1981,Oct,14036,118,14154
JFK,2013,Apr,19376,12423,31799
JFK,1987,Jun,13438,7816,21254
LGA,2011,Feb,24815,1554,26369
JFK,1993,Aug,18966,9726,28692
LGA,2008,May,29942,2005,31947
LGA,2009,Aug,28311,1892,30203
LGA,2007,Nov,29336,1664,31000
EWR,2002,Mar,27993,4973,32966
LGA,1985,Jul,27075,185,27260
LGA,1984,Sep,24858,0,24858
