Airport Code,Year,Month,Domestic Flights,International Flights,Total Flights
JFK,1995,Mar,17103,8912,26015
EWR,1993,May,32781,2233,35014
EWR,2010,Oct,27504,7962,35466
JFK,1994,Dec,15572,8813,24385
ACY,2014,Apr,965,4,969
EWR,1978,Mar,12757,237,12994
EWR,1984,Dec,26490,279,26769
SWF,2014,Feb,490,0,490
LGA,1990,Jul,26644,1558,28202
SWF,2009,Mar,642,0,642
SWF,2014,Aug,627,0,627
LGA,1978,Feb,17460,0,17460
EWR,1988,Feb,24808,830,25638
EWR,2008,Sep,25662,7461,33123
JFK,1985,Oct,14653,6947,21600
LGA,1995,Dec,23754,1847,25601
SWF,2009,Sep,658,0,658
EWR,2004,Dec,29681,5811,35492
LGA,1982,Nov,20786,0,20786
EWR,1978,Jul,12322,336,12658
JFK,2008,May,23488,12622,36110
LGA,1998,Dec,27148,2057,29205
LGA,2011,Jun,28507,1830,30337
LGA,1984,Jul,25591,0,25591
EWR,1992,Apr,29965,2079,32044
EWR,1993,Dec,34068,2650,36718
EWR,1995,Apr,29502,2590,32092
LGA,1978,Nov,21704,0,21704
LGA,2005,Dec,30281,1604,31885
JFK,1978,Jul,15515,8374,23889
EWR,1987,Jan,27308,289,27597
LGA,1993,May,25575,1506,27081
EWR,1996,Jul,34780,3657,38437
EWR,1985,Nov,27459,322,27781
JFK,1989,Aug,12747,9279,22026
JFK,1980,Jul,15191,7541,22732
LGA,1987,Aug,28083,124,28207
LGA,2002,Aug,28583,1824,30407
JFK,2012,Jul,21348,14718,36066
EWR,1980,Apr,13069,185,13254
EWR,2002,Jul,28224,5876,34100
LGA,1984,Aug,26316,0,26316
EWR,1996,May,33782,3120,36902
JFK,1999,Jul,18249,11594,29843
EWR,1977,Jun,11073,253,11326
EWR,2013,Jun,25552,8025,33577
LGA,2004,Dec,30408,1826,32234
EWR,1985,Jan,27057,268,27325
JFK,1993,Feb,15258,7283,22541
JFK,2011,Aug,21083,13586,34669
JFK,1995,Sep,17687,9940,27627
EWR,1987,Apr,27282,306,27588
LGA,1980,Aug,22654,0,22654
LGA,1981,Nov,19730,0,19730
LGA,1990,Nov,25003,1495,26498
JFK,1985,Sep,13722,7266,20988
EWR,1986,Nov,27456,331,27787
LGA,2010,Feb,21984,1649,23633
SWF,2006,Dec,844,15,859
JFK,2007,May,25155,11708,36863
LGA,1992,Mar,25150,1470,26620
JFK,2009,Dec,20863,11547,32410
JFK,2011,Apr,21056,12198,33254
EWR,1984,Feb,21706,191,21897
LGA,2007,Dec,27542,1678,29220
EWR,1984,Oct,27015,302,27317
EWR,1995,Feb,28365,2307,30672
LGA,2000,Jun,25901,1808,27709
LGA,2014,Dec,26935,2372,29307
JFK,2000,Mar,17174,10182,27356
EWR,1982,Jun,12816,290,13106
EWR,2008,Feb,24626,6975,31601
EWR,1989,Jun,25369,1544,26913
EWR,1988,Oct,29404,925,30329
EWR,1993,Jan,31039,2285,33324
LGA,1982,Apr,20418,0,20418
JFK,2000,Apr,16206,10109,26315
JFK,2010,Dec,19702,11664,31366
JFK,2002,Sep,14519,9040,23559
JFK,2006,Nov,23192,10174,33366
JFK,1989,Dec,12081,7927,20008
EWR,1983,Apr,15776,231,16007
JFK,1977,Sep,14137,7518,21655
LGA,1990,Feb,23815,1400,25215
JFK,2005,May,18659,9867,28526
JFK,1983,Mar,14952,5463,20415
JFK,1990,Nov,11131,7332,18463
EWR,1989,Jan,27417,1088,28505
LGA,1999,Jan,24473,1767,26240
LGA,1999,Aug,27233,2109,29342
LGA,2012,Nov,26693,2682,29375
LGA,1994,Mar,25092,1534,26626
JFK,1977,Nov,13727,6218,19945
JFK,1978,Apr,14618,6416,21034
SWF,2007,Jun,1429,0,1429
JFK,2002,Nov,14102,8805,22907
JFK,1993,Apr,17326,8148,25474
SWF,2008,Dec,696,0,696
JFK,2007,Mar,24809,11100,35909
LGA,1988,Jan,25232,1217,26449
JFK,1995,Jan,15722,8656,24378
SWF,2012,Jan,744,0,744
JFK,2000,Oct,18880,10455,29335
JFK,1986,Sep,12530,7230,19760
EWR,1996,Feb,28667,2668,31335
SWF,2008,Mar,1635,0,1635
EWR,1991,Nov,27113,1816,28929
EWR,1987,Jul,27358,403,27761
JFK,1990,Jul,12875,9460,22335
LGA,1999,Jun,26428,2046,28474
LGA,1979,Aug,23784,0,23784
EWR,1987,Dec,27741,342,28083
LGA,1996,Dec,24755,2427,27182
LGA,1978,Apr,21362,0,21362
JFK,2013,Jan,19290,12139,31429
LGA,1981,Feb,19233,0,19233
ACY,2013,Sep,746,2,748
JFK,2009,Sep,20357,11614,31971
LGA,2004,Feb,28849,1576,30425
SWF,2009,Nov,627,2,629
SWF,2008,Jan,1584,0,1584
SWF,2009,Feb,595,0,595
LGA,2012,Jun,27908,2326,30234
JFK,1998,Sep,16785,10080,26865
EWR,2007,Jan,28479,6686,35165
ACY,2014,Mar,871,4,875
SWF,2011,Sep,701,0,701
JFK,1999,Oct,17860,10403,28263
LGA,2004,Jan,29091,1549,30640
SWF,2013,Mar,687,0,687
LGA,2005,Mar,30606,2017,32623
EWR,2007,Nov,27316,6930,34246
JFK,2005,Nov,18725,9289,28014
JFK,1987,Feb,11633,5766,17399
ACY,2012,Dec,694,2,696
LGA,1981,Oct,20247,0,20247
LGA,2004,May,30263,1823,32086
LGA,1992,Dec,23237,1345,24582
LGA,2005,Oct,30029,1904,31933
LGA,1985,Jun,25073,177,25250
JFK,1977,Jun,14537,7393,21930
EWR,1996,Oct,35239,3236,38475
EWR,2010,Apr,25601,7892,33493
LGA,1988,Jul,26466,1299,27765
LGA,1984,Nov,25030,0,25030
JFK,1997,Oct,19000,9995,28995
EWR,2014,Jan,22398,7049,29447
JFK,2006,Feb,15478,8538,24016
LGA,1998,Oct,27367,2033,29400
EWR,1989,Aug,28317,1659,29976
LGA,1991,Dec,24101,1410,25511
JFK,1977,Aug,15233,8227,23460
LGA,2002,Sep,27231,1745,28976
SWF,2010,Apr,630,0,630
JFK,1991,Jun,11737,8186,19923
LGA,1981,Apr,23178,0,23178
JFK,2006,Aug,21151,11965,33116
JFK,2013,Mar,20176,12746,32922
EWR,1985,Sep,26850,368,27218
JFK,2003,Dec,14657,8595,23252
JFK,2006,Oct,23416,10767,34183
JFK,1990,Apr,11918,7832,19750
EWR,1984,Mar,23300,232,23532
LGA,1988,Jun,26701,1279,27980
LGA,1990,Mar,26743,1620,28363
LGA,1985,Sep,24726,132,24858
EWR,1997,Dec,32169,4008,36177
LGA,2001,May,32043,1914,33957
EWR,2007,Apr,28113,7301,35414
LGA,1989,May,24831,1340,26171
JFK,2013,Nov,19013,12331,31344
EWR,1993,Aug,34820,2747,37567
JFK,2003,May,12867,8142,21009
LGA,2011,Nov,27443,1893,29336
JFK,1982,Jun,14633,6638,21271
LGA,1994,Dec,25691,1557,27248
EWR,1977,Aug,11635,264,11899
EWR,1983,Feb,13017,173,13190
JFK,1984,Sep,15435,7305,22740
LGA,2009,Feb,24703,1795,26498
EWR,2007,Feb,25070,6291,31361
EWR,1977,Apr,10847,313,11160
EWR,1990,Mar,28005,1589,29594
LGA,1998,Aug,26243,2031,28274
JFK,1996,Oct,19451,9730,29181
SWF,2012,Nov,610,7,617
LGA,1996,Sep,25261,2038,27299
LGA,1977,Dec,20719,0,20719
LGA,1995,Apr,25032,1550,26582
LGA,1992,Apr,24798,1423,26221
SWF,2009,Oct,677,1,678
LGA,1987,Jan,25449,100,25549
JFK,1978,May,14545,6951,21496
EWR,1992,Sep,30133,2338,32471
LGA,1980,Oct,21153,0,21153
JFK,2001,Nov,10932,7725,18657
EWR,1980,Jan,13451,136,13587
EWR,1978,Aug,13117,331,13448
JFK,1977,Jul,15305,8455,23760
EWR,2012,Jan,24328,7949,32277
JFK,2006,May,17918,10535,28453
LGA,2013,Dec,26366,2541,28907
JFK,1988,Apr,13775,7515,21290
JFK,1983,Dec,15442,6137,21579
EWR,2002,Aug,28984,5741,34725
EWR,1986,Mar,29700,350,30050
EWR,2006,Dec,29975,6755,36730
EWR,2006,May,29782,7136,36918
SWF,2014,Dec,623,0,623
JFK,1996,Jan,15222,9122,24344
LGA,2001,Aug,30546,1840,32386
EWR,1979,Aug,13844,304,14148
LGA,2004,Oct,31363,1975,33338
SWF,2009,Dec,658,0,658
JFK,1982,May,14586,6051,20637
JFK,2000,May,17293,10463,27756
JFK,1987,Apr,12323,6577,18900
JFK,2007,Sep,24513,11868,36381
JFK,1985,Jul,15262,8277,23539
LGA,2000,Feb,25674,1816,27490
LGA,2007,Apr,29974,1836,31810
JFK,2002,Jun,14144,9058,23202
EWR,1982,May,12643,235,12878
JFK,1998,Oct,16707,9971,26678
LGA,1987,Apr,27449,120,27569
LGA,1978,Sep,21956,0,21956
EWR,2013,Dec,25784,7100,32884
JFK,1978,Nov,14646,6027,20673
SWF,2010,Jun,640,0,640
EWR,2006,Nov,28677,6273,34950
SWF,2011,Oct,694,0,694
EWR,2011,Mar,26123,8687,34810
LGA,1994,May,25370,1618,26988
JFK,1980,Jun,14301,6860,21161
LGA,1988,Dec,26335,1225,27560
JFK,1985,Feb,12432,5477,17909
LGA,1984,Oct,26361,0,26361
EWR,1982,Nov,13567,161,13728
SWF,2009,Jun,639,0,639
EWR,1983,Nov,21267,180,21447
JFK,2011,Jan,18979,11567,30546
EWR,2010,Dec,23658,7512,31170
JFK,1981,Aug,13616,7160,20776
EWR,1989,Mar,26711,1104,27815
JFK,2012,Aug,21285,14651,35936
JFK,2004,Mar,15150,8676,23826
SWF,2011,Aug,757,0,757
LGA,2011,Oct,28889,1951,30840
LGA,1994,Nov,25165,1547,26712
JFK,2002,Jul,15198,9995,25193
EWR,2004,Nov,29089,5540,34629
EWR,2009,May,26262,7884,34146
LGA,2002,Nov,28385,1610,29995
LGA,1997,Jan,25982,1845,27827
SWF,2013,Jan,614,2,616
LGA,1997,Apr,25592,2010,27602
LGA,1995,Oct,26071,2084,28155
LGA,1994,Sep,25134,1579,26713
JFK,1980,Dec,15588,5769,21357
JFK,1996,Jun,18885,10161,29046
SWF,2014,Jun,604,0,604
LGA,2007,Sep,29446,1778,31224
LGA,1979,Mar,21590,0,21590
EWR,1980,Jul,13702,152,13854
JFK,2004,Jun,15954,9745,25699
JFK,2006,Dec,24099,11088,35187
JFK,2006,Sep,21445,10940,32385
LGA,2012,Aug,28793,3078,31871
JFK,1985,Dec,13844,6628,20472
LGA,1994,Oct,25940,1609,27549
LGA,2003,Mar,28417,1642,30059
LGA,1980,Apr,20126,0,20126
JFK,1986,Aug,13889,7949,21838
EWR,1979,Apr,11619,398,12017
JFK,2003,Jul,13621,10047,23668
EWR,1990,Apr,27791,1813,29604
ACY,2014,Feb,738,2,740
EWR,2013,May,26666,8039,34705
JFK,2011,Dec,20241,12237,32478
SWF,2007,Feb,1137,2,1139
JFK,2014,Mar,19924,13236,33160
JFK,1982,Dec,15050,5407,20457
JFK,1985,Apr,12917,6257,19174
JFK,1999,Mar,17156,9448,26604
ACY,2013,Mar,789,2,791
LGA,1994,Jul,25015,1591,26606
LGA,2005,Jun,29710,2043,31753
EWR,2007,Dec,26989,7237,34226
EWR,1995,Aug,32978,3127,36105
SWF,2014,Nov,565,0,565
EWR,1981,Apr,12874,116,12990
LGA,2005,Sep,30120,1961,32081
ACY,2014,May,1057,2,1059
JFK,1983,Jul,16159,7558,23717
ACY,2013,Dec,728,2,730
LGA,1982,Dec,21381,0,21381
EWR,1998,May,32308,4697,37005
EWR,2010,Nov,24890,7597,32487
JFK,1992,Mar,15255,7671,22926
LGA,1995,Sep,24951,1994,26945
JFK,1981,Jun,15001,6462,21463
EWR,2011,Oct,25470,7777,33247
LGA,1990,Apr,26498,1599,28097
LGA,2005,May,31681,2228,33909
JFK,2007,Feb,20309,9630,29939
LGA,1982,Jan,19326,0,19326
LGA,1999,Oct,27757,2070,29827
LGA,1991,Sep,24047,1427,25474
ACY,2012,Jan,808,0,808
LGA,2014,Apr,27717,2715,30432
LGA,2000,Jan,25244,1845,27089
JFK,1981,May,14689,6327,21016
LGA,2009,Mar,27473,1936,29409
LGA,1991,Jun,24167,1500,25667
EWR,1995,Mar,30769,2675,33444
SWF,2013,Sep,596,0,596
JFK,1984,Feb,14055,5454,19509
EWR,1988,Dec,29338,1011,30349
LGA,1996,Oct,25977,2112,28089
ACY,2012,Aug,1118,2,1120
SWF,2012,Jun,752,0,752
JFK,1981,Dec,13922,5328,19250
EWR,1982,Jan,12226,163,12389
LGA,1995,Mar,25989,1620,27609
LGA,2012,Jan,26961,1961,28922
LGA,2008,Aug,30078,1948,32026
LGA,1977,Jan,19542,0,19542
LGA,1981,Dec,20835,0,20835
EWR,1987,Sep,26435,373,26808
LGA,2010,Dec,25334,1738,27072
JFK,1998,Jul,17826,11265,29091
EWR,2004,Aug,30473,6874,37347
LGA,2012,Dec,26087,2596,28683
JFK,1992,Jun,18041,8668,26709
LGA,2003,Apr,28082,1470,29552
EWR,1990,Jun,27823,2172,29995
LGA,1999,Jul,26220,2000,28220
ACY,2012,Jul,1131,0,1131
EWR,1993,Sep,32010,2615,34625
EWR,2008,May,27932,8425,36357
JFK,1987,Aug,14756,8609,23365
LGA,1979,Jan,20841,0,20841
LGA,1989,Jun,24759,1311,26070
JFK,2010,Jan,20283,11434,31717
JFK,2005,Mar,18222,9738,27960
EWR,1997,Jul,34357,4443,38800
SWF,2006,Mar,755,1,756
EWR,1981,Nov,13442,91,13533
LGA,2008,Jan,29280,1886,31166
LGA,2005,Jul,30247,2129,32376
EWR,2011,Jul,26971,9229,36200
JFK,1977,Jan,13643,6402,20045
EWR,1984,Aug,26425,379,26804
LGA,1994,Jun,24985,1558,26543
LGA,2012,Apr,28610,2003,30613
LGA,1984,Apr,24623,0,24623
EWR,1979,Jun,12768,283,13051
JFK,1986,May,12553,7031,19584
EWR,1983,Jan,14750,156,14906
LGA,1996,Apr,25305,2029,27334
EWR,1995,Oct,31562,2660,34222
LGA,2009,Jan,25946,1773,27719
JFK,1980,Mar,14457,6202,20659
LGA,1982,Aug,23077,0,23077
JFK,2004,Dec,17105,10296,27401
EWR,2009,Nov,24697,6970,31667
LGA,1998,Jul,26586,2036,28622
JFK,2012,Sep,19760,13007,32767
LGA,2014,Oct,28444,2828,31272
SWF,2014,Sep,587,0,587
LGA,1980,Mar,20230,0,20230
JFK,1983,Aug,16594,7312,23906
JFK,1998,Aug,17547,11296,28843
JFK,1997,May,17904,9830,27734
LGA,2003,May,29473,1619,31092
EWR,1984,Nov,25614,255,25869
EWR,1989,Feb,24727,1032,25759
EWR,2012,Apr,26349,8302,34651
JFK,1994,May,19741,8572,28313
LGA,1979,Jul,23110,0,23110
JFK,2014,Aug,23200,16677,39877
LGA,1977,Oct,21465,0,21465
JFK,1991,Mar,10971,6991,17962
JFK,2001,Mar,14708,9670,24378
EWR,1991,Feb,24927,1637,26564
JFK,2002,Aug,15593,10156,25749
LGA,2013,Aug,29366,2950,32316
JFK,1998,Nov,16433,9048,25481
JFK,1983,Jun,14944,6802,21746
JFK,2010,Aug,21955,13987,35942
EWR,1978,Sep,12524,302,12826
LGA,1981,Aug,18984,0,18984
EWR,1989,May,26924,1349,28273
LGA,2014,Jun,27503,2675,30178
JFK,2001,Jan,15015,9447,24462
SWF,2014,Jul,635,4,639
JFK,1979,May,13456,7074,20530
EWR,1993,Feb,27814,1945,29759
LGA,1986,Jun,26300,118,26418
LGA,1980,Dec,20401,0,20401
JFK,2002,Oct,15062,9087,24149
JFK,1984,Apr,14895,6332,21227
JFK,1996,Jul,20081,11087,31168
LGA,2013,Feb,24003,2346,26349
EWR,1986,May,30674,321,30995
ACY,2013,Jul,905,3,908
EWR,1980,May,13112,193,13305
LGA,1987,Oct,28203,122,28325
LGA,1981,Jan,21959,0,21959
EWR,2002,Feb,24874,4519,29393
ACY,2012,Oct,749,2,751
JFK,1983,Feb,12589,4698,17287
EWR,2004,Feb,27212,5318,32530
JFK,2012,Jan,19507,11587,31094
EWR,2002,Sep,26407,5170,31577
EWR,1983,Sep,20422,238,20660
EWR,1982,Dec,14892,173,15065
LGA,2010,Aug,28610,2036,30646
EWR,1981,Jun,14319,150,14469
ACY,2014,Nov,963,0,963
EWR,1986,Oct,30393,320,30713
JFK,1989,Mar,11435,7895,19330
LGA,2009,Jun,26869,1824,28693
EWR,1997,Jun,32691,3952,36643
SWF,2011,Jan,624,0,624
JFK,2003,Nov,13518,8283,21801
LGA,1985,Apr,25242,60,25302
LGA,1996,Feb,22384,1755,24139
LGA,1979,Oct,22787,0,22787
SWF,2010,Jul,650,0,650
EWR,1981,Aug,12888,182,13070
SWF,2010,Oct,670,0,670
EWR,2004,Mar,29950,6016,35966
LGA,2011,Jan,26085,1736,27821
EWR,1986,Dec,28597,360,28957
EWR,1994,Dec,32724,2389,35113
EWR,2006,Jan,27667,6161,33828
LGA,2003,Jun,29110,1635,30745
JFK,1991,May,11745,7592,19337
JFK,2004,Jan,14371,8609,22980
LGA,1986,Nov,25683,120,25803
JFK,1985,Mar,11950,6023,17973
LGA,2004,Aug,30644,2014,32658
EWR,1995,May,29980,2593,32573
EWR,1980,Dec,12588,68,12656
JFK,1988,Oct,11553,8197,19750
JFK,1982,Apr,13690,5462,19152
JFK,2008,Apr,23491,12095,35586
JFK,2008,Nov,22210,11377,33587
JFK,1981,Jan,15777,5720,21497
EWR,1995,Jun,30195,2823,33018
LGA,2013,Jun,27097,2695,29792
JFK,1978,Sep,14848,7375,22223
LGA,2001,Jul,30616,1801,32417
EWR,2003,Sep,25968,5504,31472
EWR,1989,Oct,28645,1374,30019
LGA,2003,Jan,28797,1644,30441
SWF,2012,Feb,714,0,714
ACY,2012,Jun,1065,1,1066
LGA,1986,Mar,26172,120,26292
JFK,1979,Sep,14264,7425,21689
EWR,1980,Mar,13157,160,13317
EWR,1987,Jun,26995,281,27276
LGA,1993,Oct,25701,1579,27280
ACY,2013,Oct,712,3,715
LGA,2011,May,29335,1891,31226
LGA,1997,Jul,26104,1967,28071
JFK,2012,Apr,19935,12129,32064
JFK,1982,Aug,15666,7398,23064
EWR,1993,Nov,32198,2612,34810
JFK,2012,Mar,21143,12344,33487
EWR,2004,May,28791,6048,34839
EWR,2005,Dec,30074,6151,36225
LGA,2014,Jan,23778,2455,26233
JFK,2001,Jul,16169,11168,27337
JFK,2006,Jan,17501,9629,27130
ACY,2012,Sep,834,2,836
LGA,1994,Aug,26198,1631,27829
JFK,1995,Aug,18876,11253,30129
LGA,1988,Mar,27384,1312,28696
SWF,2012,Sep,589,0,589
JFK,2005,Jul,19396,11106,30502
LGA,2012,Oct,26288,2807,29095
LGA,2003,Dec,28124,1459,29583
EWR,1983,Jul,19849,294,20143
JFK,1984,Dec,13996,6348,20344
JFK,1979,Jan,14309,6397,20706
JFK,1994,Oct,17954,8884,26838
JFK,2007,Nov,24343,11236,35579
JFK,2011,Sep,20929,12432,33361
LGA,1983,May,23550,0,23550
EWR,1991,Jul,28315,2111,30426
LGA,1996,Aug,26207,2083,28290
JFK,2005,Aug,19843,10982,30825
EWR,2011,Sep,24808,7728,32536
EWR,2007,Sep,26416,7465,33881
EWR,1979,Jul,13354,298,13652
LGA,2007,May,31287,1949,33236
EWR,1987,Aug,27360,436,27796
EWR,1982,Feb,11502,142,11644
LGA,1977,Mar,20501,0,20501
JFK,2012,Dec,20063,12751,32814
EWR,1994,May,33424,2548,35972
LGA,1979,May,21041,0,21041
JFK,1991,Sep,11126,8282,19408
LGA,2010,Nov,28326,1858,30184
JFK,1996,Aug,20707,11227,31934
EWR,1997,May,32991,3769,36760
EWR,1997,Apr,33643,3445,37088
EWR,1990,Jan,26996,1478,28474
LGA,2008,Nov,26226,1838,28064
LGA,2002,Feb,24346,1165,25511
JFK,1995,Jun,17430,9784,27214
LGA,1984,Feb,21957,0,21957
LGA,2007,Jul,29690,1873,31563
EWR,1984,Jul,25756,391,26147
JFK,1994,Nov,17058,8255,25313
JFK,1987,Sep,13810,7666,21476
LGA,1983,Jun,23835,0,23835
JFK,1986,Feb,12272,5681,17953
JFK,1990,Jan,11953,7945,19898
EWR,1994,Feb,26821,2363,29184
JFK,1997,Jan,17304,9095,26399
JFK,1979,Dec,14460,6206,20666
SWF,2007,Sep,1296,0,1296
LGA,1982,Mar,20913,0,20913
LGA,1977,Sep,20800,0,20800
LGA,2000,Mar,28171,2099,30270
EWR,1977,Dec,11563,190,11753
EWR,1990,May,28076,2056,30132
EWR,2011,Aug,25286,8410,33696
EWR,1985,May,28651,320,28971
EWR,2010,Jun,25440,8420,33860
EWR,1996,Jun,33109,3298,36407
EWR,2004,Sep,27570,5887,33457
EWR,1994,Aug,33818,2792,36610
LGA,1995,Jan,25280,1545,26825
EWR,1977,Jul,11464,270,11734
JFK,1991,Feb,9821,5956,15777
EWR,1991,Sep,27911,1981,29892
JFK,1990,Dec,11234,7860,19094
EWR,1978,Jan,11075,148,11223
JFK,1998,Jun,16266,10278,26544
LGA,1992,Nov,24495,1441,25936
SWF,2012,May,842,0,842
EWR,2011,Nov,25469,7538,33007
EWR,1982,Sep,12945,183,13128
JFK,2000,Jan,15554,9689,25243
EWR,1988,Nov,27116,897,28013
JFK,2004,Oct,17643,9500,27143
EWR,2005,Jul,29008,7575,36583
LGA,2008,Oct,30284,2015,32299
LGA,2013,May,28029,2888,30917
SWF,2012,Aug,827,2,829
JFK,2003,Feb,12261,7698,19959
EWR,1978,May,12173,333,12506
LGA,1986,Dec,27035,103,27138
LGA,2006,Apr,30242,1830,32072
LGA,1989,Jan,26310,1278,27588
JFK,1981,Apr,14932,6074,21006
EWR,2007,Mar,28438,7016,35454
EWR,1979,Sep,12924,277,13201
SWF,2014,May,661,0,661
EWR,1985,Dec,28502,328,28830
LGA,1990,Oct,26536,1561,28097
JFK,1985,Jan,13993,6070,20063
LGA,1977,Feb,18212,0,18212
EWR,2005,Jun,28896,6694,35590
JFK,1986,Nov,11898,6375,18273
JFK,1990,Feb,11155,7189,18344
LGA,2013,Nov,26695,2677,29372
SWF,2012,Oct,619,0,619
EWR,2009,Apr,26454,8178,34632
LGA,1985,Nov,25021,116,25137
JFK,2002,Dec,14463,9319,23782
JFK,2007,Dec,24173,11975,36148
LGA,2013,Mar,27844,2810,30654
JFK,2011,Mar,21683,12567,34250
JFK,1996,May,17978,9778,27756
LGA,1998,Jun,24757,1897,26654
ACY,2013,May,928,3,931
JFK,1985,Nov,13194,6219,19413
EWR,2002,May,27393,5671,33064
LGA,2003,Aug,27996,1681,29677
EWR,1997,Aug,34908,4414,39322
EWR,2011,Jun,26336,8519,34855
JFK,2003,Oct,13922,8853,22775
EWR,1985,Aug,30253,417,30670
JFK,2012,Nov,18802,11830,30632
LGA,1996,Nov,24420,2488,26908
JFK,2013,May,20228,13013,33241
JFK,1987,Nov,12761,6778,19539
EWR,2008,Jan,26599,7399,33998
LGA,1987,Mar,27969,120,28089
LGA,1987,Sep,26969,118,27087
JFK,1997,Nov,17416,9657,27073
JFK,2008,Aug,24300,14184,38484
JFK,2008,Dec,22697,12101,34798
EWR,2013,Jan,24535,7846,32381
LGA,1977,Apr,20117,0,20117
LGA,1977,May,21005,0,21005
JFK,1984,Jan,14507,5884,20391
LGA,2007,Aug,31013,1956,32969
JFK,1980,May,14097,6608,20705
LGA,1993,Jan,25032,1486,26518
EWR,1997,Oct,33741,4161,37902
LGA,1995,Feb,22815,1374,24189
JFK,1983,Apr,14615,5784,20399
EWR,1985,Mar,28494,274,28768
LGA,1984,May,25915,0,25915
JFK,2007,Apr,24441,11163,35604
LGA,1987,Jul,27559,126,27685
JFK,1998,Jan,18206,9656,27862
JFK,1992,Aug,19028,9830,28858
JFK,1981,Sep,13480,6243,19723
EWR,2010,Jan,24560,7832,32392
LGA,1989,Apr,24200,1284,25484
EWR,2006,Feb,25133,5668,30801
LGA,1981,Jul,26231,0,26231
JFK,2004,May,15602,9065,24667
JFK,1980,Sep,13724,6550,20274
LGA,2001,Apr,31356,1791,33147
LGA,1982,May,21599,0,21599
EWR,2008,Nov,26252,6802,33054
JFK,1989,May,11473,8330,19803
JFK,2003,Aug,13327,10015,23342
ACY,2012,Nov,718,2,720
LGA,1982,Oct,21674,0,21674
EWR,1992,Aug,30815,2604,33419
EWR,2005,Feb,25686,5475,31161
EWR,1982,Jul,12906,292,13198
LGA,2003,Feb,23659,1340,24999
JFK,1982,Sep,14428,6529,20957
EWR,1980,Jun,12820,168,12988
JFK,1980,Jan,14781,6155,20936
JFK,2010,Jun,20296,12890,33186
EWR,1997,Mar,33356,3361,36717
EWR,1982,Apr,12347,198,12545
LGA,1977,Nov,20453,0,20453
LGA,1997,Jun,25626,1954,27580
JFK,1989,Jul,11934,9530,21464
EWR,2003,Jun,27417,5830,33247
LGA,1985,Aug,27641,184,27825
JFK,2005,Oct,18573,9846,28419
LGA,1990,Aug,27346,1582,28928
JFK,2012,May,20105,12528,32633
JFK,1977,Dec,14237,6634,20871
LGA,1977,Aug,22065,0,22065
EWR,2003,Jul,28303,6167,34470
LGA,1990,May,26884,1561,28445
LGA,1998,May,25909,1961,27870
JFK,1989,Feb,10607,6927,17534
EWR,1993,Apr,31839,2353,34192
LGA,1985,Oct,27084,121,27205
LGA,2006,Jul,29979,1830,31809
EWR,1980,Aug,13175,140,13315
SWF,2007,May,1405,0,1405
JFK,1993,May,18001,8639,26640
EWR,1996,Mar,30962,3003,33965
EWR,2006,Apr,29324,6679,36003
EWR,2005,May,29349,6304,35653
ACY,2012,Mar,1005,4,1009
LGA,1983,Feb,18721,0,18721
EWR,1987,May,26865,299,27164
LGA,2003,Sep,28474,1618,30092
JFK,1991,Apr,11269,6836,18105
EWR,1986,Apr,29680,337,30017
LGA,1989,Aug,26916,1651,28567
JFK,2008,Jul,24553,14244,38797
JFK,2001,Oct,12166,8353,20519
JFK,2013,Oct,20135,13049,33184
JFK,1986,Dec,12885,6564,19449
LGA,1998,Mar,26717,1971,28688
SWF,2010,Nov,636,0,636
EWR,1979,May,12176,420,12596
SWF,2007,Apr,1295,0,1295
EWR,1994,Apr,32935,2635,35570
EWR,1988,May,26783,827,27610
EWR,1992,Nov,29539,2272,31811
LGA,2001,Feb,27936,1535,29471
EWR,1984,Apr,23344,242,23586
JFK,2009,Jun,23155,12335,35490
JFK,2013,Jun,20317,13769,34086
JFK,2011,Jun,21747,13154,34901
EWR,1982,Aug,13496,292,13788
LGA,1999,Dec,27309,1969,29278
LGA,2011,Dec,26872,1955,28827
EWR,1985,Apr,28104,305,28409
JFK,2005,Sep,18065,9990,28055
JFK,1980,Apr,14088,6104,20192
LGA,2005,Jan,29044,1943,30987
JFK,2012,Oct,18249,11524,29773
JFK,1994,Feb,14717,6843,21560
SWF,2011,Apr,705,7,712
EWR,2002,Jan,26961,4854,31815
JFK,1988,Mar,13782,7437,21219
EWR,2013,Aug,27056,8299,35355
JFK,2004,Aug,18326,11208,29534
LGA,1993,Dec,25202,1528,26730
LGA,1988,May,26638,1318,27956
SWF,2008,Apr,1369,0,1369
LGA,1978,Dec,21333,2,21335
EWR,1980,Nov,12233,116,12349
LGA,1985,Dec,25858,106,25964
LGA,1989,Sep,24671,1680,26351
LGA,1988,Apr,26600,1267,27867
LGA,1987,Nov,26249,117,26366
JFK,1991,Aug,12573,9420,21993
LGA,1978,Jun,22008,0,22008
SWF,2009,Jul,684,0,684
LGA,1989,Dec,25512,1640,27152
LGA,1997,Oct,26867,2053,28920
LGA,2002,May,28016,1605,29621
SWF,2008,Jun,1227,0,1227
LGA,2007,Jan,30578,1699,32277
JFK,1981,Nov,12867,5124,17991
JFK,1983,Nov,15044,5755,20799
EWR,2008,Oct,28480,7429,35909
LGA,2000,Dec,30141,1599,31740
EWR,2001,Sep,23147,4746,27893
EWR,2015,Apr,26181,7884,34065
