Year,OTC (MGD)
1990.0,1904.0
1991.0,1904.0
1992.0,1904.0
1993.0,1904.0
1994.0,1904.0
1995.0,1617.0
1996.0,1617.0
1997.0,1617.0
1998.0,1617.0
1999.0,1617.0
2000.0,1617.0
2001.0,1617.0
2002.0,1617.0
2003.0,1617.0
2004.0,1617.0
2005.0,1571.0
2006.0,1571.0
2007.0,1571.0
2008.0,1571.0
2009.0,1571.0
2010.0,1571.0
2011.0,1571.0
2012.0,1571.0
2013.0,1110.0
2017.0,838.0
2014.0,1110.0
2015.0,838.0
2016.0,838.0
