Geographic ID,Region,County,Route,Road,Milepoint,Latitude,Longitude,Location 1
26210,8,WESTCHESTER,NY9A,Albany Post Rd,45.8988,41.25145866,-73.93169408,"(41.25145866, -73.93169408)"
25163,7,JEFFERSON,NY126,Bridge St,14.0891,43.97256686,-75.6171635,"(43.97256686, -75.6171635)"
40778,10,NASSAU,NY27,Sunrise Hwy,26.0963,40.6682052,-73.5284474,"(40.6682052, -73.5284474)"
20958,5, , , ,0.0,42.07749932,-78.44575474,"(42.07749932, -78.44575474)"
33034,10,NASSAU,NY24,Hempstead Tpke,4.5764,40.70772909,-73.67775342,"(40.70772909, -73.67775342)"
26028,8,WESTCHESTER,NY22,Post Rd,6.9268,40.97827406,-73.80209181,"(40.97827406, -73.80209181)"
38730,10,SUFFOLK,NY25A,Fort Salonga Rd,36.0716,40.89112194,-73.34342273,"(40.89112194, -73.34342273)"
35513,10,NASSAU,NY107,Hicksville Rd,1.4116,40.68687794,-73.47655309,"(40.68687794, -73.47655309)"
41439,11, , , ,0.0,40.65492526,-73.97845967,"(40.65492526, -73.97845967)"
16508,5,ERIE,NY265,Military Rd,2.9178,42.96991224,-78.8870894,"(42.96991224, -78.8870894)"
16140,5, , , ,0.0,42.90001434,-78.48886599,"(42.90001434, -78.48886599)"
14789,5, , , ,0.0,42.89389636,-78.87559244,"(42.89389636, -78.87559244)"
9249,4,MONROE,NY31F,Fairport Rd,0.8096,43.10997548,-77.50503439,"(43.10997548, -77.50503439)"
5013,2,MADISON,US20,Ledyard Ave,229.7186,42.92755922,-75.85931903,"(42.92755922, -75.85931903)"
35259,10,SUFFOLK,NY112,Route 112,3.5812,40.81704927,-73.00000613,"(40.81704927, -73.00000613)"
28316,8,WESTCHESTER,984H,Riverdale Ave,0.1999,40.91574304,-73.90179117,"(40.91574304, -73.90179117)"
13741,4, , , ,0.0,43.18230545,-77.50778987,"(43.18230545, -77.50778987)"
36869,10,NASSAU,NY24,Hempstead Tpke,9.2184,40.71772128,-73.59333583,"(40.71772128, -73.59333583)"
22076,5,ERIE,NY5,Main St,82.2596,42.96515638,-78.69717983,"(42.96515638, -78.69717983)"
37901,10,SUFFOLK,NY25,E Main St,46.0596,40.85544568,-73.17261292,"(40.85544568, -73.17261292)"
2683,1,ALBANY,910B,Wolf Rd,0.262,42.7246795,-73.79859014,"(42.7246795, -73.79859014)"
13604,4, , , ,0.0,42.97444505,-77.37071297,"(42.97444505, -77.37071297)"
3963,2,MONTARIOGOMERY,NY80,River St,126.5593,42.93324972,-74.6187641,"(42.93324972, -74.6187641)"
35139,10,SUFFOLK,NY110,New York Ave,15.3469,40.88247436,-73.4199109,"(40.88247436, -73.4199109)"
34472,10,SUFFOLK,NY25,NY25,97.2828,41.11425576,-72.36744255,"(41.11425576, -72.36744255)"
29673,8,ROCKLAND,NY59,Route 59,6.0621,41.10720467,-74.06950245,"(41.10720467, -74.06950245)"
17350,5,NIAGARA,NY61,Hyde Park Blvd,2.3983,43.11527327,-79.03346522,"(43.11527327, -79.03346522)"
24822,7,ST LAWRENCE,US11,E Main St,216.4443,44.59648753,-75.15711308,"(44.59648753, -75.15711308)"
