OBJECTID,ZCTA5CE10,GEOID10,CohortCount,GradCnt,GradRate,Shape__Area,Shape__Length
60.0,49064.0,2649064.0,57.0,38.0,0.6666667,1.3081911106228E9,240727.857354779
61.0,49043.0,2649043.0,23.0,17.0,0.7391304,9.55920431333984E8,205588.286629485
62.0,48105.0,2648105.0,482.0,441.0,0.9149377,1.41306464538721E9,318228.746545533
63.0,48213.0,2648213.0,19.0,5.0,0.2631579,1.82142527602051E8,78917.9696212648
64.0,48216.0,2648216.0,89.0,51.0,0.5730337,6.18577165915527E7,47805.7357555595
65.0,48221.0,2648221.0,183.0,115.0,0.6284153,1.51987750274902E8,56073.8936891594
66.0,48215.0,2648215.0,26.0,22.0,0.8461539,1.11890119838867E8,49809.3052202122
67.0,48227.0,2648227.0,147.0,138.0,0.9387755,2.09919144952393E8,67699.6889931118
68.0,48128.0,2648128.0,42.0,41.0,0.9761904,6.73512624189453E7,56021.8253804226
69.0,48195.0,2648195.0,467.0,314.0,0.6723769,1.90348453847412E8,57478.8494562434
70.0,48192.0,2648192.0,361.0,283.0,0.7839335,1.51745371079102E8,67308.190393757
71.0,48187.0,2648187.0,1470.0,1424.0,0.9687075,5.04199417114014E8,95169.0796552254
72.0,48225.0,2648225.0,332.0,259.0,0.7801205,7.37767955073242E7,42611.6637975598
73.0,48218.0,2648218.0,157.0,123.0,0.7834395,7.70646715529785E7,48495.8789201814
74.0,48647.0,2648647.0,38.0,29.0,0.7631579,3.99462464599512E9,781707.261765787
75.0,49884.0,2649884.0,0.0,NaN,NaN,8.18699620295313E9,686755.053567585
76.0,49707.0,2649707.0,323.0,264.0,0.8173375,7.19787178803418E9,663613.744429146
77.0,49729.0,2649729.0,19.0,16.0,0.8421053,1.20143369738184E9,257517.18900669
78.0,49730.0,2649730.0,16.0,10.0,0.625,2.61857305652246E9,419706.322350322
79.0,48763.0,2648763.0,87.0,81.0,0.9310345,2.72809572699707E9,454730.567158365
80.0,49946.0,2649946.0,46.0,41.0,0.8913044,8.33643603950781E9,595909.62838272
81.0,48740.0,2648740.0,NaN,NaN,NaN,2.17629760847461E9,363888.810612807
82.0,48762.0,2648762.0,NaN,NaN,NaN,1.26039663447656E9,365090.807579079
83.0,49883.0,2649883.0,NaN,NaN,NaN,7.78923425990039E9,579955.603269233
84.0,49335.0,2649335.0,NaN,NaN,NaN,2.6433791253418E7,26189.0074678001
85.0,49766.0,2649766.0,NaN,NaN,NaN,1.4695989977002E9,311492.063024033
86.0,49713.0,2649713.0,NaN,NaN,NaN,2.78912019788184E9,403892.925858973
87.0,49073.0,2649073.0,NaN,NaN,NaN,1.96788235887646E9,246887.309097267
88.0,49650.0,2649650.0,NaN,NaN,NaN,7.42383100589844E8,165118.495712087
89.0,49102.0,2649102.0,NaN,NaN,NaN,4.49397026130737E8,105205.882574676
90.0,49084.0,2649084.0,NaN,NaN,NaN,526067.923095703,2883.42693928416
91.0,49274.0,2649274.0,NaN,NaN,NaN,1.68814365562769E9,346352.738073711
92.0,49089.0,2649089.0,NaN,NaN,NaN,1.09438515550598E9,219113.968660174
93.0,49755.0,2649755.0,NaN,NaN,NaN,2.95263843544727E9,338448.587928647
94.0,49768.0,2649768.0,NaN,NaN,NaN,5.48476574182422E9,404129.643642846
95.0,48625.0,2648625.0,NaN,NaN,NaN,6.80587205449609E9,606680.762049101
96.0,48873.0,2648873.0,NaN,NaN,NaN,9.38822452071289E8,214209.409658316
97.0,48831.0,2648831.0,NaN,NaN,NaN,2.03571922330371E9,318605.101026238
98.0,48845.0,2648845.0,NaN,NaN,NaN,6.90989481710449E8,210501.740181472
99.0,49815.0,2649815.0,NaN,NaN,NaN,3.33990402392188E9,397738.642193317
100.0,48861.0,2648861.0,NaN,NaN,NaN,6.55692729760742E8,159305.876077543
101.0,48554.0,2648554.0,NaN,NaN,NaN,5073391.35351563,8905.40210313063
102.0,48449.0,2648449.0,NaN,NaN,NaN,7.146659295625E8,152750.416569491
103.0,48807.0,2648807.0,NaN,NaN,NaN,7.79432589348633E8,180620.387840524
104.0,48877.0,2648877.0,NaN,NaN,NaN,9.50640121057617E8,275144.501430975
105.0,49233.0,2649233.0,NaN,NaN,NaN,6.24260899857666E8,168341.430956457
106.0,49917.0,2649917.0,NaN,NaN,NaN,4.81211883769531E7,42347.88016698
107.0,49913.0,2649913.0,NaN,NaN,NaN,2.0106167709707E9,384795.328688641
108.0,49961.0,2649961.0,NaN,NaN,NaN,1.69800509370313E9,289847.221122202
109.0,48759.0,2648759.0,NaN,NaN,NaN,1.43359221993066E9,283953.53197666
110.0,48731.0,2648731.0,NaN,NaN,NaN,1.35782934152539E9,252901.977608773
111.0,48725.0,2648725.0,NaN,NaN,NaN,1.1483656462793E9,260482.867299467
112.0,48825.0,2648825.0,NaN,NaN,NaN,3.53406476831055E7,30639.0270212765
113.0,48743.0,2648743.0,NaN,NaN,NaN,5.78774336660156E7,39433.8362906343
114.0,49915.0,2649915.0,NaN,NaN,NaN,2.51210155898438E7,28284.8807692922
115.0,54554.0,2654554.0,NaN,NaN,NaN,5.7016392046875E7,38413.1013404111
116.0,49277.0,2649277.0,NaN,NaN,NaN,1.00534250188037E9,232474.213733705
117.0,49656.0,2649656.0,NaN,NaN,NaN,3.5409868230791E9,425909.881912547
118.0,49309.0,2649309.0,NaN,NaN,NaN,3.4929276417334E9,392100.819733817
119.0,49688.0,2649688.0,NaN,NaN,NaN,2.70445588072559E9,335041.409791844
120.0,48727.0,2648727.0,NaN,NaN,NaN,6.87071936105957E8,155249.08114461
121.0,49287.0,2649287.0,NaN,NaN,NaN,8.00466652798828E8,177739.029130814
122.0,49238.0,2649238.0,NaN,NaN,NaN,7.93249671150879E8,181431.602845419
123.0,49719.0,2649719.0,NaN,NaN,NaN,2.26920257652148E9,329295.267162949
124.0,48315.0,2648315.0,NaN,NaN,NaN,3.60411852666504E8,88027.2604060708
125.0,49833.0,2649833.0,NaN,NaN,NaN,2.44709534886719E8,127117.497912968
126.0,49332.0,2649332.0,NaN,NaN,NaN,1.35999488708887E9,312616.098769615
127.0,49893.0,2649893.0,NaN,NaN,NaN,2.11606750188184E9,348800.780960024
128.0,49847.0,2649847.0,NaN,NaN,NaN,1.65932444465234E9,221944.443101169
129.0,48157.0,2648157.0,NaN,NaN,NaN,2.67865671888428E7,38013.006288127
130.0,48884.0,2648884.0,NaN,NaN,NaN,1.72190970815674E9,300156.859533866
131.0,48619.0,2648619.0,NaN,NaN,NaN,2.22571225375781E9,302732.491174697
132.0,49457.0,2649457.0,NaN,NaN,NaN,2.26434601468262E9,394633.718717476
133.0,48335.0,2648335.0,NaN,NaN,NaN,2.10177696773926E8,82026.0980742651
134.0,48320.0,2648320.0,NaN,NaN,NaN,3.90432830546875E7,41567.7872641975
135.0,48165.0,2648165.0,NaN,NaN,NaN,2.65856409281738E8,102348.406103998
136.0,48363.0,2648363.0,NaN,NaN,NaN,5.72131537174316E8,113905.093024149
137.0,49912.0,2649912.0,NaN,NaN,NaN,6.04167669960156E9,558756.619800408
138.0,48656.0,2648656.0,NaN,NaN,NaN,3.84569456473145E9,410487.722652742
139.0,48064.0,2648064.0,NaN,NaN,NaN,1.03627991298584E9,128942.849947562
140.0,48454.0,2648454.0,NaN,NaN,NaN,8.40538389151855E8,174110.515396279
141.0,48426.0,2648426.0,NaN,NaN,NaN,1.09484361833301E9,166465.338699579
142.0,49840.0,2649840.0,NaN,NaN,NaN,5.52871588670703E9,516194.574018305
143.0,48230.0,2648230.0,NaN,NaN,NaN,1.22286760471191E8,50549.3631914091
144.0,48745.0,2648745.0,NaN,NaN,NaN,2.09082335216309E9,379972.945481094
145.0,48705.0,2648705.0,NaN,NaN,NaN,2.48008732583301E9,324103.33252248
146.0,49690.0,2649690.0,NaN,NaN,NaN,2.52449314246973E9,358390.457407401
147.0,49648.0,2649648.0,NaN,NaN,NaN,1.36892796718555E9,241936.103364646
148.0,48765.0,2648765.0,NaN,NaN,NaN,1.57040545169141E9,263900.465090285
149.0,49970.0,2649970.0,NaN,NaN,NaN,2.91016758742773E9,350653.871952153
150.0,49861.0,2649861.0,NaN,NaN,NaN,5.89043436826758E9,677708.08384452
151.0,48631.0,2648631.0,NaN,NaN,NaN,9.57218899832031E8,185438.448069587
152.0,49127.0,2649127.0,205.0,190.0,0.9268293,5.15979938429443E8,140992.338860206
153.0,49022.0,2649022.0,216.0,127.0,0.587963,1.99616827120435E9,343473.186620512
154.0,49094.0,2649094.0,67.0,62.0,0.9253731,1.63573581165967E9,254838.580157438
