DataSet,ID,LocationName,Terminal,TerminalLevel,LocationType,Campus,DataExportDateTime,Lat,Long
Defibrillator,56427,Defibrillator,T2,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94079315,-118.40649281
Defibrillator,56428,Defibrillator,T4,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94226912,-118.40712477
Defibrillator,56430,Defibrillator,T7,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94308913,-118.39876176
Defibrillator,56431,Defibrillator,T4,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94030452,-118.40651515
Defibrillator,56432,Defibrillator,T4,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94172824,-118.40689545
Defibrillator,56433,Defibrillator,T4,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94177091,-118.40803456
Defibrillator,56434,Defibrillator,TBIT,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94332109,-118.40981223
Defibrillator,56435,Defibrillator,TBIT,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94336127,-118.41063139
Defibrillator,56436,Defibrillator,TBIT,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94284381,-118.40976195
Defibrillator,56437,Defibrillator,TBIT,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94390534,-118.40994361
Defibrillator,56438,Defibrillator,TBIT,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94320055,-118.40989697
Defibrillator,56440,Defibrillator,TBIT,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94283407,-118.41028166
Defibrillator,56441,Defibrillator,TBIT,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94317311,-118.40894524
Defibrillator,56443,Defibrillator,TBIT,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94288862,-118.40910528
Defibrillator,56444,Defibrillator,TBIT,8.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94382975,-118.41010364
Defibrillator,56445,Defibrillator,TBIT,8.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94250214,-118.40977419
Defibrillator,56446,Defibrillator,T5,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.9426272,-118.40420112
Defibrillator,56364,Defibrillator,T5,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94240018,-118.40519548
Defibrillator,56447,Defibrillator,T5,4.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94126875,-118.40460022
Defibrillator,56449,Defibrillator,T5,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94248579,-118.40559643
Defibrillator,56450,Defibrillator,T5,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.9408121,-118.40440198
Defibrillator,56363,Defibrillator,T5,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.9417187,-118.40442523
Defibrillator,56451,Defibrillator,T8,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94163368,-118.39723052
Defibrillator,56452,Defibrillator,T7,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94299518,-118.39864907
Defibrillator,56453,Defibrillator,T8,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94276676,-118.39746279
Defibrillator,56454,Defibrillator,T7,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94304408,-118.39859214
Defibrillator,56455,Defibrillator,T6,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94079618,-118.40203134
Defibrillator,56456,Defibrillator,T7,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94285985,-118.40067522
Defibrillator,56458,Defibrillator,T6,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94260717,-118.40293915
Defibrillator,56459,Defibrillator,T7,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94157154,-118.39934204
Defibrillator,56460,Defibrillator,T6,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94200851,-118.40223008
Defibrillator,56461,Defibrillator,T7,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94207068,-118.3996412
Defibrillator,56462,Defibrillator,T7,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94130066,-118.39954213
Defibrillator,56463,Defibrillator,T7,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94286193,-118.39968494
Defibrillator,56464,Defibrillator,T6,3.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94257887,-118.40199979
Defibrillator,56465,Defibrillator,T7,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94303468,-118.40017786
Defibrillator,56466,Defibrillator,T6,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94275145,-118.40202739
Defibrillator,56467,Defibrillator,T5,2.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94244339,-118.40471609
Defibrillator,56468,Defibrillator,T6,1.0,Defibrillator,LAX,2019-05-21T00:00:10.707,33.94268212,-118.40211456
