OBJECTID,GlobalID,GEO_ID,TotalPopulation,TotalInPoverty,PercentInPoverty,County_Tri
361,b6a0a1b4-ad8f-4876-aa51-08bf76fe02e1,48047,39530,3409,8.62383000252972,Macomb
362,d3192102-a689-4e84-b136-28a77cb616bc,48045,24679,2805,11.3659386522955,Macomb
363,6941c720-ce08-4ac6-b18d-254c5172b7aa,48397,0,0,,Macomb
381,de1fc0c2-e299-4fe8-a1b3-fba44c808a6b,48340,25337,8530,33.6661798950152,Oakland
382,1abf6643-3cba-4950-8c4e-323ca2f809e8,48220,22760,4388,19.2794376098418,Oakland
383,ca276e55-f06a-4239-bce4-c2b02c7ea43a,48329,24719,2054,8.30939762935394,Oakland
384,f712aff3-2e48-4e51-b3e7-af8baf7f1e25,48076,24924,2774,11.1298346974803,Oakland
385,5b47c163-959b-49c2-9581-4b8dc1d864de,48393,16429,2462,14.9856960253211,Oakland
386,a9dbef06-c7f1-42e2-be70-e89d19f9dd19,48359,8059,1001,12.4208958927907,Oakland
387,9a062d48-e3f9-45bb-9f6f-85399404ceae,48167,22110,1162,5.25554047942108,Wayne
388,0a9b274a-78f2-4a34-a398-61ff3e5679db,48070,6310,114,1.80665610142631,Oakland
405,c8943acb-32da-409d-9ff7-7557fe7b34c4,48207,21382,8895,41.6004115611262,Wayne
406,8e4de485-3b7d-4af9-9ec3-496f34986790,48174,31426,5873,18.6883472284096,Wayne
407,21de1172-cafe-439c-98b3-46ca9f8114ee,48188,41559,2639,6.35000842176183,Wayne
408,2c5efb8b-ca0c-4d9c-9bb1-89ec11ddc1c7,48126,47883,22067,46.0852494622309,Wayne
409,cce49800-5e6c-45a4-9e59-79901bd1aed8,48228,51938,24214,46.6209711579191,Wayne
410,25d89e94-77e3-4bbb-85b9-a79cd8764164,48219,46972,16255,34.6057225581197,Wayne
411,393c9aaf-9633-4912-a7be-6542eace6c00,48203,24833,9690,39.0206579954093,Wayne
412,768290dd-9d3d-47bf-b7d2-38dad191014b,48138,10263,396,3.85852090032154,Wayne
413,332679f0-a1b8-4b1a-8a72-42d338c952c6,48233,0,0,,Wayne
463,e555c6b9-06fc-45b2-b0cc-c2fdb440bce2,48134,20765,2291,11.0329882013003,Wayne
464,2a882fc6-1ccd-4bde-9373-0b483b769391,48111,41555,5652,13.6012513536277,Wayne
470,5438e030-18e7-4285-a61f-a47692e51b96,48341,15717,4435,28.217853279888,Oakland
