OBJECTID,LABEL,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
538,Wyoming,2636570.0,1044.0,539.0,193.0,346.0,505.0,209.0,402.0,642.0,76.0,7.0,0.0,0.0,0.358070500927644,0.413861386138614,0.0727969348659004,0.0067049808429118,310610192.325684,127352.316807292
539,Yale,2636600.0,353.0,145.0,44.0,101.0,208.0,79.0,123.0,230.0,9.0,0.0,0.0,0.0,0.303448275862069,0.379807692307692,0.0254957507082153,0.0,4355334902.29248,517132.106114546
540,Ypsilanti,2636630.0,877.0,452.0,149.0,303.0,425.0,170.0,319.0,558.0,113.0,0.0,0.0,0.0,0.329646017699115,0.4,0.12884834663626,0.0,678927743.195801,167112.322050087
541,Zeeland,2636660.0,567.0,276.0,92.0,184.0,291.0,93.0,185.0,382.0,,0.0,0.0,0.0,0.333333333333333,0.319587628865979,,0.0,2654478150.25098,416496.962048385
542,Oneida Township #3,,,,,,,,,,,,,,,,,,78435028.1113281,90987.8143691601
543,Powell Township,,,,,,,,,,,,,,,,,,5772696911.28711,478748.889485278
544,Sigel Township #3F,,,,,,,,,,,,,,,,,,198148265.587891,97030.5250066002
545,Sigel Township #4F,,,,,,,,,,,,,,,,,,219438463.932617,112393.918058621
546,Verona Township #1F,,,,,,,,,,,,,,,,,,190442592.494141,92093.3036345253
547,Wells Township,,,,,,,,,,,,,,,,,,4219688176.3418,277814.776799151
