Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
CA,"Apr 19 - Apr 24, 2021",19,Statewide,Statewide,39148760,324,42.2,36.66,47.72,0.0,328,19.7,14.89,24.91,0.0,328,23.1,17.88,27.83,0.0,326,17.1,13.14,21.28,0.0,627,22.9,19.22,26.6,0.0,679,27.4,23.65,31.27,0.0,1306,25.2,22.64,27.99,0.0,9865488.0,8863279.0,10957738.0,True,False
CO,"Apr 12 - Apr 23, 2021",19,Statewide,Statewide,5531141,84,12.5,5.6,20.82,0.0,474,12.6,8.64,18.15,0.0,348,13.5,9.62,19.24,0.0,417,4.8,2.64,7.18,0.0,557,12.4,8.42,18.59,0.0,766,11.0,8.01,14.35,0.0,1323,11.7,8.95,15.26,0.0,647143.0,495037.0,844052.0,True,False
CT,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,3581504,165,14.6,8.89,19.84,0.0,380,10.6,7.28,13.78,0.0,371,14.3,10.9,18.27,0.0,377,8.3,5.43,11.45,0.0,532,11.3,8.16,14.48,0.0,761,12.4,9.56,15.07,0.0,1293,11.9,9.99,13.94,0.0,426199.0,357792.0,499262.0,True,False
DC,"Apr 19 -  May 1, 2021",19,Statewide,Statewide,684498,109,39.2,29.74,47.96,0.0,362,20.6,16.35,25.35,0.0,455,22.3,18.3,26.28,0.0,377,11.3,8.19,14.88,0.0,513,25.5,20.5,30.58,0.0,790,20.9,17.5,24.95,0.0,1303,23.1,19.73,26.05,0.0,158119.0,135051.0,178312.0,True,False
DE,"Apr 19 -  May 1, 2021",19,Statewide,Statewide,949495,176,27.3,20.02,33.73,0.0,270,20.4,14.98,25.23,0.0,378,14.1,10.65,17.87,0.0,368,10.9,7.71,14.01,0.0,433,19.3,14.95,23.88,0.0,759,18.5,15.37,21.89,0.0,1192,18.9,16.2,21.59,0.0,179455.0,153818.0,204996.0,True,False
FL,"Apr 20 - Apr 26, 2021",19,Statewide,Statewide,20598139,330,25.6,20.96,30.29,0.0,348,25.3,21.1,30.0,0.0,329,16.9,12.87,20.78,0.0,331,12.2,8.82,15.87,0.0,581,19.5,16.1,23.18,0.0,757,22.6,19.62,25.68,0.0,1338,21.1,19.0,23.56,0.0,4346207.0,3913646.0,4852922.0,True,False
GA,"Apr 19 - Apr 21, 2021",19,Statewide,Statewide,10297484,324,21.5,16.06,26.72,0.0,325,15.9,11.73,20.21,0.0,323,16.7,12.29,21.6,0.0,325,13.3,9.37,17.26,0.0,520,20.6,16.83,24.74,0.0,777,13.6,10.65,16.37,0.0,1297,17.0,14.56,19.64,0.0,1750572.0,1499314.0,2022426.0,True,False
HI,"Apr 14 -  May 1, 2021",19,Statewide,Statewide,1422029,22,777.0,,,,315,2.9,1.02,5.51,0.0,297,2.1,0.36,4.46,0.0,383,0.7,0.0,1.96,1.0,366,4.5,1.24,9.73,0.0,651,1.2,0.26,2.45,0.0,1017,2.9,1.19,5.39,0.0,41239.0,16922.0,76647.0,True,True
IA,"Apr 16 - Apr 30, 2021",19,Statewide,Statewide,3132499,54,777.0,,,,606,12.2,9.52,15.29,0.0,356,16.0,12.29,20.7,0.0,258,13.3,9.32,17.95,0.0,607,15.0,10.68,19.38,0.0,667,16.0,11.8,20.28,0.0,1274,15.5,12.33,18.58,0.0,485537.0,386237.0,582018.0,True,False
ID,"Apr 16 -  May 1, 2021",19,Statewide,Statewide,1687809,59,777.0,,,,501,9.7,6.83,12.96,0.0,301,17.1,12.59,21.8,0.0,445,12.6,8.99,16.42,0.0,511,12.6,8.69,16.64,0.0,795,10.6,7.65,13.9,0.0,1306,11.6,9.22,14.4,0.0,195786.0,155616.0,243044.0,True,False
