State,Year,Month,Period,Indicator,Data Value
MISSISSIPPI,2020.0,October,Monthly,Number of Live Births,3032.0
MISSOURI,2020.0,October,Monthly,Number of Live Births,5790.0
MONTANA,2020.0,October,Monthly,Number of Live Births,868.0
NEBRASKA,2020.0,October,Monthly,Number of Live Births,2069.0
NEVADA,2020.0,October,Monthly,Number of Live Births,2902.0
NEW HAMPSHIRE,2020.0,October,Monthly,Number of Live Births,1022.0
NEW JERSEY,2020.0,October,Monthly,Number of Live Births,7844.0
NEW MEXICO,2020.0,October,Monthly,Number of Live Births,1850.0
NEW YORK,2020.0,October,Monthly,Number of Live Births,17581.0
NORTH CAROLINA,2020.0,October,Monthly,Number of Live Births,9828.0
NORTH DAKOTA,2020.0,October,Monthly,Number of Live Births,833.0
OHIO,2020.0,October,Monthly,Number of Live Births,10760.0
OKLAHOMA,2020.0,October,Monthly,Number of Live Births,4010.0
OREGON,2020.0,October,Monthly,Number of Live Births,3301.0
PENNSYLVANIA,2020.0,October,Monthly,Number of Live Births,11055.0
RHODE ISLAND,2020.0,October,Monthly,Number of Live Births,843.0
SOUTH CAROLINA,2020.0,October,Monthly,Number of Live Births,4691.0
SOUTH DAKOTA,2020.0,October,Monthly,Number of Live Births,853.0
TENNESSEE,2020.0,October,Monthly,Number of Live Births,6592.0
TEXAS,2020.0,October,Monthly,Number of Live Births,31771.0
UTAH,2020.0,October,Monthly,Number of Live Births,3791.0
VERMONT,2020.0,October,Monthly,Number of Live Births,389.0
VIRGINIA,2020.0,October,Monthly,Number of Live Births,8154.0
WASHINGTON,2020.0,October,Monthly,Number of Live Births,7038.0
WEST VIRGINIA,2020.0,October,Monthly,Number of Live Births,1497.0
WISCONSIN,2020.0,October,Monthly,Number of Live Births,4956.0
WYOMING,2020.0,October,Monthly,Number of Live Births,502.0
PUERTO RICO,2020.0,October,Monthly,Number of Live Births,1657.0
ALABAMA,2020.0,November,Monthly,Number of Live Births,4514.0
ALASKA,2020.0,November,Monthly,Number of Live Births,767.0
ARIZONA,2020.0,November,Monthly,Number of Live Births,6173.0
ARKANSAS,2020.0,November,Monthly,Number of Live Births,2732.0
CALIFORNIA,2020.0,November,Monthly,Number of Live Births,33282.0
COLORADO,2020.0,November,Monthly,Number of Live Births,4764.0
CONNECTICUT,2020.0,November,Monthly,Number of Live Births,2533.0
DELAWARE,2020.0,November,Monthly,Number of Live Births,787.0
DISTRICT OF COLUMBIA,2020.0,November,Monthly,Number of Live Births,663.0
FLORIDA,2020.0,November,Monthly,Number of Live Births,17160.0
GEORGIA,2020.0,November,Monthly,Number of Live Births,9605.0
HAWAII,2020.0,November,Monthly,Number of Live Births,1317.0
IDAHO,2020.0,November,Monthly,Number of Live Births,1642.0
ILLINOIS,2020.0,November,Monthly,Number of Live Births,10359.0
INDIANA,2020.0,November,Monthly,Number of Live Births,6053.0
IOWA,2020.0,November,Monthly,Number of Live Births,2745.0
KANSAS,2020.0,November,Monthly,Number of Live Births,2754.0
KENTUCKY,2020.0,November,Monthly,Number of Live Births,4067.0
LOUISIANA,2020.0,November,Monthly,Number of Live Births,4758.0
MAINE,2020.0,November,Monthly,Number of Live Births,887.0
MARYLAND,2020.0,November,Monthly,Number of Live Births,5224.0
MASSACHUSETTS,2020.0,November,Monthly,Number of Live Births,5114.0
MICHIGAN,2020.0,November,Monthly,Number of Live Births,7812.0
MINNESOTA,2020.0,November,Monthly,Number of Live Births,4797.0
MISSISSIPPI,2020.0,November,Monthly,Number of Live Births,2811.0
MISSOURI,2020.0,November,Monthly,Number of Live Births,5151.0
MONTANA,2020.0,November,Monthly,Number of Live Births,828.0
NEBRASKA,2020.0,November,Monthly,Number of Live Births,1876.0
NEVADA,2020.0,November,Monthly,Number of Live Births,2674.0
NEW HAMPSHIRE,2020.0,November,Monthly,Number of Live Births,915.0
NEW JERSEY,2020.0,November,Monthly,Number of Live Births,7771.0
NEW MEXICO,2020.0,November,Monthly,Number of Live Births,1648.0
NEW YORK,2020.0,November,Monthly,Number of Live Births,16038.0
NORTH CAROLINA,2020.0,November,Monthly,Number of Live Births,8870.0
NORTH DAKOTA,2020.0,November,Monthly,Number of Live Births,772.0
OHIO,2020.0,November,Monthly,Number of Live Births,9955.0
OKLAHOMA,2020.0,November,Monthly,Number of Live Births,3759.0
OREGON,2020.0,November,Monthly,Number of Live Births,2978.0
PENNSYLVANIA,2020.0,November,Monthly,Number of Live Births,10207.0
RHODE ISLAND,2020.0,November,Monthly,Number of Live Births,756.0
SOUTH CAROLINA,2020.0,November,Monthly,Number of Live Births,4368.0
SOUTH DAKOTA,2020.0,November,Monthly,Number of Live Births,817.0
TENNESSEE,2020.0,November,Monthly,Number of Live Births,6263.0
TEXAS,2020.0,November,Monthly,Number of Live Births,29630.0
UTAH,2020.0,November,Monthly,Number of Live Births,3364.0
VERMONT,2020.0,November,Monthly,Number of Live Births,339.0
VIRGINIA,2020.0,November,Monthly,Number of Live Births,7395.0
WASHINGTON,2020.0,November,Monthly,Number of Live Births,6343.0
WEST VIRGINIA,2020.0,November,Monthly,Number of Live Births,1389.0
WISCONSIN,2020.0,November,Monthly,Number of Live Births,4440.0
WYOMING,2020.0,November,Monthly,Number of Live Births,429.0
PUERTO RICO,2020.0,November,Monthly,Number of Live Births,1501.0
ALABAMA,2020.0,December,Monthly,Number of Live Births,4863.0
ALASKA,2020.0,December,Monthly,Number of Live Births,805.0
ARIZONA,2020.0,December,Monthly,Number of Live Births,6397.0
ARKANSAS,2020.0,December,Monthly,Number of Live Births,2983.0
CALIFORNIA,2020.0,December,Monthly,Number of Live Births,33039.0
COLORADO,2020.0,December,Monthly,Number of Live Births,4792.0
CONNECTICUT,2020.0,December,Monthly,Number of Live Births,2556.0
DELAWARE,2020.0,December,Monthly,Number of Live Births,846.0
DISTRICT OF COLUMBIA,2020.0,December,Monthly,Number of Live Births,636.0
FLORIDA,2020.0,December,Monthly,Number of Live Births,17724.0
GEORGIA,2020.0,December,Monthly,Number of Live Births,10286.0
HAWAII,2020.0,December,Monthly,Number of Live Births,1255.0
IDAHO,2020.0,December,Monthly,Number of Live Births,1708.0
ILLINOIS,2020.0,December,Monthly,Number of Live Births,10454.0
INDIANA,2020.0,December,Monthly,Number of Live Births,6149.0
IOWA,2020.0,December,Monthly,Number of Live Births,2865.0
KANSAS,2020.0,December,Monthly,Number of Live Births,2787.0
KENTUCKY,2020.0,December,Monthly,Number of Live Births,4301.0
LOUISIANA,2020.0,December,Monthly,Number of Live Births,4905.0
MAINE,2020.0,December,Monthly,Number of Live Births,894.0
MARYLAND,2020.0,December,Monthly,Number of Live Births,5542.0
MASSACHUSETTS,2020.0,December,Monthly,Number of Live Births,4899.0
MICHIGAN,2020.0,December,Monthly,Number of Live Births,7954.0
MINNESOTA,2020.0,December,Monthly,Number of Live Births,4986.0
MISSISSIPPI,2020.0,December,Monthly,Number of Live Births,2949.0
MISSOURI,2020.0,December,Monthly,Number of Live Births,5540.0
MONTANA,2020.0,December,Monthly,Number of Live Births,852.0
NEBRASKA,2020.0,December,Monthly,Number of Live Births,1948.0
NEVADA,2020.0,December,Monthly,Number of Live Births,2740.0
NEW HAMPSHIRE,2020.0,December,Monthly,Number of Live Births,860.0
NEW JERSEY,2020.0,December,Monthly,Number of Live Births,7658.0
NEW MEXICO,2020.0,December,Monthly,Number of Live Births,1752.0
NEW YORK,2020.0,December,Monthly,Number of Live Births,15507.0
NORTH CAROLINA,2020.0,December,Monthly,Number of Live Births,9711.0
NORTH DAKOTA,2020.0,December,Monthly,Number of Live Births,821.0
OHIO,2020.0,December,Monthly,Number of Live Births,10300.0
OKLAHOMA,2020.0,December,Monthly,Number of Live Births,3895.0
OREGON,2020.0,December,Monthly,Number of Live Births,3149.0
PENNSYLVANIA,2020.0,December,Monthly,Number of Live Births,10199.0
RHODE ISLAND,2020.0,December,Monthly,Number of Live Births,747.0
SOUTH CAROLINA,2020.0,December,Monthly,Number of Live Births,4795.0
SOUTH DAKOTA,2020.0,December,Monthly,Number of Live Births,860.0
TENNESSEE,2020.0,December,Monthly,Number of Live Births,6805.0
TEXAS,2020.0,December,Monthly,Number of Live Births,30195.0
UTAH,2020.0,December,Monthly,Number of Live Births,3455.0
VERMONT,2020.0,December,Monthly,Number of Live Births,392.0
VIRGINIA,2020.0,December,Monthly,Number of Live Births,7538.0
WASHINGTON,2020.0,December,Monthly,Number of Live Births,6518.0
WEST VIRGINIA,2020.0,December,Monthly,Number of Live Births,1469.0
WISCONSIN,2020.0,December,Monthly,Number of Live Births,4782.0
WYOMING,2020.0,December,Monthly,Number of Live Births,523.0
PUERTO RICO,2020.0,December,Monthly,Number of Live Births,1545.0
ALABAMA,2021.0,January,Monthly,Number of Live Births,4530.0
ALASKA,2021.0,January,Monthly,Number of Live Births,745.0
ARIZONA,2021.0,January,Monthly,Number of Live Births,6112.0
ARKANSAS,2021.0,January,Monthly,Number of Live Births,2850.0
CALIFORNIA,2021.0,January,Monthly,Number of Live Births,31843.0
COLORADO,2021.0,January,Monthly,Number of Live Births,4653.0
CONNECTICUT,2021.0,January,Monthly,Number of Live Births,2417.0
DELAWARE,2021.0,January,Monthly,Number of Live Births,739.0
DISTRICT OF COLUMBIA,2021.0,January,Monthly,Number of Live Births,658.0
FLORIDA,2021.0,January,Monthly,Number of Live Births,16536.0
GEORGIA,2021.0,January,Monthly,Number of Live Births,9667.0
HAWAII,2021.0,January,Monthly,Number of Live Births,1197.0
IDAHO,2021.0,January,Monthly,Number of Live Births,1680.0
ILLINOIS,2021.0,January,Monthly,Number of Live Births,9752.0
INDIANA,2021.0,January,Monthly,Number of Live Births,6132.0
IOWA,2021.0,January,Monthly,Number of Live Births,2831.0
KANSAS,2021.0,January,Monthly,Number of Live Births,2609.0
KENTUCKY,2021.0,January,Monthly,Number of Live Births,4089.0
LOUISIANA,2021.0,January,Monthly,Number of Live Births,4681.0
MAINE,2021.0,January,Monthly,Number of Live Births,879.0
MARYLAND,2021.0,January,Monthly,Number of Live Births,5179.0
MASSACHUSETTS,2021.0,January,Monthly,Number of Live Births,4900.0
MICHIGAN,2021.0,January,Monthly,Number of Live Births,7675.0
MINNESOTA,2021.0,January,Monthly,Number of Live Births,4646.0
MISSISSIPPI,2021.0,January,Monthly,Number of Live Births,2720.0
MISSOURI,2021.0,January,Monthly,Number of Live Births,5407.0
MONTANA,2021.0,January,Monthly,Number of Live Births,838.0
NEBRASKA,2021.0,January,Monthly,Number of Live Births,1798.0
NEVADA,2021.0,January,Monthly,Number of Live Births,2534.0
NEW HAMPSHIRE,2021.0,January,Monthly,Number of Live Births,868.0
NEW JERSEY,2021.0,January,Monthly,Number of Live Births,7160.0
NEW MEXICO,2021.0,January,Monthly,Number of Live Births,1647.0
NEW YORK,2021.0,January,Monthly,Number of Live Births,15187.0
NORTH CAROLINA,2021.0,January,Monthly,Number of Live Births,9255.0
NORTH DAKOTA,2021.0,January,Monthly,Number of Live Births,780.0
OHIO,2021.0,January,Monthly,Number of Live Births,9859.0
OKLAHOMA,2021.0,January,Monthly,Number of Live Births,3718.0
OREGON,2021.0,January,Monthly,Number of Live Births,3116.0
PENNSYLVANIA,2021.0,January,Monthly,Number of Live Births,10055.0
RHODE ISLAND,2021.0,January,Monthly,Number of Live Births,723.0
SOUTH CAROLINA,2021.0,January,Monthly,Number of Live Births,4562.0
SOUTH DAKOTA,2021.0,January,Monthly,Number of Live Births,896.0
TENNESSEE,2021.0,January,Monthly,Number of Live Births,6331.0
TEXAS,2021.0,January,Monthly,Number of Live Births,28160.0
