Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
North Dakota,04/19/2021,11700.0,11700.0
South Dakota,04/19/2021,12870.0,12870.0
Utah,04/19/2021,40950.0,40950.0
Wyoming,04/19/2021,9360.0,9360.0
Arizona,04/19/2021,102960.0,102960.0
California,04/19/2021,575640.0,575640.0
Hawaii,04/19/2021,22230.0,22230.0
Nevada,04/19/2021,43290.0,43290.0
American Samoa,04/19/2021,0.0,0.0
Guam,04/19/2021,0.0,0.0
Marshall Islands,04/19/2021,0.0,0.0
Micronesia,04/19/2021,0.0,0.0
Mariana Islands,04/19/2021,0.0,0.0
Palau,04/19/2021,0.0,0.0
Alaska,04/19/2021,0.0,0.0
Idaho,04/19/2021,24570.0,24570.0
Oregon,04/19/2021,62010.0,62010.0
Washington,04/19/2021,109980.0,109980.0
Federal Entities,04/19/2021,203580.0,203580.0
Connecticut,04/12/2021,51480.0,51480.0
Maine,04/12/2021,19890.0,19890.0
Massachusetts,04/12/2021,97110.0,97110.0
New Hampshire,04/12/2021,19890.0,19890.0
Rhode Island,04/12/2021,15210.0,15210.0
Vermont,04/12/2021,9360.0,9360.0
New Jersey,04/12/2021,124020.0,124020.0
New York,04/12/2021,156780.0,156780.0
New York City,04/12/2021,119340.0,119340.0
Puerto Rico,04/12/2021,49140.0,49140.0
U.S. Virgin Islands,04/12/2021,2340.0,2340.0
Delaware,04/12/2021,14040.0,14040.0
District of Columbia,04/12/2021,10530.0,10530.0
Maryland,04/12/2021,83070.0,83070.0
Pennsylvania,04/12/2021,159120.0,159120.0
Philadelphia,04/12/2021,22230.0,22230.0
Virginia,04/12/2021,117000.0,117000.0
West Virginia,04/12/2021,26910.0,26910.0
Alabama,04/12/2021,67860.0,67860.0
Florida,04/12/2021,293670.0,293670.0
Georgia,04/12/2021,139230.0,139230.0
Kentucky,04/12/2021,62010.0,62010.0
Mississippi,04/12/2021,40950.0,40950.0
North Carolina,04/12/2021,140400.0,140400.0
South Carolina,04/12/2021,69030.0,69030.0
Tennessee,04/12/2021,92430.0,92430.0
Chicago,04/12/2021,37440.0,37440.0
Illinois,04/12/2021,139230.0,139230.0
Indiana,04/12/2021,91260.0,91260.0
Michigan,04/12/2021,139230.0,139230.0
Minnesota,04/12/2021,76050.0,76050.0
Ohio,04/12/2021,161460.0,161460.0
Wisconsin,04/12/2021,80730.0,80730.0
Arkansas,04/12/2021,40950.0,40950.0
Louisiana,04/12/2021,64350.0,64350.0
New Mexico,04/12/2021,29250.0,29250.0
Oklahoma,04/12/2021,53820.0,53820.0
Texas,04/12/2021,367380.0,367380.0
Iowa,04/12/2021,43290.0,43290.0
Kansas,04/12/2021,39780.0,39780.0
Missouri,04/12/2021,84240.0,84240.0
Nebraska,04/12/2021,26910.0,26910.0
Colorado,04/12/2021,76050.0,76050.0
Montana,04/12/2021,15210.0,15210.0
North Dakota,04/12/2021,10530.0,10530.0
South Dakota,04/12/2021,11700.0,11700.0
Utah,04/12/2021,38610.0,38610.0
Wyoming,04/12/2021,8190.0,8190.0
Arizona,04/12/2021,95940.0,95940.0
California,04/12/2021,535860.0,535860.0
Hawaii,04/12/2021,19890.0,19890.0
Nevada,04/12/2021,40950.0,40950.0
American Samoa,04/12/2021,0.0,0.0
Guam,04/12/2021,0.0,0.0
Marshall Islands,04/12/2021,0.0,0.0
Micronesia,04/12/2021,0.0,0.0
Mariana Islands,04/12/2021,0.0,0.0
Palau,04/12/2021,0.0,0.0
Alaska,04/12/2021,0.0,0.0
Idaho,04/12/2021,23400.0,23400.0
Oregon,04/12/2021,58500.0,58500.0
Washington,04/12/2021,102960.0,102960.0
Federal Entities,04/12/2021,201240.0,201240.0
Connecticut,04/05/2021,50310.0,50310.0
Maine,04/05/2021,19890.0,19890.0
Massachusetts,04/05/2021,95940.0,95940.0
New Hampshire,04/05/2021,19890.0,19890.0
Rhode Island,04/05/2021,15210.0,15210.0
Vermont,04/05/2021,9360.0,9360.0
New Jersey,04/05/2021,120510.0,120510.0
New York,04/05/2021,153270.0,153270.0
New York City,04/05/2021,117000.0,117000.0
Puerto Rico,04/05/2021,47970.0,47970.0
U.S. Virgin Islands,04/05/2021,2340.0,2340.0
Delaware,04/05/2021,14040.0,14040.0
District of Columbia,04/05/2021,10530.0,10530.0
Maryland,04/05/2021,81900.0,81900.0
Pennsylvania,04/05/2021,155610.0,155610.0
Philadelphia,04/05/2021,22230.0,22230.0
Virginia,04/05/2021,114660.0,114660.0
West Virginia,04/05/2021,25740.0,25740.0
Alabama,04/05/2021,66690.0,66690.0
Florida,04/05/2021,286650.0,286650.0
Georgia,04/05/2021,136890.0,136890.0
Kentucky,04/05/2021,60840.0,60840.0
Mississippi,04/05/2021,39780.0,39780.0
North Carolina,04/05/2021,138060.0,138060.0
South Carolina,04/05/2021,67860.0,67860.0
Tennessee,04/05/2021,90090.0,90090.0
Chicago,04/05/2021,37440.0,37440.0
Illinois,04/05/2021,136890.0,136890.0
Indiana,04/05/2021,88920.0,88920.0
Michigan,04/05/2021,135720.0,135720.0
Minnesota,04/05/2021,74880.0,74880.0
Ohio,04/05/2021,157950.0,157950.0
Wisconsin,04/05/2021,79560.0,79560.0
Arkansas,04/05/2021,39780.0,39780.0
Louisiana,04/05/2021,62010.0,62010.0
New Mexico,04/05/2021,29250.0,29250.0
Oklahoma,04/05/2021,52650.0,52650.0
Texas,04/05/2021,359190.0,359190.0
Iowa,04/05/2021,42120.0,42120.0
Kansas,04/05/2021,38610.0,38610.0
Missouri,04/05/2021,83070.0,83070.0
Nebraska,04/05/2021,25740.0,25740.0
Colorado,04/05/2021,74880.0,74880.0
Montana,04/05/2021,15210.0,15210.0
North Dakota,04/05/2021,10530.0,10530.0
South Dakota,04/05/2021,11700.0,11700.0
Utah,04/05/2021,37440.0,37440.0
Wyoming,04/05/2021,8190.0,8190.0
Arizona,04/05/2021,93600.0,93600.0
California,04/05/2021,524160.0,524160.0
Hawaii,04/05/2021,19890.0,19890.0
Nevada,04/05/2021,39780.0,39780.0
American Samoa,04/05/2021,0.0,0.0
Guam,04/05/2021,0.0,0.0
Marshall Islands,04/05/2021,0.0,0.0
Micronesia,04/05/2021,0.0,0.0
Mariana Islands,04/05/2021,0.0,0.0
Palau,04/05/2021,0.0,0.0
Alaska,04/05/2021,0.0,0.0
Idaho,04/05/2021,22230.0,22230.0
Oregon,04/05/2021,57330.0,57330.0
Washington,04/05/2021,100620.0,100620.0
Federal Entities,04/05/2021,243360.0,243360.0
Connecticut,03/29/2021,60840.0,60840.0
Maine,03/29/2021,23400.0,23400.0
Massachusetts,03/29/2021,117000.0,117000.0
New Hampshire,03/29/2021,23400.0,23400.0
Rhode Island,03/29/2021,18720.0,18720.0
Vermont,03/29/2021,11700.0,11700.0
New Jersey,03/29/2021,148590.0,148590.0
New York,03/29/2021,188370.0,188370.0
New York City,03/29/2021,143910.0,143910.0
Puerto Rico,03/29/2021,58500.0,58500.0
U.S. Virgin Islands,03/29/2021,2340.0,2340.0
Delaware,03/29/2021,16380.0,16380.0
District of Columbia,03/29/2021,12870.0,12870.0
Maryland,03/29/2021,100620.0,100620.0
Pennsylvania,03/29/2021,190710.0,190710.0
Philadelphia,03/29/2021,26910.0,26910.0
Virginia,03/29/2021,140400.0,140400.0
West Virginia,03/29/2021,31590.0,31590.0
Alabama,03/29/2021,80730.0,80730.0
Florida,03/29/2021,352170.0,352170.0
Georgia,03/29/2021,167310.0,167310.0
Kentucky,03/29/2021,73710.0,73710.0
Mississippi,03/29/2021,49140.0,49140.0
North Carolina,03/29/2021,168480.0,168480.0
South Carolina,03/29/2021,83070.0,83070.0
Tennessee,03/29/2021,111150.0,111150.0
Chicago,03/29/2021,45630.0,45630.0
Illinois,03/29/2021,167310.0,167310.0
Indiana,03/29/2021,108810.0,108810.0
Michigan,03/29/2021,166140.0,166140.0
Minnesota,03/29/2021,91260.0,91260.0
Ohio,03/29/2021,194220.0,194220.0
Wisconsin,03/29/2021,97110.0,97110.0
Arkansas,03/29/2021,49140.0,49140.0
Louisiana,03/29/2021,77220.0,77220.0
New Mexico,03/29/2021,35100.0,35100.0
Oklahoma,03/29/2021,64350.0,64350.0
Texas,03/29/2021,441090.0,441090.0
Iowa,03/29/2021,51480.0,51480.0
Kansas,03/29/2021,47970.0,47970.0
Missouri,03/29/2021,101790.0,101790.0
Nebraska,03/29/2021,31590.0,31590.0
Colorado,03/29/2021,92430.0,92430.0
Montana,03/29/2021,17550.0,17550.0
North Dakota,03/29/2021,12870.0,12870.0
South Dakota,03/29/2021,14040.0,14040.0
Utah,03/29/2021,46800.0,46800.0
Wyoming,03/29/2021,10530.0,10530.0
Arizona,03/29/2021,114660.0,114660.0
California,03/29/2021,644670.0,644670.0
Hawaii,03/29/2021,24570.0,24570.0
Nevada,03/29/2021,49140.0,49140.0
American Samoa,03/29/2021,11700.0,0.0
Guam,03/29/2021,25740.0,0.0
Marshall Islands,03/29/2021,0.0,0.0
Micronesia,03/29/2021,0.0,0.0
Mariana Islands,03/29/2021,11700.0,0.0
Palau,03/29/2021,0.0,0.0
Alaska,03/29/2021,91260.0,79560.0
Idaho,03/29/2021,26910.0,26910.0
Oregon,03/29/2021,70200.0,70200.0
Washington,03/29/2021,122850.0,122850.0
Federal Entities,03/29/2021,201240.0,201240.0
Connecticut,03/22/2021,50310.0,50310.0
Maine,03/22/2021,19890.0,19890.0
Massachusetts,03/22/2021,95940.0,95940.0
New Hampshire,03/22/2021,19890.0,19890.0
Rhode Island,03/22/2021,15210.0,15210.0
Vermont,03/22/2021,9360.0,9360.0
New Jersey,03/22/2021,120510.0,120510.0
New York,03/22/2021,153270.0,153270.0
New York City,03/22/2021,117000.0,117000.0
Puerto Rico,03/22/2021,47970.0,47970.0
U.S. Virgin Islands,03/22/2021,2340.0,2340.0
Delaware,03/22/2021,14040.0,14040.0
District of Columbia,03/22/2021,10530.0,10530.0
Maryland,03/22/2021,81900.0,81900.0
Pennsylvania,03/22/2021,155610.0,155610.0
Philadelphia,03/22/2021,22230.0,22230.0
Virginia,03/22/2021,114660.0,114660.0
West Virginia,03/22/2021,25740.0,25740.0
Alabama,03/22/2021,66690.0,66690.0
Florida,03/22/2021,286650.0,286650.0
Georgia,03/22/2021,136890.0,136890.0
Kentucky,03/22/2021,60840.0,60840.0
Mississippi,03/22/2021,39780.0,39780.0
North Carolina,03/22/2021,138060.0,138060.0
South Carolina,03/22/2021,67860.0,67860.0
Tennessee,03/22/2021,90090.0,90090.0
Chicago,03/22/2021,37440.0,37440.0
Illinois,03/22/2021,136890.0,136890.0
Indiana,03/22/2021,88920.0,88920.0
Michigan,03/22/2021,135720.0,135720.0
Minnesota,03/22/2021,74880.0,74880.0
Ohio,03/22/2021,157950.0,157950.0
Wisconsin,03/22/2021,79560.0,79560.0
Arkansas,03/22/2021,39780.0,39780.0
Louisiana,03/22/2021,62010.0,62010.0
New Mexico,03/22/2021,29250.0,29250.0
Oklahoma,03/22/2021,52650.0,52650.0
Texas,03/22/2021,359190.0,359190.0
Iowa,03/22/2021,42120.0,42120.0
Kansas,03/22/2021,38610.0,38610.0
Missouri,03/22/2021,83070.0,83070.0
Nebraska,03/22/2021,25740.0,25740.0
Colorado,03/22/2021,74880.0,74880.0
Montana,03/22/2021,15210.0,15210.0
North Dakota,03/22/2021,10530.0,10530.0
South Dakota,03/22/2021,11700.0,11700.0
Utah,03/22/2021,37440.0,37440.0
Wyoming,03/22/2021,8190.0,8190.0
Arizona,03/22/2021,93600.0,93600.0
California,03/22/2021,524160.0,524160.0
Hawaii,03/22/2021,19890.0,19890.0
Nevada,03/22/2021,39780.0,39780.0
American Samoa,03/22/2021,0.0,0.0
Guam,03/22/2021,0.0,0.0
Marshall Islands,03/22/2021,0.0,0.0
Micronesia,03/22/2021,0.0,0.0
Mariana Islands,03/22/2021,0.0,0.0
Palau,03/22/2021,0.0,0.0
Alaska,03/22/2021,0.0,0.0
Idaho,03/22/2021,22230.0,22230.0
Oregon,03/22/2021,57330.0,57330.0
Washington,03/22/2021,100620.0,100620.0
Federal Entities,03/22/2021,195390.0,195390.0
Connecticut,03/15/2021,49140.0,49140.0
Maine,03/15/2021,18720.0,18720.0
Massachusetts,03/15/2021,93600.0,93600.0
New Hampshire,03/15/2021,18720.0,18720.0
Rhode Island,03/15/2021,15210.0,15210.0
Vermont,03/15/2021,9360.0,9360.0
New Jersey,03/15/2021,119340.0,119340.0
New York,03/15/2021,150930.0,150930.0
New York City,03/15/2021,114660.0,114660.0
Puerto Rico,03/15/2021,46800.0,46800.0
U.S. Virgin Islands,03/15/2021,2340.0,2340.0
Delaware,03/15/2021,12870.0,12870.0
District of Columbia,03/15/2021,10530.0,10530.0
Maryland,03/15/2021,80730.0,80730.0
Pennsylvania,03/15/2021,153270.0,153270.0
Philadelphia,03/15/2021,22230.0,22230.0
Virginia,03/15/2021,112320.0,112320.0
West Virginia,03/15/2021,25740.0,25740.0
Alabama,03/15/2021,65520.0,65520.0
Florida,03/15/2021,281970.0,281970.0
Georgia,03/15/2021,134550.0,134550.0
Kentucky,03/15/2021,59670.0,59670.0
Mississippi,03/15/2021,39780.0,39780.0
North Carolina,03/15/2021,135720.0,135720.0
South Carolina,03/15/2021,66690.0,66690.0
Tennessee,03/15/2021,88920.0,88920.0
Chicago,03/15/2021,36270.0,36270.0
Illinois,03/15/2021,134550.0,134550.0
Indiana,03/15/2021,87750.0,87750.0
Michigan,03/15/2021,133380.0,133380.0
Minnesota,03/15/2021,73710.0,73710.0
Ohio,03/15/2021,155610.0,155610.0
Wisconsin,03/15/2021,78390.0,78390.0
Arkansas,03/15/2021,39780.0,39780.0
Louisiana,03/15/2021,62010.0,62010.0
New Mexico,03/15/2021,28080.0,28080.0
Oklahoma,03/15/2021,51480.0,51480.0
Texas,03/15/2021,353340.0,353340.0
Iowa,03/15/2021,42120.0,42120.0
Kansas,03/15/2021,38610.0,38610.0
Missouri,03/15/2021,80730.0,80730.0
Nebraska,03/15/2021,25740.0,25740.0
Colorado,03/15/2021,73710.0,73710.0
Montana,03/15/2021,14040.0,14040.0
North Dakota,03/15/2021,10530.0,10530.0
South Dakota,03/15/2021,11700.0,11700.0
Utah,03/15/2021,37440.0,37440.0
Wyoming,03/15/2021,8190.0,8190.0
Arizona,03/15/2021,92430.0,92430.0
California,03/15/2021,515970.0,515970.0
Hawaii,03/15/2021,19890.0,19890.0
Nevada,03/15/2021,38610.0,38610.0
American Samoa,03/15/2021,0.0,0.0
Guam,03/15/2021,0.0,0.0
Marshall Islands,03/15/2021,0.0,0.0
Micronesia,03/15/2021,0.0,0.0
Mariana Islands,03/15/2021,0.0,0.0
Palau,03/15/2021,0.0,0.0
Alaska,03/15/2021,0.0,0.0
Idaho,03/15/2021,22230.0,22230.0
Oregon,03/15/2021,56160.0,56160.0
Washington,03/15/2021,98280.0,98280.0
Federal Entities,03/15/2021,182520.0,182520.0
Connecticut,03/08/2021,45630.0,45630.0
Maine,03/08/2021,17550.0,17550.0
Massachusetts,03/08/2021,87750.0,87750.0
New Hampshire,03/08/2021,17550.0,17550.0
Rhode Island,03/08/2021,14040.0,14040.0
Vermont,03/08/2021,8190.0,8190.0
New Jersey,03/08/2021,111150.0,111150.0
New York,03/08/2021,140400.0,140400.0
New York City,03/08/2021,106470.0,106470.0
Puerto Rico,03/08/2021,43290.0,43290.0
U.S. Virgin Islands,03/08/2021,2340.0,2340.0
Delaware,03/08/2021,12870.0,12870.0
District of Columbia,03/08/2021,9360.0,9360.0
Maryland,03/08/2021,74880.0,74880.0
Pennsylvania,03/08/2021,141570.0,141570.0
Philadelphia,03/08/2021,19890.0,19890.0
Virginia,03/08/2021,105300.0,105300.0
West Virginia,03/08/2021,23400.0,23400.0
Alabama,03/08/2021,60840.0,60840.0
Florida,03/08/2021,262080.0,262080.0
Georgia,03/08/2021,125190.0,125190.0
Kentucky,03/08/2021,54990.0,54990.0
Mississippi,03/08/2021,36270.0,36270.0
North Carolina,03/08/2021,126360.0,126360.0
South Carolina,03/08/2021,62010.0,62010.0
Tennessee,03/08/2021,83070.0,83070.0
Chicago,03/08/2021,33930.0,33930.0
Illinois,03/08/2021,125190.0,125190.0
Indiana,03/08/2021,80730.0,80730.0
Michigan,03/08/2021,124020.0,124020.0
Minnesota,03/08/2021,67860.0,67860.0
Ohio,03/08/2021,143910.0,143910.0
Wisconsin,03/08/2021,72540.0,72540.0
Arkansas,03/08/2021,37440.0,37440.0
Louisiana,03/08/2021,57330.0,57330.0
New Mexico,03/08/2021,25740.0,25740.0
Oklahoma,03/08/2021,47970.0,47970.0
Texas,03/08/2021,328770.0,328770.0
Iowa,03/08/2021,38610.0,38610.0
Kansas,03/08/2021,35100.0,35100.0
Missouri,03/08/2021,76050.0,76050.0
Nebraska,03/08/2021,23400.0,23400.0
Colorado,03/08/2021,69030.0,69030.0
Montana,03/08/2021,14040.0,14040.0
North Dakota,03/08/2021,10530.0,10530.0
South Dakota,03/08/2021,10530.0,10530.0
Utah,03/08/2021,35100.0,35100.0
Wyoming,03/08/2021,8190.0,8190.0
Arizona,03/08/2021,85410.0,85410.0
California,03/08/2021,479700.0,479700.0
Hawaii,03/08/2021,18720.0,18720.0
Nevada,03/08/2021,36270.0,36270.0
American Samoa,03/08/2021,0.0,0.0
Guam,03/08/2021,0.0,0.0
Marshall Islands,03/08/2021,0.0,0.0
Micronesia,03/08/2021,0.0,0.0
Mariana Islands,03/08/2021,0.0,0.0
Palau,03/08/2021,0.0,0.0
Alaska,03/08/2021,0.0,0.0
Idaho,03/08/2021,19890.0,19890.0
Oregon,03/08/2021,51480.0,51480.0
Washington,03/08/2021,91260.0,91260.0
Federal Entities,03/08/2021,230490.0,221130.0
Alabama,03/01/2021,54990.0,54990.0
Alaska,03/01/2021,53820.0,53820.0
American Samoa,03/01/2021,9360.0,0.0
Arizona,03/01/2021,78390.0,78390.0
Arkansas,03/01/2021,33930.0,33930.0
California,03/01/2021,438750.0,438750.0
Chicago,03/01/2021,31590.0,31590.0
Colorado,03/01/2021,63180.0,63180.0
Connecticut,03/01/2021,42120.0,42120.0
Delaware,03/01/2021,11700.0,11700.0
District of Columbia,03/01/2021,9360.0,9360.0
Federal Entities,03/01/2021,209430.0,190710.0
Florida,03/01/2021,239850.0,239850.0
Georgia,03/01/2021,114660.0,114660.0
Guam,03/01/2021,21060.0,0.0
Hawaii,03/01/2021,16380.0,16380.0
Idaho,03/01/2021,18720.0,18720.0
Illinois,03/01/2021,114660.0,114660.0
Indiana,03/01/2021,74880.0,74880.0
Iowa,03/01/2021,35100.0,35100.0
Kansas,03/01/2021,32760.0,32760.0
Kentucky,03/01/2021,50310.0,50310.0
Louisiana,03/01/2021,52650.0,52650.0
Maine,03/01/2021,16380.0,16380.0
Mariana Islands,03/01/2021,9360.0,0.0
Marshall Islands,03/01/2021,0.0,0.0
Maryland,03/01/2021,69030.0,69030.0
Massachusetts,03/01/2021,79560.0,79560.0
Michigan,03/01/2021,113490.0,113490.0
Micronesia,03/01/2021,0.0,0.0
Minnesota,03/01/2021,62010.0,62010.0
Mississippi,03/01/2021,33930.0,33930.0
Missouri,03/01/2021,69030.0,69030.0
Montana,03/01/2021,12870.0,12870.0
Nebraska,03/01/2021,22230.0,22230.0
Nevada,03/01/2021,33930.0,33930.0
New Hampshire,03/01/2021,16380.0,16380.0
New Jersey,03/01/2021,101790.0,101790.0
New Mexico,03/01/2021,24570.0,24570.0
New York,03/01/2021,128700.0,128700.0
New York City,03/01/2021,98280.0,98280.0
North Carolina,03/01/2021,115830.0,115830.0
North Dakota,03/01/2021,9360.0,9360.0
Ohio,03/01/2021,132210.0,132210.0
Oklahoma,03/01/2021,43290.0,43290.0
Oregon,03/01/2021,47970.0,47970.0
Palau,03/01/2021,0.0,0.0
Pennsylvania,03/01/2021,129870.0,129870.0
Philadelphia,03/01/2021,18720.0,18720.0
Puerto Rico,03/01/2021,39780.0,39780.0
Rhode Island,03/01/2021,12870.0,12870.0
South Carolina,03/01/2021,57330.0,57330.0
South Dakota,03/01/2021,10530.0,10530.0
Tennessee,03/01/2021,76050.0,76050.0
Texas,03/01/2021,300690.0,300690.0
U.S. Virgin Islands,03/01/2021,2340.0,2340.0
Utah,03/01/2021,31590.0,31590.0
Vermont,03/01/2021,8190.0,8190.0
Virginia,03/01/2021,95940.0,95940.0
Washington,03/01/2021,84240.0,84240.0
West Virginia,03/01/2021,22230.0,22230.0
Wisconsin,03/01/2021,66690.0,66690.0
Wyoming,03/01/2021,7020.0,7020.0
Alabama,02/22/2021,47970.0,47970.0
Alaska,02/22/2021,0.0,0.0
American Samoa,02/22/2021,0.0,0.0
Arizona,02/22/2021,69030.0,69030.0
Arkansas,02/22/2021,29250.0,29250.0
California,02/22/2021,382590.0,382590.0
Chicago,02/22/2021,26910.0,26910.0
Colorado,02/22/2021,54990.0,54990.0
Connecticut,02/22/2021,36270.0,36270.0
Delaware,02/22/2021,10530.0,10530.0
District of Columbia,02/22/2021,8190.0,8190.0
Federal Entities,02/22/2021,166140.0,166140.0
Florida,02/22/2021,209430.0,209430.0
Georgia,02/22/2021,99450.0,99450.0
Guam,02/22/2021,0.0,0.0
Hawaii,02/22/2021,15210.0,15210.0
Idaho,02/22/2021,16380.0,16380.0
Illinois,02/22/2021,99450.0,99450.0
Indiana,02/22/2021,64350.0,64350.0
Iowa,02/22/2021,31590.0,31590.0
Kansas,02/22/2021,28080.0,28080.0
Kentucky,02/22/2021,44460.0,44460.0
Louisiana,02/22/2021,45630.0,45630.0
Maine,02/22/2021,14040.0,14040.0
Mariana Islands,02/22/2021,0.0,0.0
Marshall Islands,02/22/2021,0.0,0.0
Maryland,02/22/2021,59670.0,59670.0
Massachusetts,02/22/2021,70200.0,70200.0
Michigan,02/22/2021,99450.0,99450.0
Micronesia,02/22/2021,0.0,0.0
Minnesota,02/22/2021,54990.0,54990.0
Mississippi,02/22/2021,29250.0,29250.0
Missouri,02/22/2021,60840.0,60840.0
Montana,02/22/2021,10530.0,10530.0
Nebraska,02/22/2021,18720.0,18720.0
Nevada,02/22/2021,29250.0,29250.0
New Hampshire,02/22/2021,14040.0,14040.0
New Jersey,02/22/2021,88920.0,88920.0
New Mexico,02/22/2021,21060.0,21060.0
New York,02/22/2021,112320.0,112320.0
New York City,02/22/2021,85410.0,85410.0
North Carolina,02/22/2021,100620.0,100620.0
North Dakota,02/22/2021,8190.0,8190.0
Ohio,02/22/2021,115830.0,115830.0
Oklahoma,02/22/2021,38610.0,38610.0
Oregon,02/22/2021,42120.0,42120.0
Palau,02/22/2021,0.0,0.0
Pennsylvania,02/22/2021,113490.0,113490.0
Philadelphia,02/22/2021,16380.0,16380.0
Puerto Rico,02/22/2021,35100.0,35100.0
Rhode Island,02/22/2021,11700.0,11700.0
South Carolina,02/22/2021,49140.0,49140.0
South Dakota,02/22/2021,9360.0,9360.0
Tennessee,02/22/2021,65520.0,65520.0
Texas,02/22/2021,262080.0,262080.0
U.S. Virgin Islands,02/22/2021,1170.0,1170.0
Utah,02/22/2021,28080.0,28080.0
Vermont,02/22/2021,7020.0,7020.0
Virginia,02/22/2021,84240.0,84240.0
Washington,02/22/2021,73710.0,73710.0
West Virginia,02/22/2021,18720.0,18720.0
Wisconsin,02/22/2021,58500.0,58500.0
Wyoming,02/22/2021,5850.0,5850.0
Alabama,02/15/2021,30225.0,30225.0
Alaska,02/15/2021,0.0,0.0
American Samoa,02/15/2021,0.0,0.0
Arizona,02/15/2021,42900.0,42900.0
Arkansas,02/15/2021,18525.0,18525.0
California,02/15/2021,241800.0,241800.0
Chicago,02/15/2021,17550.0,17550.0
Colorado,02/15/2021,35100.0,35100.0
Connecticut,02/15/2021,23400.0,23400.0
Delaware,02/15/2021,6825.0,6825.0
District of Columbia,02/15/2021,4875.0,4875.0
Federal Entities,02/15/2021,105300.0,105300.0
Florida,02/15/2021,132600.0,132600.0
Georgia,02/15/2021,63375.0,63375.0
Guam,02/15/2021,0.0,0.0
Hawaii,02/15/2021,9750.0,9750.0
Idaho,02/15/2021,10725.0,10725.0
Illinois,02/15/2021,63375.0,63375.0
Indiana,02/15/2021,40950.0,40950.0
Iowa,02/15/2021,19500.0,19500.0
Kansas,02/15/2021,18525.0,18525.0
Kentucky,02/15/2021,28275.0,28275.0
Louisiana,02/15/2021,29250.0,29250.0
Maine,02/15/2021,8775.0,8775.0
Mariana Islands,02/15/2021,0.0,0.0
Marshall Islands,02/15/2021,0.0,0.0
Maryland,02/15/2021,38025.0,38025.0
Massachusetts,02/15/2021,43875.0,43875.0
Michigan,02/15/2021,62400.0,62400.0
Micronesia,02/15/2021,0.0,0.0
Minnesota,02/15/2021,34125.0,34125.0
Mississippi,02/15/2021,18525.0,18525.0
Missouri,02/15/2021,38025.0,38025.0
Montana,02/15/2021,6825.0,6825.0
Nebraska,02/15/2021,11700.0,11700.0
Nevada,02/15/2021,18525.0,18525.0
New Hampshire,02/15/2021,8775.0,8775.0
New Jersey,02/15/2021,55575.0,55575.0
New Mexico,02/15/2021,13650.0,13650.0
New York,02/15/2021,71175.0,71175.0
New York City,02/15/2021,53625.0,53625.0
North Carolina,02/15/2021,63375.0,63375.0
North Dakota,02/15/2021,4875.0,4875.0
Ohio,02/15/2021,73125.0,73125.0
Oklahoma,02/15/2021,24375.0,24375.0
Oregon,02/15/2021,26325.0,26325.0
Palau,02/15/2021,0.0,0.0
Pennsylvania,02/15/2021,71175.0,71175.0
Philadelphia,02/15/2021,10725.0,10725.0
Puerto Rico,02/15/2021,22425.0,22425.0
Rhode Island,02/15/2021,6825.0,6825.0
South Carolina,02/15/2021,31200.0,31200.0
South Dakota,02/15/2021,5850.0,5850.0
Tennessee,02/15/2021,41925.0,41925.0
Texas,02/15/2021,165750.0,165750.0
U.S. Virgin Islands,02/15/2021,975.0,975.0
Utah,02/15/2021,17550.0,17550.0
Vermont,02/15/2021,4875.0,4875.0
Virginia,02/15/2021,52650.0,52650.0
Washington,02/15/2021,46800.0,46800.0
West Virginia,02/15/2021,11700.0,11700.0
Wisconsin,02/15/2021,37050.0,37050.0
Wyoming,02/15/2021,3900.0,3900.0
Alabama,02/08/2021,30225.0,30225.0
Alaska,02/08/2021,0.0,0.0
American Samoa,02/08/2021,0.0,0.0
Arizona,02/08/2021,42900.0,42900.0
Arkansas,02/08/2021,18525.0,18525.0
California,02/08/2021,241800.0,241800.0
Chicago,02/08/2021,17550.0,17550.0
Colorado,02/08/2021,35100.0,35100.0
Connecticut,02/08/2021,23400.0,23400.0
Delaware,02/08/2021,6825.0,6825.0
District of Columbia,02/08/2021,4875.0,4875.0
Federal Entities,02/08/2021,105300.0,105300.0
Florida,02/08/2021,132600.0,132600.0
Georgia,02/08/2021,63375.0,63375.0
Guam,02/08/2021,0.0,0.0
Hawaii,02/08/2021,9750.0,9750.0
Idaho,02/08/2021,10725.0,10725.0
Illinois,02/08/2021,63375.0,63375.0
Indiana,02/08/2021,40950.0,40950.0
Iowa,02/08/2021,19500.0,19500.0
Kansas,02/08/2021,18525.0,18525.0
Kentucky,02/08/2021,28275.0,28275.0
Louisiana,02/08/2021,29250.0,29250.0
Maine,02/08/2021,8775.0,8775.0
Mariana Islands,02/08/2021,0.0,0.0
Marshall Islands,02/08/2021,0.0,0.0
Maryland,02/08/2021,38025.0,38025.0
Massachusetts,02/08/2021,43875.0,43875.0
Michigan,02/08/2021,62400.0,62400.0
Micronesia,02/08/2021,0.0,0.0
Minnesota,02/08/2021,34125.0,34125.0
Mississippi,02/08/2021,18525.0,18525.0
Missouri,02/08/2021,38025.0,38025.0
Montana,02/08/2021,6825.0,6825.0
Nebraska,02/08/2021,11700.0,11700.0
Nevada,02/08/2021,18525.0,18525.0
New Hampshire,02/08/2021,8775.0,8775.0
