Société ,ID projet,ID Concours,Intitulé du projet,Année d'autorisation,Pays de réalisation,Région,EE/OMR,Produit Financier,Type d'intervention : ONG/PrPP/projets,Engagement brut (€),Montant Adaptation (€),Secteur Adaptation,Montant Atténuation (€),Secteur Atténuation
AFD,CRE1735,CRE173508,EHPAD du TAMPON + IMS CI,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,4430000.0,443000.0,"Résilience des villes, des batiments et des infrastructures",443000.0,Programmes d'efficacité énergétique
AFD,CRE1780,CRE178002,Financement partiel du Pôle Déchets Sud,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,55000000.0,0.0,,55000000.0,Programmes d'efficacité énergétique
AFD,CRE1830,CRE183002,BOULANGERIE YONG 2020 - Travaux pour réduire les émissions de GES,2020.0,REUNION,OCN,OM,Financements des entreprises et collectivités (non bonifiés),Projet,2000000.0,0.0,,1820000.0,Promotion des énergies renouvelables
AFD,CTD1204,CTD120401,Approvisionnement en eau potable de NDjaména via la réhabilitation et l'extension des réseaux et le renforcement de la Société Tchadienne des Eaux.,2020.0,TCHAD,AFR,EE,Subventions (dont ONG),Projet,15000000.0,7500000.0,Gestion de la ressource en eau,0.0,
AFD,CTD1231,CTD123101,Initiative Lac Tchad pour le développement territorial du Kanem et du Bahr El Ghazal,2020.0,TCHAD,AFR,EE,Subventions (dont ONG),Projet,7000000.0,2380000.0,Gestion de la ressource en eau,0.0,
AFD,CTG1241,CTG124102,Programme d'Extension de Réseaux Electriques dans les Centres Urbains du Togo,2020.0,TOGO,AFR,EE,Crédits et subventions délégués,Projet,14418000.0,0.0,,14418000.0,Programmes d'efficacité énergétique
AFD,CTN1297,CTN129701,Prêt de politique publique en appui aux réformes pour favoriser la résilience de l'économie tunisienne,2020.0,TUNISIE,AFR,EE,Prêts aux Etats (bonifiés),PrPP,150000000.0,0.0,,12000000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CVN1246,CVN124601,Extension de la ligne 3 du métro de Hanoi,2020.0,VIET-NAM,ORE,EE,Crédits et subventions délégués,Projet,10000000.0,0.0,,9300000.0,Transports collectifs et mobilité
AFD,CYT1192,CYT119201,Financement du budget partiel d'investissement de la commune de Mamoudzou et préfinancements d'opérations d'investissement,2020.0,MAYOTTE,OCN,OM,Financements des entreprises et collectivités (bonifiés),Projet,15000000.0,1500000.0,"Résilience des villes, des batiments et des infrastructures",1050000.0,Programmes d'efficacité énergétique
AFD,CZZ2159,CZZ215902,Projet d'appui au réseau de Surveillance Epidémiologique et de Gestion des Alertes (Réseau SEGA One Health) - Troisième phase (2018 - 2022),2020.0,MULTI-PAYS,OCN,EE,Subventions (dont ONG),Projet,2000000.0,1080000.0,"Autre (santé, éducation, renforcement de capacités)",0.0,
AFD,CZZ2625,CZZ262501,Amélioration de la connaissance du cycle de l'eau sous l'influence des aménagements anthropiques et du changement climatique.,2020.0,MULTI-PAYS,MPE,EE,Subventions (dont ONG),Projet,3000000.0,3000000.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",0.0,
AFD,CZZ2662,CZZ266201,Appui à la Mekong River Commission,2020.0,MULTI-PAYS,ORE,EE,Subventions (dont ONG),Projet,1500000.0,1500000.0,"Prévention et gestion des risques climatiques (inondations, montée des eaux, systèmes d'alerte)",0.0,
AFD,CZZ2891,CZZ289102,Ligne de crédit Climat FIDA,2020.0,MULTI-PAYS,AFR,EE,Financements des entreprises et collectivités (bonifiés),Projet,300000000.0,261000000.0,"intermédiation financière (eau, agriculture, infrastructure)",39000000.0,"Intermédiation financière (ENR, Efficacité energétique, agriculture)"
AFD,CMA1310,CMA131001,Projet d'Amélioration des Performances du Secteur Agricole,2020.0,MAROC,AFR,EE,Subventions (dont ONG),ONG,350000.0,350000.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",,
AFD,CMG1692,CMG169201,Projet Jeunes agriculteurs - Phase 2 (PROJA 2),2020.0,MADAGASCAR,OCN,EE,Subventions (dont ONG),ONG,700000.0,350000.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",350000.0,Agriculture durable et préservation des ressources naturelles
AFD,CML1496,CML149601,"GERES - Groupe Energies Renouvelables, Environnement et Solidarités",2020.0,MALI,AFR,EE,Subventions (dont ONG),ONG,750000.0,,,750000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CZZ2736,CZZ273601,Agroécologie pour la souveraineté alimentaire et l'adaptation au changement climatique en Afrique de l'Ouest -Phase II,2020.0,MULTI-PAYS,AFR,EE,Subventions (dont ONG),ONG,500000.0,250000.0,"Agriculture durable, préservation de l'eau, des sols et de la biodiversité",250000.0,Agriculture durable et préservation des ressources naturelles
AFD,CZZ2841,CZZ284101,La finance inclusive en Afrique face aux défis de la transition écologique et sociale : enjeux et renforcement des capacités des acteurs africains par une offre de formation innovante et adaptée,2020.0,MULTI-PAYS,AFR,EE,Subventions (dont ONG),ONG,650000.0,325000.0,"Autre (santé, éducation, renforcement de capacités)",325000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
PROPARCO,PBF1023,PBF102301,FINANCEMENT CENTRALE SOLAIRE,2020.0,BURKINA FASO,AFR,EE,Financements des entreprises et collectivités (bonifiés),Projet,9300000.0,0.0,,9300000.0,Promotion des énergies renouvelables
PROPARCO,PBR1071,PBR107101,Ligne de crédit verte,2020.0,BRESIL,AML,EE,Financements des entreprises et collectivités (non bonifiés),Projet,85940185.6308,0.0,,85940185.6308,"Intermédiation financière (ENR, Efficacité energétique, agriculture)"
PROPARCO,PUZ1001,PUZ100101,FINANCEMENT CENTRALE SOLAIRE DE 100MW,2020.0,OUZBEKISTAN,ORE,EE,Financements des entreprises et collectivités (bonifiés),Projet,39000000.0,0.0,,39000000.0,Promotion des énergies renouvelables
PROPARCO,PUZ1001,PUZ100105,FINANCEMENT CENTRALE SOLAIRE DE 100MW,2020.0,OUZBEKISTAN,ORE,EE,Financements des entreprises et collectivités (non bonifiés),Projet,1300000.0,0.0,,1300000.0,Promotion des énergies renouvelables
PROPARCO,PVN1042,PVN104201,Prêt senior à une banque pour le financement de projets verts,2020.0,VIET-NAM,ORE,EE,Financements des entreprises et collectivités (non bonifiés),Projet,46112699.4374,0.0,,13833809.8312,"Intermédiation financière (ENR, Efficacité energétique, agriculture)"
AFD,CBF1363,CBF136302,Amélioration et sécurisation de la production agricole,2020.0,BURKINA FASO,AFR,EE,Subventions (dont ONG),Projet,7000000.0,3500000.0,Gestion de la ressource en eau,3500000.0,Agriculture durable et préservation des ressources naturelles
AFD,CBF1408,CBF140801,Projet de Renforcement de la Résilience des Services Publics d'eau potable en contexte de crise,2020.0,BURKINA FASO,AFR,EE,Subventions (dont ONG),Projet,1500000.0,1500000.0,Gestion de la ressource en eau,0.0,
AFD,CBR1121,CBR112101,Appui à la stratégie de financement de la relance durable,2020.0,BRESIL,AML,EE,Financements des entreprises et collectivités (non bonifiés),Projet,20000000.0,0.0,,10000000.0,"Intermédiation financière (ENR, Efficacité energétique, agriculture)"
AFD,CCI1598,CCI159801,"3ème phase du financement « Développement de l'éducation, de la formation, de l'insertion des jeunes » - DEFI 3",2020.0,COTE D IVOIRE,AFR,EE,Prêts aux Etats (bonifiés),Projet,131300000.0,39390000.0,"Autre (santé, éducation, renforcement de capacités)",0.0,
AFD,CCO1081,CCO108102,FINDETER 2 (Financiera de Desarrollo Territorial),2020.0,COLOMBIE,AML,EE,Financements des entreprises et collectivités (bonifiés),Projet,150000000.0,27000000.0,"Autre (santé, éducation, renforcement de capacités)",33000000.0,"Autre (déchets, assainissement, éducation, renforcement de capacités)"
AFD,CEG1096,CEG109602,Refondation de l'Université Française d'Egypte,2020.0,EGYPTE,AFR,EE,Subventions (dont ONG),Projet,2000000.0,0.0,,140000.0,Programmes d'efficacité énergétique
AFD,CEG1124,CEG112401,Prêt de politique publique au secteur de la protection sociale - Phase 2,2020.0,EGYPTE,AFR,EE,Prêts aux Etats (bonifiés),Projet,150000000.0,9000000.0,"Résilience des villes, des batiments et des infrastructures",0.0,
