empty,Id Loi,Id SIRP,Libellé,Unité/Type,2020,2019,2018,Valeur 2017,Valeur 2016,Valeur 2015,Valeur 2014,Valeur 2013,Valeur 2012
SECTEUR BANCAIRE,,EE38,Emploi concerné,Nb emplois,72546.0,229843.0,109206.0,8754.0,,,,,
SECTEUR BANCAIRE,,EE41,Nb pers. concernées par opé crédit,Nb de pers.,11989.0,2724330.0,5344.0,30.0,,,,,
SECTEUR BANCAIRE,,EE42,Tx femme opé crédit,Pourcentage,364.0,0.64,0.0,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE157,Nombre de personnes en situation de vulnérabilité appuyées,Nb de pers.,167247.0,305618.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE163,dont Nb de femmes habitant un territoire bénéficiant d'une action de conservation/restauration de la biodiversité,Nb de pers.,0.0,0.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE167,Superficies en conversion vers des systèmes agroécologiques,Hectares,30539.0,1005.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE168,"Nombre de personnes dont les conditions d’accès aux équipements, infrastructures et services de base ont été améliorées de manière pérenne",Nb de pers.,2727823.0,758135.0,,,,,,,
DEVELOPPEMENT RURAL,,EE47,Surface agricole créée ou dont l'exploitation est appuyée,Hectares,,,37463.0,2430.0,,,,,
DEVELOPPEMENT URBAIN,,EE91,"Nombre de personnes bénéficiant d'une amélioration des services essentiels (eau, assainissement, énergie, gestion des déchets)",Nb de personnes,7043555.0,5272431.0,990035.0,,,,,,
DEVELOPPEMENT URBAIN,,EE92,"Nombre de personnes dont les conditions d'habitation, d'accès aux espaces publics ou aux équipements urbains socio-collectifs ont été améliorées",Nb de personnes,10593007.0,10832946.0,812000.0,,,,,,
DEVELOPPEMENT URBAIN,,EE93,Nombre de personnes dont les activités génératrices de revenus ou l'emploi ont été soutenus,Nb de personnes,112743.0,114510.0,2222.0,,,,,,
EAU ET ASSAINISSEMENT,,EE74,Nombre de personnes bénéficiant d'un service élémentaire d’alimentation en eau potable,Nb de personnes,3280105.0,781164.0,229138.0,,,,,,
EAU ET ASSAINISSEMENT,,EE8,Capacité traitement eaux usées,Equiv.Hab / jour,758487.0,866031.0,372500.0,240107.0,,,,,
EDUCATION,,,EE63 Dont filles,Nb de pers. / an,,,,396469.195,425570.62709,661685.7,395067.36,229612.74,316567.68
EDUCATION,,EE71,Nombre de garçons scolarisés au primaire et au collège,Nb d’élèves / an,1428197.0,1271214.0,486963.352842,,,,,,
EMPLOI,,EE111,Nombre d’individus bénéficiaires de services et programmes d’emploi et d’insertion soutenus par l’AFD (hors entrepreneuriat),Nb de pers.,7043.0,2455.0,,,,,,,
ENERGIE,Loi 04,EE86,Nombre de personnes gagnant accès à des services électriques durables,Nb de personnes,2093870.0,5150003.0,173615.0,,,,,,
ENERGIE,,EE18,Puissance énerg renouvelable,Mégawatt,,818.56,230.13,300.57,,,,,
ENERGIE,,EE197,Capacités de stockage installées (en MW),Mw,0.0,,,,,,,,
ENSEIGNEMENT SUPERIEUR,,EE700,Nb de bénéficiaires des formations soutenues,Nb individus,999.0,,,,,,,,
ENSEIGNEMENT SUPERIEUR,,EE702,Nb accréd qualité internat. décernée form soutenue,Nb accréditations,0.0,,,,,,,,
ENVIRONNEMENT GESTION DES RESSOURCES NATURELLES,,EE98,"Superficies bénéficiant de pgme de conservation, restauration ou gestion durable de la biodiversité type 3 (dvpt territoires cultivés ou transformés, avec obj conservation biodiversité)",TYPE 3,,,0.0,0.0,,,50000.0,2000000.0,
FORMATION PROFESSIONNELLE,,EE30,Tx femmes dans formation prof.,Pourcentage,,0.182766153846,704.08,,,,,,
FORMATION PROFESSIONNELLE,,EE88,Capacité d’accueil des dispositifs de formation professionnelle soutenus par l’AFD,Nb de personnes,17574.0,41686.0,20802.0,,,,,,
FORMATION PROFESSIONNELLE,,EE179,"NB filières créées, réhabilitées ou équipés ou acc",Nb filières en fonctionnement,58.0,,,,,,,,
GOUVERNANCE,Loi 15,EE156,Nombre d'institutions bénéficiaires d'action de renforcement de capacité,Nb institution,,29.0,,,,,,,
GOUVERNANCE,,EE175,Nb instit° bénéf action renforct capacité (Minis.),Nb institutions,49.0,,,,,,,,
GOUVERNANCE,,EE177,Nb cadres normatifs adoptés suite à appui techniq.,Nb Cadre normatif adopté,10.0,,,,,,,,
Industries Culturelles et créatives,,EE714,Nb actions contributives mise en place cadre norm.,Nb actions,1.0,,,,,,,,
OSC,,EE190,"Nb partenaires de la SC, formels ou informels, imp",Nb partenaires,32.0,,,,,,,,
OSC,,EE191,Dont Nb partenaires financés (avec rétrocessions),Nb partenaires,32.0,,,,,,,,
SANTE,Loi 12,EE80,Nombre de personnes dont l'accès aux soins a été amélioré,Nb de pers.,16676481.0,34991327.0,14589182.0,61977014.0,13800000.0,,,,
SANTE,,EE33,Nb d'enfants vaccinés,Nb de pers.,0.0,3800000.0,3800000.0,,,,,,
SYSTEMES FINANCIERS,,EE110,Montant des financements accordés au système financier local,Euros,876029173.0,404179421.0,,,,,,,
SYSTEMES FINANCIERS,,EE43,Vol. financements de microfin. & serv. fin. aux particuliers,Euros,15000000.0,53000000.0,0.0,,,,,,
TRANSPORT,Loi 03,EE11,Nb.passagers transport commun sur tronçon financé,Nb de pers.,1009500.0,3269400.0,385558.0,38000.0,246000.0,480000.0,605000.0,110000.0,130000.0
TRANSPORT,,EE14,Volume de fret transitant par les pôles de transport,Tonnes / an,97757000.0,10780000.0,4000000.0,21200000.0,,,,,
TRANSPORT,,EE89,Nombre de personnes bénéficiant d’un accès amélioré à un transport durable urbain,Nb de personnes,2587996.0,0.0,636.0,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE158,dont nombre de femmes en situation de vulnérabilité appuyées,Nb de pers.,47717.0,79047.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE161,dont Nb de femmes dont les capacités ont été renforcées grâce à un meilleur accès aux services du secteur agricole,Nb de pers.,59558.0,9655.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE162,Nombre d'habitants d'un territoire bénéficiant d'une action de conservation/restauration de la biodiversité,Nb de pers.,153011.0,84400.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",,EE169,"dont Nb de femmes  dont les conditions d’accès aux équipements, infrastructures et services de base ont été améliorées de manière pérenne",Nb de pers.,1108500.0,15813.0,,,,,,,
"AGRICULTURE, DÉVELOPPEMENT RURAL, RESSOURCES NATURELLES, BIODIVERSITÉ",Loi 02,EE164,Superficies bénéficiant de programmes de conservation/ restauration de la biodiversité,Hectares,13599917.0,9395632.0,,,,,,,
DEVELOPPEMENT RURAL,Loi 01,EE99,Nombre d'exploitations agricoles familiales  soutenues type 1 (nombre d’EAF bénéficiaires clairement  défini),TYPE 1,,,197844.0,228886.0,650000.0,702000.0,550000.0,878000.0,885000.0
DEVELOPPEMENT RURAL,,EE44,Pop bénéf proj agri ou irrig,Nb de pers.,,,125820.0,142598.0,,,,,
DEVELOPPEMENT URBAIN,,EE95,Nombre de structures intervenant dans le secteur urbain ayant bénéficié d'un renforcement de capacités,Nb structures,1925.0,1235.0,557.0,,,,,,
EAU ET ASSAINISSEMENT,,EE72,Nombre de personnes bénéficiant d'un service d’alimentation en eau potable géré en toute sécurité,Nb de personnes,3565010.0,4222998.0,826823.0,,,,,,
