ID projet,Titre ,Secteur CICID,Agence,Bénéficaire,Pays,Région,Latitude,Longitude,Lien vers fiche de performance,Commentaires,Autorisation de publication,point_geographique
CCM1159/3017,Initiative PPTE dans le domaine de l'éducation au Cameroun,Education,AGENCE DE YAOUNDE,REPUBLIQUE DU CAMEROUN,CAMEROUN,Afrique Sub-saharienne,3.873659,11.0,https://www.afd.fr/sites/afd/files/2019-05-10-57-57/fiche-performance-CCM1159-c2d-education-cameroun.pdf,,OUI,"3.873659,11.0"
CZZ3056,Appui CSRP,Environnement et ressources naturelles,AGENCE DE DAKAR,CSRP,MULTI-PAYS,Afrique Sub-saharienne,14.6633857,-17.4396603,https://www.afd.fr/fr/ressources/resume-evaluation-interventions-aires-protegees-afd-et-ffem-conservation-et-developpement,,OUI,"14.6633857,-17.4396603"
CCM3005,Réduire la pauvreté en milieu rural et appuyer le processus de décentralisation,Agriculture et sécurité alimentaire,AGENCE DE YAOUNDE,REPUBLIQUE DU CAMEROUN,CAMEROUN,Afrique Sub-saharienne,3.873659,11.0,https://www.afd.fr/sites/afd/files/2019-12-10-14-27/resume-evaluation-cameroun-programme-national-developpement-participatif-CCM3005-CCM1253.pdf,,OUI,"3.873659,11.0"
CCM6015,"Programme d'appui à la rénovation et au développement de la formation professionnelle dans les secteurs de l'agriculture, de l'élevage et de la pêche",Agriculture et sécurité alimentaire,AGENCE DE YAOUNDE,REPUBLIQUE DU CAMEROUN,CAMEROUN,Afrique Sub-saharienne,3.873659,11.0,https://www.afd.fr/sites/afd/files/2019-12-10-40-40/resume-evaluation-programme-appui-renovation-et-developpement-formation-professionnelle-agriculture-elevage-peche-afop-c2d-cameroun-CCM6015.pdf,,OUI,"3.873659,11.0"
CCN1028,Réseau de chauffage urbain à Taiyuan,Environnement et ressources naturelles,AGENCE DE PEKIN,REPUBLIQUE POPULAIRE DE CHINE,CHINE,Asie,39.904667,116.408198,https://www.afd.fr/sites/afd/files/2019-04-04-39-06/CCN1028-evaluation-summary-china-environmental-policy-administrative-management.pdf,,OUI,"39.904667,116.408198"
CID1025,Développement d'insfrastructures de surveillance océanographique,Environnement et ressources naturelles,AGENCE DE JAKARTA,Republic of Indonesia,INDONESIE,Asie,-6.21569,106.83406,https://www.afd.fr/sites/afd/files/2019-04-09-33-47/CID1025-evaluation-summary-indonesia-natural-resources-environment.pdf,,OUI,"-6.21569,106.83406"
CJO3008,Extension de l'optimisation de l'irrigation dans la vallée du Jourdain - IOJoV,Agriculture et sécurité alimentaire,AGENCE D'AMMAN,ROYAUME DE JORDANIE,JORDANIE,Méditerranée,31.0,35.0,https://www.afd.fr/sites/afd/files/2019-12-11-39-14/evaluation-summary-irrigation-optimization-jordan-valley-project-iojov-CJO3008.pdf,,OUI,"31.0,35.0"
,Prêt de 150 millions d'euros de politique publique sectorielle en appui au renforcement des performances techniques et financières du secteur de l'eau en Jordanie,Eau et assainissement,AGENCE D'AMMAN,ROYAUME DE JORDANIE,JORDANIE,Méditerranée,31.0,35.0,https://www.afd.fr/sites/afd/files/2019-07-09-53-49/wspl-jordan-afd-kfw-joint-interim-evaluation.pdf,,,"31.0,35.0"
CKE1032,Ligne de crédit concessionnelle investissements efficacité énergétique et énergie renouvelable,Environnement et ressources naturelles,AGENCE DE NAIROBI,REPUBLIQUE DU KENYA,KENYA,Afrique Sub-saharienne,-1.274359,36.0,https://www.afd.fr/sites/afd/files/2019-04-09-35-01/CKE1032-evaluation-summary-kenya-productive-financial-sector.pdf,,-,"-1.274359,36.0"
CMG3004 et 1253,Evaluation PRCC 1 et 2 - Outils pour la promotion des exportations malgaches,Secteur productif,AGENCE D'ANTANANARIVO,REPUBLIQUE DE MADAGASCAR,MADAGASCAR,Afrique Sub-saharienne,-18.913503,47.5293392,https://www.afd.fr/fr/ressources/resume-devaluation-programmes-de-renforcement-des-capacites-commerciales-1-et-2-prcc-madagascar,,OUI,"-18.913503,47.5293392"
CML6006,Projet d’alimentation en eau potable et d’assainissement de centres semi-urbains du sud Mali – Phase 2,Eau et assainissement,AGENCE DE BAMAKO,REPUBLIQUE DU MALI,MALI,Afrique Sub-saharienne,12.0,-7.0,https://www.afd.fr/sites/afd/files/2019-12-03-27-34/resume-evaluation-projet-alimentation-eau-potable%20-assainissement-centres-semi-urbains-sud-mali-phase-2-CML6006.pdf,,OUI,"12.0,-7.0"
CMU1021,"instances Aide programme environnement - Maurice, Ile Durable",Environnement et ressources naturelles,AGENCE DE PORT LOUIS,REPUBLIQUE DE MAURICE,MAURICE,Afrique Sub-saharienne,-20.165279,57.49638,https://www.afd.fr/sites/afd/files/2019-04-04-40-50/CMU1021-resume-evaluation-maurice-environnement-gestion-administrative.pdf,,OUI,"-20.165279,57.49638"
CMU1062,Appui budgétaire énergie verte,Infrastructures et développement urbain,AGENCE DE PORT LOUIS,REPUBLIQUE DE MAURICE,MAURICE,Afrique Sub-saharienne,-20.165279,57.49638,https://www.afd.fr/sites/afd/files/2019-04-04-42-00/CMU1062-resume-evaluation-maurice-environnement-gestion-administrative.pdf,,OUI,"-20.165279,57.49638"
