DfE code,School Name,Type,Financial year,I01,I02,I03,I04,I05,I06,I07,I08a,I08b,I09,I10,I11,I12,I13,I15,I16,I17,I18,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28a,E28b,E29,E30,E31,E32,CI01,CI03, CI04,DeMinimis,CE01,CE02,CE03,CE04,OB01,OB02,OB03,B01,B02,B03,B05,B06
7010,Highbury School,Special primary,2019/20,797758.0,0,1186437.0,0,87560.01,0.0,68204.64,0.0,53992.62,6949.98,5071.96,34700.78,810.0,13445.55,0,0.0,0.0,22041.0,609989.71,33541.13,955015.57,67144.6,44288.05,0.0,14178.07,14993.86,12776.35,27031.25,21734.66,145126.55,738.49,43.8,5476.93,38133.19,0.0,34199.75,59031.81,30101.34,0.0,14370.09,9140.83,0.0,33090.65,36181.99,10033.75,24256.1,0.0,0.0,0.0,0.0,0.0,56498.0,0.0,0.0,1,0.0,91303.25,0.0,0.0,201852.55,0.0,34806.25,238205.57,0.0,1.0,0.0,0.0
2050,Holywell Green Primary School,Primary,2019/20,869245.63,0,4387.08,0,74820.0,0.0,4949.64,73848.24,0.0,28405.78,0.0,281.6,5988.83,7562.81,0,0.0,0.0,42186.0,526194.29,22198.17,146368.04,23980.8,55072.64,0.0,83220.17,3338.38,6288.25,7021.0,1120.75,7995.65,3564.0,16624.93,5390.61,19971.92,17399.34,7893.03,68171.84,13820.79,0.0,4674.02,10508.55,0.0,73031.5,8204.42,5190.0,8347.8,0.0,0.0,0.0,0.0,0.0,6423.0,0.0,0.0,1,0.0,0.0,0.0,0.0,111654.19,0.0,27419.97,77738.91,0.0,33842.97,0.0,0.0
2010,Lee Mount Primary School,Primary,2019/20,1519475.44,0,23586.18,0,163460.01,0.0,29251.9,0.0,23947.4,16263.93,52832.8,11131.15,8650.26,6600.99,0,0.0,0.0,63860.0,868107.86,100.6,349640.16,24298.02,88155.3,31205.78,29037.13,8217.37,4228.38,2795.22,18884.41,61913.78,1151.47,34657.85,5577.49,26775.05,20833.73,10787.4,62940.95,11441.59,0.0,7152.04,15332.91,0.0,83349.05,103809.81,61174.62,11884.1,0.0,0.0,0.0,0.0,0.0,8005.0,0.0,0.0,1,0.0,47411.74,0.0,0.0,7612.86,0.0,32261.78,0.0,-16779.15,-7144.96,0.0,0.0
2033,Ling Bob Primary School,Primary,2019/20,1636477.87,0,80504.54,0,232239.99,1600.0,4870.0,0.0,81787.71,24734.12,16750.8,10049.85,508.0,1469.2,0,0.0,0.0,54546.0,880260.33,9984.87,596614.77,47812.46,62459.51,71001.44,59631.36,12740.51,8066.69,17126.56,7584.91,11965.62,10682.15,3535.13,7244.07,21027.66,26964.0,14494.78,65879.95,29087.24,0.0,2724.01,13406.88,0.0,45817.23,43484.36,11873.25,21717.3,0.0,0.0,22253.58,0.0,0.0,7884.0,0.0,22253.58,1,0.0,44507.16,0.0,0.0,215632.95,10428.26,41790.88,235730.41,0.0,27421.3,0.0,10428.26
5207,Longroyde Primary School,Primary,2019/20,1578134.41,0,7543.25,0,154953.0,0.0,12475.82,0.0,83807.14,31745.94,12800.0,0.0,460.92,5992.86,0,0.0,0.0,74683.0,951043.41,517.82,316713.01,68118.19,145287.11,72949.19,71388.45,698.11,3166.04,17185.23,0.0,9317.91,4279.96,1601.68,5109.82,34071.57,6476.4,8414.34,47769.9,14519.65,0.0,10167.02,16809.89,10598.23,57826.03,15756.0,3936.15,23079.88,0.0,0.0,0.0,0.0,0.0,8491.0,0.0,0.0,1,0.0,38230.0,3105.0,0.0,38769.27,0.0,56318.01,84564.62,0.0,23474.01,0.0,0.0
3014,Luddenden C E school,Primary,2019/20,715318.86,0,16383.75,0,78080.0,0.0,347.5,4173.44,4521.11,8547.13,31974.78,322.68,4012.75,332.5,0,0.0,0.0,36500.0,477987.06,49592.63,151290.38,42275.38,41909.18,11975.92,12854.74,2994.27,3809.07,9867.45,1819.43,282.42,18.0,1489.24,2797.8,14264.93,21481.25,4264.1,21389.85,11075.73,0.0,2676.49,7242.5,0.0,32063.06,0.0,495.0,13433.98,0.0,0.0,0.0,0.0,0.0,6156.0,0.0,0.0,1,10630.0,0.0,0.0,1937.4,81253.01,0.0,41240.33,42417.65,0.0,34828.93,0.0,0.0
2065,Midgley school,Primary,2019/20,486242.4,0,7292.5,0,9760.01,0.0,1500.0,0.0,24370.3,8892.16,9362.66,2757.14,140.5,22669.78,0,0.0,0.0,36726.0,270333.6,21227.4,75778.4,9618.32,31901.1,6732.6,24855.87,2469.26,4494.6,5131.76,1425.73,4850.24,1450.44,274.32,1067.82,11066.5,12152.25,2302.79,40122.4,4833.68,0.0,5520.41,5504.69,1027.08,21479.0,0.0,1214.0,19906.47,0.0,0.0,0.0,0.0,0.0,5148.0,0.0,0.0,1,0.0,6230.0,0.0,3946.5,68373.07,0.0,12180.27,91345.79,0.0,7151.77,0.0,0.0
3332,Moorside Community Primary School,Primary,2019/20,1202337.0,0,37706.9,0,173440.0,0.0,28937.72,802.0,8869.77,11203.41,40113.68,4763.73,5006.09,2275.47,0,0.0,0.0,47198.0,571715.4,14492.91,382819.14,25697.56,85325.89,27058.7,18817.33,4782.65,8560.84,11337.45,7264.35,18054.57,2617.05,26165.64,0.0,22955.65,49758.28,18919.15,64132.21,25808.18,0.0,5217.1,14797.71,0.0,65518.72,12988.5,13042.75,12746.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,115726.44,0.0,1522.0,167785.66,0.0,1522.0,0.0,0.0
2066,New Road primary school,Primary,2019/20,711186.91,0,8656.91,0,83240.0,0.0,3421.96,10082.0,34094.8,9254.77,16381.53,7028.74,3047.0,234.13,0,0.0,0.0,34796.0,397381.07,8170.3,136618.26,30460.6,43634.52,0.0,60114.3,2817.07,1286.87,8495.38,3651.55,15130.33,259.26,1906.45,2869.4,14131.93,12074.87,7511.09,23901.17,6817.41,0.0,4243.06,8016.89,1974.38,30587.2,7288.0,44432.24,16521.72,0.0,2100.0,10170.09,0.0,0.0,5733.0,0.0,10170.09,1,0.0,0.0,0.0,5370.09,109834.57,0.0,-40601.68,128693.01,0.0,13131.32,-43200.0,0.0
3010,Norland CE J and I school,Primary,2019/20,481824.53,0,0.0,0,24740.0,0.0,982.8,3302.98,500.0,7314.12,4292.0,0.0,2738.8,1603.0,0,0.0,0.0,33062.0,224005.79,4437.17,66410.12,26141.45,41489.55,6878.39,16415.74,1613.05,4028.32,5141.16,852.34,11032.34,1825.0,1527.84,1212.76,7961.93,7610.5,894.38,35306.58,5166.5,0.0,1916.43,4681.08,0.0,19766.54,569.0,8376.72,13976.12,0.0,0.0,0.0,0.0,0.0,5148.0,0.0,0.0,1,0.0,15862.5,0.0,0.0,70228.66,0.0,14086.7,111352.09,0.0,3372.2,0.0,0.0
2015,Northowram primary school,Primary,2019/20,1689503.44,0,46126.81,0,60680.01,0.0,4010.0,0.0,16731.9,41935.54,8299.92,2003.55,15497.8,9766.94,0,0.0,0.0,86551.0,883960.67,2076.42,388378.1,58739.74,85942.4,76394.6,70360.88,7690.11,19678.4,11945.11,1824.54,31664.12,7447.24,6141.04,2349.09,24059.24,34524.0,11366.57,87643.76,22061.93,0.0,11899.76,16302.32,1480.55,52953.33,69555.16,5863.0,30843.98,0.0,0.0,14167.9,0.0,0.0,40568.0,0.0,14167.9,1,19998.75,64020.95,0.0,0.0,128645.92,0.0,29203.7,72438.87,0.0,-80.1,0.0,0.0
2075,Old Town Primary School ,Primary,2019/20,459439.89,0,7714.91,0,27040.01,0.0,9395.99,0.0,36714.15,9913.21,2049.46,3964.76,2284.0,616.98,0,0.0,0.0,33597.0,259818.0,11197.68,105701.93,19101.34,31535.73,5624.71,6535.69,1746.97,2224.2,472.0,6319.01,5274.78,0.0,2164.95,2090.07,10247.45,7554.89,2959.12,25804.89,7547.93,0.0,3132.71,5046.92,0.0,22962.2,0.0,1370.0,16557.22,0.0,1724.98,6500.0,0.0,0.0,5114.0,0.0,6500.0,1,0.0,6209.0,0.0,2394.0,24086.2,0.0,-30816.0,21514.99,24086.2,0.0,-27805.0,0.0
2017,Parkinson Lane Community Primary School,Primary,2019/20,2638958.1,0,37171.58,0,193699.99,1500.0,1992.0,0.0,127377.43,86471.3,20004.0,400.0,24075.53,152.0,0,0.0,0.0,101246.0,1385153.59,23090.22,539066.44,116161.75,123870.95,103779.66,42101.89,8915.23,5618.8,24534.49,2267.84,69182.02,1800.0,13776.99,10703.81,55739.15,35483.8,24438.73,176276.31,24176.17,0.0,32130.65,22275.55,94148.12,102205.71,0.0,11083.5,32915.03,0.0,0.0,243771.93,0.0,0.0,10410.0,0.0,243771.93,1,254.83,157966.96,116187.14,0.0,561539.18,0.0,20227.0,200000.0,269918.78,0.0,0.0,0.0
7009,Ravenscliffe high school,Secondary,2019/20,1300512.0,170000,2141458.66,0,72165.01,19371.0,53138.58,139569.04,0.0,74794.87,28909.24,70420.49,10283.96,17153.98,0,0.0,0.0,4400.0,1605469.32,17762.6,1530573.49,69139.81,143671.01,167047.71,42721.89,31568.82,9374.99,25300.63,42913.93,45092.63,3610.85,76593.06,16259.25,71517.0,0.0,49470.71,88858.35,57443.16,2424.5,11037.86,20979.93,0.0,75939.2,0.0,15009.88,22488.5,0.0,0.0,0.0,0.0,0.0,74670.0,0.0,0.0,1,0.0,37357.0,29997.03,0.0,1150617.41,0.0,112060.61,0.0,1010525.16,35157.55,84219.03,0.0
2061,Ripponden J and I School,Primary,2019/20,843030.95,0,4968.0,0,33000.0,0.0,1000.0,3227.0,21449.76,22012.3,21354.73,1527.52,20627.32,18253.68,0,0.0,73629.91,50931.0,501328.69,23937.36,149741.71,33364.53,43117.52,34913.93,13568.7,2991.22,3029.16,9029.08,1029.41,3682.54,19217.0,1112.37,7093.89,20696.99,16792.09,3913.69,60444.34,10002.35,0.0,3029.88,8409.6,0.0,24451.82,2001.7,5672.8,16673.5,0.0,0.0,0.0,58534.34,10251.94,6498.0,0.0,0.0,1,0.0,19578.51,0.0,0.0,46032.51,13183.31,21850.65,68168.9,0.0,8770.14,0.0,18026.94
2082,Riverside junior school,Junior,2019/20,748808.13,0,27529.86,0,62600.01,0.0,8621.23,1982.5,114324.75,5818.75,7200.0,0.0,1720.0,0.0,0,0.0,0.0,19573.0,356904.48,2255.34,130829.23,37342.15,56846.63,74230.6,3433.32,27349.46,2089.58,6348.45,2633.32,14590.15,115.34,2395.61,2597.95,24137.36,12217.97,6149.69,43121.78,15506.82,0.0,7858.98,9840.46,0.0,54166.19,5866.91,11655.0,26765.95,0.0,0.0,0.0,0.0,0.0,6014.0,0.0,0.0,1,0.0,1987.5,0.0,0.0,91295.46,0.0,21214.4,152224.97,0.0,25240.9,0.0,0.0
2021,Salterhebble Junior and Infant School,Primary,2019/20,832856.27,0,10149.08,0,66980.01,0.0,1963.62,1144.0,946.77,13444.33,286.46,2460.14,5312.9,4813.12,0,0.0,0.0,50695.0,459476.8,12146.73,161343.71,39893.41,62407.21,11321.36,19991.8,4301.79,5453.03,8203.4,3899.55,6878.3,1473.12,1790.73,1779.51,12634.94,19026.25,9301.49,29733.94,16872.82,0.0,3261.13,8962.46,0.0,39387.38,8541.61,15194.25,20416.05,0.0,0.0,0.0,0.0,0.0,6273.0,0.0,0.0,1,0.0,0.0,824.0,13734.97,47479.53,0.0,21651.07,54838.46,0.0,13365.1,0.0,0.0
2009,Savile Park Primary School,Primary,2019/20,1970789.23,0,89033.99,0,120460.0,0.0,2432.89,16706.0,32672.85,19962.75,9577.44,18309.91,8613.4,2357.65,0,0.0,0.0,79574.0,872957.04,0.0,493933.43,0.0,96067.11,16039.32,43004.93,6456.78,9760.84,17274.85,8658.34,10212.9,-507.83,49924.92,4044.19,34841.04,47205.75,14207.5,75784.18,10948.45,0.0,15345.67,9079.64,0.0,83608.01,26941.24,26930.18,20257.93,352073.64,0.0,0.0,0.0,0.0,27443.0,0.0,0.0,1,0.0,0.0,0.0,18404.45,107682.96,0.0,44661.29,133123.02,0.0,53699.84,0.0,0.0
2073,Shade Primary School,Primary,2019/20,893620.14,0,28255.75,0,59160.0,0.0,3319.0,3144.0,20579.86,14425.22,8200.0,1065.0,4620.0,9260.45,0,0.0,0.0,38967.0,527795.18,2798.37,182389.39,25935.82,41079.8,13313.28,46066.2,21734.54,1521.63,9716.64,1532.14,15452.65,0.0,11112.16,3374.0,16993.53,12766.0,8146.57,44633.74,9410.1,0.0,2798.64,9970.43,1921.33,39673.28,3862.0,6430.5,22444.19,0.0,0.0,0.0,0.0,0.0,6355.0,0.0,0.0,1,0.0,9400.19,0.0,0.0,31397.01,0.0,24200.36,33141.32,0.0,21155.17,0.0,0.0
2060,Shelf J and I School,Primary,2019/20,1075007.68,0,14146.66,0,52653.01,0.0,1162.8,200.0,4143.94,19778.89,11151.26,2639.71,12593.16,3523.31,0,0.0,0.0,55842.0,616367.55,5823.48,150587.5,15565.93,53989.83,0.0,32784.32,3946.11,6639.56,11700.6,1846.7,12119.78,2464.5,19458.99,289.87,21965.03,14068.65,15998.99,59915.96,15132.92,0.0,2695.58,11166.63,0.0,69629.28,90084.96,8545.9,11258.65,0.0,0.0,0.0,0.0,0.0,7353.0,0.0,0.0,1,0.0,13928.64,0.0,0.0,23993.88,0.0,12847.38,22789.03,0.0,6271.74,0.0,0.0
2095,Sowerby Village CE (VC) primary school,Primary,2019/20,770278.54,0,12485.0,0,108753.0,0.0,250.0,15790.18,47.87,51850.94,2034.3,702.0,793.09,0.0,0,0.0,0.0,37216.0,437701.36,0.0,160941.45,39148.06,51261.34,51285.12,14166.7,3672.85,4584.65,8051.33,2816.38,15810.24,9940.59,1620.21,2648.48,18732.75,12663.79,9000.85,42761.76,14244.58,0.0,10417.21,9164.44,5191.03,46185.08,12593.0,34455.3,7635.21,0.0,0.0,0.0,0.0,0.0,5913.0,0.0,0.0,1,0.0,12765.33,0.0,7321.59,50681.06,0.0,19602.29,24188.22,0.0,5428.37,0.0,0.0
3315,St Andrews CE Infant School,Infant,2019/20,636498.49,0,7686.5,0,45939.99,0.0,780.0,0.0,16423.18,617.67,6029.6,883.24,2415.6,51.6,0,0.0,0.0,65626.0,324122.48,2519.65,148928.49,28664.12,49106.02,37476.67,21076.83,351.03,12543.46,7614.1,1862.87,6131.15,2236.84,601.48,2024.26,13240.37,2268.0,4314.45,25468.52,9919.92,0.0,3359.82,6767.13,0.0,13255.27,0.0,32813.9,36135.92,0.0,0.0,1376.42,0.0,0.0,6057.45,0.0,1376.42,1,0.0,13764.19,0.0,0.0,137198.53,0.0,15537.69,125971.23,0.0,9207.37,0.0,0.0
3314,St Andrews CE (Aided) Junior School,Junior,2019/20,930173.03,0,22839.58,0,92960.01,0.0,2808.0,68858.27,12108.82,33557.54,1000.0,7631.92,11305.5,2652.95,0,0.0,27399.5,22312.0,537339.92,74.01,227589.44,38285.61,67836.43,39487.09,33385.7,1203.27,8976.81,9157.96,4536.77,23174.81,5340.9,2394.97,4526.19,16677.1,4239.61,5060.74,52582.86,29111.5,0.0,2711.9,9006.24,0.0,24240.32,7929.15,15681.8,17412.41,0.0,0.0,948.6,12238.23,1911.23,7199.65,0.0,948.6,1,0.0,9782.9,0.0,9486.0,216471.12,3193.31,32392.76,235766.63,0.0,0.0,21272.11,16443.35
3303,St Augustines CE (VA) J and I School,Primary,2019/20,877233.39,0,9141.92,0,56760.0,0.0,8555.21,0.0,1739.47,13758.91,22696.0,6114.8,2176.5,1263.53,0,0.0,0.0,37079.0,397585.59,29557.5,177451.45,40689.13,34645.68,18103.97,12430.9,38557.66,1105.09,7913.65,4782.07,1917.21,24.72,1933.34,4171.9,13619.43,2385.64,9425.03,29327.47,3112.59,0.0,6083.22,7952.03,1741.18,38858.34,16976.16,102445.25,20266.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,9831.2,0.0,11142.98,23286.92,0.0,11142.98,0.0,0.0
3329,"St Josephs Catholic primary school, Brighouse",Primary,2019/20,917165.19,0,4903.75,0,30020.0,0.0,3660.0,0.0,23656.0,16553.5,9288.58,5723.1,9681.2,3534.71,0,0.0,0.0,50310.0,554015.16,4910.41,154138.44,31132.52,51543.68,47789.27,27436.76,314.5,2239.0,10253.91,3673.15,16833.46,1777.0,1396.65,3667.5,18035.23,3181.66,4321.13,36583.26,17262.81,0.0,4875.51,7830.47,0.0,19076.6,7661.7,21859.75,32165.64,0.0,0.0,2661.55,0.0,0.0,0.0,0.0,2661.55,1,0.0,2661.55,0.0,0.0,79150.18,0.0,547.27,67009.49,0.0,547.27,0.0,0.0
