DfENumber,SchoolName,Year,NetCapacity
8164227,Burnholme Community College,2013,600
8162024,Burton Green Primary,2013,210
8164003,Canon Lee,2013,950
8162003,Carr Infant,2013,237
8162002,Carr Junior,2013,300
8162018,Clifton Green Primary,2013,350
8162430,Clifton With Rawcliffe Primary,2013,630
8162013,Copmanthorpe Primary,2013,360
8162007,Dringhouses Primary,2013,315
8163151,Dunnington CE Primary,2013,210
8163152,Elvington CE Primary,2013,140
8162008,Fishergate Primary,2013,240
8164153,Fulford Secondary,2013,1349
8162009,Haxby Road Primary,2013,210
8162241,Headlands Primary,2013,315
8162001,Hempland Primary,2013,420
8163302,Heworth CE Primary,2013,128
8162028,Hob Moor Community Primary,2013,270
8162180,Huntington Primary,2013,420
8164063,Huntington Secondary,2013,1487
8164508,Joseph Rowntree,2013,1340
8162011,Knavesmire Primary,2013,420
8162428,Lakeside Primary,2013,420
8163158,Lord Deramore's Primary,2013,210
8164602,Manor CE Secondary,2013,900
8164229,Millthorpe Secondary,2013,1056
8163159,Naburn CE Primary,2013,83
8163901,New Earswick Primary,2013,210
8162176,Osbaldwick Primary,2013,420
8163904,Our Lady Queen of Martyrs Primary,2013,420
8162012,Park Grove Primary,2013,266
8162029,Poppleton Ousebank Primary,2013,420
8162014,Poppleton Road Primary,2013,390
8162058,Ralph Butterfield Primary,2013,326
8163212,Robert Wilkinson Primary,2013,564
8162349,Rufforth Primary,2013,70
8162016,Scarcroft Primary,2013,315
8162169,Skelton Primary,2013,140
8163401,St Aelred's RC Primary,2013,230
8163002,St Barnabas' CE Primary,2013,140
8163402,St George's RC Primary,2013,192
8163305,St Lawrence's CE Primary,2013,210
8163222,St Mary's CE Primary,2013,105
8163156,St Oswald's CE Primary,2013,294
8163003,St Paul's CE Primary,2013,175
8163403,St Wilfrid's RC Primary,2013,267
8162227,Stockton on the Forest Primary,2013,84
8162429,Tang Hall Primary,2013,210
8162017,Westfield Primary,2013,602
8163380,Wheldrake with Thorganby CE Primary,2013,210
8162240,Wigginton Primary,2013,280
8162027,Woodthorpe Primary,2013,450
8162015,Yearsley Grove Primary,2013,318
8164703,York High,2013,990
8162000,Acomb Primary,2014,243
8164702,All Saints' RC,2014,1232
8164500,Archbishop Holgate's CE,2014,902
8163229,Archbishop of York's CE Junior,2014,240
8162431,Badger Hill Primary,2014,180
8162386,Bishopthorpe Infant,2014,170
8162024,Burton Green Primary,2014,210
8164003,Canon Lee,2014,950
8162003,Carr Infant,2014,237
8162002,Carr Junior,2014,300
8162018,Clifton Green Primary,2014,350
8162430,Clifton With Rawcliffe Primary,2014,630
8162013,Copmanthorpe Primary,2014,360
8162007,Dringhouses Primary,2014,315
8163151,Dunnington CE Primary,2014,210
8163152,Elvington CE Primary,2014,140
8162008,Fishergate Primary,2014,240
8164153,Fulford Secondary,2014,1349
8162009,Haxby Road Primary,2014,210
8162241,Headlands Primary,2014,315
8162001,Hempland Primary,2014,420
8163302,Heworth CE Primary,2014,128
8162028,Hob Moor Community Primary,2014,315
8162180,Huntington Primary,2014,420
8164063,Huntington Secondary,2014,1487
8164508,Joseph Rowntree,2014,1340
8162011,Knavesmire Primary,2014,420
8162428,Lakeside Primary,2014,420
8163158,Lord Deramore's Primary,2014,210
8164602,Manor CE Secondary,2014,900
8164229,Millthorpe Secondary,2014,1056
8163159,Naburn CE Primary,2014,83
8163901,New Earswick Primary,2014,210
8162176,Osbaldwick Primary,2014,420
8163904,Our Lady Queen of Martyrs Primary,2014,420
8162012,Park Grove Primary,2014,266
8162029,Poppleton Ousebank Primary,2014,420
8162014,Poppleton Road Primary,2014,390
8162058,Ralph Butterfield Primary,2014,326
8163212,Robert Wilkinson Primary,2014,564
8162349,Rufforth Primary,2014,70
8162016,Scarcroft Primary,2014,315
8162169,Skelton Primary,2014,140
8163401,St Aelred's RC Primary,2014,230
8163002,St Barnabas' CE Primary,2014,140
8163402,St George's RC Primary,2014,192
8163305,St Lawrence's CE Primary,2014,210
8163222,St Mary's CE Primary,2014,105
8163156,St Oswald's CE Primary,2014,294
8163003,St Paul's CE Primary,2014,175
8163403,St Wilfrid's RC Primary,2014,267
8162227,Stockton on the Forest Primary,2014,84
8162429,Tang Hall Primary,2014,210
8162017,Westfield Primary,2014,602
8163380,Wheldrake with Thorganby CE Primary,2014,210
8162240,Wigginton Primary,2014,280
8162027,Woodthorpe Primary,2014,450
8162015,Yearsley Grove Primary,2014,318
8164703,York High,2014,990
8162000,Acomb Primary,2015,300
8164702,All Saints' RC,2015,1248
8164500,Archbishop Holgate's CE,2015,1411
8163229,Archbishop of York's CE Junior,2015,240
8162431,Badger Hill Primary,2015,210
8162386,Bishopthorpe Infant,2015,180
8162024,Burton Green Primary,2015,210
8164003,Canon Lee,2015,950
8162003,Carr Infant,2015,237
8162002,Carr Junior,2015,330
8162018,Clifton Green Primary,2015,350
8162430,Clifton With Rawcliffe Primary,2015,630
8162013,Copmanthorpe Primary,2015,420
8162007,Dringhouses Primary,2015,299
8163151,Dunnington CE Primary,2015,210
8163152,Elvington CE Primary,2015,140
8162008,Fishergate Primary,2015,300
8164153,Fulford Secondary,2015,1502
8162009,Haxby Road Primary,2015,315
8162241,Headlands Primary,2015,315
8162001,Hempland Primary,2015,420
8163302,Heworth CE Primary,2015,128
8162028,Hob Moor Community Primary,2015,315
8162180,Huntington Primary,2015,420
8164063,Huntington Secondary,2015,1549
8164508,Joseph Rowntree,2015,1410
8162011,Knavesmire Primary,2015,420
8162428,Lakeside Primary,2015,350
8163158,Lord Deramore's Primary,2015,210
8164602,Manor CE Secondary,2015,900
8164229,Millthorpe Secondary,2015,1020
8163159,Naburn CE Primary,2015,83
8163901,New Earswick Primary,2015,210
8162176,Osbaldwick Primary,2015,360
8163904,Our Lady Queen of Martyrs Primary,2015,420
8162012,Park Grove Primary,2015,284
8162029,Poppleton Ousebank Primary,2015,420
8162014,Poppleton Road Primary,2015,390
8162058,Ralph Butterfield Primary,2015,326
8163212,Robert Wilkinson Primary,2015,595
8162349,Rufforth Primary,2015,83
8162016,Scarcroft Primary,2015,315
8162169,Skelton Primary,2015,157
8163401,St Aelred's RC Primary,2015,210
8163002,St Barnabas' CE Primary,2015,210
8163402,St George's RC Primary,2015,192
8163305,St Lawrence's CE Primary,2015,210
8163222,St Mary's CE Primary,2015,105
8163156,St Oswald's CE Primary,2015,312
8163003,St Paul's CE Primary,2015,189
8163403,St Wilfrid's RC Primary,2015,267
8162227,Stockton on the Forest Primary,2015,105
8162429,Tang Hall Primary,2015,210
8162017,Westfield Primary,2015,602
8163380,Wheldrake with Thorganby CE Primary,2015,210
8162240,Wigginton Primary,2015,269
8162027,Woodthorpe Primary,2015,420
8162015,Yearsley Grove Primary,2015,369
8164703,York High,2015,982
8162000,Acomb Primary,2016,300
8164702,All Saints' RC,2016,1248
8164500,Archbishop Holgate's CE,2016,1411
8163229,Archbishop of York's CE Junior,2016,240
8162431,Badger Hill Primary,2016,210
8162386,Bishopthorpe Infant,2016,180
8162024,Burton Green Primary,2016,210
8162003,Carr Infant,2016,270
8162002,Carr Junior,2016,360
8162018,Clifton Green Primary,2016,350
8162430,Clifton With Rawcliffe Primary,2016,630
8162013,Copmanthorpe Primary,2016,420
8162007,Dringhouses Primary,2016,299
8163151,Dunnington CE Primary,2016,210
8163152,Elvington CE Primary,2016,140
8162008,Fishergate Primary,2016,300
8164153,Fulford Secondary,2016,1603
8162009,Haxby Road Primary,2016,315
8162241,Headlands Primary,2016,315
8162001,Hempland Primary,2016,420
8163302,Heworth CE Primary,2016,128
8162028,Hob Moor Community Primary,2016,315
8162180,Huntington Primary,2016,420
8164063,Huntington Secondary,2016,1549
8164508,Joseph Rowntree,2016,1335
8162011,Knavesmire Primary,2016,420
8162428,Lakeside Primary,2016,350
8163158,Lord Deramore's Primary,2016,210
8164602,Manor CE Secondary,2016,900
8164229,Millthorpe Secondary,2016,1020
8163159,Naburn CE Primary,2016,83
8163901,New Earswick Primary,2016,210
8162176,Osbaldwick Primary,2016,360
8163904,Our Lady Queen of Martyrs Primary,2016,420
8162012,Park Grove Primary,2016,284
8162029,Poppleton Ousebank Primary,2016,420
8162014,Poppleton Road Primary,2016,390
8162058,Ralph Butterfield Primary,2016,326
8163212,Robert Wilkinson Primary,2016,595
8162349,Rufforth Primary,2016,83
8162016,Scarcroft Primary,2016,315
8162169,Skelton Primary,2016,157
8163401,St Aelred's RC Primary,2016,210
8163002,St Barnabas' CE Primary,2016,210
8163402,St George's RC Primary,2016,192
8162020,St Lawrence's CE Primary,2016,210
8163222,St Mary's CE Primary,2016,105
8163156,St Oswald's CE Primary,2016,312
8163003,St Paul's CE Primary,2016,189
8163403,St Wilfrid's RC Primary,2016,267
8162227,Stockton on the Forest Primary,2016,105
8162429,Tang Hall Primary,2016,210
8164000,Vale of York Secondary,2016,950
8162017,Westfield Primary,2016,602
8163380,Wheldrake with Thorganby CE Primary,2016,210
8162240,Wigginton Primary,2016,269
8162027,Woodthorpe Primary,2016,420
8162015,Yearsley Grove Primary,2016,369
8164703,York High,2016,982
8162000,Acomb Primary,2017,351
8164702,All Saints' RC,2017,1248
8164500,Archbishop Holgate's CE,2017,1416
8163229,Archbishop of York's CE Junior,2017,240
8162431,Badger Hill Primary,2017,210
8162386,Bishopthorpe Infant,2017,180
8162024,Burton Green Primary,2017,315
8162003,Carr Infant,2017,270
8162002,Carr Junior,2017,360
8162018,Clifton Green Primary,2017,450
8162430,Clifton With Rawcliffe Primary,2017,630
8162013,Copmanthorpe Primary,2017,431
8162007,Dringhouses Primary,2017,315
8163151,Dunnington CE Primary,2017,244
8163152,Elvington CE Primary,2017,140
8162008,Fishergate Primary,2017,351
8164153,Fulford Secondary,2017,1603
8162009,Haxby Road Primary,2017,302
8162241,Headlands Primary,2017,315
8162001,Hempland Primary,2017,420
8163302,Heworth CE Primary,2017,128
8162028,Hob Moor Community Primary,2017,315
8162180,Huntington Primary,2017,420
8164063,Huntington Secondary,2017,1544
8164508,Joseph Rowntree,2017,1335
8162011,Knavesmire Primary,2017,420
8162428,Lakeside Primary,2017,410
8163158,Lord Deramore's Primary,2017,210
8164602,Manor CE Secondary,2017,1160
8164229,Millthorpe Secondary,2017,1020
8163159,Naburn CE Primary,2017,73
8162021,New Earswick Primary,2017,288
8162176,Osbaldwick Primary,2017,420
8163904,Our Lady Queen of Martyrs Primary,2017,420
8162012,Park Grove Primary,2017,284
8162029,Poppleton Ousebank Primary,2017,420
8162014,Poppleton Road Primary,2017,420
8162058,Ralph Butterfield Primary,2017,350
8163212,Robert Wilkinson Primary,2017,701
8162349,Rufforth Primary,2017,101
8162016,Scarcroft Primary,2017,420
8162169,Skelton Primary,2017,157
8163401,St Aelred's RC Primary,2017,240
8163002,St Barnabas' CE Primary,2017,210
8163402,St George's RC Primary,2017,210
8162020,St Lawrence's CE Primary,2017,210
8163222,St Mary's CE Primary,2017,105
8163156,St Oswald's CE Primary,2017,315
8163003,St Paul's CE Primary,2017,167
8163403,St Wilfrid's RC Primary,2017,267
8162227,Stockton on the Forest Primary,2017,105
8162429,Tang Hall Primary,2017,262
8164000,Vale of York Secondary,2017,905
8162017,Westfield Primary,2017,669
8163380,Wheldrake with Thorganby CE Primary,2017,210
8162240,Wigginton Primary,2017,280
8162027,Woodthorpe Primary,2017,540
8162015,Yearsley Grove Primary,2017,443
8164001,York High,2017,982
8162000,Acomb Primary,2018,351
8164702,All Saints' RC,2018,1248
8164500,Archbishop Holgate's CE,2018,1416
8163229,Archbishop of York's CE Junior,2018,240
8162431,Badger Hill Primary,2018,210
8162386,Bishopthorpe Infant,2018,180
8162024,Burton Green Primary,2018,315
8162003,Carr Infant,2018,270
8162002,Carr Junior,2018,360
8162018,Clifton Green Primary,2018,450
8162430,Clifton With Rawcliffe Primary,2018,630
8162013,Copmanthorpe Primary,2018,431
8162007,Dringhouses Primary,2018,315
8163151,Dunnington CE Primary,2018,244
8163152,Elvington CE Primary,2018,140
8162008,Fishergate Primary,2018,351
8164153,Fulford Secondary,2018,1603
8162004,Haxby Road Primary,2018,302
8162241,Headlands Primary,2018,315
8162001,Hempland Primary,2018,420
8163302,Heworth CE Primary,2018,128
8162028,Hob Moor Community Primary,2018,315
8162180,Huntington Primary,2018,420
8164063,Huntington Secondary,2018,1544
8164508,Joseph Rowntree,2018,1335
8162011,Knavesmire Primary,2018,420
8162428,Lakeside Primary,2018,410
8163158,Lord Deramore's Primary,2018,210
8164602,Manor CE Secondary,2018,1160
8164229,Millthorpe Secondary,2018,1020
8163159,Naburn CE Primary,2018,73
8162021,New Earswick Primary,2018,288
8162176,Osbaldwick Primary,2018,420
8163904,Our Lady Queen of Martyrs Primary,2018,420
8162012,Park Grove Primary,2018,284
8162029,Poppleton Ousebank Primary,2018,420
8162014,Poppleton Road Primary,2018,420
8162058,Ralph Butterfield Primary,2018,350
8163212,Robert Wilkinson Primary,2018,701
8162349,Rufforth Primary,2018,101
8162016,Scarcroft Primary,2018,420
8162169,Skelton Primary,2018,157
8163401,St Aelred's RC Primary,2018,240
8163002,St Barnabas' CE Primary,2018,210
8163402,St George's RC Primary,2018,210
8162020,St Lawrence's CE Primary,2018,210
8163222,St Mary's CE Primary,2018,105
8163156,St Oswald's CE Primary,2018,315
8163003,St Paul's CE Primary,2018,167
8163403,St Wilfrid's RC Primary,2018,267
8162227,Stockton on the Forest Primary,2018,105
8162429,Tang Hall Primary,2018,262
8164000,Vale of York Academy,2018,905
8162017,Westfield Primary,2018,669
8163380,Wheldrake with Thorganby CE Primary,2018,210
8162240,Wigginton Primary,2018,280
8162027,Woodthorpe Primary,2018,540
8162015,Yearsley Grove Primary,2018,443
8164001,York High,2018,982
8162000,Acomb Primary,2019,351
8164702,All Saints' RC,2019,1295
8164500,Archbishop Holgate's CE,2019,1514
8163229,Archbishop of York's CE Junior,2019,240
8162431,Badger Hill Primary,2019,210
8162386,Bishopthorpe Infant,2019,180
8162024,Burton Green Primary,2019,315
8162003,Carr Infant,2019,270
8162002,Carr Junior,2019,432
8162018,Clifton Green Primary,2019,450
8162430,Clifton With Rawcliffe Primary,2019,630
8162013,Copmanthorpe Primary,2019,431
8162007,Dringhouses Primary,2019,315
8163151,Dunnington CE Primary,2019,244
8163152,Elvington CE Primary,2019,140
8162008,Fishergate Primary,2019,351
8164153,Fulford Secondary,2019,1529
8162004,Haxby Road Primary,2019,302
8162241,Headlands Primary,2019,315
8162001,Hempland Primary,2019,420
8163302,Heworth CE Primary,2019,128
8162028,Hob Moor Community Primary,2019,315
8162180,Huntington Primary,2019,420
8164063,Huntington Secondary,2019,1551
8164508,Joseph Rowntree,2019,1435
8162011,Knavesmire Primary,2019,420
8162428,Lakeside Primary,2019,410
8163158,Lord Deramore's Primary,2019,210
8164602,Manor CE Secondary,2019,1094
8164229,Millthorpe Secondary,2019,1060
8163159,Naburn CE Primary,2019,73
8162021,New Earswick Primary,2019,288
8162176,Osbaldwick Primary,2019,486
8163904,Our Lady Queen of Martyrs Primary,2019,420
8162012,Park Grove Primary,2019,270
8162029,Poppleton Ousebank Primary,2019,420
8162014,Poppleton Road Primary,2019,420
8162058,Ralph Butterfield Primary,2019,350
8163212,Robert Wilkinson Primary,2019,701
8162349,Rufforth Primary,2019,101
8162016,Scarcroft Primary,2019,420
8162169,Skelton Primary,2019,157
8163401,St Aelred's RC Primary,2019,209
8163002,St Barnabas' CE Primary,2019,210
8163402,St George's RC Primary,2019,210
8162020,St Lawrence's CE Primary,2019,210
8163222,St Mary's CE Primary,2019,105
8163156,St Oswald's CE Primary,2019,315
8163003,St Paul's CE Primary,2019,167
8163403,St Wilfrid's RC Primary,2019,267
8162227,Stockton on the Forest Primary,2019,105
8162429,Tang Hall Primary,2019,262
8164000,Vale of York Academy,2019,950
8162017,Westfield Primary,2019,669
8163380,Wheldrake with Thorganby CE Primary,2019,210
8162240,Wigginton Primary,2019,280
8162027,Woodthorpe Primary,2019,540
8162015,Yearsley Grove Primary,2019,443
8164001,York High,2019,982
8162000,Acomb Primary,2020,351
8164702,All Saints' RC,2020,1295
8164500,Archbishop Holgate's CE,2020,1514
8163229,Archbishop of York's CE Junior,2020,240
8162431,Badger Hill Primary,2020,210
8162386,Bishopthorpe Infant,2020,180
8162024,Burton Green Primary,2020,315
8162003,Carr Infant,2020,270
8162002,Carr Junior,2020,432
8162018,Clifton Green Primary,2020,450
8162430,Clifton With Rawcliffe Primary,2020,630
8162013,Copmanthorpe Primary,2020,431
8162007,Dringhouses Primary,2020,315
8163151,Dunnington CE Primary,2020,244
8163152,Elvington CE Primary,2020,140
8162008,Fishergate Primary,2020,351
8164153,Fulford Secondary,2020,1529
8162004,Haxby Road Primary,2020,302
8162241,Headlands Primary,2020,315
8162001,Hempland Primary,2020,420
8163302,Heworth CE Primary,2020,128
8162028,Hob Moor Community Primary,2020,315
8162180,Huntington Primary,2020,420
8164063,Huntington Secondary,2020,1551
8164508,Joseph Rowntree,2020,1435
8162011,Knavesmire Primary,2020,420
8162428,Lakeside Primary,2020,410
8163158,Lord Deramore's Primary,2020,210
8164602,Manor CE Secondary,2020,1077
8164229,Millthorpe Secondary,2020,1061
8163159,Naburn CE Primary,2020,73
8162021,New Earswick Primary,2020,288
8162176,Osbaldwick Primary,2020,486
8163904,Our Lady Queen of Martyrs Primary,2020,420
8162012,Park Grove Primary,2020,270
8162029,Poppleton Ousebank Primary,2020,420
8162014,Poppleton Road Primary,2020,420
8162058,Ralph Butterfield Primary,2020,350
8163212,Robert Wilkinson Primary,2020,701
8162349,Rufforth Primary,2020,101
8162016,Scarcroft Primary,2020,420
8162169,Skelton Primary,2020,157
8163401,St Aelred's RC Primary,2020,209
8163002,St Barnabas' CE Primary,2020,210
8163402,St George's RC Primary,2020,210
8162020,St Lawrence's CE Primary,2020,210
8163222,St Mary's CE Primary,2020,105
8163156,St Oswald's CE Primary,2020,315
8163003,St Paul's CE Primary,2020,167
8163403,St Wilfrid's RC Primary,2020,267
8162227,Stockton on the Forest Primary,2020,105
8162429,Tang Hall Primary,2020,262
8164000,Vale of York Academy,2020,950
8162017,Westfield Primary,2020,630
8163380,Wheldrake with Thorganby CE Primary,2020,210
8162240,Wigginton Primary,2020,280
8162027,Woodthorpe Primary,2020,420
8162015,Yearsley Grove Primary,2020,443
8164001,York High,2020,982
