DfENumber,SchoolName,Year,NetCapacity
8162013,Copmanthorpe Primary,2004,388
8162006,Derwent Infant,2004,120
8162005,Derwent Junior,2004,120
8162007,Dringhouses Primary,2004,315
8163151,Dunnington CE Primary,2004,210
8163152,Elvington CE Primary,2004,157
8163400,English Martyrs' RC Primary,2004,210
8162008,Fishergate Primary,2004,210
8164153,Fulford Secondary,2004,1351
8162009,Haxby Road Primary,2004,420
8162241,Headlands Primary,2004,265
8162001,Hempland Primary,2004,420
8163302,Heworth CE Primary,2004,128
8162028,Hob Moor Community Primary,2004,314
8162180,Huntington Primary,2004,420
8164063,Huntington Secondary,2004,1467
8164508,Joseph Rowntree,2004,1280
8162011,Knavesmire Primary,2004,243
8162428,Lakeside Primary,2004,360
8163158,Lord Deramore's Primary,2004,210
8164228,Lowfield,2004,700
8164602,Manor CE Secondary,2004,664
8164229,Millthorpe Secondary,2004,1024
8163159,Naburn CE Primary,2004,83
8163901,New Earswick Primary,2004,333
8164226,Oaklands,2004,843
8162176,Osbaldwick Primary,2004,210
8163404,Our Lady's RC Primary,2004,210
8162012,Park Grove Primary,2004,240
8162029,Poppleton Ousebank Primary,2004,420
8162014,Poppleton Road Primary,2004,455
8162058,Ralph Butterfield Primary,2004,315
8162201,Rawcliffe Infant & Nursery,2004,242
8163212,Robert Wilkinson Primary,2004,536
8162349,Rufforth Primary,2004,60
8162016,Scarcroft Primary,2004,304
8162169,Skelton Primary,2004,140
8163401,St Aelred's RC Primary,2004,267
8163002,St Barnabas' CE Primary,2004,144
8163402,St George's RC Primary,2004,196
8163305,St Lawrence's CE Primary,2004,210
8163222,St Mary's CE Primary,2004,105
8163156,St Oswald's CE Primary,2004,312
8163003,St Paul's CE Primary,2004,175
8163403,St Wilfrid's RC Primary,2004,267
8162227,Stockton on the Forest Primary,2004,87
8162429,Tang Hall Primary,2004,277
8162017,Westfield Primary,2004,743
8163380,Wheldrake with Thorganby CE Primary,2004,204
8162240,Wigginton Primary,2004,250
8162027,Woodthorpe Primary,2004,508
8162015,Yearsley Grove Primary,2004,471
8162000,Acomb Primary,2005,262
8164702,All Saints' RC,2005,1149
