Number and types of applications by all account customers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-21,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
CORREN TROEN LAW LLP,0,0,0,4,0,0,0,0,0,11,4,19
CORSERV PROPERTY LIMITED,0,0,0,11,4,0,0,0,0,3,2,20
CORTLAND DEVELOPMENT UK LIMITED,0,0,0,0,0,0,0,0,0,1,2,3
CORY ENVIRONMENTAL (GLOS) LTD,0,0,0,0,0,0,0,0,0,2,0,2
COSTAIN CH2M UK - ESCC JV,0,0,0,0,0,0,0,0,0,50,0,50
COSTAIN LTD,0,0,0,0,0,0,0,0,0,11,2,13
COSTCUTTERS SUPERMARKETS GROUP LTD,0,0,0,0,0,0,0,0,0,11,1,12
COSTLEY & PARTNERS,0,0,2,6,2,0,0,0,0,18,8,36
COTSWOLD DISTRICT COUNCIL,0,0,0,1,0,0,0,0,0,68,2,71
COTTERHILL HITCHMAN LLP,0,3,2,25,6,0,2,0,0,44,9,91
COTTON PROPERTY CONSULTANTS LLP,0,0,0,0,0,0,0,0,0,27,0,27
COTTSWAY HOUSING ASSOCIATION LTD,0,0,0,0,0,0,0,0,0,25,3,28
COUCHMAN HANSON LIMITED,0,0,0,5,2,0,0,0,0,16,4,27
COULSON READ LEWIS,1,0,0,1,1,0,0,0,0,7,5,15
COUNTERCULTURE PARTNERSHIP LLP,0,0,0,1,0,0,0,0,0,7,1,9
COUNTERPOINT PROPERTIES LTD,0,0,0,0,0,0,0,0,0,5,0,5
COUNTIES HOME LOAN MANAGEMENT LIMITED,0,0,0,5,0,0,0,0,0,0,0,5
COUNTRY ESTATES (BERKHAMSTED) LTD,0,0,0,0,0,0,0,0,0,4,0,4
COUNTRY HOUSE HOMES LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
COUNTRY PROPERTY,0,0,0,0,0,0,0,0,0,11,1,12
COUNTRYSIDE PROPERTIES PLC,0,0,2,14,5,0,1,0,49,373,61,505
COUNTRYWIDE COMMERCIAL (UK) LTD,0,0,0,0,0,0,0,0,0,0,2,2
COUNTRYWIDE CONVEYANCING SERVICES,0,0,0,0,0,0,0,0,0,72,0,72
COUNTRYWIDE DEVELOPMENTS (UK) LTD,0,0,0,0,0,0,0,0,0,1,0,1
COUNTRYWIDE EST PLANNING SOL LTD,0,0,0,14,0,0,0,0,0,5,0,19
COUNTRYWIDE LEGAL INDEMNITIES,0,0,0,0,0,0,0,0,0,152,17,169
COUNTRYWIDE PROPERTY LAWYERS,27,5,12,936,125,0,14,0,1,118,66,1304
COUNTRYWIDE SURVEYORS LIMITED,0,0,0,0,0,0,0,0,0,987,0,987
Countrywide Tax & Trust Corporation,3,0,0,248,0,0,0,0,0,432,9,692
COUNTY BROADBAND LTD,0,0,0,0,0,0,0,0,0,3,0,3
COUNTYWIDE DEVELOPMENTS LIMITED,0,0,0,0,0,0,0,0,0,0,6,6
COUPE BRADBURY,0,1,1,18,26,0,2,0,0,41,17,106
COURT ENFORCEMENT SERVICES LTD,0,0,0,0,0,0,0,0,0,9,0,9
COURTENAY ESTATE AGENCIES LIMITED,0,0,0,0,0,0,0,0,0,8,1,9
COURTENAY INVESTMENTS LIMITED,0,0,0,0,0,0,0,0,0,9,0,9
COURTLAND SOLICITORS,0,1,0,0,0,0,0,0,0,2,0,3
COURTMAN & CO,0,0,0,0,0,0,0,0,0,24,0,24
COURTNEY SMITH AND CO SOLICITORS,0,1,1,16,4,0,0,0,0,15,5,42
COURTYARD SOLICITORS,0,1,0,10,6,0,0,0,1,18,14,50
COUTTS AND CO,0,0,0,159,0,0,0,0,0,575,8,742
COVENT GARDEN INVESTMENTS LIMITED,0,0,0,0,0,0,0,0,0,1,1,2
COVENTGATE LAW LTD,0,1,0,8,6,0,0,0,0,8,6,29
COVENTRY BUILDING SOCIETY,0,0,0,624,508,0,0,0,0,152,20,1304
COVENTRY BUILDING SOCIETY,0,0,0,2553,0,0,0,0,0,0,0,2553
COVENTRY CITY COUNCIL,0,0,0,3,1,0,1,0,2,328,11,346
COVINGTON & BURLING LLP,0,0,0,0,0,0,2,0,1,2,0,5
COWANS SOLICITORS LLP,0,0,1,6,0,0,0,0,1,11,3,22
COWBURN LAND & PROPERTY LIMITED,0,0,0,0,0,0,0,0,0,3,4,7
COWELL & NORF LETTS & MANAGE LTD,0,0,0,0,0,0,0,0,0,3,0,3
COWGILL HOLLOWAY LLP,0,0,0,0,0,0,0,0,0,23,0,23
COWLEY DI GIORGIO SOLICITORS,0,0,3,28,32,0,4,0,2,134,63,266
COWLING SWIFT & KITCHIN,4,1,3,81,73,0,18,0,8,162,77,427
COWLINGS,1,0,0,22,26,0,1,0,3,23,16,92
COWLISHAW & MOUNTFORD,2,0,1,16,8,0,1,0,0,23,10,61
COX & HODGETTS,0,1,0,15,11,0,5,0,3,75,35,145
COX COOPER,0,0,0,0,0,0,0,0,0,3,0,3
COX MINHAS AND CO LIMITED,0,0,1,5,8,0,0,0,0,9,5,28
COYLE WHITE DEVINE,0,0,0,3,0,0,0,0,0,18,3,24
COZEN O'CONNOR LLP,0,0,0,0,0,0,0,0,0,1,0,1
Cozens-Hardy LLP,4,3,11,97,67,0,20,0,14,168,78,462
CP CONSULTANCY & DESIGN LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
CPA CONSULTING LONDON LTD,0,0,0,0,0,0,0,0,0,16,0,16
CPC GROUP LTD,0,0,0,0,0,0,0,0,0,1,0,1
CPG DEVELOPMENT PROJECTS LIMITED,0,0,0,0,0,0,0,0,0,6,0,6
CPH SOLICITORS,0,0,0,1,0,0,0,0,0,0,0,1
CRABTREE CHADWICK SOLICITORS,1,0,0,3,1,0,0,0,1,6,2,14
CRABTREE PROPERTY GROUP,0,0,0,0,0,0,0,0,0,12,16,28
CRADICK RETAIL,0,0,0,0,0,0,0,0,0,3,11,14
CRAEGMOOR LIMITED,0,1,0,0,0,0,0,0,0,20,18,39
CRAIG DUBBERLEY,0,0,0,0,0,0,0,0,0,0,1,1
CRAIG SHEEHAN,0,0,0,0,0,0,0,0,0,10,13,23
CRAMP AND MULLANEY LLP,0,0,0,7,6,0,2,0,0,27,21,63
CRAMPTON PYM LEWIS,0,0,1,11,2,0,0,0,0,20,4,38
CRANE & FARIS LIMITED,0,0,0,1,0,0,0,0,0,1,0,2
CRANE & STAPLES,2,5,0,51,33,0,5,0,5,111,48,260
CRANE & WALTON SOLICITORS,7,3,5,77,35,0,9,0,7,135,52,330
CRANES SOLICITORS,0,0,1,19,10,0,2,0,2,49,27,110
CRANOVER PROPERTIES LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
CRAVEN DISTRICT COUNCIL,0,0,0,0,0,0,0,0,0,11,0,11
CRAVEN WILDSMITH PROP MGMENT LLP,0,0,0,0,0,0,0,0,0,10,4,14
CRAWFORD & CO ADJUSTERS (UK) LTD,0,0,0,0,0,0,0,0,0,249,35,284
CRAWLEY BOROUGH COUNCIL,0,0,0,1,0,0,0,0,0,50,5,56
CRAWLEYWOOD LIMITED,0,0,0,0,0,0,0,0,0,8,1,9
CRAYBECK LAW LLP,0,0,0,0,0,0,0,0,0,1,0,1
CREANS SOLICITORS,1,0,0,6,1,0,0,0,0,2,4,14
CREATIVE CAR PARK LTD,0,0,0,0,0,0,0,0,0,503,1,504
CREATIVE LEGAL SOLUTIONS SOLICITOR,0,0,1,1,0,0,0,0,0,15,5,22
CREDIT ASSET MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,32,0,32
CREDIT RECOVERY SYSTEMS LTD,0,0,0,0,0,0,0,0,0,5,0,5
CREDIT STYLE LIMITED,0,0,0,1,0,0,0,0,0,8,0,9
CREDIT4 LIMITED,0,0,0,0,0,0,0,0,0,141,5,146
CREDITFIX LIMITED,0,0,0,383,0,0,0,0,0,0,0,383
CREDITSERVE LTD,0,0,0,0,0,0,0,0,0,10,0,10
CREE GODFREY & WOOD,0,1,1,2,0,0,0,0,0,0,0,4
CREMATORIA MANAGMENT LTD,0,0,0,0,0,0,0,0,0,8,6,14
CREST NICHOLSON PLC,0,0,0,0,0,0,0,0,0,73,2,75
CREST NICHOLSON PLC EASTERN,0,0,0,0,0,0,0,0,0,21,9,30
CRESTWOOD PROPERTY MANAGEMENT LTD,0,0,0,0,0,0,0,0,0,8,4,12
CREWE PROPERTY LAW LIMITED,1,0,0,2,7,0,0,0,1,16,7,34
CRIBBIN & COURT SOLICITORS LTD,0,0,0,1,0,0,0,0,0,0,0,1
CRICKMAY LIMITED,0,0,0,0,0,0,0,0,0,8,8,16
CRIMSON PHOENIX SOLICITORS,0,0,0,0,1,0,0,0,0,6,2,9
CRIPPS,1,17,6,143,51,6,65,0,55,781,236,1361
CRISP & CO SOLICITORS,0,0,0,3,0,0,0,0,0,5,0,8
CROCUS HOME LOANS LTD,0,0,0,0,0,0,0,0,0,1,0,1
CROFTONS SOLICITORS LLP,0,1,1,1,0,0,1,0,0,14,3,21
CROFTS,1,1,0,13,5,0,0,0,0,23,13,56
CROMBIE WILKINSON SOLICITORS,3,1,7,96,47,1,16,0,12,221,67,471
CROMPTON HALLIWELL,2,0,1,48,44,0,5,0,2,94,44,240
CROMWELL EQUITY LIMITED,0,0,0,8,0,0,0,0,0,101,25,134
CROMWELL HOLDINGS LTD,0,0,0,0,0,0,0,0,0,2,0,2
CROOKESLAW,1,0,0,14,0,0,0,0,0,17,4,36
CROSBY & WOODS,1,9,0,33,14,0,0,0,0,50,24,131
CROSS DEVELOPMENTS (SUSSEX) LIMITE,0,0,0,0,0,0,0,0,0,2,0,2
CROSS KEYS HOMES LTD,0,0,0,0,0,0,0,0,0,2,2,4
CROSS RAM & CO,2,0,1,21,5,0,2,0,1,46,16,94
CROSS SOLICITORS,2,0,3,38,59,0,1,0,1,137,60,301
CROSSE & CROSSE,1,0,0,24,17,0,1,0,3,51,14,111
Crosse Wyatt & Co,1,1,1,15,9,1,2,0,3,40,14,87
CROSSFIELD PROPERTY SERVICES LIMIT,0,0,0,0,0,0,0,0,0,287,1,288
CROSSLAND OTTER HUNT,0,0,0,0,0,0,0,0,0,3,0,3
CROSSLANE INVESTMENTS LIMITED,0,0,0,0,0,0,0,0,0,2,1,3
CROSSMANS,1,0,0,0,2,0,0,0,1,3,0,7
CROSSMANS MTA,1,0,2,6,7,0,0,0,0,21,13,50
CROUCHER NEEDHAM LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
CROUDACE HOMES,0,1,0,2,0,0,1,0,3,54,9,70
CROWD2FUND LIMITED,0,0,0,0,0,0,0,0,0,50,0,50
CROWE U.K.LLP,0,0,0,0,0,0,0,0,0,42,0,42
CROWELL & MORING,0,0,0,0,0,0,0,0,0,4,0,4
CROWLEY & CO,1,1,0,8,3,0,0,0,0,28,5,46
CROWN GATE LAW SOLICITORS,0,0,0,1,0,0,0,0,0,9,1,11
