Number and types of applications by all account customers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-21,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
BARNETT ALEXANDER CONWAY INGRAM LLP,0,8,1,33,9,0,3,0,4,69,18,145
BARNFIELD CONSTRUCTION LTD,0,0,0,0,0,0,0,0,0,5,0,5
BARNFIELD HOMES LIMITED,0,0,0,0,0,0,0,0,0,4,0,4
BARNSDALES LIMITED,0,0,0,0,0,0,0,0,0,46,1,47
BARNSLEY METROPOLITAN BOROUGH COUNCIL,0,0,0,2,2,0,0,0,5,160,40,209
BARON GREY LIMITED,0,1,0,13,6,0,0,0,2,27,4,53
Barr Ellison,2,1,4,64,18,0,3,0,6,127,38,263
BARRATT DEVELOPMENTS PLC,0,0,0,1,0,0,0,0,0,246,51,298
BARRETT & ASSOCIATES,0,1,0,6,3,0,1,0,2,14,9,36
BARRETT & CO,0,0,0,7,7,0,0,0,0,33,20,67
BARRETT & NELLIGAN,1,0,1,28,29,0,4,0,1,37,13,114
BARRETT & THOMSON,1,3,0,15,8,3,1,0,0,34,19,84
BARRINGTON & SONS,1,0,2,18,10,0,2,0,2,34,16,85
BARRINGTONS,0,0,1,20,15,0,11,0,4,40,20,111
BARRINGTONS LEGAL LTD,0,0,0,0,1,0,0,0,0,0,0,1
BARROW & COOK,1,1,1,24,15,0,4,0,11,58,18,133
BARROW BOROUGH COUNCIL,0,0,0,0,0,0,0,0,0,69,1,70
