CODE,TREE,LOCALITY,SPECIES,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORIGIN,STAND,EXTRACTION #,HAPLOTYPE,Colour
P4-128,4.0,Wistmans Wood,Quercus robur,50.576,-3.963,411.0,England,autochthonus,Forest,WST4,9,Orange
P4-128,5.0,Wistmans Wood,Quercus robur,50.576,-3.963,411.0,England,autochthonus,Forest,WST5,9,Orange
P4-129,1.0,Melbury Park,Quercus robur,50.851,-2.611,137.0,England,autochthonus,Forest,MBY1,9,Orange
P4-129,2.0,Melbury Park,Quercus robur,50.851,-2.611,137.0,England,autochthonus,Forest,MBY2,9,Orange
P4-129,3.0,Melbury Park,Quercus robur,50.851,-2.611,137.0,England,autochthonus,Forest,MBY3,9,Orange
P4-129,4.0,Melbury Park,Quercus robur,50.851,-2.611,137.0,England,autochthonus,Forest,MBY4,9,Orange
P4-129,5.0,Melbury Park,Quercus robur,50.851,-2.611,137.0,England,autochthonus,Forest,MBY5,9,Orange
P4-130,1.0,Powerstock Common,Quercus robur,50.761,-2.666,152.0,England,autochthonus,Forest,PTK1,8,Yellow
P4-130,2.0,Powerstock Common,Quercus robur,50.761,-2.666,152.0,England,autochthonus,Forest,PTK2,8,Yellow
P4-130,3.0,Powerstock Common,Quercus robur,50.761,-2.666,152.0,England,autochthonus,Forest,PTK3,8,Yellow
P4-130,4.0,Powerstock Common,Quercus robur,50.761,-2.666,152.0,England,autochthonus,Forest,PTK4,8,Yellow
P4-130,5.0,Powerstock Common,Quercus robur,50.761,-2.666,152.0,England,autochthonus,Forest,PTK5,8,Yellow
P4-131,1.0,Great Wood/King s Wood,Quercus robur,50.637,-2.141,122.0,England,autochthonus,Forest,GWK1,8,Yellow
P4-131,2.0,Great Wood/King s Wood,Quercus robur,50.637,-2.141,122.0,England,autochthonus,Forest,GWK7,8,Yellow
P4-131,3.0,Great Wood/King s Wood,Quercus robur,50.637,-2.141,122.0,England,autochthonus,Forest,GWK8,8,Yellow
P4-131,4.0,Great Wood/King s Wood,Quercus robur,50.637,-2.141,122.0,England,autochthonus,Forest,GWK10,9,Orange
P4-131,5.0,Great Wood/King s Wood,Quercus robur,50.637,-2.141,122.0,England,autochthonus,Forest,GWK9,9,Orange
