Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Turkeys,Conditions,Dermatitis,2020-10,England,228.0,776338.0,13.0,0.029
Turkeys,Conditions,Dermatitis,2020-11,England,102.0,2458105.0,20.0,0.004
Turkeys,Conditions,Dermatitis,2020-11,England,328.0,2458105.0,20.0,0.013
Turkeys,Conditions,Dermatitis,2020-12,England,440.0,1948336.0,21.0,0.023
Turkeys,Conditions,Dermatitis,2020-12,England,288.0,1948336.0,21.0,0.015
Turkeys,Conditions,Dermatitis,2020-11,Wales,10.0,106911.0,2.0,0.009
Turkeys,Conditions,Dermatitis,2020-11,Wales,9.0,106911.0,2.0,0.008
Turkeys,Conditions,Dermatitis,2020-12,Wales,2.0,40668.0,2.0,0.005
Turkeys,Conditions,Emaciation,2020-10,England,224.0,776338.0,13.0,0.029
Turkeys,Conditions,Emaciation,2020-11,England,759.0,2458105.0,20.0,0.031
Turkeys,Conditions,Emaciation,2020-12,England,530.0,1948336.0,21.0,0.027
Turkeys,Conditions,Emaciation,2020-10,Wales,1.0,5334.0,2.0,0.019
Turkeys,Conditions,Emaciation,2020-11,Wales,22.0,106911.0,2.0,0.021
Turkeys,Conditions,Emaciation,2020-12,Wales,11.0,40668.0,2.0,0.027
Turkeys,Conditions,Hepatitis,2020-10,England,1220.0,776338.0,13.0,0.157
Turkeys,Conditions,Hepatitis,2020-10,England,46.0,776338.0,13.0,0.006
Turkeys,Conditions,Hepatitis,2020-11,England,2266.0,2458105.0,20.0,0.092
Turkeys,Conditions,Hepatitis,2020-11,England,676.0,2458105.0,20.0,0.028
Turkeys,Conditions,Hepatitis,2020-12,England,1474.0,1948336.0,21.0,0.076
Turkeys,Conditions,Hepatitis,2020-12,England,434.0,1948336.0,21.0,0.022
Turkeys,Conditions,Hepatitis,2020-10,Wales,85.0,5334.0,2.0,1.594
Turkeys,Conditions,Hepatitis,2020-11,Wales,716.0,106911.0,2.0,0.67
