met type,date,mean/sum,min,max,%complete,comments
Air Temperature,05/10/2009,6.25,1.5,12.3,100,
Air Temperature,06/10/2009,7.08,0.5,11.7,100,
Air Temperature,07/10/2009,5.05,0.8,10.2,100,
Air Temperature,08/10/2009,5.67,0.4,10.9,100,
Air Temperature,09/10/2009,5.84,-0.9,9.9,100,
Air Temperature,10/10/2009,9.3,7.4,11.3,100,
Air Temperature,11/10/2009,9.29,7.5,12.2,100,
Air Temperature,12/10/2009,6.08,1.7,10.6,100,
Air Temperature,13/10/2009,8.35,4.5,11.6,100,
Air Temperature,14/10/2009,11.42,10.2,12.8,100,
Air Temperature,15/10/2009,11.93,11.0,13.0,100,
Air Temperature,16/10/2009,7.53,0.9,10.3,100,
Air Temperature,17/10/2009,5.29,-1.0,10.3,100,
Air Temperature,18/10/2009,5.7,-1.5,9.0,100,
Air Temperature,19/10/2009,8.8,6.3,9.8,100,
Air Temperature,20/10/2009,6.58,4.6,8.4,100,
Air Temperature,21/10/2009,9.3,8.3,10.5,100,
Air Temperature,22/10/2009,9.13,6.9,11.6,100,
Air Temperature,23/10/2009,9.13,5.1,11.4,100,
Air Temperature,24/10/2009,9.69,5.9,13.8,100,
Air Temperature,25/10/2009,9.95,9.4,10.2,100,
Air Temperature,26/10/2009,8.75,6.4,11.1,100,
Air Temperature,27/10/2009,9.46,7.6,12.9,100,
Air Temperature,28/10/2009,11.9,11.0,12.8,100,
Air Temperature,29/10/2009,10.13,4.5,14.8,100,
Air Temperature,30/10/2009,10.48,7.9,13.1,100,
Air Temperature,31/10/2009,11.43,9.3,13.9,100,
Air Temperature,01/11/2009,8.68,6.5,10.2,100,
Air Temperature,02/11/2009,5.94,2.7,7.1,100,
Air Temperature,03/11/2009,6.19,4.4,7.9,100,
Air Temperature,04/11/2009,5.25,3.6,7.0,100,
Air Temperature,05/11/2009,4.85,2.6,8.4,100,
Air Temperature,06/11/2009,2.98,-1.0,7.2,100,
Air Temperature,07/11/2009,3.81,1.7,6.7,100,
Air Temperature,08/11/2009,3.98,-0.2,7.2,100,
Air Temperature,09/11/2009,1.76,-1.2,8.2,100,
Air Temperature,10/11/2009,3.58,0.5,6.8,100,
Air Temperature,11/11/2009,4.15,1.0,6.6,100,
Air Temperature,12/11/2009,6.85,3.8,9.4,100,
Air Temperature,13/11/2009,5.88,4.7,8.4,100,
Air Temperature,14/11/2009,7.33,5.0,10.6,100,
Air Temperature,15/11/2009,5.92,3.1,9.0,100,
Air Temperature,16/11/2009,6.13,4.2,7.3,100,
Air Temperature,17/11/2009,6.65,5.2,7.5,100,
Air Temperature,18/11/2009,5.9,3.5,9.9,100,
Air Temperature,19/11/2009,10.93,10.2,11.3,100,
Air Temperature,20/11/2009,8.53,3.8,11.2,100,
Air Temperature,21/11/2009,5.68,1.1,11.7,100,
Air Temperature,22/11/2009,6.26,5.3,8.1,100,
Air Temperature,23/11/2009,6.26,5.0,7.1,100,
Air Temperature,24/11/2009,7.79,5.5,10.2,100,
Air Temperature,25/11/2009,5.25,4.0,6.8,100,
Air Temperature,26/11/2009,4.28,3.3,6.0,100,
Air Temperature,27/11/2009,3.89,2.5,5.3,100,
Air Temperature,28/11/2009,1.32,-0.6,4.4,100,
Air Temperature,29/11/2009,3.2,2.1,4.0,100,
Air Temperature,30/11/2009,0.51,-2.7,2.3,100,
Air Temperature,01/12/2009,-1.16,-5.3,2.4,100,
Air Temperature,02/12/2009,2.75,1.6,4.9,100,
Air Temperature,03/12/2009,2.66,0.6,3.7,100,
Air Temperature,04/12/2009,1.23,-0.6,3.2,100,
Air Temperature,05/12/2009,4.5,2.2,6.6,100,
Air Temperature,06/12/2009,6.0,4.0,9.6,100,
Air Temperature,07/12/2009,5.48,3.8,7.3,100,
Air Temperature,08/12/2009,5.58,3.8,8.2,100,
Air Temperature,09/12/2009,6.5,4.2,8.3,100,
Air Temperature,10/12/2009,2.6,-0.9,6.4,100,
Air Temperature,11/12/2009,-0.02,-1.8,2.6,100,
Air Temperature,12/12/2009,1.27,-0.5,3.8,100,
Air Temperature,13/12/2009,1.22,-1.0,3.2,100,
Air Temperature,14/12/2009,2.83,0.1,6.0,100,
Air Temperature,15/12/2009,4.62,3.5,5.7,100,
Air Temperature,16/12/2009,3.5,1.8,4.5,100,
Air Temperature,17/12/2009,-0.48,-3.0,1.7,100,
Air Temperature,18/12/2009,-3.38,-6.4,-1.3,100,
Air Temperature,19/12/2009,-3.28,-5.5,-0.1,100,
Air Temperature,20/12/2009,-3.63,-8.1,-0.2,100,
Air Temperature,21/12/2009,-0.4,-1.5,0.1,100,
Air Temperature,22/12/2009,-1.63,-2.8,0.2,100,
Air Temperature,23/12/2009,-2.0,-6.4,0.9,100,
Air Temperature,24/12/2009,-1.74,-4.7,0.6,100,
Air Temperature,25/12/2009,-1.81,-3.7,-0.7,100,
Air Temperature,26/12/2009,0.12,-1.1,1.0,100,
Air Temperature,27/12/2009,0.61,-0.1,1.4,100,
Air Temperature,28/12/2009,-2.59,-5.5,1.9,100,
