Week_end,Indicator,High_industry,Value
2019-09-22,Weekly earnings - upper quartile - 20 days,Z No Match,734.43
2019-09-22,Weekly earnings - lower quartile - 20 days,Total,625.0
2019-09-22,Weekly earnings - lower quartile - 20 days,A Primary,630.0
2019-09-22,Weekly earnings - lower quartile - 20 days,B Goods Producing,845.5
2019-09-22,Weekly earnings - lower quartile - 20 days,C Services,571.43
2019-09-22,Weekly earnings - lower quartile - 20 days,Z No Match,174.65
2019-09-29,Number of paid jobs - 20 days,Total,1841710.0
2019-09-29,Number of paid jobs - 20 days,A Primary,74850.0
2019-09-29,Number of paid jobs - 20 days,B Goods Producing,343820.0
2019-09-29,Number of paid jobs - 20 days,C Services,1397250.0
2019-09-29,Number of paid jobs - 20 days,Z No Match,25790.0
2019-09-29,Weekly earnings - median - 20 days,Total,980.0
2019-09-29,Weekly earnings - median - 20 days,A Primary,951.38
2019-09-29,Weekly earnings - median - 20 days,B Goods Producing,1107.0
2019-09-29,Weekly earnings - median - 20 days,C Services,951.56
2019-09-29,Weekly earnings - median - 20 days,Z No Match,566.4
2019-09-29,Weekly earnings - upper quartile - 20 days,Total,1400.0
2019-09-29,Weekly earnings - upper quartile - 20 days,A Primary,1266.02
2019-09-29,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.62
2019-09-29,Weekly earnings - upper quartile - 20 days,C Services,1400.0
2019-09-29,Weekly earnings - upper quartile - 20 days,Z No Match,875.0
2019-09-29,Weekly earnings - lower quartile - 20 days,Total,617.03
2019-09-29,Weekly earnings - lower quartile - 20 days,A Primary,600.0
2019-09-29,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2019-09-29,Weekly earnings - lower quartile - 20 days,C Services,557.5
2019-09-29,Weekly earnings - lower quartile - 20 days,Z No Match,274.35
2019-10-06,Number of paid jobs - 20 days,Total,1876640.0
2019-10-06,Number of paid jobs - 20 days,A Primary,75760.0
2019-10-06,Number of paid jobs - 20 days,B Goods Producing,346360.0
2019-10-06,Number of paid jobs - 20 days,C Services,1426360.0
2019-10-06,Number of paid jobs - 20 days,Z No Match,28150.0
2019-10-06,Weekly earnings - median - 20 days,Total,984.0
2019-10-06,Weekly earnings - median - 20 days,A Primary,945.38
2019-10-06,Weekly earnings - median - 20 days,B Goods Producing,1118.15
2019-10-06,Weekly earnings - median - 20 days,C Services,958.37
2019-10-06,Weekly earnings - median - 20 days,Z No Match,522.5
2019-10-06,Weekly earnings - upper quartile - 20 days,Total,1409.92
2019-10-06,Weekly earnings - upper quartile - 20 days,A Primary,1261.54
2019-10-06,Weekly earnings - upper quartile - 20 days,B Goods Producing,1466.85
2019-10-06,Weekly earnings - upper quartile - 20 days,C Services,1408.7
2019-10-06,Weekly earnings - upper quartile - 20 days,Z No Match,850.0
2019-10-06,Weekly earnings - lower quartile - 20 days,Total,623.42
2019-10-06,Weekly earnings - lower quartile - 20 days,A Primary,587.94
2019-10-06,Weekly earnings - lower quartile - 20 days,B Goods Producing,843.75
2019-10-06,Weekly earnings - lower quartile - 20 days,C Services,570.0
2019-10-06,Weekly earnings - lower quartile - 20 days,Z No Match,221.13
2019-10-13,Number of paid jobs - 20 days,Total,1885780.0
2019-10-13,Number of paid jobs - 20 days,A Primary,77260.0
2019-10-13,Number of paid jobs - 20 days,B Goods Producing,347180.0
2019-10-13,Number of paid jobs - 20 days,C Services,1438300.0
2019-10-13,Number of paid jobs - 20 days,Z No Match,23040.0
2019-10-13,Weekly earnings - median - 20 days,Total,984.04
2019-10-13,Weekly earnings - median - 20 days,A Primary,938.52
2019-10-13,Weekly earnings - median - 20 days,B Goods Producing,1116.0
2019-10-13,Weekly earnings - median - 20 days,C Services,957.83
2019-10-13,Weekly earnings - median - 20 days,Z No Match,531.0
2019-10-13,Weekly earnings - upper quartile - 20 days,Total,1409.52
2019-10-13,Weekly earnings - upper quartile - 20 days,A Primary,1255.0
2019-10-13,Weekly earnings - upper quartile - 20 days,B Goods Producing,1461.54
2019-10-13,Weekly earnings - upper quartile - 20 days,C Services,1409.21
2019-10-13,Weekly earnings - upper quartile - 20 days,Z No Match,838.36
2019-10-13,Weekly earnings - lower quartile - 20 days,Total,619.23
2019-10-13,Weekly earnings - lower quartile - 20 days,A Primary,576.66
2019-10-13,Weekly earnings - lower quartile - 20 days,B Goods Producing,841.52
2019-10-13,Weekly earnings - lower quartile - 20 days,C Services,564.38
2019-10-13,Weekly earnings - lower quartile - 20 days,Z No Match,240.01
2019-10-20,Number of paid jobs - 20 days,Total,1899370.0
2019-10-20,Number of paid jobs - 20 days,A Primary,79040.0
2019-10-20,Number of paid jobs - 20 days,B Goods Producing,346540.0
2019-10-20,Number of paid jobs - 20 days,C Services,1452760.0
2019-10-20,Number of paid jobs - 20 days,Z No Match,21030.0
2019-10-20,Weekly earnings - median - 20 days,Total,985.28
2019-10-20,Weekly earnings - median - 20 days,A Primary,930.87
2019-10-20,Weekly earnings - median - 20 days,B Goods Producing,1115.38
2019-10-20,Weekly earnings - median - 20 days,C Services,960.0
2019-10-20,Weekly earnings - median - 20 days,Z No Match,413.1
2019-10-20,Weekly earnings - upper quartile - 20 days,Total,1409.19
2019-10-20,Weekly earnings - upper quartile - 20 days,A Primary,1258.59
2019-10-20,Weekly earnings - upper quartile - 20 days,B Goods Producing,1459.86
2019-10-20,Weekly earnings - upper quartile - 20 days,C Services,1408.5
2019-10-20,Weekly earnings - upper quartile - 20 days,Z No Match,760.0
2019-10-20,Weekly earnings - lower quartile - 20 days,Total,620.0
2019-10-20,Weekly earnings - lower quartile - 20 days,A Primary,579.67
2019-10-20,Weekly earnings - lower quartile - 20 days,B Goods Producing,842.84
2019-10-20,Weekly earnings - lower quartile - 20 days,C Services,566.5
2019-10-20,Weekly earnings - lower quartile - 20 days,Z No Match,213.75
2019-10-27,Number of paid jobs - 20 days,Total,1903550.0
2019-10-27,Number of paid jobs - 20 days,A Primary,80190.0
2019-10-27,Number of paid jobs - 20 days,B Goods Producing,347790.0
2019-10-27,Number of paid jobs - 20 days,C Services,1452080.0
2019-10-27,Number of paid jobs - 20 days,Z No Match,23480.0
2019-10-27,Weekly earnings - median - 20 days,Total,990.0
2019-10-27,Weekly earnings - median - 20 days,A Primary,960.89
2019-10-27,Weekly earnings - median - 20 days,B Goods Producing,1107.14
2019-10-27,Weekly earnings - median - 20 days,C Services,961.54
2019-10-27,Weekly earnings - median - 20 days,Z No Match,488.98
2019-10-27,Weekly earnings - upper quartile - 20 days,Total,1408.75
2019-10-27,Weekly earnings - upper quartile - 20 days,A Primary,1278.83
2019-10-27,Weekly earnings - upper quartile - 20 days,B Goods Producing,1447.3
2019-10-27,Weekly earnings - upper quartile - 20 days,C Services,1412.2
2019-10-27,Weekly earnings - upper quartile - 20 days,Z No Match,816.25
2019-10-27,Weekly earnings - lower quartile - 20 days,Total,628.35
2019-10-27,Weekly earnings - lower quartile - 20 days,A Primary,621.3
2019-10-27,Weekly earnings - lower quartile - 20 days,B Goods Producing,841.32
2019-10-27,Weekly earnings - lower quartile - 20 days,C Services,572.88
2019-10-27,Weekly earnings - lower quartile - 20 days,Z No Match,221.08
2019-11-03,Number of paid jobs - 20 days,Total,1924520.0
2019-11-03,Number of paid jobs - 20 days,A Primary,82440.0
2019-11-03,Number of paid jobs - 20 days,B Goods Producing,351330.0
2019-11-03,Number of paid jobs - 20 days,C Services,1464650.0
2019-11-03,Number of paid jobs - 20 days,Z No Match,26100.0
2019-11-03,Weekly earnings - median - 20 days,Total,1000.0
2019-11-03,Weekly earnings - median - 20 days,A Primary,961.54
2019-11-03,Weekly earnings - median - 20 days,B Goods Producing,1121.97
2019-11-03,Weekly earnings - median - 20 days,C Services,976.0
2019-11-03,Weekly earnings - median - 20 days,Z No Match,547.45
2019-11-03,Weekly earnings - upper quartile - 20 days,Total,1432.0
2019-11-03,Weekly earnings - upper quartile - 20 days,A Primary,1294.15
2019-11-03,Weekly earnings - upper quartile - 20 days,B Goods Producing,1472.74
2019-11-03,Weekly earnings - upper quartile - 20 days,C Services,1436.42
2019-11-03,Weekly earnings - upper quartile - 20 days,Z No Match,865.38
2019-11-03,Weekly earnings - lower quartile - 20 days,Total,638.83
2019-11-03,Weekly earnings - lower quartile - 20 days,A Primary,618.56
2019-11-03,Weekly earnings - lower quartile - 20 days,B Goods Producing,851.1
2019-11-03,Weekly earnings - lower quartile - 20 days,C Services,584.1
2019-11-03,Weekly earnings - lower quartile - 20 days,Z No Match,231.62
2019-11-10,Number of paid jobs - 20 days,Total,1934570.0
2019-11-10,Number of paid jobs - 20 days,A Primary,85050.0
2019-11-10,Number of paid jobs - 20 days,B Goods Producing,353690.0
2019-11-10,Number of paid jobs - 20 days,C Services,1475870.0
2019-11-10,Number of paid jobs - 20 days,Z No Match,19960.0
2019-11-10,Weekly earnings - median - 20 days,Total,998.23
2019-11-10,Weekly earnings - median - 20 days,A Primary,957.3
2019-11-10,Weekly earnings - median - 20 days,B Goods Producing,1120.25
2019-11-10,Weekly earnings - median - 20 days,C Services,964.25
2019-11-10,Weekly earnings - median - 20 days,Z No Match,482.89
2019-11-10,Weekly earnings - upper quartile - 20 days,Total,1428.0
2019-11-10,Weekly earnings - upper quartile - 20 days,A Primary,1271.62
2019-11-10,Weekly earnings - upper quartile - 20 days,B Goods Producing,1471.15
2019-11-10,Weekly earnings - upper quartile - 20 days,C Services,1430.74
2019-11-10,Weekly earnings - upper quartile - 20 days,Z No Match,771.43
2019-11-10,Weekly earnings - lower quartile - 20 days,Total,628.68
2019-11-10,Weekly earnings - lower quartile - 20 days,A Primary,604.44
2019-11-10,Weekly earnings - lower quartile - 20 days,B Goods Producing,846.36
2019-11-10,Weekly earnings - lower quartile - 20 days,C Services,574.88
2019-11-10,Weekly earnings - lower quartile - 20 days,Z No Match,212.4
2019-11-17,Number of paid jobs - 20 days,Total,1948390.0
2019-11-17,Number of paid jobs - 20 days,A Primary,87270.0
2019-11-17,Number of paid jobs - 20 days,B Goods Producing,356330.0
2019-11-17,Number of paid jobs - 20 days,C Services,1484330.0
2019-11-17,Number of paid jobs - 20 days,Z No Match,20460.0
2019-11-17,Weekly earnings - median - 20 days,Total,993.0
2019-11-17,Weekly earnings - median - 20 days,A Primary,938.52
2019-11-17,Weekly earnings - median - 20 days,B Goods Producing,1120.08
2019-11-17,Weekly earnings - median - 20 days,C Services,961.54
2019-11-17,Weekly earnings - median - 20 days,Z No Match,550.97
2019-11-17,Weekly earnings - upper quartile - 20 days,Total,1420.5
2019-11-17,Weekly earnings - upper quartile - 20 days,A Primary,1253.75
2019-11-17,Weekly earnings - upper quartile - 20 days,B Goods Producing,1471.87
2019-11-17,Weekly earnings - upper quartile - 20 days,C Services,1421.5
2019-11-17,Weekly earnings - upper quartile - 20 days,Z No Match,841.73
2019-11-17,Weekly earnings - lower quartile - 20 days,Total,630.45
2019-11-17,Weekly earnings - lower quartile - 20 days,A Primary,590.5
2019-11-17,Weekly earnings - lower quartile - 20 days,B Goods Producing,845.72
2019-11-17,Weekly earnings - lower quartile - 20 days,C Services,577.5
2019-11-17,Weekly earnings - lower quartile - 20 days,Z No Match,225.82
2019-11-24,Number of paid jobs - 20 days,Total,1960690.0
2019-11-24,Number of paid jobs - 20 days,A Primary,89830.0
2019-11-24,Number of paid jobs - 20 days,B Goods Producing,359740.0
2019-11-24,Number of paid jobs - 20 days,C Services,1485310.0
2019-11-24,Number of paid jobs - 20 days,Z No Match,25810.0
2019-11-24,Weekly earnings - median - 20 days,Total,990.0
2019-11-24,Weekly earnings - median - 20 days,A Primary,942.31
2019-11-24,Weekly earnings - median - 20 days,B Goods Producing,1122.35
2019-11-24,Weekly earnings - median - 20 days,C Services,961.54
2019-11-24,Weekly earnings - median - 20 days,Z No Match,560.0
2019-11-24,Weekly earnings - upper quartile - 20 days,Total,1420.18
2019-11-24,Weekly earnings - upper quartile - 20 days,A Primary,1261.99
2019-11-24,Weekly earnings - upper quartile - 20 days,B Goods Producing,1478.57
2019-11-24,Weekly earnings - upper quartile - 20 days,C Services,1420.0
2019-11-24,Weekly earnings - upper quartile - 20 days,Z No Match,826.1
2019-11-24,Weekly earnings - lower quartile - 20 days,Total,630.29
2019-11-24,Weekly earnings - lower quartile - 20 days,A Primary,602.15
2019-11-24,Weekly earnings - lower quartile - 20 days,B Goods Producing,848.22
2019-11-24,Weekly earnings - lower quartile - 20 days,C Services,578.12
2019-11-24,Weekly earnings - lower quartile - 20 days,Z No Match,287.63
2019-12-01,Number of paid jobs - 20 days,Total,1979180.0
2019-12-01,Number of paid jobs - 20 days,A Primary,91990.0
2019-12-01,Number of paid jobs - 20 days,B Goods Producing,362260.0
2019-12-01,Number of paid jobs - 20 days,C Services,1492830.0
2019-12-01,Number of paid jobs - 20 days,Z No Match,32100.0
2019-12-01,Weekly earnings - median - 20 days,Total,999.22
2019-12-01,Weekly earnings - median - 20 days,A Primary,949.05
2019-12-01,Weekly earnings - median - 20 days,B Goods Producing,1134.4
2019-12-01,Weekly earnings - median - 20 days,C Services,966.0
2019-12-01,Weekly earnings - median - 20 days,Z No Match,614.14
2019-12-01,Weekly earnings - upper quartile - 20 days,Total,1429.5
2019-12-01,Weekly earnings - upper quartile - 20 days,A Primary,1270.13
2019-12-01,Weekly earnings - upper quartile - 20 days,B Goods Producing,1488.35
2019-12-01,Weekly earnings - upper quartile - 20 days,C Services,1431.68
2019-12-01,Weekly earnings - upper quartile - 20 days,Z No Match,899.54
2019-12-01,Weekly earnings - lower quartile - 20 days,Total,640.5
2019-12-01,Weekly earnings - lower quartile - 20 days,A Primary,608.58
2019-12-01,Weekly earnings - lower quartile - 20 days,B Goods Producing,858.39
2019-12-01,Weekly earnings - lower quartile - 20 days,C Services,588.84
2019-12-01,Weekly earnings - lower quartile - 20 days,Z No Match,354.31
2019-12-08,Number of paid jobs - 20 days,Total,1985460.0
2019-12-08,Number of paid jobs - 20 days,A Primary,92720.0
2019-12-08,Number of paid jobs - 20 days,B Goods Producing,362260.0
2019-12-08,Number of paid jobs - 20 days,C Services,1497200.0
2019-12-08,Number of paid jobs - 20 days,Z No Match,33280.0
2019-12-08,Weekly earnings - median - 20 days,Total,961.5
2019-12-08,Weekly earnings - median - 20 days,A Primary,933.0
2019-12-08,Weekly earnings - median - 20 days,B Goods Producing,1146.81
2019-12-08,Weekly earnings - median - 20 days,C Services,916.5
2019-12-08,Weekly earnings - median - 20 days,Z No Match,588.8
2019-12-08,Weekly earnings - upper quartile - 20 days,Total,1384.5
2019-12-08,Weekly earnings - upper quartile - 20 days,A Primary,1257.69
2019-12-08,Weekly earnings - upper quartile - 20 days,B Goods Producing,1500.0
2019-12-08,Weekly earnings - upper quartile - 20 days,C Services,1360.0
2019-12-08,Weekly earnings - upper quartile - 20 days,Z No Match,887.51
2019-12-08,Weekly earnings - lower quartile - 20 days,Total,566.95
2019-12-08,Weekly earnings - lower quartile - 20 days,A Primary,591.5
2019-12-08,Weekly earnings - lower quartile - 20 days,B Goods Producing,865.0
2019-12-08,Weekly earnings - lower quartile - 20 days,C Services,500.0
2019-12-08,Weekly earnings - lower quartile - 20 days,Z No Match,309.81
2019-12-15,Number of paid jobs - 20 days,Total,1835570.0
2019-12-15,Number of paid jobs - 20 days,A Primary,93270.0
2019-12-15,Number of paid jobs - 20 days,B Goods Producing,359690.0
2019-12-15,Number of paid jobs - 20 days,C Services,1349790.0
2019-12-15,Number of paid jobs - 20 days,Z No Match,32820.0
2019-12-15,Weekly earnings - median - 20 days,Total,996.8
2019-12-15,Weekly earnings - median - 20 days,A Primary,950.0
2019-12-15,Weekly earnings - median - 20 days,B Goods Producing,1175.0
2019-12-15,Weekly earnings - median - 20 days,C Services,957.42
2019-12-15,Weekly earnings - median - 20 days,Z No Match,566.4
2019-12-15,Weekly earnings - upper quartile - 20 days,Total,1424.25
2019-12-15,Weekly earnings - upper quartile - 20 days,A Primary,1276.08
2019-12-15,Weekly earnings - upper quartile - 20 days,B Goods Producing,1569.39
2019-12-15,Weekly earnings - upper quartile - 20 days,C Services,1395.18
2019-12-15,Weekly earnings - upper quartile - 20 days,Z No Match,830.85
2019-12-15,Weekly earnings - lower quartile - 20 days,Total,644.88
2019-12-15,Weekly earnings - lower quartile - 20 days,A Primary,592.61
2019-12-15,Weekly earnings - lower quartile - 20 days,B Goods Producing,880.0
2019-12-15,Weekly earnings - lower quartile - 20 days,C Services,595.0
2019-12-15,Weekly earnings - lower quartile - 20 days,Z No Match,265.25
2019-12-22,Number of paid jobs - 20 days,Total,1928010.0
2019-12-22,Number of paid jobs - 20 days,A Primary,91570.0
2019-12-22,Number of paid jobs - 20 days,B Goods Producing,355150.0
2019-12-22,Number of paid jobs - 20 days,C Services,1455140.0
2019-12-22,Number of paid jobs - 20 days,Z No Match,26150.0
2019-12-22,Weekly earnings - median - 20 days,Total,1000.0
2019-12-22,Weekly earnings - median - 20 days,A Primary,935.13
2019-12-22,Weekly earnings - median - 20 days,B Goods Producing,1147.5
2019-12-22,Weekly earnings - median - 20 days,C Services,971.25
2019-12-22,Weekly earnings - median - 20 days,Z No Match,324.91
2019-12-22,Weekly earnings - upper quartile - 20 days,Total,1442.31
2019-12-22,Weekly earnings - upper quartile - 20 days,A Primary,1269.23
2019-12-22,Weekly earnings - upper quartile - 20 days,B Goods Producing,1538.46
2019-12-22,Weekly earnings - upper quartile - 20 days,C Services,1442.0
2019-12-22,Weekly earnings - upper quartile - 20 days,Z No Match,655.55
2019-12-22,Weekly earnings - lower quartile - 20 days,Total,640.72
2019-12-22,Weekly earnings - lower quartile - 20 days,A Primary,576.92
2019-12-22,Weekly earnings - lower quartile - 20 days,B Goods Producing,862.33
2019-12-22,Weekly earnings - lower quartile - 20 days,C Services,600.0
2019-12-22,Weekly earnings - lower quartile - 20 days,Z No Match,139.42
2019-12-29,Number of paid jobs - 20 days,Total,1844210.0
2019-12-29,Number of paid jobs - 20 days,A Primary,85180.0
2019-12-29,Number of paid jobs - 20 days,B Goods Producing,333370.0
2019-12-29,Number of paid jobs - 20 days,C Services,1409350.0
2019-12-29,Number of paid jobs - 20 days,Z No Match,16320.0
2019-12-29,Weekly earnings - median - 20 days,Total,1010.0
2019-12-29,Weekly earnings - median - 20 days,A Primary,936.0
2019-12-29,Weekly earnings - median - 20 days,B Goods Producing,1096.15
2019-12-29,Weekly earnings - median - 20 days,C Services,1000.0
2019-12-29,Weekly earnings - median - 20 days,Z No Match,500.0
2019-12-29,Weekly earnings - upper quartile - 20 days,Total,1441.86
2019-12-29,Weekly earnings - upper quartile - 20 days,A Primary,1257.07
2019-12-29,Weekly earnings - upper quartile - 20 days,B Goods Producing,1449.7
2019-12-29,Weekly earnings - upper quartile - 20 days,C Services,1447.45
2019-12-29,Weekly earnings - upper quartile - 20 days,Z No Match,833.03
2019-12-29,Weekly earnings - lower quartile - 20 days,Total,665.0
2019-12-29,Weekly earnings - lower quartile - 20 days,A Primary,543.4
2019-12-29,Weekly earnings - lower quartile - 20 days,B Goods Producing,816.0
2019-12-29,Weekly earnings - lower quartile - 20 days,C Services,636.0
2019-12-29,Weekly earnings - lower quartile - 20 days,Z No Match,210.33
2020-01-05,Number of paid jobs - 20 days,Total,1842590.0
2020-01-05,Number of paid jobs - 20 days,A Primary,84730.0
2020-01-05,Number of paid jobs - 20 days,B Goods Producing,332920.0
2020-01-05,Number of paid jobs - 20 days,C Services,1392420.0
2020-01-05,Number of paid jobs - 20 days,Z No Match,32530.0
2020-01-05,Weekly earnings - median - 20 days,Total,1014.04
2020-01-05,Weekly earnings - median - 20 days,A Primary,946.35
2020-01-05,Weekly earnings - median - 20 days,B Goods Producing,1083.81
2020-01-05,Weekly earnings - median - 20 days,C Services,1009.71
2020-01-05,Weekly earnings - median - 20 days,Z No Match,671.29
2020-01-05,Weekly earnings - upper quartile - 20 days,Total,1442.0
2020-01-05,Weekly earnings - upper quartile - 20 days,A Primary,1266.09
2020-01-05,Weekly earnings - upper quartile - 20 days,B Goods Producing,1449.6
2020-01-05,Weekly earnings - upper quartile - 20 days,C Services,1455.0
2020-01-05,Weekly earnings - upper quartile - 20 days,Z No Match,960.1
2020-01-05,Weekly earnings - lower quartile - 20 days,Total,657.6
2020-01-05,Weekly earnings - lower quartile - 20 days,A Primary,552.0
2020-01-05,Weekly earnings - lower quartile - 20 days,B Goods Producing,786.2
2020-01-05,Weekly earnings - lower quartile - 20 days,C Services,641.0
2020-01-05,Weekly earnings - lower quartile - 20 days,Z No Match,438.95
2020-01-12,Number of paid jobs - 20 days,Total,1869550.0
2020-01-12,Number of paid jobs - 20 days,A Primary,89440.0
2020-01-12,Number of paid jobs - 20 days,B Goods Producing,341930.0
2020-01-12,Number of paid jobs - 20 days,C Services,1403550.0
2020-01-12,Number of paid jobs - 20 days,Z No Match,34620.0
2020-01-12,Weekly earnings - median - 20 days,Total,1005.0
2020-01-12,Weekly earnings - median - 20 days,A Primary,946.95
2020-01-12,Weekly earnings - median - 20 days,B Goods Producing,1120.0
2020-01-12,Weekly earnings - median - 20 days,C Services,990.38
2020-01-12,Weekly earnings - median - 20 days,Z No Match,660.68
2020-01-12,Weekly earnings - upper quartile - 20 days,Total,1440.0
2020-01-12,Weekly earnings - upper quartile - 20 days,A Primary,1257.63
2020-01-12,Weekly earnings - upper quartile - 20 days,B Goods Producing,1484.88
2020-01-12,Weekly earnings - upper quartile - 20 days,C Services,1442.31
2020-01-12,Weekly earnings - upper quartile - 20 days,Z No Match,953.88
2020-01-12,Weekly earnings - lower quartile - 20 days,Total,663.71
2020-01-12,Weekly earnings - lower quartile - 20 days,A Primary,609.7
2020-01-12,Weekly earnings - lower quartile - 20 days,B Goods Producing,834.69
2020-01-12,Weekly earnings - lower quartile - 20 days,C Services,628.87
2020-01-12,Weekly earnings - lower quartile - 20 days,Z No Match,415.34
2020-01-19,Number of paid jobs - 20 days,Total,1908520.0
2020-01-19,Number of paid jobs - 20 days,A Primary,90880.0
2020-01-19,Number of paid jobs - 20 days,B Goods Producing,353560.0
2020-01-19,Number of paid jobs - 20 days,C Services,1428560.0
2020-01-19,Number of paid jobs - 20 days,Z No Match,35530.0
2020-01-19,Weekly earnings - median - 20 days,Total,1000.0
2020-01-19,Weekly earnings - median - 20 days,A Primary,942.53
2020-01-19,Weekly earnings - median - 20 days,B Goods Producing,1129.69
2020-01-19,Weekly earnings - median - 20 days,C Services,975.88
2020-01-19,Weekly earnings - median - 20 days,Z No Match,642.84
2020-01-19,Weekly earnings - upper quartile - 20 days,Total,1430.74
2020-01-19,Weekly earnings - upper quartile - 20 days,A Primary,1253.85
2020-01-19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1486.9
2020-01-19,Weekly earnings - upper quartile - 20 days,C Services,1436.32
2020-01-19,Weekly earnings - upper quartile - 20 days,Z No Match,936.01
2020-01-19,Weekly earnings - lower quartile - 20 days,Total,656.8
2020-01-19,Weekly earnings - lower quartile - 20 days,A Primary,602.7
2020-01-19,Weekly earnings - lower quartile - 20 days,B Goods Producing,853.29
2020-01-19,Weekly earnings - lower quartile - 20 days,C Services,611.71
2020-01-19,Weekly earnings - lower quartile - 20 days,Z No Match,404.57
2020-01-26,Number of paid jobs - 20 days,Total,1922960.0
2020-01-26,Number of paid jobs - 20 days,A Primary,90130.0
2020-01-26,Number of paid jobs - 20 days,B Goods Producing,357460.0
2020-01-26,Number of paid jobs - 20 days,C Services,1437510.0
2020-01-26,Number of paid jobs - 20 days,Z No Match,37860.0
2020-01-26,Weekly earnings - median - 20 days,Total,1000.48
2020-01-26,Weekly earnings - median - 20 days,A Primary,940.5
2020-01-26,Weekly earnings - median - 20 days,B Goods Producing,1131.0
2020-01-26,Weekly earnings - median - 20 days,C Services,980.2
2020-01-26,Weekly earnings - median - 20 days,Z No Match,647.92
2020-01-26,Weekly earnings - upper quartile - 20 days,Total,1428.0
2020-01-26,Weekly earnings - upper quartile - 20 days,A Primary,1255.29
2020-01-26,Weekly earnings - upper quartile - 20 days,B Goods Producing,1477.07
2020-01-26,Weekly earnings - upper quartile - 20 days,C Services,1436.77
2020-01-26,Weekly earnings - upper quartile - 20 days,Z No Match,942.32
2020-01-26,Weekly earnings - lower quartile - 20 days,Total,665.48
2020-01-26,Weekly earnings - lower quartile - 20 days,A Primary,602.15
2020-01-26,Weekly earnings - lower quartile - 20 days,B Goods Producing,861.0
2020-01-26,Weekly earnings - lower quartile - 20 days,C Services,619.5
2020-01-26,Weekly earnings - lower quartile - 20 days,Z No Match,400.0
2020-02-02,Number of paid jobs - 20 days,Total,1937700.0
2020-02-02,Number of paid jobs - 20 days,A Primary,88250.0
2020-02-02,Number of paid jobs - 20 days,B Goods Producing,359140.0
2020-02-02,Number of paid jobs - 20 days,C Services,1451540.0
2020-02-02,Number of paid jobs - 20 days,Z No Match,38760.0
2020-02-02,Weekly earnings - median - 20 days,Total,977.5
2020-02-02,Weekly earnings - median - 20 days,A Primary,946.0
2020-02-02,Weekly earnings - median - 20 days,B Goods Producing,1137.88
2020-02-02,Weekly earnings - median - 20 days,C Services,941.5
2020-02-02,Weekly earnings - median - 20 days,Z No Match,665.1
2020-02-02,Weekly earnings - upper quartile - 20 days,Total,1390.2
2020-02-02,Weekly earnings - upper quartile - 20 days,A Primary,1259.19
2020-02-02,Weekly earnings - upper quartile - 20 days,B Goods Producing,1483.93
2020-02-02,Weekly earnings - upper quartile - 20 days,C Services,1377.27
2020-02-02,Weekly earnings - upper quartile - 20 days,Z No Match,959.97
2020-02-02,Weekly earnings - lower quartile - 20 days,Total,602.71
2020-02-02,Weekly earnings - lower quartile - 20 days,A Primary,600.0
2020-02-02,Weekly earnings - lower quartile - 20 days,B Goods Producing,864.7
2020-02-02,Weekly earnings - lower quartile - 20 days,C Services,537.79
2020-02-02,Weekly earnings - lower quartile - 20 days,Z No Match,410.0
2020-02-09,Number of paid jobs - 20 days,Total,1854050.0
2020-02-09,Number of paid jobs - 20 days,A Primary,85740.0
2020-02-09,Number of paid jobs - 20 days,B Goods Producing,359890.0
2020-02-09,Number of paid jobs - 20 days,C Services,1373680.0
2020-02-09,Number of paid jobs - 20 days,Z No Match,34740.0
2020-02-09,Weekly earnings - median - 20 days,Total,1000.0
2020-02-09,Weekly earnings - median - 20 days,A Primary,948.83
2020-02-09,Weekly earnings - median - 20 days,B Goods Producing,1128.62
2020-02-09,Weekly earnings - median - 20 days,C Services,980.5
2020-02-09,Weekly earnings - median - 20 days,Z No Match,323.03
2020-02-09,Weekly earnings - upper quartile - 20 days,Total,1411.71
2020-02-09,Weekly earnings - upper quartile - 20 days,A Primary,1262.01
2020-02-09,Weekly earnings - upper quartile - 20 days,B Goods Producing,1475.29
2020-02-09,Weekly earnings - upper quartile - 20 days,C Services,1413.46
2020-02-09,Weekly earnings - upper quartile - 20 days,Z No Match,631.0
2020-02-09,Weekly earnings - lower quartile - 20 days,Total,658.38
2020-02-09,Weekly earnings - lower quartile - 20 days,A Primary,607.75
2020-02-09,Weekly earnings - lower quartile - 20 days,B Goods Producing,859.12
2020-02-09,Weekly earnings - lower quartile - 20 days,C Services,619.15
2020-02-09,Weekly earnings - lower quartile - 20 days,Z No Match,159.34
2020-02-16,Number of paid jobs - 20 days,Total,1927910.0
2020-02-16,Number of paid jobs - 20 days,A Primary,85400.0
2020-02-16,Number of paid jobs - 20 days,B Goods Producing,358170.0
2020-02-16,Number of paid jobs - 20 days,C Services,1459020.0
2020-02-16,Number of paid jobs - 20 days,Z No Match,25320.0
2020-02-16,Weekly earnings - median - 20 days,Total,1000.0
2020-02-16,Weekly earnings - median - 20 days,A Primary,946.15
2020-02-16,Weekly earnings - median - 20 days,B Goods Producing,1141.26
2020-02-16,Weekly earnings - median - 20 days,C Services,968.7
2020-02-16,Weekly earnings - median - 20 days,Z No Match,481.98
