period,status,sex,age,population
2009-09-30,F,female,60-64,114090.0
2009-09-30,F,female,65-69,88030.0
2009-09-30,F,female,65+,301100.0
2009-09-30,F,female,70-74,68190.0
2009-09-30,F,female,75-79,55940.0
2009-09-30,F,female,80-84,44840.0
2009-09-30,F,female,85-89,29350.0
2009-09-30,F,female,90+,14790.0
2009-09-30,F,female,median,37.51
2009-09-30,F,female,total,2205360.0
2009-12-31,F,female,0-14,440700.0
2009-12-31,F,female,0-4,151510.0
2009-12-31,F,female,10-14,147020.0
2009-12-31,F,female,15-19,156620.0
2009-12-31,F,female,15-39,747700.0
2009-12-31,F,female,20-24,147930.0
2009-12-31,F,female,25-29,140890.0
2009-12-31,F,female,30-34,140290.0
2009-12-31,F,female,35-39,161980.0
2009-12-31,F,female,40-44,163410.0
2009-12-31,F,female,40-64,721600.0
2009-12-31,F,female,45-49,167790.0
2009-12-31,F,female,5-9,142180.0
2009-12-31,F,female,50-54,147290.0
2009-12-31,F,female,55-59,127630.0
2009-12-31,F,female,60-64,115500.0
2009-12-31,F,female,65-69,88520.0
2009-12-31,F,female,65+,302900.0
2009-12-31,F,female,70-74,69130.0
2009-12-31,F,female,75-79,55860.0
2009-12-31,F,female,80-84,45010.0
2009-12-31,F,female,85-89,29390.0
2009-12-31,F,female,90+,15010.0
2009-12-31,F,female,median,37.56
2009-12-31,F,female,total,2212960.0
2010-03-31,F,female,0-14,441900.0
2010-03-31,F,female,0-4,152360.0
2010-03-31,F,female,10-14,147300.0
2010-03-31,F,female,15-19,156770.0
2010-03-31,F,female,15-39,748400.0
2010-03-31,F,female,20-24,149000.0
2010-03-31,F,female,25-29,141190.0
2010-03-31,F,female,30-34,140150.0
2010-03-31,F,female,35-39,161290.0
2010-03-31,F,female,40-44,163820.0
2010-03-31,F,female,40-64,724800.0
2010-03-31,F,female,45-49,167540.0
2010-03-31,F,female,5-9,142190.0
2010-03-31,F,female,50-54,148460.0
2010-03-31,F,female,55-59,128220.0
2010-03-31,F,female,60-64,116740.0
2010-03-31,F,female,65-69,89240.0
2010-03-31,F,female,65+,304900.0
2010-03-31,F,female,70-74,69890.0
2010-03-31,F,female,75-79,55760.0
2010-03-31,F,female,80-84,45100.0
