date,estimate_type,tenure,households
30 Jun 1993,mean quarter ended,owner_occupied,928500.0
30 Sep 1993,mean quarter ended,owner_occupied,929500.0
31 Dec 1993,mean quarter ended,owner_occupied,930300.0
31 Mar 1994,mean quarter ended,owner_occupied,931300.0
30 Jun 1994,mean quarter ended,owner_occupied,932500.0
30 Sep 1994,mean quarter ended,owner_occupied,933600.0
31 Dec 1994,mean quarter ended,owner_occupied,934900.0
31 Mar 1995,mean quarter ended,owner_occupied,936600.0
30 Jun 1995,mean quarter ended,owner_occupied,938600.0
30 Sep 1995,mean quarter ended,owner_occupied,940300.0
31 Dec 1995,mean quarter ended,owner_occupied,941500.0
31 Mar 1996,mean quarter ended,owner_occupied,942700.0
30 Jun 1996,mean quarter ended,owner_occupied,944000.0
30 Sep 1996,mean quarter ended,owner_occupied,945300.0
31 Dec 1996,mean quarter ended,owner_occupied,946400.0
31 Mar 1997,mean quarter ended,owner_occupied,947400.0
30 Jun 1997,mean quarter ended,owner_occupied,948400.0
30 Sep 1997,mean quarter ended,owner_occupied,949300.0
31 Dec 1997,mean quarter ended,owner_occupied,950300.0
31 Mar 1998,mean quarter ended,owner_occupied,951800.0
30 Jun 1998,mean quarter ended,owner_occupied,953300.0
30 Sep 1998,mean quarter ended,owner_occupied,954500.0
31 Dec 1998,mean quarter ended,owner_occupied,955200.0
31 Mar 1999,mean quarter ended,owner_occupied,955700.0
30 Jun 1999,mean quarter ended,owner_occupied,956300.0
30 Sep 1999,mean quarter ended,owner_occupied,957100.0
31 Dec 1999,mean quarter ended,owner_occupied,958300.0
31 Mar 2000,mean quarter ended,owner_occupied,959900.0
30 Jun 2000,mean quarter ended,owner_occupied,961400.0
30 Sep 2000,mean quarter ended,owner_occupied,962300.0
31 Dec 2000,mean quarter ended,owner_occupied,962800.0
31 Mar 2001,mean quarter ended,owner_occupied,963600.0
30 Jun 2001,mean quarter ended,owner_occupied,964900.0
30 Sep 2001,mean quarter ended,owner_occupied,966800.0
31 Dec 2001,mean quarter ended,owner_occupied,969100.0
31 Mar 2002,mean quarter ended,owner_occupied,971800.0
30 Jun 2002,mean quarter ended,owner_occupied,974600.0
30 Sep 2002,mean quarter ended,owner_occupied,977300.0
31 Dec 2002,mean quarter ended,owner_occupied,980300.0
31 Mar 2003,mean quarter ended,owner_occupied,984000.0
30 Jun 2003,mean quarter ended,owner_occupied,988200.0
30 Sep 2003,mean quarter ended,owner_occupied,992200.0
31 Dec 2003,mean quarter ended,owner_occupied,995800.0
31 Mar 2004,mean quarter ended,owner_occupied,999900.0
30 Jun 2004,mean quarter ended,owner_occupied,1004500.0
30 Sep 2004,mean quarter ended,owner_occupied,1008900.0
31 Dec 2004,mean quarter ended,owner_occupied,1013500.0
31 Mar 2005,mean quarter ended,owner_occupied,1017700.0
30 Jun 2005,mean quarter ended,owner_occupied,1021600.0
30 Sep 2005,mean quarter ended,owner_occupied,1025500.0
31 Dec 2005,mean quarter ended,owner_occupied,1028800.0
31 Mar 2006,mean quarter ended,owner_occupied,1032100.0
30 Jun 2006,mean quarter ended,owner_occupied,1035200.0
30 Sep 2006,mean quarter ended,owner_occupied,1037600.0
31 Dec 2006,mean quarter ended,owner_occupied,1039400.0
31 Mar 2007,mean quarter ended,owner_occupied,1041400.0
30 Jun 2007,mean quarter ended,owner_occupied,1043600.0
30 Sep 2007,mean quarter ended,owner_occupied,1045500.0
31 Dec 2007,mean quarter ended,owner_occupied,1047500.0
31 Mar 2008,mean quarter ended,owner_occupied,1049500.0
30 Jun 2008,mean quarter ended,owner_occupied,1051400.0
30 Sep 2008,mean quarter ended,owner_occupied,1052900.0
31 Dec 2008,mean quarter ended,owner_occupied,1054300.0
31 Mar 2009,mean quarter ended,owner_occupied,1055400.0
30 Jun 2009,mean quarter ended,owner_occupied,1056100.0
30 Sep 2009,mean quarter ended,owner_occupied,1056500.0
31 Dec 2009,mean quarter ended,owner_occupied,1056800.0
31 Mar 2010,mean quarter ended,owner_occupied,1057300.0
30 Jun 2010,mean quarter ended,owner_occupied,1058100.0
30 Sep 2010,mean quarter ended,owner_occupied,1058800.0
31 Dec 2010,mean quarter ended,owner_occupied,1059500.0
31 Mar 2011,mean quarter ended,owner_occupied,1060300.0
30 Jun 2011,mean quarter ended,owner_occupied,1060900.0
30 Sep 2011,mean quarter ended,owner_occupied,1061200.0
31 Dec 2011,mean quarter ended,owner_occupied,1061400.0
31 Mar 2012,mean quarter ended,owner_occupied,1061800.0
30 Jun 2012,mean quarter ended,owner_occupied,1062400.0
30 Sep 2012,mean quarter ended,owner_occupied,1063000.0
31 Dec 2012,mean quarter ended,owner_occupied,1063600.0
31 Mar 2013,mean quarter ended,owner_occupied,1064300.0
30 Jun 2013,mean quarter ended,owner_occupied,1064300.0
30 Sep 2013,mean quarter ended,owner_occupied,1065500.0
31 Dec 2013,mean quarter ended,owner_occupied,1068500.0
31 Mar 2014,mean quarter ended,owner_occupied,1071600.0
30 Jun 2014,mean quarter ended,owner_occupied,1075100.0
30 Sep 2014,mean quarter ended,owner_occupied,1079000.0
31 Dec 2014,mean quarter ended,owner_occupied,1082800.0
31 Mar 2015,mean quarter ended,owner_occupied,1086600.0
30 Jun 2015,mean quarter ended,owner_occupied,1090700.0
30 Sep 2015,mean quarter ended,owner_occupied,1095000.0
31 Dec 2015,mean quarter ended,owner_occupied,1099100.0
31 Mar 2016,mean quarter ended,owner_occupied,1103100.0
30 Jun 2016,mean quarter ended,owner_occupied,1107600.0
30 Sep 2016,mean quarter ended,owner_occupied,1112500.0
31 Dec 2016,mean quarter ended,owner_occupied,1117100.0
31 Mar 2017,mean quarter ended,owner_occupied,1121800.0
30 Jun 2017,mean quarter ended,owner_occupied,1127000.0
30 Sep 2017,mean quarter ended,owner_occupied,1132200.0
31 Dec 2017,mean quarter ended,owner_occupied,1137100.0
31 Mar 2018,mean quarter ended,owner_occupied,1141800.0
30 Jun 2018,mean quarter ended,owner_occupied,1147100.0
30 Sep 2018,mean quarter ended,owner_occupied,1152200.0
31 Dec 2018,mean quarter ended,owner_occupied,1156400.0
31 Mar 2019,mean quarter ended,owner_occupied,1161000.0
30 Jun 2019,mean quarter ended,owner_occupied,1165800.0
30 Sep 2019,mean quarter ended,owner_occupied,1170500.0
31 Dec 2019,mean quarter ended,owner_occupied,1175300.0
31 Mar 2020,mean quarter ended,owner_occupied,1180300.0
30 Jun 2020,mean quarter ended,owner_occupied,1185700.0
30 Sep 2020,mean quarter ended,owner_occupied,1191200.0
31 Dec 2020,mean quarter ended,owner_occupied,1196300.0
31 Mar 2021,mean quarter ended,owner_occupied,1201400.0
30 Jun 2021,mean quarter ended,owner_occupied,1206800.0
30 Jun 1991,mean quarter ended,rented,
30 Sep 1991,mean quarter ended,rented,289900.0
31 Dec 1991,mean quarter ended,rented,292300.0
31 Mar 1992,mean quarter ended,rented,294800.0
30 Jun 1992,mean quarter ended,rented,297300.0
30 Sep 1992,mean quarter ended,rented,299800.0
31 Dec 1992,mean quarter ended,rented,302300.0
31 Mar 1993,mean quarter ended,rented,304700.0
30 Jun 1993,mean quarter ended,rented,307300.0
30 Sep 1993,mean quarter ended,rented,309900.0
31 Dec 1993,mean quarter ended,rented,312400.0
31 Mar 1994,mean quarter ended,rented,315000.0
30 Jun 1994,mean quarter ended,rented,317700.0
30 Sep 1994,mean quarter ended,rented,320400.0
31 Dec 1994,mean quarter ended,rented,323100.0
31 Mar 1995,mean quarter ended,rented,326000.0
30 Jun 1995,mean quarter ended,rented,329000.0
30 Sep 1995,mean quarter ended,rented,332000.0
31 Dec 1995,mean quarter ended,rented,334800.0
31 Mar 1996,mean quarter ended,rented,337700.0
30 Jun 1996,mean quarter ended,rented,341100.0
30 Sep 1996,mean quarter ended,rented,344700.0
31 Dec 1996,mean quarter ended,rented,348300.0
31 Mar 1997,mean quarter ended,rented,351900.0
30 Jun 1997,mean quarter ended,rented,355500.0
30 Sep 1997,mean quarter ended,rented,359100.0
31 Dec 1997,mean quarter ended,rented,362700.0
31 Mar 1998,mean quarter ended,rented,366600.0
30 Jun 1998,mean quarter ended,rented,370400.0
30 Sep 1998,mean quarter ended,rented,374200.0
31 Dec 1998,mean quarter ended,rented,377900.0
31 Mar 1999,mean quarter ended,rented,381400.0
30 Jun 1999,mean quarter ended,rented,385000.0
30 Sep 1999,mean quarter ended,rented,388700.0
31 Dec 1999,mean quarter ended,rented,392600.0
31 Mar 2000,mean quarter ended,rented,396700.0
30 Jun 2000,mean quarter ended,rented,400700.0
30 Sep 2000,mean quarter ended,rented,404500.0
31 Dec 2000,mean quarter ended,rented,408300.0
31 Mar 2001,mean quarter ended,rented,411600.0
30 Jun 2001,mean quarter ended,rented,413500.0
30 Sep 2001,mean quarter ended,rented,414500.0
31 Dec 2001,mean quarter ended,rented,415700.0
31 Mar 2002,mean quarter ended,rented,417000.0
30 Jun 2002,mean quarter ended,rented,418300.0
30 Sep 2002,mean quarter ended,rented,419700.0
31 Dec 2002,mean quarter ended,rented,421100.0
31 Mar 2003,mean quarter ended,rented,422900.0
30 Jun 2003,mean quarter ended,rented,424900.0
30 Sep 2003,mean quarter ended,rented,426700.0
31 Dec 2003,mean quarter ended,rented,428400.0
31 Mar 2004,mean quarter ended,rented,430400.0
30 Jun 2004,mean quarter ended,rented,432500.0
30 Sep 2004,mean quarter ended,rented,434600.0
31 Dec 2004,mean quarter ended,rented,436800.0
31 Mar 2005,mean quarter ended,rented,438700.0
30 Jun 2005,mean quarter ended,rented,440600.0
30 Sep 2005,mean quarter ended,rented,442500.0
31 Dec 2005,mean quarter ended,rented,444100.0
31 Mar 2006,mean quarter ended,rented,445600.0
30 Jun 2006,mean quarter ended,rented,448300.0
30 Sep 2006,mean quarter ended,rented,451500.0
31 Dec 2006,mean quarter ended,rented,454300.0
31 Mar 2007,mean quarter ended,rented,457200.0
30 Jun 2007,mean quarter ended,rented,460100.0
30 Sep 2007,mean quarter ended,rented,463000.0
31 Dec 2007,mean quarter ended,rented,465800.0
31 Mar 2008,mean quarter ended,rented,468800.0
30 Jun 2008,mean quarter ended,rented,471600.0
30 Sep 2008,mean quarter ended,rented,474400.0
31 Dec 2008,mean quarter ended,rented,477000.0
31 Mar 2009,mean quarter ended,rented,479600.0
30 Jun 2009,mean quarter ended,rented,482000.0
30 Sep 2009,mean quarter ended,rented,484200.0
31 Dec 2009,mean quarter ended,rented,486400.0
31 Mar 2010,mean quarter ended,rented,488700.0
30 Jun 2010,mean quarter ended,rented,491100.0
30 Sep 2010,mean quarter ended,rented,493600.0
31 Dec 2010,mean quarter ended,rented,496000.0
31 Mar 2011,mean quarter ended,rented,498400.0
30 Jun 2011,mean quarter ended,rented,500800.0
30 Sep 2011,mean quarter ended,rented,503100.0
31 Dec 2011,mean quarter ended,rented,505300.0
31 Mar 2012,mean quarter ended,rented,507600.0
30 Jun 2012,mean quarter ended,rented,510000.0
30 Sep 2012,mean quarter ended,rented,512400.0
31 Dec 2012,mean quarter ended,rented,514900.0
31 Mar 2013,mean quarter ended,rented,517400.0
30 Jun 2013,mean quarter ended,rented,523400.0
30 Sep 2013,mean quarter ended,rented,528800.0
31 Dec 2013,mean quarter ended,rented,530200.0
31 Mar 2014,mean quarter ended,rented,531800.0
30 Jun 2014,mean quarter ended,rented,533600.0
30 Sep 2014,mean quarter ended,rented,535500.0
31 Dec 2014,mean quarter ended,rented,537400.0
31 Mar 2015,mean quarter ended,rented,539200.0
30 Jun 2015,mean quarter ended,rented,541300.0
30 Sep 2015,mean quarter ended,rented,543400.0
31 Dec 2015,mean quarter ended,rented,545500.0
31 Mar 2016,mean quarter ended,rented,547400.0
30 Jun 2016,mean quarter ended,rented,549600.0
30 Sep 2016,mean quarter ended,rented,552100.0
31 Dec 2016,mean quarter ended,rented,554400.0
31 Mar 2017,mean quarter ended,rented,556700.0
30 Jun 2017,mean quarter ended,rented,559300.0
30 Sep 2017,mean quarter ended,rented,561900.0
31 Dec 2017,mean quarter ended,rented,564300.0
31 Mar 2018,mean quarter ended,rented,566600.0
30 Jun 2018,mean quarter ended,rented,569300.0
30 Sep 2018,mean quarter ended,rented,571800.0
31 Dec 2018,mean quarter ended,rented,573900.0
31 Mar 2019,mean quarter ended,rented,576100.0
30 Jun 2019,mean quarter ended,rented,578600.0
30 Sep 2019,mean quarter ended,rented,580900.0
31 Dec 2019,mean quarter ended,rented,583300.0
31 Mar 2020,mean quarter ended,rented,585800.0
30 Jun 2020,mean quarter ended,rented,588400.0
30 Sep 2020,mean quarter ended,rented,591200.0
31 Dec 2020,mean quarter ended,rented,593700.0
31 Mar 2021,mean quarter ended,rented,596200.0
30 Jun 2021,mean quarter ended,rented,598900.0
30 Jun 1991,mean quarter ended,free,
30 Sep 1991,mean quarter ended,free,42100.0
31 Dec 1991,mean quarter ended,free,42600.0
31 Mar 1992,mean quarter ended,free,43200.0
30 Jun 1992,mean quarter ended,free,43700.0
30 Sep 1992,mean quarter ended,free,44300.0
31 Dec 1992,mean quarter ended,free,44900.0
31 Mar 1993,mean quarter ended,free,45400.0
30 Jun 1993,mean quarter ended,free,46000.0
30 Sep 1993,mean quarter ended,free,46600.0
31 Dec 1993,mean quarter ended,free,47200.0
31 Mar 1994,mean quarter ended,free,47800.0
30 Jun 1994,mean quarter ended,free,48400.0
30 Sep 1994,mean quarter ended,free,49000.0
31 Dec 1994,mean quarter ended,free,49600.0
31 Mar 1995,mean quarter ended,free,50200.0
30 Jun 1995,mean quarter ended,free,50900.0
30 Sep 1995,mean quarter ended,free,51500.0
31 Dec 1995,mean quarter ended,free,52200.0
31 Mar 1996,mean quarter ended,free,52600.0
30 Jun 1996,mean quarter ended,free,52600.0
30 Sep 1996,mean quarter ended,free,52200.0
31 Dec 1996,mean quarter ended,free,51800.0
31 Mar 1997,mean quarter ended,free,51400.0
30 Jun 1997,mean quarter ended,free,51000.0
30 Sep 1997,mean quarter ended,free,50600.0
31 Dec 1997,mean quarter ended,free,50200.0
31 Mar 1998,mean quarter ended,free,49800.0
30 Jun 1998,mean quarter ended,free,49400.0
30 Sep 1998,mean quarter ended,free,49000.0
31 Dec 1998,mean quarter ended,free,48500.0
31 Mar 1999,mean quarter ended,free,48100.0
30 Jun 1999,mean quarter ended,free,47600.0
30 Sep 1999,mean quarter ended,free,47200.0
31 Dec 1999,mean quarter ended,free,46800.0
31 Mar 2000,mean quarter ended,free,46300.0
30 Jun 2000,mean quarter ended,free,45900.0
30 Sep 2000,mean quarter ended,free,45500.0
31 Dec 2000,mean quarter ended,free,45000.0
31 Mar 2001,mean quarter ended,free,44700.0
30 Jun 2001,mean quarter ended,free,45100.0
30 Sep 2001,mean quarter ended,free,46100.0
31 Dec 2001,mean quarter ended,free,47000.0
31 Mar 2002,mean quarter ended,free,48000.0
30 Jun 2002,mean quarter ended,free,49000.0
30 Sep 2002,mean quarter ended,free,50000.0
31 Dec 2002,mean quarter ended,free,51000.0
31 Mar 2003,mean quarter ended,free,52100.0
30 Jun 2003,mean quarter ended,free,53200.0
30 Sep 2003,mean quarter ended,free,54300.0
31 Dec 2003,mean quarter ended,free,55300.0
31 Mar 2004,mean quarter ended,free,56500.0
30 Jun 2004,mean quarter ended,free,57600.0
30 Sep 2004,mean quarter ended,free,58800.0
31 Dec 2004,mean quarter ended,free,59900.0
31 Mar 2005,mean quarter ended,free,61100.0
30 Jun 2005,mean quarter ended,free,62200.0
30 Sep 2005,mean quarter ended,free,63400.0
31 Dec 2005,mean quarter ended,free,64500.0
31 Mar 2006,mean quarter ended,free,65500.0
30 Jun 2006,mean quarter ended,free,65900.0
30 Sep 2006,mean quarter ended,free,65800.0
31 Dec 2006,mean quarter ended,free,65700.0
31 Mar 2007,mean quarter ended,free,65600.0
30 Jun 2007,mean quarter ended,free,65600.0
30 Sep 2007,mean quarter ended,free,65500.0
31 Dec 2007,mean quarter ended,free,65400.0
31 Mar 2008,mean quarter ended,free,65300.0
30 Jun 2008,mean quarter ended,free,65200.0
30 Sep 2008,mean quarter ended,free,65000.0
31 Dec 2008,mean quarter ended,free,64900.0
31 Mar 2009,mean quarter ended,free,64800.0
30 Jun 2009,mean quarter ended,free,64600.0
30 Sep 2009,mean quarter ended,free,64400.0
31 Dec 2009,mean quarter ended,free,64200.0
31 Mar 2010,mean quarter ended,free,64000.0
30 Jun 2010,mean quarter ended,free,63800.0
30 Sep 2010,mean quarter ended,free,63600.0
31 Dec 2010,mean quarter ended,free,63400.0
31 Mar 2011,mean quarter ended,free,63200.0
30 Jun 2011,mean quarter ended,free,63000.0
30 Sep 2011,mean quarter ended,free,62800.0
31 Dec 2011,mean quarter ended,free,62600.0
31 Mar 2012,mean quarter ended,free,62400.0
30 Jun 2012,mean quarter ended,free,62200.0
30 Sep 2012,mean quarter ended,free,62000.0
31 Dec 2012,mean quarter ended,free,61800.0
31 Mar 2013,mean quarter ended,free,61700.0
30 Jun 2013,mean quarter ended,free,59100.0
30 Sep 2013,mean quarter ended,free,56600.0
31 Dec 2013,mean quarter ended,free,56700.0
31 Mar 2014,mean quarter ended,free,56900.0
30 Jun 2014,mean quarter ended,free,57100.0
30 Sep 2014,mean quarter ended,free,57300.0
31 Dec 2014,mean quarter ended,free,57500.0
31 Mar 2015,mean quarter ended,free,57700.0
30 Jun 2015,mean quarter ended,free,57900.0
30 Sep 2015,mean quarter ended,free,58100.0
31 Dec 2015,mean quarter ended,free,58400.0
31 Mar 2016,mean quarter ended,free,58600.0
30 Jun 2016,mean quarter ended,free,58800.0
30 Sep 2016,mean quarter ended,free,59100.0
31 Dec 2016,mean quarter ended,free,59300.0
31 Mar 2017,mean quarter ended,free,59600.0
30 Jun 2017,mean quarter ended,free,59800.0
30 Sep 2017,mean quarter ended,free,60100.0
31 Dec 2017,mean quarter ended,free,60400.0
31 Mar 2018,mean quarter ended,free,60600.0
30 Jun 2018,mean quarter ended,free,60900.0
30 Sep 2018,mean quarter ended,free,61200.0
31 Dec 2018,mean quarter ended,free,61400.0
31 Mar 2019,mean quarter ended,free,61600.0
30 Jun 2019,mean quarter ended,free,61900.0
30 Sep 2019,mean quarter ended,free,62100.0
31 Dec 2019,mean quarter ended,free,62400.0
31 Mar 2020,mean quarter ended,free,62700.0
30 Jun 2020,mean quarter ended,free,63000.0
30 Sep 2020,mean quarter ended,free,63200.0
31 Dec 2020,mean quarter ended,free,63500.0
31 Mar 2021,mean quarter ended,free,63800.0
30 Jun 2021,mean quarter ended,free,64100.0
