date,estimate_type,tenure,private_dwellings
31 Dec 2018,mean quarter ended,rented,601100.0
31 Mar 2019,mean quarter ended,rented,603500.0
30 Jun 2019,mean quarter ended,rented,606000.0
30 Sep 2019,mean quarter ended,rented,608400.0
31 Dec 2019,mean quarter ended,rented,610900.0
31 Mar 2020,mean quarter ended,rented,613600.0
30 Jun 2020,mean quarter ended,rented,616400.0
30 Sep 2020,mean quarter ended,rented,619200.0
31 Dec 2020,mean quarter ended,rented,621900.0
31 Mar 2021,mean quarter ended,rented,624500.0
30 Jun 2021,mean quarter ended,rented,627400.0
31 Mar 1991,mean quarter ended,free,
30 Jun 1991,mean quarter ended,free,43300.0
30 Sep 1991,mean quarter ended,free,43900.0
31 Dec 1991,mean quarter ended,free,44500.0
31 Mar 1992,mean quarter ended,free,45100.0
30 Jun 1992,mean quarter ended,free,45600.0
30 Sep 1992,mean quarter ended,free,46200.0
31 Dec 1992,mean quarter ended,free,46800.0
31 Mar 1993,mean quarter ended,free,47400.0
30 Jun 1993,mean quarter ended,free,48000.0
30 Sep 1993,mean quarter ended,free,48600.0
31 Dec 1993,mean quarter ended,free,49200.0
31 Mar 1994,mean quarter ended,free,49800.0
30 Jun 1994,mean quarter ended,free,50400.0
30 Sep 1994,mean quarter ended,free,51000.0
31 Dec 1994,mean quarter ended,free,51700.0
31 Mar 1995,mean quarter ended,free,52300.0
30 Jun 1995,mean quarter ended,free,53000.0
30 Sep 1995,mean quarter ended,free,53700.0
31 Dec 1995,mean quarter ended,free,54400.0
31 Mar 1996,mean quarter ended,free,54900.0
30 Jun 1996,mean quarter ended,free,54800.0
30 Sep 1996,mean quarter ended,free,54500.0
31 Dec 1996,mean quarter ended,free,54100.0
31 Mar 1997,mean quarter ended,free,53700.0
30 Jun 1997,mean quarter ended,free,53400.0
30 Sep 1997,mean quarter ended,free,53000.0
31 Dec 1997,mean quarter ended,free,52600.0
31 Mar 1998,mean quarter ended,free,52200.0
30 Jun 1998,mean quarter ended,free,51900.0
30 Sep 1998,mean quarter ended,free,51500.0
31 Dec 1998,mean quarter ended,free,51100.0
31 Mar 1999,mean quarter ended,free,50600.0
30 Jun 1999,mean quarter ended,free,50200.0
30 Sep 1999,mean quarter ended,free,49800.0
31 Dec 1999,mean quarter ended,free,49400.0
31 Mar 2000,mean quarter ended,free,49000.0
30 Jun 2000,mean quarter ended,free,48600.0
30 Sep 2000,mean quarter ended,free,48100.0
31 Dec 2000,mean quarter ended,free,47700.0
31 Mar 2001,mean quarter ended,free,47400.0
30 Jun 2001,mean quarter ended,free,47900.0
30 Sep 2001,mean quarter ended,free,48900.0
31 Dec 2001,mean quarter ended,free,49900.0
31 Mar 2002,mean quarter ended,free,50900.0
30 Jun 2002,mean quarter ended,free,52000.0
30 Sep 2002,mean quarter ended,free,53000.0
31 Dec 2002,mean quarter ended,free,54100.0
31 Mar 2003,mean quarter ended,free,55200.0
30 Jun 2003,mean quarter ended,free,56300.0
30 Sep 2003,mean quarter ended,free,57500.0
31 Dec 2003,mean quarter ended,free,58600.0
31 Mar 2004,mean quarter ended,free,59800.0
30 Jun 2004,mean quarter ended,free,61000.0
30 Sep 2004,mean quarter ended,free,62200.0
31 Dec 2004,mean quarter ended,free,63400.0
31 Mar 2005,mean quarter ended,free,64600.0
30 Jun 2005,mean quarter ended,free,65800.0
30 Sep 2005,mean quarter ended,free,67000.0
31 Dec 2005,mean quarter ended,free,68100.0
31 Mar 2006,mean quarter ended,free,69200.0
30 Jun 2006,mean quarter ended,free,69500.0
30 Sep 2006,mean quarter ended,free,69500.0
31 Dec 2006,mean quarter ended,free,69400.0
31 Mar 2007,mean quarter ended,free,69300.0
30 Jun 2007,mean quarter ended,free,69300.0
30 Sep 2007,mean quarter ended,free,69200.0
31 Dec 2007,mean quarter ended,free,69100.0
31 Mar 2008,mean quarter ended,free,69100.0
30 Jun 2008,mean quarter ended,free,69000.0
30 Sep 2008,mean quarter ended,free,68900.0
31 Dec 2008,mean quarter ended,free,68700.0
31 Mar 2009,mean quarter ended,free,68600.0
30 Jun 2009,mean quarter ended,free,68400.0
30 Sep 2009,mean quarter ended,free,68200.0
31 Dec 2009,mean quarter ended,free,68000.0
31 Mar 2010,mean quarter ended,free,67800.0
30 Jun 2010,mean quarter ended,free,67600.0
30 Sep 2010,mean quarter ended,free,67500.0
31 Dec 2010,mean quarter ended,free,67300.0
31 Mar 2011,mean quarter ended,free,67100.0
30 Jun 2011,mean quarter ended,free,66900.0
30 Sep 2011,mean quarter ended,free,66700.0
31 Dec 2011,mean quarter ended,free,66500.0
31 Mar 2012,mean quarter ended,free,66300.0
30 Jun 2012,mean quarter ended,free,66100.0
30 Sep 2012,mean quarter ended,free,65900.0
31 Dec 2012,mean quarter ended,free,65700.0
31 Mar 2013,mean quarter ended,free,65500.0
30 Jun 2013,mean quarter ended,free,65400.0
30 Sep 2013,mean quarter ended,free,65300.0
31 Dec 2013,mean quarter ended,free,65100.0
31 Mar 2014,mean quarter ended,free,65000.0
30 Jun 2014,mean quarter ended,free,64900.0
30 Sep 2014,mean quarter ended,free,64800.0
31 Dec 2014,mean quarter ended,free,64700.0
31 Mar 2015,mean quarter ended,free,64600.0
30 Jun 2015,mean quarter ended,free,64500.0
30 Sep 2015,mean quarter ended,free,64400.0
31 Dec 2015,mean quarter ended,free,64300.0
31 Mar 2016,mean quarter ended,free,64200.0
30 Jun 2016,mean quarter ended,free,64200.0
30 Sep 2016,mean quarter ended,free,64100.0
31 Dec 2016,mean quarter ended,free,64000.0
31 Mar 2017,mean quarter ended,free,63900.0
30 Jun 2017,mean quarter ended,free,63900.0
30 Sep 2017,mean quarter ended,free,63800.0
31 Dec 2017,mean quarter ended,free,63700.0
31 Mar 2018,mean quarter ended,free,63700.0
30 Jun 2018,mean quarter ended,free,63800.0
30 Sep 2018,mean quarter ended,free,64100.0
31 Dec 2018,mean quarter ended,free,64300.0
31 Mar 2019,mean quarter ended,free,64600.0
30 Jun 2019,mean quarter ended,free,64800.0
30 Sep 2019,mean quarter ended,free,65100.0
31 Dec 2019,mean quarter ended,free,65400.0
31 Mar 2020,mean quarter ended,free,65600.0
30 Jun 2020,mean quarter ended,free,65900.0
30 Sep 2020,mean quarter ended,free,66200.0
31 Dec 2020,mean quarter ended,free,66500.0
31 Mar 2021,mean quarter ended,free,66800.0
30 Jun 2021,mean quarter ended,free,67100.0
