year,resource,variable,units,magnitude,source,data_value,flag
2013.0,Wood,Generation,Gigawatt hours,Actual,MBIE,364.0,F
2013.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2013.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,147892.0,R
2013.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,9277.0,R
2013.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9430.0,R
2014.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,94161.0,R
2014.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,205.0,F
2014.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2014.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,89692.0,R
2014.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,4469.0,R
2014.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5650.0,R
2014.0,Coal,Generation,Gigawatt hours,Actual,MBIE,2012.0,F
2014.0,Gas,Generation,Gigawatt hours,Actual,MBIE,7661.0,R
2014.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2884112.0,R
2014.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,6264.0,R
2014.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.15,F
2014.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2501124.0,R
2014.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,382988.0,R
2014.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,173047.0,R
2014.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,1.0678575E7,R
2014.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,23194.0,R
2014.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.55,R
2014.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9798124.0,R
2014.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,880452.0,R
2014.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,640715.0,R
2014.0,Oil,Generation,Gigawatt hours,Actual,MBIE,3.0,F
2014.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.4780283E7,R
2014.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,32103.0,R
2014.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.77,F
2014.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.3410148E7,R
2014.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,1370135.0,R
2014.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,886817.0,R
2014.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.77,F
2014.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,3887.0,R
2014.0,Solar,Generation,Gigawatt hours,Actual,MBIE,8.0,R
2014.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2014.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,2153.0,R
2014.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1734.0,R
2014.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,233.0,F
2014.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,41827.0,R
2014.0,Total generation,Prices,Number,Average,Electricity Authority,69.0,F
2014.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1155431.0,R
2014.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,48.0,F
2014.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,951681.0,R
2014.0,Wind,Generation,Gigawatt hours,Actual,MBIE,2067.0,F
2014.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2014.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,861885.0,R
2014.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,89796.0,R
2014.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,57101.0,R
2014.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,167865.0,R
2014.0,Wood,Generation,Gigawatt hours,Actual,MBIE,365.0,F
2014.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2014.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,157169.0,R
2014.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,10696.0,R
2014.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,10072.0,R
2015.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,103355.0,R
2015.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,232.0,R
2015.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2015.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,94161.0,R
2015.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,9194.0,R
2015.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,6201.0,R
2015.0,Coal,Generation,Gigawatt hours,Actual,MBIE,2152.0,F
2015.0,Gas,Generation,Gigawatt hours,Actual,MBIE,6624.0,R
2015.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,3164219.0,R
2015.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7090.0,R
2015.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,F
2015.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2884112.0,R
2015.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,280107.0,R
2015.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,189853.0,R
2015.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,1.0591203E7,R
2015.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,23732.0,R
2015.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.56,F
2015.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,1.0678575E7,R
2015.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-87373.0,R
2015.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,635472.0,R
2015.0,Oil,Generation,Gigawatt hours,Actual,MBIE,3.0,F
2015.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.4982253E7,R
2015.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,33572.0,R
2015.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.79,F
2015.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.4780283E7,R
2015.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,201970.0,R
2015.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,898935.0,R
2015.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.79,F
2015.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,9960.0,R
2015.0,Solar,Generation,Gigawatt hours,Actual,MBIE,22.0,F
2015.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2015.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,3887.0,R
2015.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,6073.0,R
2015.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,598.0,R
2015.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42398.0,R
2015.0,Total generation,Prices,Number,Average,Electricity Authority,74.0,F
2015.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1135271.0,R
2015.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,47.0,F
2015.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,957659.0,R
2015.0,Wind,Generation,Gigawatt hours,Actual,MBIE,2146.0,F
2015.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,F
2015.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,951681.0,R
2015.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,5978.0,R
2015.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,57460.0,R
2015.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,155856.0,R
2015.0,Wood,Generation,Gigawatt hours,Actual,MBIE,349.0,F
2015.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2015.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,167865.0,R
2015.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-12009.0,R
2015.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,9351.0,R
2016.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,97830.0,R
2016.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,248.0,R
2016.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2016.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,103355.0,R
2016.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-5525.0,R
2016.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5870.0,R
2016.0,Coal,Generation,Gigawatt hours,Actual,MBIE,1389.0,F
2016.0,Gas,Generation,Gigawatt hours,Actual,MBIE,6209.0,R
2016.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2952315.0,R
2016.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7484.0,F
2016.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,F
2016.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,3164219.0,R
2016.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-211904.0,R
2016.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,177139.0,R
2016.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9773373.0,R
2016.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,24775.0,R
2016.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.58,F
2016.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,1.0591203E7,R
2016.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-817830.0,R
2016.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,586402.0,R
2016.0,Oil,Generation,Gigawatt hours,Actual,MBIE,1.0,F
2016.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.3925378E7,R
2016.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,35300.0,R
2016.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.82,F
2016.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.4982253E7,R
2016.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-1056875.0,R
2016.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,835523.0,R
2016.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.82,F
2016.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,16090.0,R
2016.0,Solar,Generation,Gigawatt hours,Actual,MBIE,41.0,R
2016.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2016.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,9960.0,R
2016.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,6129.0,R
2016.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,965.0,R
2016.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42949.0,R
2016.0,Total generation,Prices,Number,Average,Electricity Authority,62.0,F
2016.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1016558.0,R
2016.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,50.0,F
2016.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,948803.0,R
2016.0,Wind,Generation,Gigawatt hours,Actual,MBIE,2405.0,R
2016.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.06,F
2016.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,957659.0,R
2016.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-8856.0,R
2016.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,56928.0,R
2016.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,136967.0,R
2016.0,Wood,Generation,Gigawatt hours,Actual,MBIE,347.0,F
2016.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2016.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,155856.0,R
2016.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-18889.0,R
2016.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8218.0,R
2017.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,95536.0,R
2017.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,265.0,R
2017.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2017.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,97830.0,R
2017.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-2294.0,R
2017.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5732.0,R
2017.0,Coal,Generation,Gigawatt hours,Actual,MBIE,819.0,F
2017.0,Gas,Generation,Gigawatt hours,Actual,MBIE,5149.0,R
2017.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2653292.0,R
2017.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7351.0,F
2017.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,F
2017.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2952315.0,R
2017.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-299024.0,R
2017.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,159198.0,R
2017.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9388348.0,R
2017.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,26010.0,R
2017.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.61,F
2017.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9773373.0,R
2017.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-385024.0,R
2017.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,563301.0,R
2017.0,Oil,Generation,Gigawatt hours,Actual,MBIE,3.0,F
2017.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.3133861E7,R
2017.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,36387.0,R
2017.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.86,F
2017.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.3925378E7,R
2017.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-791517.0,R
2017.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,788032.0,R
2017.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.86,F
2017.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,21798.0,R
2017.0,Solar,Generation,Gigawatt hours,Actual,MBIE,60.0,R
2017.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2017.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,16090.0,R
2017.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,5708.0,R
2017.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,1308.0,R
2017.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42410.0,R
2017.0,Total generation,Prices,Number,Average,Electricity Authority,52.0,F
2017.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,918474.0,R
2017.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,51.0,F
2017.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,856321.0,R
2017.0,Wind,Generation,Gigawatt hours,Actual,MBIE,2372.0,R
2017.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.06,F
2017.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,948803.0,R
2017.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-92483.0,R
2017.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,51379.0,R
2017.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,118567.0,R
2017.0,Wood,Generation,Gigawatt hours,Actual,MBIE,328.0,F
2017.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2017.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,136967.0,R
2017.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-18400.0,R
2017.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7114.0,R
2018.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,79123.0,P
2018.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,257.0,P
2018.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,P
2018.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,95536.0,P
2018.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-16414.0,P
2018.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4747.0,P
2018.0,Coal,Generation,Gigawatt hours,Actual,MBIE,1273.0,P
2018.0,Gas,Generation,Gigawatt hours,Actual,MBIE,6962.0,P
2018.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2258252.0,P
2018.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,7342.0,P
2018.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.17,P
2018.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,2653292.0,P
2018.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,-395039.0,P
2018.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,135495.0,P
2018.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7554059.0,P
2018.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,24558.0,P
2018.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,P
2018.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9388348.0,P
2018.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-1834289.0,P
2018.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,453244.0,P
2018.0,Oil,Generation,Gigawatt hours,Actual,MBIE,6.0,P
2018.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.0602699E7,P
2018.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,34469.0,P
2018.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.81,P
2018.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.3133861E7,P
2018.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-2531163.0,P
2018.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,636162.0,P
2018.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.81,P
2018.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,24798.0,P
2018.0,Solar,Generation,Gigawatt hours,Actual,MBIE,81.0,P
2018.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,P
2018.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,21798.0,P
2018.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,3000.0,P
2018.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,1488.0,P
2018.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42755.0,P
2018.0,Total generation,Prices,Number,Average,Electricity Authority,86.0,P
2018.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,789087.0,P
2018.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,45.0,P
2018.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,593961.0,P
2018.0,Wind,Generation,Gigawatt hours,Actual,MBIE,1931.0,P
2018.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.05,P
2018.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,856321.0,P
2018.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,-262360.0,P
2018.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,35638.0,P
2018.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,92506.0,P
2018.0,Wood,Generation,Gigawatt hours,Actual,MBIE,301.0,P
2018.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,P
2018.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,118567.0,P
2018.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,-26061.0,P
2018.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,5550.0,P
