year,resource,variable,units,magnitude,source,data_value,flag
2008.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,555308.0,R
2008.0,Oil,Generation,Gigawatt hours,Actual,MBIE,27.0,F
2008.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.1292208E7,R
2008.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,27594.0,F
2008.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.65,F
2008.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.1063169E7,R
2008.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,229039.0,R
2008.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,677532.0,R
2008.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.65,F
2008.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1385.0,R
2008.0,Solar,Generation,Gigawatt hours,Actual,MBIE,3.0,F
2008.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2008.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,326.0,F
2008.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1059.0,R
2008.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,83.0,F
2008.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42464.0,F
2008.0,Total generation,Prices,Number,Average,Electricity Authority,70.0,F
2008.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1042654.0,R
2008.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,47.0,F
2008.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,422457.0,R
2008.0,Wind,Generation,Gigawatt hours,Actual,MBIE,1032.0,F
2008.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.02,F
2008.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,233652.0,R
2008.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,188805.0,R
2008.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,25347.0,R
2008.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,130941.0,R
2008.0,Wood,Generation,Gigawatt hours,Actual,MBIE,320.0,F
2008.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2008.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,116505.0,R
2008.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,14436.0,R
2008.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,7856.0,R
2009.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,85598.0,R
2009.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,205.0,F
2009.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2009.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,83934.0,R
2009.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,1664.0,R
2009.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5136.0,R
2009.0,Coal,Generation,Gigawatt hours,Actual,MBIE,4088.0,F
2009.0,Gas,Generation,Gigawatt hours,Actual,MBIE,9471.0,R
2009.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1749010.0,R
2009.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,4197.0,F
2009.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.1,F
2009.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1398360.0,R
2009.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,350650.0,R
