countrycode,countryname,year,SH_UHC_NOP1_CG,SH_UHC_NOP1_TO,SH_UHC_NOP1_ZG,SH_UHC_NOP1_ZS,SH_UHC_NOP2_CG,SH_UHC_NOP2_TO,SH_UHC_NOP2_ZG,SH_UHC_NOP2_ZS,SH_UHC_OOPC_10_TO,SH_UHC_OOPC_10_ZS,SH_UHC_OOPC_25_TO,SH_UHC_OOPC_25_ZS,SH_UHC_SRVS_CV_XD
9EU,(SDG) Europe,2010.0,NaN,68000.0,NaN,NaN,NaN,491000.0,NaN,0.0667477995157241,5.3064E7,7.218246936798096,7219000.0,0.9819552302360536,NaN
9LC,(SDG) Latin America & the Caribbean,2000.0,NaN,3302000.0,NaN,0.6293788552284241,NaN,7888000.0,NaN,1.5035303831100464,7.0531E7,13.439774513244627,1.3558E7,2.5844521522521973,NaN
9LC,(SDG) Latin America & the Caribbean,2005.0,NaN,4106000.0,NaN,0.7326382398605347,NaN,8789000.0,NaN,1.5682648420333862,9.8214E7,17.53182601928711,1.8025E7,3.2162203788757324,NaN
9LC,(SDG) Latin America & the Caribbean,2010.0,NaN,2765000.0,NaN,0.4637217223644256,NaN,6233000.0,NaN,1.045442819595337,8.8286E7,14.814598083496094,1.4925E7,2.503194808959961,NaN
9NM,(SDG) Northern America,2000.0,NaN,24000.0,NaN,0.0076566515490412,NaN,10000.0,NaN,0.0031358976848423,1.725E7,5.499825954437256,3146000.0,1.0048707723617554,NaN
9NM,(SDG) Northern America,2005.0,NaN,8000.0,NaN,NaN,NaN,22000.0,NaN,0.0068270815536379,1.7369E7,5.310895442962647,2993000.0,0.9126823544502258,NaN
9NM,(SDG) Northern America,2010.0,NaN,11000.0,NaN,NaN,NaN,13000.0,NaN,0.0039017966482788,1.5604E7,4.553142547607422,2621000.0,0.7631174921989441,NaN
9OC,(SDG) Oceania,2000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1099000.0,3.5140182971954346,142000.0,0.4551481902599334,NaN
9OC,(SDG) Oceania,2005.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1136000.0,3.3728296756744385,144000.0,0.4273484051227569,NaN
9OC,(SDG) Oceania,2010.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1430000.0,3.920533657073975,193000.0,0.5279076099395752,NaN
9SS,(SDG) Sub-Saharan Africa,2000.0,NaN,1.503E7,NaN,2.3582873344421387,NaN,1.3561E7,NaN,2.1279211044311523,5.5066E7,8.649768829345703,1.0589E7,1.6617141962051392,NaN
9SS,(SDG) Sub-Saharan Africa,2005.0,NaN,1.1487E7,NaN,1.5792758464813232,NaN,9927000.0,NaN,1.364834189414978,7.0277E7,9.660455703735352,1.5379E7,2.1464779376983643,NaN
9SS,(SDG) Sub-Saharan Africa,2010.0,NaN,1.3682E7,NaN,1.6408584117889404,NaN,1.2188E7,NaN,1.461849331855774,8.6055E7,10.316526412963867,2.1632E7,2.5991430282592773,NaN
9WN,(SDG) Western Asia/Northern Africa,2000.0,NaN,2789000.0,NaN,0.8128933906555176,NaN,4554000.0,NaN,1.297501802444458,2.8779E7,8.06045150756836,4452000.0,1.2441574335098269,NaN
9WN,(SDG) Western Asia/Northern Africa,2005.0,NaN,2097000.0,NaN,0.5557748079299927,NaN,4163000.0,NaN,1.0582220554351809,3.9609E7,10.071449279785156,5089000.0,1.2923952341079712,NaN
9WN,(SDG) Western Asia/Northern Africa,2010.0,NaN,1822000.0,NaN,0.4345717430114746,NaN,3722000.0,NaN,0.8517314791679382,4.9656E7,11.37716007232666,6908000.0,1.5808340311050415,NaN
AFG,Afghanistan,2007.0,0.0024816000368446,154000.0,0.1306100040674209,0.5796425938606262,0.0216138008981943,678000.0,0.6972200274467468,2.545454978942871,1288000.0,4.837533950805664,17000.0,0.0656030029058456,NaN
AGO,Angola,2008.0,0.0146794002503156,437000.0,0.772599995136261,2.006692886352539,0.0436479002237319,555000.0,1.4079999923706057,2.552293062210083,2694000.0,12.379810333251951,988000.0,4.541006088256836,NaN
ALB,Albania,2002.0,0.0034652999602258,34000.0,0.1823900043964386,1.1138299703598022,0.0350731015205383,137000.0,1.1313899755477903,4.498180866241455,713000.0,23.365610122680664,172000.0,5.636288166046143,NaN
ALB,Albania,2005.0,0.001727299997583,25000.0,0.0909100025892257,0.8307530283927917,0.0218327995389699,84000.0,0.7042800188064575,2.7797319889068604,588000.0,19.514020919799805,135000.0,4.497395038604736,NaN
ALB,Albania,2008.0,2.303999935975E-4,3000.0,0.0121299996972084,0.0992193967103958,0.0087112002074718,46000.0,0.2810100018978119,1.5585319995880127,410000.0,13.906789779663086,120000.0,4.075897216796875,NaN
ALB,Albania,2012.0,0.0011702999472618,11000.0,0.0615900009870529,0.3631756007671356,0.0108321998268365,41000.0,0.3494200110435486,1.416053056716919,485000.0,16.72464942932129,143000.0,4.945396900177002,NaN
ARG,Argentina,1996.0,0.0018433999503031,95000.0,0.097020000219345,0.2684527933597564,0.0069182999432086,191000.0,0.2231699973344802,0.5400090217590332,3436000.0,9.700447082519531,364000.0,1.026507019996643,NaN
