Unnamed: 0,natlarge,gdp_percap_1950_madd,urbanpop1950,pop1950,yr_sch1950,countrycode,hsswname,urbanization1950
179,345.0,423.7136893,267.0629883,7649.766113,1.210000038,TZA,United Republic of Tanzania,3.491126299
180,346.0,686.8541034,145.4490051,5158.192871,0.889999986,UGA,Uganda,2.81976676
181,347.0,2534.756547,5778.375977,13683.16211,4.03000021,ZAF,South Africa,42.22982788
182,348.0,660.910009,272.8299866,2372.430908,1.769999981,ZMB,Zambia,11.50001812
183,349.0,700.9793733,292.3680115,2746.854004,1.580000043,ZWE,Zimbabwe,10.64374065
184,350.0,449.6476245,25.28499985,178.0659943,,CPV,Cabo Verde,14.19979191
185,351.0,820.3582789,8.093999863,60.0,,STP,Sao Tome and Principe,13.48999977
186,353.0,2489.758687,144.6580048,493.2539978,2.50999999,MUS,Mauritius,29.32728386
187,354.0,951.0104714,318.5169983,4083.553955,,MDG,Madagascar,7.799994946
188,355.0,560.3052244,10.31999969,156.3339996,,COM,Comoros,6.601251125
189,,,,,,,,
