Code,communes 2016,part des résidences principales - 2008,nb rés. principales construites avant 2004 - 2008,nb rés. principales construites avant 1949 - 2008,nb rés. princ. construites de 1949 à 1974 - 2008,nb rés. princ. construites de 1975 à 1989 - 2008,nb rés. princ. construites de 1990 à 2003 - 2008,part rés. princ. construites avant 2004 - 2008,part rés. princ. construites avant 1949 - 2008,part rés. princ. construites de 1949 à 1974 - 2008,part rés. princ. construites de 1975 à 1989 - 2008,part rés. princ. construites de 1990 à 2003 - 2008
4066,CURBANS,"83,3","130,62201","34,521531","18,660287","36,38756","41,052632","83,8","22,2",12,"23,4","26,3"
4067,CUREL,"64,9",21,7,1,4,9,"87,5","29,2","4,2","16,7","37,5"
4068,DAUPHIN,"70,5","345,05402","107,767588","47,457286","104,801508","85,027638","96,9","30,3","13,3","29,4","23,9"
4069,DEMANDOLX,"57,6","63,72","23,76","16,2","9,72","14,04","98,3","36,7",25,15,"21,7"
4070,DIGNE-LES-BAINS,"80,7","8013,723507","1641,250584","3133,182511","1873,048096","1366,242316","97,9",20,"38,3","22,9","16,7"
4072,DRAIX,"69,4","30,205128","12,666667","5,846154","5,846154","5,846154","86,1","36,1","16,7","16,7","16,7"
4073,ENCHASTRAYES,"9,4","192,104851","36,830979","56,73315","63,704577","34,836145",99,19,"29,2","32,8","17,9"
4074,ENTRAGES,58,"52,53913","27,756522","5,947826","7,930435","10,904348",100,"52,8","11,3","15,1","20,8"
4075,ENTREPIERRES,56,"151,905013","37,976253","24,633245","41,055409","48,240106",98,"24,5","15,9","26,5","31,1"
4076,ENTREVAUX,"55,1","393,087135","245,066792","56,855496","49,013358","42,151488","97,3","60,7","14,1","12,1","10,4"
4077,ENTREVENNES,"48,9","76,175439","46,877193","14,649123","8,789474","5,859649","95,1","58,5","18,3",11,"7,3"
4079,L'ESCALE,"85,2",521,101,148,169,103,"95,4","18,5","27,1",31,"18,9"
4081,ESPARRON-DE-VERDON,"38,3","211,478395","49,344959","34,239359","81,570238","46,323839","98,1","22,9","15,9","37,9","21,5"
4084,ESTOUBLON,"54,8","181,542484","62,405229","39,712418","52,004357","27,420479","91,4","31,4",20,"26,2","13,8"
4085,FAUCON-DU-CAIRE,"55,8","17,068966","8,534483",0,"4,741379","3,793103","81,8","40,9",0,"22,7","18,2"
4086,FAUCON-DE-BARCELONNETTE,"53,5","115,079207","33,907266","4,109972","38,017238","39,044731","93,3","27,5","3,3","30,8","31,7"
4087,FONTIENNE,"61,1","54,409091","27,204545",0,"13,098485","14,106061","93,1","46,6",0,"22,4","24,1"
4088,FORCALQUIER,"77,3","2002,593826","655,539695","500,648456","517,636528","328,769146","94,8",31,"23,7","24,5","15,6"
4090,LE FUGERET,"44,5",104,60,8,13,23,"98,1","56,6","7,5","12,3","21,7"
4091,GANAGOBIE,"97,5","38,830332","3,065553","19,415166","10,218509","6,131105",100,"7,9",50,"26,3","15,8"
4092,LA GARDE,"34,9","43,511111","25,711111","0,988889","5,933333","10,877778","93,6","55,3","2,1","12,8","23,4"
4093,GIGORS,"39,1","19,661017","14,745763","0,983051","3,932203",0,87,"65,2","4,3","17,4",0
4094,GREOUX-LES-BAINS,"28,7","1130,821239","176,535956","288,51019","365,15958","300,615513","99,4","15,5","25,4","32,1","26,4"
4095,L'HOSPITALET,58,47,23,3,9,12,100,"48,9","6,4","19,1","25,5"
4096,JAUSIERS,"38,5","415,772448","169,424838","64,264594","117,818422","64,264594","93,4","38,1","14,4","26,5","14,4"
4097,LA JAVIE,"67,6","177,545918","54,859694","34,910714","54,859694","32,915816","95,7","29,6","18,8","29,6","17,7"
4099,LAMBRUISSE,"29,7","37,880435","13,858696","8,315217","8,315217","7,391304","87,2","31,9","19,1","19,1",17
4101,LARDIERS,"47,9",55,29,6,8,12,"98,2","51,8","10,7","14,3","21,4"
4102,LE LAUZET-UBAYE,"40,5","122,808642","52,647026","29,234007","28,25954","12,66807",100,"42,9","23,8",23,"10,3"
4104,LIMANS,"50,6","109,014031","57,535183","13,122059","22,206562","16,150227","93,9","49,6","11,3","19,1","13,9"
4106,LURS,"59,6","184,951351","128,043243","22,356757","24,389189","10,162162","98,9","68,5",12,13,"5,4"
4107,MAJASTRES,"13,7",2,2,0,0,0,100,100,0,0,0
4108,MALIJAI,"86,1","776,644846","195,739758","278,876537","150,488093","151,540458","99,7","25,1","35,8","19,3","19,5"
4109,MALLEFOUGASSE-AUGES,"57,9",91,22,10,26,33,"91,9","22,2","10,1","26,3","33,3"
4110,MALLEMOISSON,88,"406,356495","57,160121","80,024169","154,851964","114,320242","91,8","12,9","18,1",35,"25,8"
4111,MANE,"75,8","569,209792","264,025","92,358555","122,475476","90,350761",99,"45,9","16,1","21,3","15,7"
4112,MANOSQUE,"90,5","9743,781163","1870,446032","4219,246722","2026,561667","1627,526743","96,7","18,6","41,9","20,1","16,2"
4113,MARCOUX,"78,3","201,740586","34,995816","62,786611","47,34728","56,610879","96,6","16,7",30,"22,7","27,1"
4115,MEAILLES,"27,7","56,410256","39,487179","2,820513","6,581197","7,521368","95,2","66,7","4,8","11,1","12,7"
4116,LES MEES,"81,8","1436,284343","544,761503","285,091806","334,303761","272,127274","93,9","35,6","18,6","21,8","17,8"
4118,MELVE,"62,2",43,22,6,7,8,"93,5","47,8",13,"15,2","17,4"
4120,VAL D'ORONAYE,"36,8","61,773333","7,133333","43,506667","6,08","5,053333",100,"11,5","70,4","9,8","8,2"
4121,MEZEL,"64,7","266,782189","117,836656","39,593116","49,962742","59,389675","93,4","41,3","13,9","17,5","20,8"
4122,MIRABEAU,"74,2","188,459119","52,188679","50,255765","54,121593","31,893082","96,5","26,7","25,7","27,7","16,3"
4123,MISON,"72,3","397,92427","123,507645","58,803563","106,826472","108,786591","93,3",29,"13,8","25,1","25,5"
4124,MONTAGNAC-MONTPEZAT,"36,9","164,818337","50,04658","29,428656","44,142984","41,200118","85,7",26,"15,3",23,"21,4"
4126,MONTCLAR,"19,5","185,781847","53,646592","22,849474","62,593377","46,692404","88,6","25,6","10,9","29,9","22,3"
4127,MONTFORT,"92,7","149,609192","30,919233","33,911417","65,828044","18,950498","98,7","20,4","22,4","43,4","12,5"
4128,MONTFURON,"62,2","72,734694","31,316327","7,071429","23,234694","11,112245",96,"41,3","9,3","30,7","14,7"
4129,MONTJUSTIN,"55,6",25,15,4,4,2,100,60,16,16,8
4130,MONTLAUX,46,56,25,10,17,4,"88,9","39,7","15,9",27,"6,3"
4132,MONTSALIER,"46,4","51,514019","34,018692","6,803738","5,831776","4,859813",100,66,"13,2","11,3","9,4"
4133,MORIEZ,"41,2","90,526596","52,56383","9,734043","14,601064","13,62766","97,9","56,8","10,5","15,8","14,7"
4134,LA MOTTE-DU-CAIRE,"64,2","228,874286","87,88","51,182857","50,217143","39,594286","92,2","35,4","20,6","20,2",16
4135,MOUSTIERS-SAINTE-MARIE,"52,8","325,275155","123,844901","64,457681","77,550648","59,421925","97,3",37,"19,3","23,2","17,8"
4136,LA MURE-ARGENS,"44,7","138,43125","43,134375","32,1","38,11875","25,078125","95,8","29,9","22,2","26,4","17,4"
4137,NIBLES,"57,1","18,75","8,4375",0,"7,5","2,8125","90,9","40,9",0,"36,4","13,6"
4138,NIOZELLES,"58,9",99,43,7,29,20,98,"42,6","6,9","28,7","19,8"
4139,NOYERS-SUR-JABRON,"63,2","144,103448","65,189655","24,875","23,159483","30,87931","81,2","36,7",14,13,"17,4"
4140,LES OMERGUES,"43,3","47,60705","23,808862","5,949547","7,93273","9,915912","88,9","44,5","11,1","14,8","18,5"
4141,ONGLES,"55,4","144,621538","65,181538","19,350769","30,553846","29,535385","97,9","44,1","13,1","20,7",20
4142,OPPEDETTE,"41,3","28,35","13,65","1,05","3,15","10,5",90,"43,3","3,3",10,"33,3"
4143,ORAISON,"83,8","2252,776783","556,128565","418,712493","690,222773","587,712952","99,2","24,5","18,4","30,4","25,9"
4144,LA PALUD-SUR-VERDON,"48,7","160,487261","100,678344","7,974522","26,914013","24,920382","98,2","61,6","4,9","16,5","15,2"
4145,PEIPIN,"84,7","507,653096","90,689567","91,731976","190,760814","134,470738",99,"17,7","17,9","37,2","26,2"
4148,PEYROULES,"34,6","99,753304","47,920705","21,515419","15,647577","14,669604","94,4","45,4","20,4","14,8","13,9"
4149,PEYRUIS,84,"940,650771","222,61121","255,766071","254,818789","207,454702","88,8",21,"24,2","24,1","19,6"
4150,PIEGUT,"67,3","53,829787","28,382979","3,914894","6,851064","14,680851","87,3",46,"6,3","11,1","23,8"
4151,PIERRERUE,"70,2",214,138,23,29,24,"94,3","60,8","10,1","12,8","10,6"
4152,PIERREVERT,"83,7",1440,168,397,500,375,"95,4","11,1","26,3","33,1","24,8"
4154,PONTIS,"33,5","25,925926","10,37037","2,592593","6,049383","6,91358","71,4","28,6","7,1","16,7",19
4155,PRADS-HAUTE-BLEONE,"33,1","88,023529","48,564706","16,188235","14,164706","9,105882","95,6","52,7","17,6","15,4","9,9"
4156,PUIMICHEL,"52,2","119,468504","39,153543","21,082677","35,137795","24,094488","97,5",32,"17,2","28,7","19,7"
4157,PUIMOISSON,"58,5","280,467924","124,75987","44,488016","56,093585","55,126454","91,8","40,8","14,6","18,4",18
4158,QUINSON,"47,3",212,85,25,48,54,"96,4","38,6","11,4","21,8","24,5"
4159,REDORTIERS,"46,4","33,325","20,425","2,15","5,375","5,375",100,"61,3","6,5","16,1","16,1"
4160,REILLANNE,"65,2","657,344672","252,516551","89,182433","216,442758","99,202931","99,1","38,1","13,4","32,6",15
4161,MEOLANS-REVEL,"32,1","144,375","78,571429","20,625","20,625","24,553571","94,8","51,6","13,5","13,5","16,1"
4162,REVEST-DES-BROUSSES,"53,4","103,266675","61,757522","13,161439","15,186276","13,161439","95,3",57,"12,1",14,"12,1"
4163,REVEST-DU-BION,"56,8","205,647765","90,446934","42,843284","46,651576","25,705971","89,3","39,3","18,6","20,2","11,2"
4164,REVEST-SAINT-MARTIN,"51,1","38,844444","25,555556","3,066667","5,111111","5,111111","97,4","64,1","7,7","12,8","12,8"
4166,RIEZ,"63,5","799,515119","329,787754","189,848143","191,805341","88,073881","96,1","39,6","22,8","23,1","10,6"
4167,LA ROBINE-SUR-GALABRE,"79,7",135,31,10,40,54,"95,7",22,"7,1","28,4","38,3"
4169,LA ROCHEGIRON,"57,3",54,22,8,18,6,"98,2",40,"14,5","32,7","10,9"
4170,LA ROCHETTE,"35,4","27,517241","16,706897","4,913793","1,965517","3,931034","96,6","58,6","17,2","6,9","13,8"
4171,ROUGON,"39,3","45,709301","16,32475","8,706534","13,0598","7,618217","89,4","31,9",17,"25,5","14,9"
4172,ROUMOULES,"67,8","287,768571","95,922857","37,131429","82,514286","72,2","89,4","29,8","11,5","25,6","22,4"
4173,SAINT-ANDRE-LES-ALPES,"57,3","434,019474","157,357771","115,190002","95,648841","65,822859","98,6","35,7","26,2","21,7",15
4174,SAINT-BENOIT,"33,1",56,22,6,13,15,100,"39,3","10,7","23,2","26,8"
4175,SAINTE-CROIX-A-LAUZE,"59,3","34,526316","15,105263","5,394737","6,473684","7,552632",97,"42,4","15,2","18,2","21,2"
4176,SAINTE-CROIX-DU-VERDON,25,"64,935484","14,903226","8,516129","18,096774","23,419355","95,3","21,9","12,5","26,6","34,4"
4177,HAUTES-DUYES,"63,5","15,490334","12,585896",0,"0,968146","1,936292","88,9","72,2",0,"5,6","11,1"
4178,SAINT-ETIENNE-LES-ORGUES,"60,2",575,148,115,199,113,"97,1",25,"19,4","33,6","19,1"
4179,SAINT-GENIEZ,"36,9","40,324985","15,917757","10,611838","5,305919","8,48947","90,5","35,7","23,8","11,9",19
4180,SAINT-JACQUES,"47,1","24,428571","16,285714",0,"3,053571","5,089286",96,64,0,12,20
4181,SAINT-JEANNET,"70,2",32,21,3,4,4,97,"63,6","9,1","12,1","12,1"
4182,SAINT-JULIEN-D'ASSE,"17,4","68,888889","33,431373","5,065359","14,183007","16,20915","97,1","47,1","7,1",20,"22,9"
4183,SAINT-JULIEN-DU-VERDON,"42,7","67,404633","12,451368","22,787231","21,789894","10,37614",97,"17,9","32,8","31,4","14,9"
4184,SAINT-JURS,51,74,43,5,12,14,"98,7","57,3","6,7",16,"18,7"
4186,SAINT-LAURENT-DU-VERDON,"27,6","38,413043","10,108696","6,065217","14,152174","8,086957",95,25,15,35,20
4187,SAINT-LIONS,"42,5","23,885714","11,942857","2,171429","7,6","2,171429",100,50,"9,1","31,8","9,1"
4188,SAINT-MAIME,"73,6","323,886812","138,660807","39,321722","81,747789","64,156493","94,6","40,5","11,5","23,9","18,7"
4189,SAINT-MARTIN-DE-BROMES,"52,2","217,528757","62,693878","37,046382","59,844156","57,944341","93,9",27,16,"25,8",25
4190,SAINT-MARTIN-LES-EAUX,"68,8",43,22,1,11,9,"97,7",50,"2,3",25,"20,5"
4191,SAINT-MARTIN-LES-SEYNE,"26,2","8,421053","5,263158",0,"3,157895",0,100,"62,5",0,"37,5",0
4192,SAINT-MICHEL-L'OBSERVATOIRE,72,454,176,106,83,89,91,"35,3","21,2","16,6","17,8"
