concept,motcle,champlexical
alpinisme (cours/atelier),alpinisme,"sport, montagne"
anglais (cours/atelier),anglais,cours de langue étrangère
art énergétique chinois (cours/atelier),art énergétique chinois,bien-être
art floral (cours/atelier),art floral,"nature, jardinage, arts plastiques, arts décoratifs"
art martial (cours/atelier),art martial,"sport, bien-être"
art plastique (cours/atelier),art plastique,"arts plastiques, peinture, dessin, moulage, sculpture, céramique"
art-thérapie (cours/atelier),art-thérapie,bien-être
autisme (service),autisme,
baseball (pratique collective),baseball,"sport collectif, balle"
batchatango (danse) (cours/atelier),batchatango (danse),danse
batterie-fanfare (pratique collective),batterie-fanfare,"musique, orchestre, instrument"
batucada (cours/atelier),batucada,"musique, orchestre, instrument, brésil, percussions"
batucada (pratique collective),batucada,"musique, orchestre, instrument, brésil, percussions"
biodiversité (cours/atelier),biodiversité,nature
boxe française (cours/atelier),boxe française,sport
bricolage (cours/atelier),bricolage,
bridge (pratique collective),bridge,"cartes, jeux de cartes"
cafés-philo (cours/atelier),cafés-philo,
carré potager (pratique collective),carré potager,
céramique (cours/atelier),céramique,
chant (cours/atelier),chant,"musique, chant, voix, chorale, choeur"
ciné-débats,ciné-débats,cinéma
conférence,conférence,
contraception (service),contraception,
court-métrage (cours/atelier),court-métrage,
couture (cours/atelier),couture,
création de cv (cours/atelier),création de cv,
créativité (cours/atelier),créativité,
crochet (cours/atelier),crochet,
cross training (cours/atelier),cross training,
cuisine (cours/atelier),cuisine,
culture régionale (cours/atelier),culture régionale,
danse (cours/atelier),danse,
décontraction (cours/atelier),décontraction,
démarches en ligne (service),démarches en ligne,
diction (cours/atelier),diction,
draisienne (cours/atelier),draisienne,
édition de gazette,édition de gazette,
enseignement (cours/atelier),enseignement,
entraide sociale (service),entraide sociale,
épée (cours/atelier),épée,
espagnol (cours/atelier),espagnol,cours de langue étrangère
exposition,exposition,
expression orale (cours/atelier),expression orale,
fabrication de fût (cours/atelier),fabrication de fût,
flamenco (danse) (cours/atelier),flamenco (danse),
fleuret (cours/atelier),fleuret,
football (pratique collective),football,"sport collectif, ballon, foot"
gestion du stress et des émotions (cours/atelier),gestion du stress et des émotions,
golf (cours/atelier),golf,
gravure (cours/atelier),gravure,
groupe d’étude et de réflexion,groupe d’étude et de réflexion,
gym douce (cours/atelier),gym douce,
gym tao-relaxation (cours/atelier),gym tao-relaxation,
gymnastique rythmique (cours/atelier),gymnastique rythmique,
gymnastique volontaire (cours/atelier),gymnastique volontaire,
horticulture (cours/atelier),horticulture,
incendie (formation),incendie,
insecte (cours/atelier),insecte,
introspection (cours/atelier),introspection,
italien (cours/atelier),italien,cours de langue étrangère
jardinage (cours/atelier),jardinage,nature
kizomba (cours/atelier),kizomba,danse africaine
kung fu (cours/atelier),kung fu,art martial
kungfu (cours/atelier),kungfu,art martial
lindy hop (danse) (cours/atelier),lindy hop (danse),danse
littérature (cours/atelier),littérature,
mahjong (pratique collective),mahjong,
marche nordique (pratique collective),marche nordique,
marionnette (cours/atelier),marionnette,
méditation (cours/atelier),méditation,bien-être
mémoire (cours/atelier),mémoire,
miniature (cours/atelier),miniature,
modern jazz (danse) (cours/atelier),modern jazz (danse),danse
nage en eau libre (cours/atelier),nage en eau libre,
negro spiritual (pratique collective),negro spiritual,"musique, chant, voix, chorale, choeur, negrospiritual"
nutrition (cours/atelier),nutrition,
œnologie (cours/atelier),œnologie,
orchestre symphonique (pratique collective),orchestre symphonique,"musique, orchestre, instrument"
orientation sexuelle (service),orientation sexuelle,
osier (cours/atelier),osier,
ouverture sur le monde (cours/atelier),ouverture sur le monde,
patchwork (cours/atelier),patchwork,
patinage (cours/atelier),patinage,
pêche (cours/atelier),pêche,
peinture (cours/atelier),peinture,
photographie (cours/atelier),photographie,
pinceau et papier de riz (cours/atelier),pinceau et papier de riz,
plongée (cours/atelier),plongée,
poterie (cours/atelier),poterie,
pratique artistique (cours/atelier),pratique artistique,
prévention du suicide (service),prévention du suicide,
protection et conservation du patrimoine (cours/atelier),protection et conservation du patrimoine,
qualité de vie (cours/atelier),qualité de vie,
randonnée,randonnée,
randonnée mémorielle,randonnée mémorielle,
randonnée pédestre (pratique collective),randonnée pédestre,
remise en forme (cours/atelier),remise en forme,
respiration (cours/atelier),respiration,
rock (danse) (cours/atelier),rock (danse),
rugby (pratique collective),rugby,
rythme (cours/atelier),rythme,
salsa (danse) (cours/atelier),salsa (danse),
sauvetage aquatique (formation),sauvetage aquatique,
science (cours/atelier),science,
scrabble (pratique collective),scrabble,
shaolin (cours/atelier),shaolin,
shotokan (cours/atelier),shotokan,
soirée à thème,soirée à thème,
solfège (cours/atelier),solfège,
stage,stage,
stratégie de jeu (cours/atelier),stratégie de jeu,
stress (cours/atelier),stress,
taekwondo (cours/atelier),taekwondo,
taïso (cours/atelier),taïso,
