time_period_obs_value_obs_status_obs_qual_obs_type_obs_rev
2020-Q4;NaN;O;DEF;ND;
2020-Q1;NaN;O;DEF;ND;
2018-Q3;NaN;O;DEF;ND;
2015-Q2;NaN;O;DEF;ND;
2015-Q1;NaN;O;DEF;ND;
2014-Q2;35;A;DEF;A;
2011-Q3;20;A;DEF;A;
2009-Q1;23;A;DEF;A;
2007-Q1;29;A;DEF;A;
2005-Q1;27;A;DEF;A;
2004-Q1;37;A;DEF;A;
2003-Q1;24;A;DEF;A;
2002-Q2;16;A;DEF;A;
2000-Q1;18;A;DEF;A;
2019-Q1;NaN;O;DEF;ND;
2017-Q2;NaN;O;DEF;ND;
2017-Q1;NaN;O;DEF;ND;
2015-Q3;NaN;O;DEF;ND;
2014-Q4;36;A;DEF;A;
2013-Q4;35;A;DEF;A;
2013-Q1;30;A;DEF;A;
2012-Q2;19;A;DEF;A;
2011-Q2;28;A;DEF;A;
2010-Q2;28;A;DEF;A;
2009-Q4;52;A;DEF;A;
2008-Q4;28;A;DEF;A;
2008-Q2;32;A;DEF;A;
2007-Q2;35;A;DEF;A;
2005-Q4;33;A;DEF;A;
2002-Q1;27;A;DEF;A;
2001-Q1;20;A;DEF;A;
2000-Q2;26;A;DEF;A;
2020-Q3;NaN;O;DEF;ND;
2018-Q4;NaN;O;DEF;ND;
2017-Q4;NaN;O;DEF;ND;
2016-Q4;NaN;O;DEF;ND;
2012-Q3;18;A;DEF;A;
2009-Q2;19;A;DEF;A;
2008-Q3;41;A;DEF;A;
2006-Q4;28;A;DEF;A;1
2004-Q4;36;A;DEF;A;
2004-Q2;26;A;DEF;A;
2003-Q2;25;A;DEF;A;
2020-Q2;NaN;O;DEF;ND;
2019-Q4;NaN;O;DEF;ND;
2019-Q3;NaN;O;DEF;ND;
2018-Q2;NaN;O;DEF;ND;
2018-Q1;NaN;O;DEF;ND;
2017-Q3;NaN;O;DEF;ND;
2016-Q1;NaN;O;DEF;ND;
2014-Q1;44;A;DEF;A;1
2013-Q3;35;A;DEF;A;
2013-Q2;30;A;DEF;A;
2011-Q1;22;A;DEF;A;
2007-Q4;38;A;DEF;A;
2007-Q3;37;A;DEF;A;1
2005-Q2;30;A;DEF;A;
2004-Q3;24;A;DEF;A;
2002-Q4;18;A;DEF;A;
2002-Q3;29;A;DEF;A;
2001-Q2;31;A;DEF;A;
2000-Q4;20;A;DEF;A;
2000-Q3;18;A;DEF;A;
2019-Q2;NaN;O;DEF;ND;
2016-Q3;NaN;O;DEF;ND;
2016-Q2;NaN;O;DEF;ND;
2015-Q4;NaN;O;DEF;ND;
2014-Q3;38;A;DEF;A;
2012-Q4;24;A;DEF;A;1
2012-Q1;17;A;DEF;A;
2011-Q4;19;A;DEF;A;
2010-Q4;27;A;DEF;A;
2010-Q3;31;A;DEF;A;
2010-Q1;35;A;DEF;A;
2009-Q3;24;A;DEF;A;
2008-Q1;40;A;DEF;A;
2006-Q3;31;A;DEF;A;
2006-Q2;40;A;DEF;A;
2006-Q1;28;A;DEF;A;
2005-Q3;31;A;DEF;A;
2003-Q4;26;A;DEF;A;
2003-Q3;32;A;DEF;A;
2001-Q4;29;A;DEF;A;
2001-Q3;24;A;DEF;A;
