heure_taux_tour
19h;31.1;Second tour
13h;12.95;Premier tour
16h;20.12;Premier tour
18h;27.65;Second tour
18h;25.29;Premier tour
19h;29.28;Premier tour
16h;21.16;Second tour
11h;6.68;Premier tour
11h;7.16;Second tour
13h;13.86;Second tour
