annee_sexe_age_nombre
2008;Femmes;15 à 29 ans;6584
2008;Femmes;45 à 59 ans;6091
2008;Hommes;60 à 74 ans;2712
2007;Femmes;45 à 59 ans;5930
2007;Hommes;60 à 74 ans;2648
2006;Femmes;0 à 14 ans;5512
2006;Femmes;45 à 59 ans;5572
2006;Femmes;75 à 89 ans;2165
2006;Hommes;45 à 59 ans;5007
2006;Hommes;60 à 74 ans;2547
