annee_mois_type_contrat_value
2015;7;NOMBRE DE MARIAGES;33
2015;9;CONTRAT DE MARIAGE;4
2015;11;MENTIONS DE PACS;206
2016;1;MENTIONS DE DIVORCE;11
2016;3;MENTIONS DE PACS;175
2016;3;CONTRAT DE MARIAGE;3
2016;5;AUTRES MENTIONS;492
2016;6;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;15
2016;6;MENTIONS DE DIVORCE;15
2016;6;NOMBRE DE MARIAGES;29
2016;7;MENTIONS DE PACS;210
2016;8;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;13
2016;8;NOMBRE DE MARIAGES;34
2016;8;AUTRES MENTIONS;542
2016;9;MENTIONS DE PACS;268
2016;10;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;7
2016;12;NOMBRE DE MARIAGES;16
2017;1;MENTIONS DE DIVORCE;20
2017;1;CONTRAT DE MARIAGE;0
2017;3;MENTIONS DE PACS;199
2017;3;AUTRES MENTIONS;467
2017;3;CONTRAT DE MARIAGE;0
2017;4;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;12
2017;4;MENTIONS DE DIVORCE;13
2017;5;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;19
2017;5;NOMBRE DE MARIAGES;24
2017;6;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;18
2017;6;MENTIONS DE PACS;274
2017;6;MENTIONS DE DIVORCE;16
2017;6;CONTRAT DE MARIAGE;6
2017;8;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;12
2017;9;MENTIONS DE DIVORCE;10
2017;9;NOMBRE DE MARIAGES;33
2017;11;MENTIONS DE PACS;133
2017;11;CONTRAT DE MARIAGE;3
2017;12;MENTIONS DE DIVORCE;6
2017;12;AUTRES MENTIONS;394
2018;1;MENTIONS DE DIVORCE;23
2018;1;CONTRAT DE MARIAGE;3
2018;2;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;6
2018;3;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;8
2018;3;NOMBRE DE MARIAGES;8
2018;3;AUTRES MENTIONS;393
2018;4;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;2
2018;4;CONTRAT DE MARIAGE;2
2018;5;MENTIONS DE DIVORCE;10
2018;7;MENTIONS DE PACS;217
2018;12;MENTIONS DE PACS;197
2019;1;MENTIONS DE DIVORCE;19
2019;1;NOMBRE DE MARIAGES;15
2019;2;MENTIONS DE PACS;170
2019;2;CONTRAT DE MARIAGE;1
2019;3;NOMBRE DE MARIAGES;11
2019;3;CONTRAT DE MARIAGE;2
2019;4;CONTRAT DE MARIAGE;7
2019;5;NOMBRE DE MARIAGES;22
2019;5;CONTRAT DE MARIAGE;6
2019;6;MENTIONS DE DIVORCE;18
2019;6;AUTRES MENTIONS;679
2019;7;MENTIONS DE PACS;225
2019;7;CONTRAT DE MARIAGE;6
2019;8;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;12
2019;8;MENTIONS DE DIVORCE;9
2019;8;AUTRES MENTIONS;468
2019;9;MENTIONS DE PACS;242
2019;9;MENTIONS DE DIVORCE;11
2019;11;MENTIONS DE PACS;187
2019;11;CONTRAT DE MARIAGE;1
2019;12;NOMBRE DE MARIAGES;13
2019;12;CONTRAT DE MARIAGE;1
2014;1;AUTRES MENTIONS;362
2014;1;CONTRAT DE MARIAGE;0
2014;3;NOMBRE DE MARIAGES;15
2014;3;CONTRAT DE MARIAGE;3
2014;4;MENTIONS DE PACS;167
2014;7;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;23
2014;7;MENTIONS DE DIVORCE;17
2014;7;NOMBRE DE MARIAGES;29
2014;8;MENTIONS DE DIVORCE;7
2014;9;AUTRES MENTIONS;607
2014;10;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;7
2014;11;CONTRAT DE MARIAGE;0
2014;12;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;7
2014;12;MENTIONS DE PACS;274
2015;1;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;7
2015;1;MENTIONS DE DIVORCE;11
2015;1;AUTRES MENTIONS;401
2015;3;MENTIONS DE PACS;190
2015;4;MENTIONS DE PACS;172
2015;4;AUTRES MENTIONS;474
2015;4;CONTRAT DE MARIAGE;6
2015;5;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;13
2015;6;MENTIONS DE DIVORCE;10
2015;7;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;20
2015;7;CONTRAT DE MARIAGE;10
2015;9;MENTIONS DE PACS;295
2015;10;NOMBRE DE MARIAGES;20
2015;11;NOMBRE DE MARIAGES;12
2015;12;MENTIONS DE PACS;260
2016;1;NOMBRE DE MARIAGES;12
2016;2;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;3
2016;2;MENTIONS DE PACS;161
2016;2;MENTIONS DE DIVORCE;19
2016;4;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;11
2016;4;MENTIONS DE PACS;181
2016;4;MENTIONS DE DIVORCE;8
2016;6;AUTRES MENTIONS;686
2016;7;NOMBRE DE MARIAGES;43
2016;8;CONTRAT DE MARIAGE;9
2016;9;MENTIONS DE DIVORCE;9
2016;10;AUTRES MENTIONS;401
2017;1;NOMBRE DE MARIAGES;9
2017;2;MENTIONS DE PACS;137
2017;2;AUTRES MENTIONS;359
2017;4;MENTIONS DE PACS;157
2017;4;CONTRAT DE MARIAGE;2
2017;5;AUTRES MENTIONS;483
2017;5;CONTRAT DE MARIAGE;10
2017;7;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;22
2017;7;MENTIONS DE PACS;131
2017;7;CONTRAT DE MARIAGE;9
2017;8;MENTIONS DE PACS;217
2017;8;MENTIONS DE DIVORCE;8
2017;9;MENTIONS DE PACS;274
2017;9;CONTRAT DE MARIAGE;10
2017;10;NOMBRE DE MARIAGES;14
2017;10;CONTRAT DE MARIAGE;2
2017;11;NOMBRE DE MARIAGES;9
2017;11;AUTRES MENTIONS;465
2018;2;CONTRAT DE MARIAGE;1
2018;4;AUTRES MENTIONS;363
2018;6;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;11
2018;8;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;4
2018;8;MENTIONS DE PACS;229
2018;8;MENTIONS DE DIVORCE;10
2018;8;NOMBRE DE MARIAGES;28
2018;8;AUTRES MENTIONS;597
2018;9;MENTIONS DE DIVORCE;12
2018;9;CONTRAT DE MARIAGE;6
2018;10;NOMBRE DE MARIAGES;16
2018;12;MENTIONS DE DIVORCE;12
2019;1;CONTRAT DE MARIAGE;3
2019;5;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;17
2019;7;MENTIONS DE DIVORCE;14
2019;7;NOMBRE DE MARIAGES;28
2019;10;MENTIONS DE PACS;259
2019;11;MENTIONS DE DIVORCE;18
2019;11;AUTRES MENTIONS;469
2019;12;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;5
2019;12;MENTIONS DE DIVORCE;13
2014;4;NOMBRE DE MARIAGES;22
2014;6;MENTIONS DE DIVORCE;17
2014;6;CONTRAT DE MARIAGE;4
2014;7;AUTRES MENTIONS;551
2014;7;CONTRAT DE MARIAGE;6
2014;8;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;8
2014;9;PUBLICATION POUR MARIAGES EXTERIEURS A LA COMMUNE;1
2014;9;CONTRAT DE MARIAGE;9
2014;10;MENTIONS DE PACS;238
2014;10;MENTIONS DE DIVORCE;11
2014;11;MENTIONS DE DIVORCE;16
2014;12;NOMBRE DE MARIAGES;15
2014;12;CONTRAT DE MARIAGE;7
