type_d_axe_axe_latitude_wgs84_longitude_wgs84_operateur_technologie_chargement_10s_coordonnees_commune_nom_dep_nom_reg_nom_epci
1.70827;Meung-sur-Loire;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.84322;Sougy;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.74876;Saint-Ay;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.7601;Saint-Ay;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.90569;Fleury-les-Aubrais;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.90656;Fleury-les-Aubrais;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.81434;La Chapelle-Saint-Mesmin;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.85146;Poupry;EURE-ET-LOIR;CENTRE-VAL DE LOIRE;CC Coeur de Beauce
1.92826;Orléans;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.8518;Poupry;EURE-ET-LOIR;CENTRE-VAL DE LOIRE;CC Coeur de Beauce
1.91642;Orléans;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.90359;Fleury-les-Aubrais;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.88136;Cercottes;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.93775;La Ferté-Saint-Aubin;LOIRET;CENTRE-VAL DE LOIRE;CC des Portes de Sologne
1.90655;Orléans;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.87935;Chevilly;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.90582;Ruan;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.72038;Meung-sur-Loire;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.91428;Orléans;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.88596;Cercottes;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.71007;Meung-sur-Loire;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.64844;Baule;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.82182;La Chapelle-Saint-Mesmin;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.86018;Gidy;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.86016;Gidy;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.78937;Chaingy;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.9061;Fleury-les-Aubrais;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.86043;Gidy;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.85733;Gidy;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.90599;Fleury-les-Aubrais;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.93611;La Ferté-Saint-Aubin;LOIRET;CENTRE-VAL DE LOIRE;CC des Portes de Sologne
1.85116;Artenay;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.57936;Tavers;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.65874;Le Bardon;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.64549;Beaugency;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.88896;Saran;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.90388;Fleury-les-Aubrais;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.66923;Baule;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.72738;Meung-sur-Loire;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.91687;Orléans;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.91971;Tivernon;LOIRET;CENTRE-VAL DE LOIRE;CC de la Plaine du Nord Loiret
1.90582;Fleury-les-Aubrais;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.67052;Le Bardon;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.62564;Beaugency;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.70492;Meung-sur-Loire;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.83336;Ingré;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.90732;Orléans;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.89113;Ruan;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.92737;Saint-Jean-le-Blanc;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.92018;Tivernon;LOIRET;CENTRE-VAL DE LOIRE;CC de la Plaine du Nord Loiret
1.93362;Saint-Jean-le-Blanc;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
1.70057;Meung-sur-Loire;LOIRET;CENTRE-VAL DE LOIRE;CC des Terres du Val de Loire
1.86041;Gidy;LOIRET;CENTRE-VAL DE LOIRE;CC de la Beauce Loirétaine
1.86361;Saint-Jean-de-la-Ruelle;LOIRET;CENTRE-VAL DE LOIRE;Orléans Métropole
