Alias du bureau,Code du bureau,Nom de la circonscription,Nom du canton,Nom du lieu de vote,Nom de la commune (UGLE),Nombre d'électeurs,Nom du tour de scrutin,Emargements à 10:00,Emargements à 12:00,Emargements à 14:00,Emargements à 16:00,Emargements à 18:00,Emargements à 19:00,Nombre d'enveloppes et bulletins,Nombre de bulletins blancs,Nombre de bulletins nuls,Nombre de suffrages exprimés,Nombre d'enveloppes,Nombre de bulletins sans enveloppe,Nombre d'inscrits,Nombre d'émargements,Nombre de procurations,Nombre de centaines possibles,Voix pour M. BRANCHE  Romain et Mme. PELLOUX-GERVAIS Isabelle,Voix pour Mme. ROMERA Sophie et M. TROCME Benjamin,Voix pour Mme. DESPLANQUES Axelle et M. TISSOT Grégory,Voix pour Mme. CARRIERE Louve et M. COEUR Alain,Voix pour M. DUPONT-FERRIER Stéphane et Mme. SPINI ALIM Dominique,Voix pour Mme. POSTEL Sylviane et M. VIRETTE Jean-Louis,Voix pour M. CUCAROLLO Jérôme et Mme. KAZAZIAN-BALESTAS Eléonore,Voix pour Mme. PEREZ Kathy et M. PERIER François-Marie,Voix pour M. LAVAL Sylvain et Mme. SEGHIER Sabrina,Voix pour M. BILLOUET Simon et Mme. COUVENT Pauline,Voix pour Mme. HAMEDI Sandra et M. THIRIET Adam,Voix pour Mme. BACHA Néjia et M. EDWIGE Romain,Voix pour Mme. GAUVIN Valérie et M. OROSCO Damien,Voix pour Mme. DUPRE Christel et M. VIRONE Joseph,Voix pour Mme. GERMAIN Amandine et M. TCHETCHE Pierre Didier,Voix pour M. CHAPPET Clément et Mme. MANSOURI Hanane,Voix pour M. BIJU-DUVAL Bertrand et Mme. MOKONDJIMOBE Leila Angela
VILLAGE OLYMPIQUE 1er bureau,85,38-03,Grenoble-4,VILLAGE OLYMPIQUE,Grenoble,755,Grenoble Elections départementales 2021 Tour 1,36.0,36.0,82.0,85.0,93.0,99.0,101,4,0,97,101.0,0.0,755,101,2.0,2,,,,,,,,,,,,,,15.0,46.0,23.0,13.0
VILLAGE OLYMPIQUE 2ème bureau,86,38-03,Grenoble-4,VILLAGE OLYMPIQUE,Grenoble,868,Grenoble Elections départementales 2021 Tour 1,38.0,38.0,80.0,94.0,111.0,114.0,115,2,1,112,115.0,0.0,868,115,5.0,2,,,,,,,,,,,,,,22.0,52.0,25.0,13.0
ANDRE ABRY 1er bureau,87,38-03,Grenoble-4,ANDRE ABRY,Grenoble,914,Grenoble Elections départementales 2021 Tour 1,48.0,48.0,80.0,115.0,188.0,198.0,216,1,2,213,216.0,0.0,914,216,3.0,3,,,,,,,,,,,,,,53.0,72.0,45.0,43.0
HOTEL DE VILLE,88,38-01,Grenoble-2,MENON HOTEL DE VILLE,Grenoble,38,Grenoble Elections départementales 2021 Tour 1,30.0,30.0,30.0,30.0,30.0,30.0,29,3,0,26,29.0,0.0,38,29,0.0,1,,,,,3.0,9.0,8.0,0.0,6.0,,,,,,,,
Fontanil-Cornillon,FONTA,38-01,Grenoble-2,,Grenoble,10,Grenoble Elections départementales 2021 Tour 1,,,,,,,899,13,8,878,899.0,0.0,2331,899,21.0,9,,,,,463.0,100.0,181.0,10.0,124.0,,,,,,,,
Mont-Saint-Martin,MONT-,38-01,Grenoble-2,,Grenoble,90,Grenoble Elections départementales 2021 Tour 1,,,,,,,53,3,0,50,53.0,0.0,90,53,3.0,1,,,,,8.0,2.0,12.0,2.0,26.0,,,,,,,,
Proveysieux,PROVE,38-01,Grenoble-2,,Grenoble,10,Grenoble Elections départementales 2021 Tour 1,,,,,,,195,2,0,193,195.0,0.0,405,195,0.0,2,,,,,24.0,28.0,66.0,11.0,64.0,,,,,,,,
Quaix-en-Chartreuse,QUAIX,38-01,Grenoble-2,,Grenoble,782,Grenoble Elections départementales 2021 Tour 1,,,,,,,330,4,3,323,330.0,0.0,782,330,17.0,4,,,,,42.0,21.0,98.0,3.0,159.0,,,,,,,,
Saint-Martin-le-Vinoux,SAINT,38-01,Grenoble-2,,Grenoble,10,Grenoble Elections départementales 2021 Tour 1,,,,,,,1141,10,5,1126,1141.0,0.0,3472,1140,33.0,12,,,,,142.0,112.0,310.0,16.0,546.0,,,,,,,,
Saint-Égrève,SAINT,38-01,Grenoble-2,,Grenoble,10,Grenoble Elections départementales 2021 Tour 1,,,,,,,4039,87,37,3915,4039.0,0.0,11451,4039,154.0,41,,,,,903.0,538.0,1644.0,78.0,752.0,,,,,,,,
Sarcenas,SARCE,38-01,Grenoble-2,,Grenoble,10,Grenoble Elections départementales 2021 Tour 1,,,,,,,92,0,3,89,92.0,0.0,195,92,4.0,1,,,,,7.0,7.0,45.0,1.0,29.0,,,,,,,,
