Alias du bureau,Code du bureau,Nom de la circonscription,Nom du canton,Nom du lieu de vote,Nom de la commune (UGLE),Nombre d'électeurs,Nom du tour de scrutin,Emargements à 10:00,Emargements à 12:00,Emargements à 14:00,Emargements à 16:00,Emargements à 18:00,Emargements à 19:00,Nombre d'enveloppes et bulletins,Nombre de bulletins blancs,Nombre de bulletins nuls,Nombre de suffrages exprimés,Nombre d'enveloppes,Nombre de bulletins sans enveloppe,Nombre d'inscrits,Nombre d'émargements,Nombre de procurations,Nombre de centaines possibles,Voix pour M. BRANCHE  Romain et Mme. PELLOUX-GERVAIS Isabelle,Voix pour Mme. ROMERA Sophie et M. TROCME Benjamin,Voix pour Mme. DESPLANQUES Axelle et M. TISSOT Grégory,Voix pour Mme. CARRIERE Louve et M. COEUR Alain,Voix pour M. DUPONT-FERRIER Stéphane et Mme. SPINI ALIM Dominique,Voix pour Mme. POSTEL Sylviane et M. VIRETTE Jean-Louis,Voix pour M. CUCAROLLO Jérôme et Mme. KAZAZIAN-BALESTAS Eléonore,Voix pour Mme. PEREZ Kathy et M. PERIER François-Marie,Voix pour M. LAVAL Sylvain et Mme. SEGHIER Sabrina,Voix pour M. BILLOUET Simon et Mme. COUVENT Pauline,Voix pour Mme. HAMEDI Sandra et M. THIRIET Adam,Voix pour Mme. BACHA Néjia et M. EDWIGE Romain,Voix pour Mme. GAUVIN Valérie et M. OROSCO Damien,Voix pour Mme. DUPRE Christel et M. VIRONE Joseph,Voix pour Mme. GERMAIN Amandine et M. TCHETCHE Pierre Didier,Voix pour M. CHAPPET Clément et Mme. MANSOURI Hanane,Voix pour M. BIJU-DUVAL Bertrand et Mme. MOKONDJIMOBE Leila Angela
MALHERBE 3ème bureau,38,38-03,Grenoble-3,MALHERBE,Grenoble,771,Grenoble Elections départementales 2021 Tour 1,127.0,127.0,155.0,193.0,233.0,251.0,265,11,3,251,265.0,0.0,771,265,12.0,3,,,,,,,,,,148.0,52.0,17.0,34.0,,,,
BALADINS 1er bureau,39,38-03,Grenoble-3,BALADINS,Grenoble,918,Grenoble Elections départementales 2021 Tour 1,123.0,123.0,146.0,221.0,274.0,313.0,319,6,3,310,319.0,0.0,918,319,24.0,4,,,,,,,,,,202.0,51.0,29.0,28.0,,,,
BALADINS 2ème bureau,40,38-03,Grenoble-3,BALADINS,Grenoble,965,Grenoble Elections départementales 2021 Tour 1,73.0,73.0,91.0,114.0,164.0,180.0,193,7,3,183,193.0,0.0,965,193,13.0,2,,,,,,,,,,131.0,17.0,18.0,17.0,,,,
BALADINS 3ème bureau,41,38-03,Grenoble-3,BALADINS,Grenoble,902,Grenoble Elections départementales 2021 Tour 1,84.0,84.0,107.0,137.0,165.0,193.0,205,10,4,191,205.0,0.0,902,205,4.0,3,,,,,,,,,,113.0,42.0,14.0,22.0,,,,
TEISSEIRE 1er bureau,42,38-01,Grenoble-3,TEISSEIRE,Grenoble,1242,Grenoble Elections départementales 2021 Tour 1,158.0,158.0,191.0,214.0,281.0,301.0,298,7,5,286,298.0,0.0,1242,298,6.0,3,,,,,,,,,,130.0,71.0,25.0,60.0,,,,
TEISSEIRE 2ème bureau,43,38-01,Grenoble-3,TEISSEIRE,Grenoble,847,Grenoble Elections départementales 2021 Tour 1,63.0,63.0,82.0,97.0,122.0,130.0,134,6,0,128,134.0,0.0,847,134,2.0,2,,,,,,,,,,46.0,42.0,15.0,25.0,,,,
TAILLEFER 1er bureau,44,38-01,Grenoble-3,TAILLEFER,Grenoble,1213,Grenoble Elections départementales 2021 Tour 1,119.0,119.0,168.0,209.0,289.0,323.0,357,7,3,347,357.0,0.0,1213,356,17.0,4,,,,,,,,,,206.0,73.0,11.0,57.0,,,,
TAILLEFER 2ème bureau,45,38-01,Grenoble-3,TAILLEFER,Grenoble,902,Grenoble Elections départementales 2021 Tour 1,63.0,63.0,76.0,92.0,139.0,151.0,159,4,5,150,159.0,0.0,902,159,4.0,2,,,,,,,,,,64.0,33.0,19.0,34.0,,,,
TAILLEFER 3ème bureau,46,38-01,Grenoble-3,TAILLEFER,Grenoble,715,Grenoble Elections départementales 2021 Tour 1,62.0,62.0,78.0,87.0,108.0,121.0,126,6,3,117,126.0,0.0,715,126,1.0,2,,,,,,,,,,51.0,29.0,9.0,28.0,,,,
BAJATIERE 1er bureau,47,38-01,Grenoble-3,BAJATIERE,Grenoble,1180,Grenoble Elections départementales 2021 Tour 1,195.0,195.0,220.0,261.0,346.0,383.0,418,21,2,395,418.0,0.0,1180,418,18.0,5,,,,,,,,,,225.0,112.0,12.0,46.0,,,,
BAJATIERE 2ème bureau,48,38-01,Grenoble-3,BAJATIERE,Grenoble,1131,Grenoble Elections départementales 2021 Tour 1,148.0,148.0,198.0,224.0,294.0,333.0,372,11,3,358,372.0,0.0,1131,372,8.0,4,,,,,,,,,,231.0,67.0,18.0,42.0,,,,
ABBAYE 1er bureau,49,38-01,Grenoble-3,ABBAYE,Grenoble,1014,Grenoble Elections départementales 2021 Tour 1,64.0,64.0,160.0,198.0,252.0,264.0,282,4,2,276,282.0,0.0,1014,282,7.0,3,,,,,,,,,,151.0,57.0,14.0,54.0,,,,
ABBAYE 2ème Bureau,50,38-01,Grenoble-3,ABBAYE,Grenoble,826,Grenoble Elections départementales 2021 Tour 1,55.0,55.0,104.0,139.0,170.0,180.0,187,4,0,183,187.0,0.0,826,187,3.0,2,,,,,,,,,,109.0,38.0,7.0,29.0,,,,
LUCIE AUBRAC 1er bureau,51,38-01,Grenoble-3,LUCIE AUBRAC,Grenoble,1060,Grenoble Elections départementales 2021 Tour 1,81.0,81.0,175.0,215.0,268.0,286.0,319,7,1,311,319.0,0.0,1060,319,15.0,4,,,,,,,,,,186.0,75.0,9.0,41.0,,,,
