diffuseur,gestionnaire,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,records_count,dcat_created,dcat_issued,dcat_creator,dcat_contributor,dcat_accrualperiodicity,dcat_spatial,dcat_temporal,datasetid0,cycle,periodicity,license_url,metadata_languages,timezone,modified_updates_on_metadata_change,modified_updates_on_data_change,geographic_reference,geographic_reference_auto,territory,shared_catalog,federated,dcat_publisher_type,dcat_conforms_to,dcat_ap_it_publisher_id
Région des Pays de la Loire,Mauges Communauté,Points d'apport volontaire - Mauges Communauté,,Environnement,"déchets,Point de repère,Apport,Volontaire,Tri Sélectif",Licence Ouverte v2.0 (Etalab),fr,2019-02-07T17:13:57+01:00,2019-02-21,2020-08-20T19:11:48+02:00,Mauges Communauté,http://www.maugescommunaute.fr/,283,,,,,,,,200060010_points-dapport-volontaire-mauges-communaute,Finalisé,,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,Europe/Paris,False,False,fr_70_200060010,False,CA Mauges Communauté,,False,,,
Région des Pays de la Loire,Géo Vendée,"Arrêts, horaires et circuits des lignes Oleane (GTFS - Les Sables d'Olonne Agglomération)","<p>Lignes, arrêts et horaires théorique du réseau Oléane au format GTFS.</p>",Mobilité,"Car,Bus",Open Database License (ODbL),fr,2020-08-20T15:16:34+02:00,2020-02-03,2020-08-20T19:15:22+02:00,Oléane,https://www.oleane-mobilites.fr/,1,,,,,,,,arrets-horaires-et-circuits-des-lignes-oleane-gtfs-les-sables-dolonne-agglomerat,Finalisé,Quotidienne,http://opendatacommons.org/licenses/odbl/,fr,,True,True,fr_80_85194,False,Les Sables-d'Olonne,,False,,,
Région des Pays de la Loire,Région des Pays de la Loire,Budget 2019 - Région des Pays de la Loire - Crédits de paiement,"<p>
	Budget 2019 de la Région des Pays de la Loire (Crédits de paiement) </p><p>
	Montants des crédits de paiement de la Région des Pays de la Loire votées pour le budget 2019,  (Liste les CP ayant donné lieu à des Crédits de Paiement au budget 2019.)
	<br/>
	<br/>
	(Données mises à jour à l'issue du Budget secondaire 2019)</p>
<hr/>
<div>
	<p>
		A découvrir également :
	</p>
	<ul>
		<li><a href=""https://paysdelaloire.opendatasoft.com/explore/dataset/budget-2019-region-des-pays-de-la-loire-credits-de-paiement/custom/"">Budget 2019 Crédits de paiement</a></li><li><a href=""https://paysdelaloire.opendatasoft.com/explore/dataset/budget-2019-region-des-pays-de-la-loire-recettes/custom/"">Budget 2019 Recettes</a></li><li><a href=""https://paysdelaloire.opendatasoft.com/explore/dataset/close-data-budget-2019-region-des-pays-de-la-loire-autorisations-de-programme/custom/"">Budget 2018 Autorisations de programmes</a></li><li><a href=""https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_003-002_budget-2018-credits-de-paiement-bp/"">Budget 2018 Crédits de paiement</a></li>
		<li><a href=""https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_003-003_recettes_2018/"">Budget 2018 Recettes</a></li>
		<li><a href=""https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_003-001_autorisations-de-programmes-2017/"">Budget 2017 Autorisations de programmes</a></li>
		<li><a href=""https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_003-002_credits-de-paiement-2017/"">Budget 2017 Crédits de paiement</a></li>
		<li><a href=""https://paysdelaloire.opendatasoft.com/explore/dataset/234400034_003-003_recettes-2017/"">Budget 2017 Recettes</a></li>
	</ul>
</div>
<div>
	<hr id=""horizontalrule""/>
</div><p>
	<strong>En savoir plus : </strong></p><ul>
	<li><em><a href=""http://www.paysdelaloire.fr/no_cache/actualites/actu-detaillee/n/un-budget-2019-pour-le-quotidien-et-lavenir-des-ligeriens/"">Budget 2019 : Un budget 2019 pour le quotidien et l'avenir des Ligériens;</a></em></li><li><em><a href=""http://www.paysdelaloire.fr/fileadmin/user_upload/salledepresse/CP_18-12-20_%20ASSEMBLEE_BP-2019-vote.pdf"">Budget 2019 : communiqué de presse</a><br/></em></li></ul>",Citoyenneté / Institution,"Budget secondaire,Budget 2019",Open Database License (ODbL),fr,2020-08-20T16:00:23+02:00,2019-07-25,2020-08-20T19:12:52+02:00,Région des Pays de la Loire,www.paysdelaloire.fr,314,,,,,,,,234400034_budget-2019-region-des-pays-de-la-loire-credits-de-paiement0,Mettre à jour,,http://opendatacommons.org/licenses/odbl/,fr,,True,True,fr_40_52,False,Pays de la Loire,,False,,,
Région des Pays de la Loire,Région des Pays de la Loire,"Aides aux entreprises de la Région des Pays de la Loire, 2017","<p><em>Le présent jeu de données fournit la liste des financements régionaux en faveur des entreprises engagés sur l’année 2017. </em></p><p><em>Ces financements régionaux en faveur des entreprises prennent plusieurs formes :</em></p><ul>
<li><em style=""background-color: initial;"">Un financement direct via un dispositif d’aide directement géré par la Région (Ex. Pays de la Loire Conseil, Pays de la Loire Commerce artisanat, Prim export, Aide à l’investissement en faveur des industries agroalimentaires etc…) ;<br/></em></li><li><em style=""background-color: initial;"">Le versement à un organisme délégataire des fonds nécessaires pour procéder à l’attribution et aux versements des aides régionales mobilisées en contrepartie de financement européen au titre du FEADER et du FEAMP ;</em></li></ul><p><em>L’attribution d’une subvention à des organismes et des structures partenaires (BPI France, association de prêts d’honneur, organismes consulaires etc.) pour la mise en œuvre de dispositifs d’accompagnement et de financement de projets d’entreprises (ex. DINAMIC entreprises, Conseil Export, opérations collectives à l’international…) </em></p><p><em style=""background-color: initial;""></em></p>",Économie / Europe,"Entreprise,Agriculture,Export,Pays de la Loire",Open Database License (ODbL),fr,2020-08-24T10:29:24+02:00,2019-11-21,2020-08-24T10:29:28+02:00,Région des Pays de la Loire,www.paysdelaloire.fr,1522,,,,,,,,234400034_040-002_dispositifs-economiques-de-la-region-des-pays-de-la-loire,Mettre à jour,Annuelle,http://opendatacommons.org/licenses/odbl/,fr,,True,True,fr_40_52,False,Pays de la Loire,,False,,,
Région des Pays de la Loire,Région des Pays de la Loire,Développeurs économiques de la Région des Pays de la Loire,"<p>Les développeurs économiques ont pour rôle de renforcer la mission économique de la Région auprès des acteurs du territoire.</p><hr id=""horizontalrule""/>",Économie / Europe,economie,Open Database License (ODbL),,2021-02-05T11:23:22+01:00,2021-02-05,2021-09-01T00:01:16+02:00,Solution&co,,76,2017-11-22,2017-11-24,,,Annuelle,Pays de la Loire,2017-2018,234400034_062-002_developpeurs-economiques-rpdl,Finalisé,Irrégulière,http://opendatacommons.org/licenses/odbl/,,,True,True,fr_40_52,False,Pays de la Loire,,False,,,
Région des Pays de la Loire,Région des Pays de la Loire,"Arrêts, horaires et circuits des lignes de transports en commun en Pays de la Loire (GTFS)","<p>Arrêts des lignes de transports en commun en Pays de la Loire (GTFS complet) Horaires théoriques <br/><span style=""font-family: inherit; font-size: 0.833rem;"">LISTE DES RESEAUX : </span><span style=""font-family: inherit; font-size: 0.833rem;""><b>ALEOP</b> (transport régional en Pays de la Loire) - <b>TAN</b> (Nantes) - <b>IRIGO</b> (Angers) - <b>IMPULSYON</b> (La Roche-sur-Yon) - <b>CARENE</b> (CARENE) - <b>SETRAM</b> (Le Mans) - <b>CHOLETBUS</b> (Cholet) - <b>SNCF</b> (TER) - <b>LILAPRESQUILE</b> (Cap Atlantique) -<b> NTE</b> (Aéroport Nantes Atlantique) - <b>OLEANE</b> (Sables d'Olonne Agglomération) - <b>AGGLOBUS</b> (Saumur) - <b>RESO</b> (Sablé-sur-Sarthe) - <b>YEUCONTINENT</b> (Ile d'Yeu / Continent - Fromentine ) - <b>SNCFTAD</b> - <b>TUL</b> (Laval)</span></p><p><span style=""font-family: inherit;"">Données collectées via le calculateur d'itinéraire public : <br/><b><a href=""https://www.destineo.fr/fr/"" target=""_blank"">Destinéo</a></b><a href=""https://www.destineo.fr/fr/"" target=""_blank""> | Se déplacer en Pays de la Loire</a></span></p><p><br/></p><ul><li>Détail des spécifications : <br/><br/>Le flux GTFS complet est issu du calculateur Destinéo. Les développeurs souhaitant l'exploiter doivent donc se référer aux spécifications intitulées ""COMPLET"" dans le modèle de données. <br/><br/>Les flux Aléop 44 ; 49 ; 53 ; 72 ; 85 sont issus des données de travail de la Direction des transports de la Région des Pays de la Loire. Les développeurs souhaitant travailler à partir de ces données doivent se référer aux spécifications mentionnées ""Réseau Aléop car"" dans le modèle de données. <br/><br/></li></ul>",Mobilité,"ALEOP,TAN,IRIGO,IMPULSYON,CARENE,SETRAM,CHOLETBUS,SNCF,TER,OLEANE,AGGLOBUS,YEU,TUL",Open Database License (ODbL),fr,2021-05-19T09:14:09+02:00,2020-12-31,2021-05-19T09:14:11+02:00,Destinéo,,6,,,,,,,,234400034_lignes-regulieres-de-transports-regionaux-arrets,Finalisé,Quotidienne,http://opendatacommons.org/licenses/odbl/,fr,,True,True,fr_40_52,False,Pays de la Loire,,False,,,
Région des Pays de la Loire,DREAL Pays de la Loire,Patrimoine Mondial de l'UNESCO dans les régions Pays de la Loire et Centre Val de Loire,"<p>Le patrimoine mondial ou patrimoine mondial de l'UNESCO désigne un ensemble de biens culturels et naturels présentant un intérêt exceptionnel pour l’héritage commun de l’humanité, actualisé chaque année depuis 1978 par le comité du patrimoine mondial de l'organisation des Nations unies pour l'éducation, la science et la culture (UNESCO), une institution spécialisée de l'Organisation des Nations unies. Ce jeu de données comprend les biens inscrits ainsi que les zones tampon.</p>",Culture / Tourisme,,Licence Ouverte v2.0 (Etalab),fr,2021-08-01T00:00:36+02:00,2021-07-31,2021-08-01T00:00:36+02:00,DREAL Pays de la Loire,,2,,,,,,,,234400034_biens-inscrits-au-patrimoine-mondial-de-lunesco-en-pays-de-la-loire,Finalisé,Mensuelle,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,,True,True,fr_40_52,False,Pays de la Loire,,False,,,
Région des Pays de la Loire,Région des Pays de la Loire,Soutien aux actions de santé publique en Pays de la Loire,"<p>Liste des subventions attribuées par la Région des Pays de la Loire pour la mise en œuvre d’actions de prévention auprès des jeunes et de promotion de la santé publique. ( Appel à initiatives locales et opérations de prévention santé hors Pass santé.)</p><hr/>
<u>
	Pour plus d'informations :
	</u><ul>
	
<li><a href=""http://www.paysdelaloire.fr/politiques-regionales/sante/"" target=""_blank"">Site de la Région Pays de la Loire</a></li></ul>",Santé / Social,"Santé,Subvention",Open Database License (ODbL),fr,2021-08-01T00:00:58+02:00,2021-07-31,2021-08-01T00:00:58+02:00,Région des Pays de la Loire,,388,2012-10-03,2012-12-13,,,Annuelle,Pays de la Loire,valable de 2001 à 2017,234400034_021-002_soutien-aux-actions-de-sante-publique-rpdl,Finalisé,Mensuelle,http://opendatacommons.org/licenses/odbl/,fr,,True,True,fr_40_52,False,Pays de la Loire,,False,,,
Région des Pays de la Loire,Région des Pays de la Loire,Communes des Pays de la Loire,"<p>Liste des communes de la Région des Pays de la Loire.</p><hr id=""horizontalrule""/>",Territoires,"Communes,Communes nouvelles,Pays de la Loire",Open Database License (ODbL),fr,2021-08-01T00:13:20+02:00,2021-07-31,2021-08-01T00:13:20+02:00,Région des Pays de la Loire,,1238,,,,,,,,234400034_communes-des-pays-de-la-loire,Finalisé,Mensuelle,http://opendatacommons.org/licenses/odbl/,fr,,True,True,fr_40_52,False,Pays de la Loire,,False,,,
Région des Pays de la Loire,Air Pays de la Loire,Qualité de l'air - Niveau de Benzene (C6H6) en Pays de la Loire,"<p>Moyennes horaires, journalières, mensuelles et annuelles de concentrations en benzène (C6H6) dans l'air ambiant, issues du réseau permanent de mesures en région Pays de la Loire.</p><p>La mesure de la qualité de l’air ambiant est réalisée conformément aux recommandations du référentiel métier du Laboratoire Central de Surveillance de la Qualité de l’Air (LCSQA), dans le respect des exigences réglementaires en vigueur. Ces prescriptions visent l’ensemble de la chaîne de mesure, tant du point de vue des critères d’implantation des sites de mesure, du choix des méthodes d’analyse mises en œuvre, du suivi de la conformité métrologique du processus de mesure, de la validation et de l’agrégation des données de mesure.</p><p><br/></p><p>Pour produire cette donnée en particulier, Air Pays de la Loire met en œuvre des systèmes automatisés de mesurage de la concentration en benzène conformément à la norme NF EN 14662-3, selon la méthode de mesurage par analyse chromatographique en phase gazeuse. Ces derniers sont implantés dans des stations de mesure sur site, associés à des systèmes d’acquisition de données de mesurage, qu’ils agrègent en moyennes quart-horaires. Ces données brutes sont ensuite télé-transmises au serveur central informatique, puis expertisées à différents niveaux d’agrégation (validations technique et environnementale). Les données quart-horaires validées sont ainsi agrégées en moyennes horaires, elles-même agrégées en moyennes journalières, mensuelles ou annuelles.</p><p><br/></p><p>La couche d'information produite est disponible pour une exploitation à une échelle variant du 1/250 000ème au 1/10 000ème et peut être catégorisée par typologie de station :</p><p>Station de trafic : 1/10 000</p><p>Station de fond : 1/30 000 (urbaine) à 1/250 000 (rurale)</p><p>Station industrielle : 1/100 000</p>",Environnement,contrôle de la qualité de l'air,Open Database License (ODbL),fr,2021-08-01T00:16:58+02:00,2021-07-31,2021-08-01T00:16:58+02:00,Air Pays de la Loire,https://data.airpl.org,12005,,,,,,,,323-266-205_niveaux_benzene_paysdelaloire,Finalisé,Quotidienne,http://opendatacommons.org/licenses/odbl/,fr,,True,True,fr_40_52,False,Pays de la Loire,,False,,,
