dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,1,17507.0,3143.0,3.1823356E7,53.0,Bretagne,P,Enseignement
Fonds de solidarité,1,21360.0,8868.0,2.9022332E7,53.0,Bretagne,Q,Santé humaine et action sociale
Fonds de solidarité,1,31981.0,4416.0,1.03092304E8,53.0,Bretagne,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,35137.0,8570.0,7.1366442E7,53.0,Bretagne,S,Autres activités de services
Fonds de solidarité,1,6710.0,1819.0,2.5339744E7,24.0,Centre-Val de Loire,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,10431.0,2670.0,2.1366804E7,24.0,Centre-Val de Loire,C,Industrie manufacturière
Fonds de solidarité,1,29.0,5.0,47677.0,24.0,Centre-Val de Loire,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,491.0,153.0,667931.0,24.0,Centre-Val de Loire,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,20236.0,7732.0,3.2331313E7,24.0,Centre-Val de Loire,F,Construction
Fonds de solidarité,1,40463.0,9893.0,1.13510209E8,24.0,Centre-Val de Loire,G,Commerce
Fonds de solidarité,1,10269.0,1951.0,2.4218938E7,24.0,Centre-Val de Loire,H,Transports et entreposage
Fonds de solidarité,1,58436.0,6577.0,3.27075566E8,24.0,Centre-Val de Loire,I,Hébergement et restauration
Fonds de solidarité,1,4729.0,967.0,1.3135042E7,24.0,Centre-Val de Loire,J,Information et communication
Fonds de solidarité,1,1657.0,398.0,3682018.0,24.0,Centre-Val de Loire,K,Activités financières et d assurance
Fonds de solidarité,1,6937.0,1674.0,1.3597006E7,24.0,Centre-Val de Loire,L,Activités immobilières
Fonds de solidarité,1,20291.0,4484.0,6.020646E7,24.0,Centre-Val de Loire,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,10501.0,2294.0,3.4099729E7,24.0,Centre-Val de Loire,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,12416.0,2299.0,2.3120765E7,24.0,Centre-Val de Loire,P,Enseignement
Fonds de solidarité,1,11173.0,4527.0,1.4699927E7,24.0,Centre-Val de Loire,Q,Santé humaine et action sociale
Fonds de solidarité,1,23441.0,3102.0,7.6192174E7,24.0,Centre-Val de Loire,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,27834.0,6637.0,5.4465346E7,24.0,Centre-Val de Loire,S,Autres activités de services
Fonds de solidarité,1,5230.0,1139.0,1.0751872E7,94.0,Corse,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,4406.0,911.0,9371057.0,94.0,Corse,C,Industrie manufacturière
Fonds de solidarité,1,58.0,21.0,156064.0,94.0,Corse,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,7974.0,2465.0,1.3297142E7,94.0,Corse,F,Construction
Fonds de solidarité,1,14046.0,2639.0,5.5786626E7,94.0,Corse,G,Commerce
Fonds de solidarité,1,2403.0,404.0,1.0491097E7,94.0,Corse,H,Transports et entreposage
Fonds de solidarité,1,25531.0,2814.0,1.62417594E8,94.0,Corse,I,Hébergement et restauration
Fonds de solidarité,1,1067.0,192.0,3627928.0,94.0,Corse,J,Information et communication
Fonds de solidarité,1,292.0,70.0,925531.0,94.0,Corse,K,Activités financières et d assurance
Fonds de solidarité,1,4095.0,708.0,1.2405553E7,94.0,Corse,L,Activités immobilières
Fonds de solidarité,1,10517.0,1846.0,4.6182465E7,94.0,Corse,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,5283.0,944.0,1.8719727E7,94.0,Corse,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,2819.0,412.0,5336299.0,94.0,Corse,P,Enseignement
Fonds de solidarité,1,2416.0,925.0,3271379.0,94.0,Corse,Q,Santé humaine et action sociale
Fonds de solidarité,1,4628.0,554.0,1.7005708E7,94.0,Corse,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,6213.0,1285.0,1.2413764E7,94.0,Corse,S,Autres activités de services
Fonds de solidarité,1,50947.0,12960.0,2.64475896E8,44.0,Grand Est,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,17.0,6.0,33213.0,44.0,Grand Est,B,Industries extractives
Fonds de solidarité,1,22814.0,5765.0,7.7217669E7,44.0,Grand Est,C,Industrie manufacturière
Fonds de solidarité,1,179.0,60.0,244778.0,44.0,Grand Est,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,2129.0,530.0,3191505.0,44.0,Grand Est,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,44871.0,15880.0,7.1424013E7,44.0,Grand Est,F,Construction
Fonds de solidarité,1,97368.0,22664.0,2.97549152E8,44.0,Grand Est,G,Commerce
Fonds de solidarité,1,21879.0,3642.0,5.7414876E7,44.0,Grand Est,H,Transports et entreposage
Fonds de solidarité,1,129587.0,14011.0,8.36301386E8,44.0,Grand Est,I,Hébergement et restauration
Fonds de solidarité,1,9534.0,1928.0,2.3812254E7,44.0,Grand Est,J,Information et communication
Fonds de solidarité,1,4216.0,1059.0,7644648.0,44.0,Grand Est,K,Activités financières et d assurance
Fonds de solidarité,1,13559.0,3094.0,2.8466506E7,44.0,Grand Est,L,Activités immobilières
Fonds de solidarité,1,47723.0,10592.0,1.34412433E8,44.0,Grand Est,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,21368.0,4554.0,7.5157359E7,44.0,Grand Est,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,34.0,4.0,130276.0,44.0,Grand Est,O,Administration publique
Fonds de solidarité,1,26724.0,4740.0,4.8721782E7,44.0,Grand Est,P,Enseignement
Fonds de solidarité,1,26862.0,11149.0,3.6749741E7,44.0,Grand Est,Q,Santé humaine et action sociale
Fonds de solidarité,1,44236.0,5433.0,1.3946512E8,44.0,Grand Est,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,65232.0,14839.0,1.28922581E8,44.0,Grand Est,S,Autres activités de services
Fonds de solidarité,1,15112.0,2591.0,2.3579444E7,1.0,Guadeloupe,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,5264.0,1203.0,1.0133205E7,1.0,Guadeloupe,C,Industrie manufacturière
Fonds de solidarité,1,19.0,6.0,28030.0,1.0,Guadeloupe,D,Production et distribution d électricité, de gaz, de vapeur et d air conditionné
Fonds de solidarité,1,77.0,26.0,118050.0,1.0,Guadeloupe,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,7058.0,2170.0,1.0913459E7,1.0,Guadeloupe,F,Construction
Fonds de solidarité,1,14744.0,3241.0,2.9280218E7,1.0,Guadeloupe,G,Commerce
Fonds de solidarité,1,4630.0,737.0,1.0687136E7,1.0,Guadeloupe,H,Transports et entreposage
Fonds de solidarité,1,16482.0,2099.0,4.438264E7,1.0,Guadeloupe,I,Hébergement et restauration
Fonds de solidarité,1,1508.0,306.0,4071771.0,1.0,Guadeloupe,J,Information et communication
Fonds de solidarité,1,407.0,107.0,765398.0,1.0,Guadeloupe,K,Activités financières et d assurance
Fonds de solidarité,1,2110.0,442.0,3797321.0,1.0,Guadeloupe,L,Activités immobilières
Fonds de solidarité,1,5320.0,1269.0,9996241.0,1.0,Guadeloupe,M,Activités spécialisées, scientifiques et techniques
Fonds de solidarité,1,8465.0,1401.0,2.4272742E7,1.0,Guadeloupe,N,Activités de services administratifs et de soutien
Fonds de solidarité,1,3028.0,659.0,4236271.0,1.0,Guadeloupe,P,Enseignement
Fonds de solidarité,1,2588.0,1007.0,3803554.0,1.0,Guadeloupe,Q,Santé humaine et action sociale
Fonds de solidarité,1,3835.0,491.0,1.0556893E7,1.0,Guadeloupe,R,Arts, spectacles et activités récréatives
Fonds de solidarité,1,4686.0,1136.0,6889708.0,1.0,Guadeloupe,S,Autres activités de services
Fonds de solidarité,1,6668.0,821.0,1.0929401E7,3.0,Guyane,A,Agriculture, sylviculture et pêche
Fonds de solidarité,1,138.0,29.0,370706.0,3.0,Guyane,B,Industries extractives
Fonds de solidarité,1,2505.0,404.0,5372455.0,3.0,Guyane,C,Industrie manufacturière
Fonds de solidarité,1,37.0,10.0,81206.0,3.0,Guyane,E,Production et distribution d eau ; assainissement, gestion des déchets et dépollution
Fonds de solidarité,1,7047.0,1095.0,1.5630962E7,3.0,Guyane,F,Construction
Fonds de solidarité,1,5979.0,989.0,1.2383147E7,3.0,Guyane,G,Commerce
Fonds de solidarité,1,1969.0,292.0,5476272.0,3.0,Guyane,H,Transports et entreposage
Fonds de solidarité,1,4764.0,585.0,1.3756236E7,3.0,Guyane,I,Hébergement et restauration
Fonds de solidarité,1,598.0,84.0,1779460.0,3.0,Guyane,J,Information et communication
Fonds de solidarité,1,268.0,45.0,592521.0,3.0,Guyane,K,Activités financières et d assurance
Fonds de solidarité,1,475.0,80.0,978583.0,3.0,Guyane,L,Activités immobilières
Fonds de solidarité,1,2553.0,440.0,5736808.0,3.0,Guyane,M,Activités spécialisées, scientifiques et techniques
