mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,5,"Fonction études, expertise et services rendus aux administrations de l'État et des collectivités",T2,14441050
Défense,146,Équipement des forces,9,Engagement et combat,T6,24980400
Défense,178,Préparation et emploi des forces,4,Préparation des forces aériennes,T7,0
Action extérieure de l'État,151,Français à l'étranger et affaires consulaires,2,Accès des élèves français au réseau AEFE,T2,0
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,4,Acquisition et mobilisation des moyens scientifiques et techniques pour maîtriser les risques sanitaires,T5,34125
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,10,Soutien,T6,475000
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,1,Pilotage et mise en oeuvre des politiques éducatives,T3,1247881
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,1,"Etat-major, médiation et politiques transversales",T6,14093897
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",3,Politique et programmation de l'immobilier et des moyens de fonctionnement,T5,5831785
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",26,Autorité de contrôle des nuisances aéroportuaires (ACNUSA),T2,872553
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,5,"Recherches scientifiques et technologiques en sciences de la vie, biotechnologies et santé",T6,99981518
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,14,Moyens généraux et d'appui à la recherche,T3,474448237
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",7,Fonds social européen - Assistance technique,T3,8372844
Aide publique au développement,209,Solidarité à l'égard des pays en développement,6,Aide humanitaire et alimentaire,T5,0
Conseil et contrôle de l'État,126,"Conseil économique, social et environnemental",2,Fonctionnement de l'institution,T2,0
Défense,212,Soutien de la politique de la défense,4,Politique immobilière,T6,44680272
Direction de l'action du Gouvernement,308,Protection des droits et libertés,1,Médiateur de la République,T3,12534460
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,2,Gens de mer et enseignement maritime,T1,0
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,5,Gestion financière de l'État hors fiscalité,T3,33569637
Provisions,552,Dépenses accidentelles et imprévisibles,1,Dépenses accidentelles et imprévisibles,T3,0
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,5,Information financière de l'Etat,T2,14378715
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,2,Égalité professionnelle,T3,795848
"Immigration, asile et intégration",303,Immigration et asile,3,Lutte contre l'immigration irrégulière,T3,54003520
Recherche et enseignement supérieur,192,Recherche et enseignement supérieur en matière économique et industrielle,1,Organismes de formation supérieure et de recherche,T2,98921666
Sécurité civile,128,Coordination des moyens de secours,2,Coordination des acteurs de la sécurité civile,T3,-1215409
Ville et logement,109,Aide à l'accès au logement,2,Information relative au logement et accompagnement des publics en difficulté,T6,7979705
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,5,Soutien,T3,1374955
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",7,"Personnels oeuvrant pour les politiques du programme ""Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer """,T3,1186
Culture,224,Transmission des savoirs et démocratisation de la culture,1,Soutien aux établissements d'enseignement supérieur et insertion professionnelle,T5,38185868
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,15,Mission interministérielle de lutte contre la drogue et la toxicomanie,T5,6319742
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,5,Action internationale,T5,603169
Direction de l'action du Gouvernement,308,Protection des droits et libertés,1,Médiateur de la République,T6,17540
Gestion des finances publiques et des ressources humaines,148,Fonction publique,1,Formation des fonctionnaires,T5,14
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,7,Perception des droits et taxes,T2,51353884
Défense,212,Soutien de la politique de la défense,3,Gestion centrale et organismes extérieurs,T2,259532496
Justice,107,Administration pénitentiaire,1,Garde et contrôle des personnes placées sous main de justice,T3,169003194
Pouvoirs publics,511,Assemblée nationale,1,Assemblée nationale,T3,0
Défense,212,Soutien de la politique de la défense,8,Promotion et valorisation du patrimoine culturel,T5,37644
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,14,Ordre de la Libération,T3,1067397
Gestion des finances publiques et des ressources humaines,218,Conduite et pilotage des politiques économique et financière,6,Présidence française du G8/G20,T3,0
Sécurité,176,Police nationale,1,Ordre public et protection de la souveraineté,T2,1049721684
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,6,Pilotage du programme,T6,3776202
Recherche et enseignement supérieur,142,Enseignement supérieur et recherche agricoles,2,"Recherche, développement et transfert de technologie",T6,5643398
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,4,Soutien aux activités des juridictions financières,T3,32565282
Économie,134,Développement des entreprises et de l'emploi,2,"Moyens des politiques du tourisme et actions en faveur des PME, du commerce, de l'artisanat et des services et des professions libérales",T6,116322017
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,7,Gestion financière du secteur public local hors fiscalité,T2,1357701335
Sécurité,152,Gendarmerie nationale,4,"Commandement, ressources humaines et logistique",T6,10974568
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,3,Système d'information et de communication,T2,81460622
Outre-mer,123,Conditions de vie outre-mer,9,Appui à l'accès aux financements bancaires,T6,29900000
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,13,"Soutien, régulation, contrôle et sécurité des services de transports terrestres",T6,197225368
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,6,Gestion des pensions,T2,55525138
Culture,131,Création,2,"Soutien à la création, à la production et à la diffusion des arts plastiques",T5,19478070
Culture,224,Transmission des savoirs et démocratisation de la culture,2,Soutien à l'éducation artistique et culturelle,T2,0
Administration générale et territoriale de l'État,307,Administration territoriale,2,"Garantie de l'identité et de la nationalité, délivrance de titres",T5,5071620
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,3,Formation initiale et continue de niveau doctorat,T2,35117788
Recherche et enseignement supérieur,193,Recherche spatiale,6,Moyens généraux et d'appui à la recherche,T6,24303124
Direction de l'action du Gouvernement,308,Protection des droits et libertés,4,Haute autorité de lutte contre les discriminations et pour l'égalité,T5,0
Direction de l'action du Gouvernement,308,Protection des droits et libertés,5,Contrôleur général des lieux de privation de liberté,T3,1492825
"Écologie, développement et aménagement durables",181,Prévention des risques,1,Prévention des risques technologiques et des pollutions,T5,-597882
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,13,"Soutien, régulation, contrôle et sécurité des services de transports terrestres",T5,3021536
Outre-mer,123,Conditions de vie outre-mer,7,Insertion économique et coopération régionales,T5,-136495
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,1,Pilotage et animation,T5,0
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,3,Promotion des actions en faveur de l’éducation populaire et des métiers de l'animation,T5,0
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",11,"Personnels oeuvrant pour les politiques du programme ""Sécurité et affaires maritimes""",T3,0
Économie,305,Stratégie économique et fiscale,1,"Définition et mise en oeuvre de la politique économique et financière de la France dans le cadre national, international et européen",T3,336039832
