mission,programme,libelle_programme,action,libelle_action,t_categorie,valeur
"Écologie, développement et aménagement durables",174,"Énergie, climat et après-mines",5,Lutte contre le changement climatique,T3,17346285
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,3,Amélioration de la gestion des forêts,T6,100959171
Culture,175,Patrimoines,4,Patrimoine archivistique et célébrations nationales,T2,0
Culture,175,Patrimoines,5,Patrimoine écrit et documentaire,T6,0
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,1,Contrôle externe et indépendant des comptes publics,T3,934135
Culture,175,Patrimoines,7,Patrimoine linguistique,T2,0
Culture,224,Transmission des savoirs et démocratisation de la culture,6,Action culturelle internationale,T3,1102412
Santé,204,"Prévention, sécurité sanitaire et offre de soins",18,Projets régionaux de santé,T6,0
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,3,Préservation de la sécurité et de la sûreté de l'espace national et européen,T3,27680631
Recherche et enseignement supérieur,142,Enseignement supérieur et recherche agricoles,1,Enseignement supérieur,T2,178773800
Justice,107,Administration pénitentiaire,2,Accueil et accompagnement des personnes placées sous main de justice,T3,227902545
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,2,Enseignement élémentaire,T6,0
Enseignement scolaire,140,Enseignement scolaire public du premier degré,4,Formation des personnels enseignants,T3,9936139
Enseignement scolaire,141,Enseignement scolaire public du second degré,12,"Pilotage, administration et encadrement pédagogique",T5,52347
Pouvoirs publics,541,La chaîne parlementaire,2,Public Sénat,T1,0
Recherche et enseignement supérieur,187,Recherche dans le domaine de la gestion des milieux et des ressources,3,Recherches scientifiques et technologiques sur les systèmes socio-économiques associés,T3,86206671
Travail et emploi,103,Accompagnement des mutations économiques et développement de l'emploi,2,Amélioration de l'insertion dans l'emploi par l'adaptation des qualifications et la reconnaissance des compétences,T5,-3108
Justice,310,Conduite et pilotage de la politique de la justice,10,Action sociale ministérielle,T3,22309698
Recherche et enseignement supérieur,190,"Recherche dans les domaines de l’énergie, du développement et de l'aménagement durables",13,Recherche partenariale dans le développement et l'aménagement durable,T6,9474103
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,2,Actions en faveur des plus vulnérables,T3,0
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,3,Solidarité,T5,0
Engagements financiers de l'État,145,Épargne,1,Épargne logement,T6,692000000
Enseignement scolaire,230,Vie de l'élève,4,Action sociale,T3,1609035
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,11,Stratégie et prospective,T2,12137635
Enseignement scolaire,141,Enseignement scolaire public du second degré,6,Besoins éducatifs particuliers,T6,3180966
Enseignement scolaire,141,Enseignement scolaire public du second degré,12,"Pilotage, administration et encadrement pédagogique",T6,317618
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,8,Régulation des jeux en ligne,T5,105123
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,8,"Logistique, système d'information, immobilier",T3,290885523
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,4,Promotion des échanges internationaux et qualité du dédouanement,T3,1220474
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,14,Naturalisation et accès à la nationalité,T3,1778892
Justice,182,Protection judiciaire de la jeunesse,3,Soutien,T5,1381288
Défense,212,Soutien de la politique de la défense,9,Communication,T2,11913172
"Médias, livre et industries culturelles",313,Contribution à l'audiovisuel et à la diversité radiophonique,3,Soutien à l'expression radiophonique locale,T6,29203115
"Sport, jeunesse et vie associative",219,Sport,2,Développement du sport de haut niveau,T3,26469936
Travail et emploi,102,Accès et retour à l'emploi,2,Amélioration des dispositifs en faveur de l’emploi des personnes les plus éloignées du marché du travail,T6,3355786583
Justice,166,Justice judiciaire,4,Conseil supérieur de la magistrature,T6,0
Direction de l'action du Gouvernement,308,Protection des droits et libertés,3,Conseil supérieur de l'audiovisuel,T3,47458794
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,8,"Logistique, système d'information, immobilier",T5,69510232
Enseignement scolaire,230,Vie de l'élève,5,Accueil et service aux élèves,T6,12794782
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,12,"Diffusion, valorisation et transfert des connaissances et des technologies",T3,73717714
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",4,Gestion des effectifs du programme « amélioration de la qualité de l’emploi et des relations du travail »,T3,1554
Ville et logement,135,Développement et amélioration de l'offre de logement,3,Lutte contre l'habitat indigne,T6,-3347757
"Médias, livre et industries culturelles",115,Action audiovisuelle extérieure,1,Action audiovisuelle extérieure,T6,251486760
Recherche et enseignement supérieur,231,Vie étudiante,2,Aides indirectes,T6,14163221
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,5,Personnes âgées,T3,-380831
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,1,Prévention de l'exclusion,T6,0
Justice,166,Justice judiciaire,5,Enregistrement des décisions judiciaires,T4,0
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,3,Fonction juridictionnelle : Tribunaux administratifs,T2,130641242
Justice,107,Administration pénitentiaire,1,Garde et contrôle des personnes placées sous main de justice,T5,340524143
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,11,Recherches interdisciplinaires et transversales,T3,60892135
Défense,144,Environnement et prospective de la politique de défense,1,Analyse stratégique,T6,311702
Défense,212,Soutien de la politique de la défense,6,Accompagnement de la politique des ressources humaines,T5,329552
Enseignement scolaire,140,Enseignement scolaire public du premier degré,3,Besoins éducatifs particuliers,T6,82222
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,5,Action internationale,T2,7199001
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,15,Actions d'intégration des réfugiés,T6,17163018
Recherche et enseignement supérieur,172,Recherches scientifiques et technologiques pluridisciplinaires,13,Grandes infrastructures de recherche,T6,14210000
"Écologie, développement et aménagement durables",113,"Urbanisme, paysages, eau et biodiversité",7,Gestion des milieux et biodiversité,T5,2154799
Économie,220,Statistiques et études économiques,5,Soutien,T6,143012
Économie,305,Stratégie économique et fiscale,2,Développement international de l'économie française,T3,16409912
Enseignement scolaire,141,Enseignement scolaire public du second degré,2,Enseignement général et technologique en lycée,T3,6607833
Enseignement scolaire,143,Enseignement technique agricole,2,Mise en oeuvre des enseignements dans les établissements privés,T6,382595753
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,5,Action internationale,T3,8265067
Défense,146,Équipement des forces,6,Dissuasion,T5,1416717038
Défense,178,Préparation et emploi des forces,3,Préparation des forces navales,T7,3438
Aide publique au développement,209,Solidarité à l'égard des pays en développement,5,Coopération multilatérale,T6,430177631
Défense,146,Équipement des forces,11,Préparation et conduite des opérations d'armement,T5,27799843
Enseignement scolaire,141,Enseignement scolaire public du second degré,3,Enseignement professionnel sous statut scolaire,T3,1303466
Enseignement scolaire,141,Enseignement scolaire public du second degré,5,Enseignement post-baccalauréat en lycée,T6,1988376
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,2,Évaluation et contrôle,T6,226710
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,3,Fiscalité des particuliers et fiscalité directe locale,T6,1155
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,4,Modernisation de l'Etat,T2,11681955
Justice,166,Justice judiciaire,2,Conduite de la politique pénale et jugement des affaires pénales,T6,538
Recherche et enseignement supérieur,142,Enseignement supérieur et recherche agricoles,1,Enseignement supérieur,T6,37938559
Outre-mer,123,Conditions de vie outre-mer,4,"Sanitaire, social, culture, jeunesse et sports",T6,37975500
Santé,204,"Prévention, sécurité sanitaire et offre de soins",14,Prévention des maladies chroniques et qualité de vie des malades,T3,57966716
Travail et emploi,111,Amélioration de la qualité de l'emploi et des relations du travail,3,Dialogue social et démocratie sociale,T5,760800
"Sport, jeunesse et vie associative",219,Sport,2,Développement du sport de haut niveau,T5,88419759
Travail et emploi,102,Accès et retour à l'emploi,2,Amélioration des dispositifs en faveur de l’emploi des personnes les plus éloignées du marché du travail,T5,-4586
Administration générale et territoriale de l'État,216,Conduite et pilotage des politiques de l'intérieur,4,Pilotage des ressources humaines,T2,195871606
Administration générale et territoriale de l'État,307,Administration territoriale,1,Coordination de la sécurité des personnes et des biens,T6,-2643
"Écologie, développement et aménagement durables",181,Prévention des risques,1,Prévention des risques technologiques et des pollutions,T7,0
Santé,204,"Prévention, sécurité sanitaire et offre de soins",12,Accès à la santé et éducation à la santé,T6,1401743
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,2,Formation initiale et continue de niveau master,T7,0
Sécurité civile,161,Intervention des services opérationnels,3,Secours à personne par hélicoptère,T2,26292453
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,3,Promotion des actions en faveur de l’éducation populaire et des métiers de l'animation,T3,0
Travail et emploi,111,Amélioration de la qualité de l'emploi et des relations du travail,2,Qualité et effectivité du droit,T6,8556198
Travail et emploi,155,"Conception, gestion et évaluation des politiques de l'emploi et du travail",5,Soutien,T5,9930148
Ville et logement,135,Développement et amélioration de l'offre de logement,4,"Réglementation de l'habitat, politique technique et qualité de la construction",T3,15151013
Sécurité,152,Gendarmerie nationale,3,Missions de police judiciaire et concours à la justice,T3,3185
Ville et logement,147,Politique de la ville et Grand Paris,4,Rénovation urbaine et amélioration du cadre de vie,T6,9106501
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,13,Aide alimentaire,T3,578845
Politique des territoires,162,Interventions territoriales de l'État,2,Eau - Agriculture en Bretagne,T5,27987
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,1,Prévention et gestion des risques inhérents à la production végétale,T6,19079799
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,12,Entretien et exploitation du réseau routier national,T5,220554833
Administration générale et territoriale de l'État,307,Administration territoriale,2,"Garantie de l'identité et de la nationalité, délivrance de titres",T6,-6747
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",5,Politique des ressources humaines et formation,T6,2988610
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,3,Conseil et expertise,T2,9135119
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",5,Politique des ressources humaines et formation,T5,696074
Enseignement scolaire,140,Enseignement scolaire public du premier degré,6,Pilotage et encadrement pédagogique,T2,1043280679
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,10,Transports scolaires,T6,7591117
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,1,Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.,T3,11037209
"Médias, livre et industries culturelles",180,Presse,2,Aides à la presse,T7,1775766
Défense,178,Préparation et emploi des forces,4,Préparation des forces aériennes,T3,1978524512
Justice,182,Protection judiciaire de la jeunesse,3,Soutien,T2,84652615
Économie,134,Développement des entreprises et de l'emploi,16,Régulation concurrentielle des marchés,T2,69400565
Économie,220,Statistiques et études économiques,3,Information démographique et sociale,T6,710454
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,9,Soutien,T6,2429143
Justice,310,Conduite et pilotage de la politique de la justice,2,Activité normative,T3,-40
Travail et emploi,103,Accompagnement des mutations économiques et développement de l'emploi,3,Développement de l'emploi,T3,2916530
Sécurité civile,161,Intervention des services opérationnels,3,Secours à personne par hélicoptère,T5,10380482
Défense,212,Soutien de la politique de la défense,6,Accompagnement de la politique des ressources humaines,T2,283102089
Action extérieure de l'État,332,Présidence française du G20 et du G8,2,Organisation du sommet du G20,T6,5000
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,5,Administration territoriale,T2,95203722
Économie,220,Statistiques et études économiques,3,Information démographique et sociale,T3,-948523
Justice,166,Justice judiciaire,6,Soutien,T2,342617645
Justice,310,Conduite et pilotage de la politique de la justice,4,Gestion de l'administration centrale,T2,31620371
Outre-mer,138,Emploi outre-mer,2,Aide à l'insertion et à la qualification professionnelle,T6,38172605
Recherche et enseignement supérieur,150,Formations supérieures et recherche universitaire,5,Bibliothèques et documentation,T6,1236293
Sécurité,176,Police nationale,2,Sécurité et paix publiques,T6,22587
Ville et logement,135,Développement et amélioration de l'offre de logement,1,Construction locative et amélioration du parc,T3,-20048332
Défense,212,Soutien de la politique de la défense,8,Promotion et valorisation du patrimoine culturel,T7,6792500
Direction de l'action du Gouvernement,308,Protection des droits et libertés,1,Médiateur de la République,T5,43559
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,11,Remplacement,T2,164105805
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",2,Organisation des élections,T6,8962019
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",4,Cultes,T3,209065
Culture,131,Création,1,"Soutien à la création, à la production et à la diffusion du spectacle vivant",T5,19520811
Culture,224,Transmission des savoirs et démocratisation de la culture,6,Action culturelle internationale,T5,150000
Culture,224,Transmission des savoirs et démocratisation de la culture,7,Fonctions de soutien du ministère,T7,7730
Aide publique au développement,209,Solidarité à l'égard des pays en développement,7,Coopération communautaire,T6,686366087
Action extérieure de l'État,185,Diplomatie culturelle et d'influence,1,Animation du réseau,T2,0
Défense,144,Environnement et prospective de la politique de défense,3,Recherche et exploitation du renseignement intéressant la sécurité de la France,T4,0
Économie,134,Développement des entreprises et de l'emploi,18,Sécurité du consommateur,T2,38955924
Économie,220,Statistiques et études économiques,3,Information démographique et sociale,T2,54363752
Enseignement scolaire,141,Enseignement scolaire public du second degré,3,Enseignement professionnel sous statut scolaire,T2,3709641346
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,8,"Logistique, système d'information, immobilier",T2,250409456
Provisions,551,Provision relative aux rémunérations publiques,1,Provision relative aux rémunérations publiques,T2,0
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",15,Personnels oeuvrant dans le domaine du logement et de l'hébergement,T2,207708986
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,7,Perception des droits et taxes,T3,234495
Sécurité civile,161,Intervention des services opérationnels,1,Participation de l'État à la lutte contre les feux de forêts,T2,10857493
Défense,212,Soutien de la politique de la défense,4,Politique immobilière,T2,269082608
"Écologie, développement et aménagement durables",174,"Énergie, climat et après-mines",4,Gestion économique et sociale de l'après-mines,T6,646222962
"Immigration, asile et intégration",104,Intégration et accès à la nationalité française,14,Naturalisation et accès à la nationalité,T6,10080
Recherche et enseignement supérieur,186,Recherche culturelle et culture scientifique,1,Recherche culturelle,T5,464508
Remboursements et dégrèvements,201,Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs),4,Admission en non valeur d'impôts locaux,T6,454362829
Recherche et enseignement supérieur,186,Recherche culturelle et culture scientifique,1,Recherche culturelle,T6,3919432
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",2,"Statistiques, études et recherche",T6,1692989
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,1,Développement de la vie associative,T6,12386255
Enseignement scolaire,143,Enseignement technique agricole,3,Aide sociale aux élèves (enseignement public et privé),T6,74267848
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,2,Action européenne,T2,4106599
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,1,Coordination du travail gouvernemental,T3,15884049
Enseignement scolaire,230,Vie de l'élève,3,Accompagnement des élèves handicapés,T2,226033229
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,3,Fiscalité des particuliers et fiscalité directe locale,T2,1839293113
Régimes sociaux et de retraite,195,"Régimes de retraite des mines, de la SEITA et divers",9,"Contributions exceptionnelles au compte d'affectation spéciale ""Pensions""",T2,225744000
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,5,"Fonction études, expertise et services rendus aux administrations de l'État et des collectivités",T3,2034
Culture,131,Création,3,"Soutien à la création, à la production, à la diffusion et à la valorisation du livre et de la lecture",T6,0
Défense,144,Environnement et prospective de la politique de défense,6,Diplomatie de défense,T2,70559660
"Immigration, asile et intégration",303,Immigration et asile,4,Soutien,T6,34374
Justice,166,Justice judiciaire,1,Traitement et jugement des contentieux civils,T4,0
Politique des territoires,162,Interventions territoriales de l'État,8,Plan chlordécone en Martinique et en Guadeloupe,T5,447822
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,1,Développement des infrastructures routières,T5,1214957562
Enseignement scolaire,141,Enseignement scolaire public du second degré,7,Aide à l'insertion professionnelle,T6,4200909
Enseignement scolaire,141,Enseignement scolaire public du second degré,10,Formation des personnels enseignants et d'orientation,T5,0
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,9,Certification,T2,136178653
Relations avec les collectivités territoriales,122,Concours spécifiques et administration,1,Aides exceptionnelles aux collectivités territoriales,T6,154879625
Ville et logement,109,Aide à l'accès au logement,3,Garantie des risques locatifs,T6,0
"Solidarité, insertion et égalité des chances",137,Égalité entre les hommes et les femmes,3,Égalité en droit et en dignité,T6,11751325
Outre-mer,123,Conditions de vie outre-mer,1,Logement,T3,128342838
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",9,Gestion des politiques de la jeunesse et de la vie associative,T2,36198517
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,5,"Fiscalité douanière, énergétique et environnementale",T3,387960
Outre-mer,123,Conditions de vie outre-mer,6,Collectivités territoriales,T3,-2592865
Défense,178,Préparation et emploi des forces,4,Préparation des forces aériennes,T5,42500922
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,13,Ordre de la Légion d'honneur,T3,22645265
"Anciens combattants, mémoire et liens avec la nation",169,Reconnaissance et réparation en faveur du monde combattant,2,Gestion  des droits liés aux pensions militaires d'invalidité,T2,59066
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",13,"Personnels oeuvrant pour les politiques du programme ""Urbanisme, paysages, eau et biodiversité""",T3,254
Justice,182,Protection judiciaire de la jeunesse,3,Soutien,T6,1378253
Sécurité,176,Police nationale,4,Police des étrangers et sûreté des transports internationaux,T2,652964826
Sécurité civile,128,Coordination des moyens de secours,2,Coordination des acteurs de la sécurité civile,T6,98487232
Action extérieure de l'État,332,Présidence française du G20 et du G8,2,Organisation du sommet du G20,T3,25177944
Direction de l'action du Gouvernement,129,Coordination du travail gouvernemental,10,Soutien,T3,44519501
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,3,Flotte de commerce,T6,72371931
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,1,Pilotage et mise en oeuvre des politiques éducatives,T6,218619
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,3,Ressources d'existence,T6,7408794790
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,11,Prévention de l'exclusion,T6,70281477
Sécurité,176,Police nationale,2,Sécurité et paix publiques,T2,2853343037
Direction de l'action du Gouvernement,308,Protection des droits et libertés,7,Sécurité et protection des libertés,T5,17439
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,8,"Logistique, système d'information, immobilier",T7,0
Conseil et contrôle de l'État,164,Cour des comptes et autres juridictions financières,2,Contrôle externe et indépendant de la régularité et de l'efficacité de la gestion publique,T5,0
Défense,144,Environnement et prospective de la politique de défense,2,Prospective des systèmes de forces,T5,0
Défense,178,Préparation et emploi des forces,2,Préparation des forces terrestres,T1,0
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",3,Commission nationale des comptes de campagne et des financements politiques,T5,0
Conseil et contrôle de l'État,126,"Conseil économique, social et environnemental",1,Représentation des activités économiques et sociales,T2,0
Enseignement scolaire,141,Enseignement scolaire public du second degré,10,Formation des personnels enseignants et d'orientation,T3,18452595
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",4,Politique et gestion des systèmes d'information et des réseaux informatiques,T3,24192329
Sécurité,152,Gendarmerie nationale,5,Exercice des missions militaires,T2,151509697
Travail et emploi,102,Accès et retour à l'emploi,2,Amélioration des dispositifs en faveur de l’emploi des personnes les plus éloignées du marché du travail,T3,340615505
Administration générale et territoriale de l'État,307,Administration territoriale,1,Coordination de la sécurité des personnes et des biens,T7,0
Défense,212,Soutien de la politique de la défense,1,Direction et pilotage,T3,14570935
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,1,Sécurité et sûreté maritimes,T3,13367924
"Écologie, développement et aménagement durables",205,Sécurité et affaires maritimes,4,Action interministérielle de la mer,T1,0
Économie,305,Stratégie économique et fiscale,1,"Définition et mise en oeuvre de la politique économique et financière de la France dans le cadre national, international et européen",T6,4067624
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,4,Expertise juridique,T3,7280624
Outre-mer,138,Emploi outre-mer,2,Aide à l'insertion et à la qualification professionnelle,T3,55017004
Recherche et enseignement supérieur,192,Recherche et enseignement supérieur en matière économique et industrielle,2,Soutien et diffusion de l'innovation technologique,T6,380777015
Recherche et enseignement supérieur,231,Vie étudiante,2,Aides indirectes,T5,964292
Ville et logement,147,Politique de la ville et Grand Paris,1,Actions territorialisées et Dispositifs spécifiques de la politique de la ville,T5,0
Ville et logement,147,Politique de la ville et Grand Paris,3,"Stratégie, ressources et évaluation",T5,0
Gestion des finances publiques et des ressources humaines,156,Gestion fiscale et financière de l'État et du secteur public local,9,Soutien,T2,1076587615
Santé,204,"Prévention, sécurité sanitaire et offre de soins",12,Accès à la santé et éducation à la santé,T3,26408216
Défense,212,Soutien de la politique de la défense,5,"Systèmes d'information, d'administration et de gestion",T3,77956162
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,1,Développement des infrastructures routières,T6,151588619
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",4,Cultes,T5,565870
Défense,144,Environnement et prospective de la politique de défense,6,Diplomatie de défense,T6,28832613
Défense,146,Équipement des forces,7,Commandement et maîtrise de l'information,T5,865335694
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,5,Coopération de sécurité et de défense,T6,25307506
Culture,175,Patrimoines,3,Patrimoine des musées de France,T5,42925104
Culture,175,Patrimoines,5,Patrimoine écrit et documentaire,T5,0
Défense,144,Environnement et prospective de la politique de défense,6,Diplomatie de défense,T3,4662069
Défense,146,Équipement des forces,11,Préparation et conduite des opérations d'armement,T3,226375577
Relations avec les collectivités territoriales,122,Concours spécifiques et administration,2,Administration des relations avec les collectivités territoriales,T5,1385616
Santé,204,"Prévention, sécurité sanitaire et offre de soins",15,"Prévention des risques liés à l'environnement, au travail et à l'alimentation",T5,0
Défense,144,Environnement et prospective de la politique de défense,3,Recherche et exploitation du renseignement intéressant la sécurité de la France,T6,-1947
Enseignement scolaire,141,Enseignement scolaire public du second degré,3,Enseignement professionnel sous statut scolaire,T5,0
Enseignement scolaire,143,Enseignement technique agricole,5,"Moyens communs à l'enseignement technique agricole, public et privé",T6,494587
"Solidarité, insertion et égalité des chances",157,Handicap et dépendance,1,Évaluation et orientation personnalisée des personnes handicapées,T3,4696826
Pouvoirs publics,531,Conseil constitutionnel,1,Conseil constitutionnel,T3,0
Recherche et enseignement supérieur,193,Recherche spatiale,2,Développement de la technologie spatiale au service de l'observation de la terre,T3,167129832
Régimes sociaux et de retraite,198,Régimes sociaux et de retraite des transports terrestres,4,Régime de retraite du personnel de la RATP,T6,531500000
Outre-mer,123,Conditions de vie outre-mer,8,Fonds exceptionnel d'investissement,T3,1674505
Aide publique au développement,209,Solidarité à l'égard des pays en développement,2,Coopération bilatérale,T3,17007983
Défense,178,Préparation et emploi des forces,7,Surcoûts liés aux opérations intérieures,T3,0
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,11,"Infrastructures fluviales, portuaires et aéroportuaires",T3,64891778
Économie,134,Développement des entreprises et de l'emploi,14,Régulation et contrôle des marchés de l'énergie (CRE),T3,7629222
Justice,166,Justice judiciaire,1,Traitement et jugement des contentieux civils,T3,39703877
Sécurité,176,Police nationale,4,Police des étrangers et sûreté des transports internationaux,T5,2790593
Action extérieure de l'État,105,Action de la France en Europe et dans le monde,7,Réseau diplomatique,T3,173352707
"Anciens combattants, mémoire et liens avec la nation",167,Liens entre la nation et son armée,1,Journée défense et citoyenneté,T3,11127479
"Agriculture, pêche, alimentation, forêt et affaires rurales",206,Sécurité et qualité sanitaires de l'alimentation,4,Acquisition et mobilisation des moyens scientifiques et techniques pour maîtriser les risques sanitaires,T6,3021104
Défense,144,Environnement et prospective de la politique de défense,2,Prospective des systèmes de forces,T3,17204351
Défense,212,Soutien de la politique de la défense,3,Gestion centrale et organismes extérieurs,T1,0
"Écologie, développement et aménagement durables",181,Prévention des risques,9,Contrôle de la sûreté nucléaire et de la radioprotection,T2,28726646
"Écologie, développement et aménagement durables",181,Prévention des risques,10,Prévention des risques naturels et hydrauliques,T6,15787064
Enseignement scolaire,230,Vie de l'élève,2,Santé scolaire,T2,468991149
Enseignement scolaire,140,Enseignement scolaire public du premier degré,6,Pilotage et encadrement pédagogique,T3,6663769
Enseignement scolaire,141,Enseignement scolaire public du second degré,11,Remplacement,T3,125048
"Sport, jeunesse et vie associative",163,Jeunesse et vie associative,1,Développement de la vie associative,T3,393115
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",6,Action européenne et internationale,T5,0
Enseignement scolaire,139,Enseignement privé du premier et du second degrés,8,Actions sociales en faveur des élèves,T3,734
"Agriculture, pêche, alimentation, forêt et affaires rurales",149,Forêt,2,Régime forestier et patrimoine forestier domanial,T5,0
Défense,144,Environnement et prospective de la politique de défense,4,Maîtrise des capacités technologiques et industrielles,T3,811283562
Conseil et contrôle de l'État,126,"Conseil économique, social et environnemental",3,Communication et international,T2,31243659
Administration générale et territoriale de l'État,232,"Vie politique, cultuelle et associative",2,Organisation des élections,T3,70147739
"Anciens combattants, mémoire et liens avec la nation",167,Liens entre la nation et son armée,1,Journée défense et citoyenneté,T2,99520953
Enseignement scolaire,214,Soutien de la politique de l'éducation nationale,7,Établissements d'appui de la politique éducative,T3,202997385
"Écologie, développement et aménagement durables",203,Infrastructures et services de transports,1,Développement des infrastructures routières,T3,34762497
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,14,Conduite et animation des politiques de l'hébergement et de l'inclusion sociale,T3,908513
Conseil et contrôle de l'État,165,Conseil d'État et autres juridictions administratives,4,Fonction consultative,T2,10071446
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",24,Personnels oeuvrant dans le domaine des transports aériens,T2,5784064
"Solidarité, insertion et égalité des chances",124,"Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative",5,Pilotage de la sécurité sociale,T5,-139358
Gestion des finances publiques et des ressources humaines,302,Facilitation et sécurisation des échanges,4,Promotion des échanges internationaux et qualité du dédouanement,T5,-2808396
"Sport, jeunesse et vie associative",219,Sport,1,Promotion du sport pour le plus grand nombre,T6,29343964
Ville et logement,177,Prévention de l'exclusion et insertion des personnes vulnérables,15,Rapatriés,T3,121585
Culture,175,Patrimoines,9,Patrimoine archéologique,T5,297112
"Écologie, développement et aménagement durables",217,"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer",5,Politique des ressources humaines et formation,T3,81079527
Gestion des finances publiques et des ressources humaines,221,Stratégie des finances publiques et modernisation de l'État,2,Politique des finances publiques et analyse de la performance des politiques publiques,T2,36092061
