X,Y,OBJECTID,TYPE_PLACE,COMMUNE,IDENTIFIANT,ADRESSE,TYPE_POSITION,NB_PLACES,MEMO,DATE_CREATION,DATE_MAJ
800304.946900003,6873718.1272,9348,PMR,Châlons-en-Champagne,,rue Sainte Marguerite N°30,Rue,1,,2019/10/23 13:45:32+00,2019/10/23 13:45:45+00
799382.052100003,6875098.4727,9349,PMR,Châlons-en-Champagne,,rue emile Schmitt N°53,Parking,1,,2019/10/23 13:56:01+00,2019/10/23 13:56:16+00
801098.472999997,6874727.9091,9350,PMR,Châlons-en-Champagne,,avenue Beethoven N°2,Parking,1,,2019/10/23 14:17:48+00,2019/10/23 14:17:55+00
798474.337700002,6873400.8903,9351,PMR,Châlons-en-Champagne,,Rue Jean Jaurès N°100,Sur trottoir,1,,2019/10/23 14:41:36+00,2019/10/23 14:41:50+00
798715.882799998,6875318.3407,9352,PMR,Châlons-en-Champagne,,rue Joseph Marie Jacquard N°04,Rue,1,,2019/10/23 14:42:20+00,2019/10/23 14:42:36+00
800131.368699998,6873050.6955,9353,PMR,Châlons-en-Champagne,,Rue du Professeur Langevin -début de la rue,Sur trottoir,1,,2019/10/23 14:43:45+00,2019/10/23 14:44:22+00
800085.114100002,6873014.242,9354,PMR,Châlons-en-Champagne,,Rue du Professeur Langevin - Fin de rue,Sur trottoir,1,,2019/10/23 14:44:25+00,2019/10/23 14:44:45+00
798413.970100001,6872948.7617,9355,PMR,Châlons-en-Champagne,,Mail du Legs Morel N°4,Parking,1,,2019/10/23 14:46:41+00,2019/10/23 14:47:00+00
798443.884000003,6872872.7735,9356,PMR,Châlons-en-Champagne,,Mail du Legs Morel,Rue,1,,2019/10/23 14:47:03+00,2019/10/23 14:47:20+00
799686.503799997,6873675.7895,9357,PMR,Châlons-en-Champagne,,rue Lochet N°13,Rue,1,,2019/10/23 14:47:57+00,2019/10/23 14:48:07+00
797983.073899999,6873555.6935,9358,PMR,Châlons-en-Champagne,,rue de la Malterie - côté Av de Paris,Sur trottoir,1,,2019/10/23 14:50:38+00,2019/10/23 14:50:58+00
798725.711099997,6873459.3766,9359,PMR,Châlons-en-Champagne,,Rue du 372èmeRALVF,Sur trottoir,1,,2019/10/23 14:57:28+00,2019/10/23 14:57:57+00
798566.846900001,6873719.8518,9360,PMR,Châlons-en-Champagne,,rue Robert Galley,Parking,1,,2019/10/23 15:02:56+00,2019/10/23 15:03:08+00
798564.783699997,6873716.4132,9361,PMR,Châlons-en-Champagne,,rue Robert Galley,Parking,1,,2019/10/23 15:03:14+00,2019/10/23 15:05:25+00
798559.8838,6873704.464,9362,PMR,Châlons-en-Champagne,,rue Robert Galley,Parking,1,,2019/10/23 15:03:26+00,2019/10/23 15:05:28+00
798571.145199999,6873699.7359,9363,PMR,Châlons-en-Champagne,,Rue Robert Galley,Parking,1,,2019/10/23 15:03:40+00,2019/10/23 15:03:52+00
798575.873300001,6873706.4412,9364,PMR,Châlons-en-Champagne,,Rue Robert Galley,Parking,1,,2019/10/23 15:03:56+00,2019/10/23 15:08:05+00
798572.778499998,6873703.7763,9365,PMR,Châlons-en-Champagne,,Rue Robert Galley,Parking,1,,2019/10/23 15:04:26+00,2019/10/23 15:08:09+00
