annee_categorie_civile_motif_depart_sexe_effectif_age_montant_pension_duree_services_retenus_duree_bonifications_retenues_duree_totassur_effectif_totassur
2016;C;VAS;M;1554;97666.97;2038380.45;191013.75;3275.14;257968.16;1473
2017;B;INV;F;314;18149.0;497442.85;38995.49;1914.81;46673.84;314
2018;B;INV;F;325;18401.09;494501.19;37648.03;2233.88;46502.28;325
2019;C;VAA;M;2067;123659.99;3369987.42;301502.79;11545.41;352704.58;2057
2013;A;VAC;F;727;43816.89;1877027.1;111518.96;4597.61;127741.98;727
2014;C;INV;M;705;39728.6;882123.03;85301.76;776.18;102161.7;705
2015;C;VAA;F;367;21428.48;477045.86;50514.58;2485.79;60583.86;367
2017;B;VAA;F;242;14092.46;439049.69;30599.15;3839.35;38845.75;238
2018;A;VAA;F;3546;211636.51;8729073.29;520756.8;27275.58;594111.16;3546
2013;B;VFF;M;29;1677.82;43267.48;3564.06;17.33;4275.55;29
2015;A;INV;F;782;44094.18;1415446.61;89607.99;4898.18;110490.39;782
2016;A;INV;M;502;28995.95;1050529.37;63235.39;1353.0;71049.11;502
2017;C;VAC;F;2078;125772.11;3029337.0;297817.33;11953.09;367887.99;2078
2019;A;VAA;M;2584;155700.92;7104728.27;394534.03;12727.9;437436.4;2583
2020;B;VFF;F;458;28056.1;896590.63;60456.46;5815.08;82259.31;458
2014;B;VAA;F;244;13825.74;403162.54;28924.45;4073.19;36694.07;234
2014;B;VAS;M;2370;147814.74;4211002.87;342623.01;3187.58;403588.28;2314
2015;C;INV;M;589;33313.86;732568.11;70353.38;657.37;85449.23;589
2016;A;VAC;F;1122;68033.53;2786196.28;171863.96;6812.37;197688.0;1122
2019;A;VAA;F;3410;203988.9;8559861.54;501368.92;27456.5;572874.47;3410
2013;A;VFF;F;2274;134709.33;5808089.13;277759.36;25761.47;371207.77;2273
2014;A;VAA;M;2743;160695.95;7031602.32;407435.24;13357.7;448249.38;2740
2016;B;VFF;F;455;27910.01;866492.1;57231.82;5726.48;81272.15;455
2017;B;VAS;F;3685;232781.32;6538882.83;520965.83;20265.73;639691.21;3669
2017;C;VAS;M;1708;107706.28;2345320.69;217994.37;3746.47;287496.55;1629
2017;C;VFF;F;830;50615.1;1237763.07;101542.06;9311.79;148088.35;828
2018;C;VAS;F;4803;303109.71;6335407.49;601281.07;27999.43;827807.09;4761
2014;A;INV;F;823;46820.11;1550711.81;97494.41;4704.76;117628.15;822
2014;B;VAC;M;1020;61444.87;1715173.13;150801.16;573.8;176239.0;1020
2018;C;VAC;F;1774;107484.46;2607607.23;253958.56;10629.93;314232.27;1774
2019;B;INV;F;318;18528.09;511579.91;39355.75;2115.04;47202.58;318
2015;B;VAA;F;197;11318.06;340315.56;24474.94;3124.29;30906.65;192
2016;A;VFF;F;2048;123699.73;5418570.12;255127.13;23876.74;346232.35;2048
2017;B;INV;M;258;14773.61;437962.02;34074.81;940.17;38178.47;258
2018;B;VFF;M;45;2667.25;70918.51;5486.51;39.09;7035.2;45
2019;A;VFF;M;39;2289.26;85103.97;4958.8;158.13;5832.13;39
2019;C;VFF;M;79;4676.4;110751.05;9381.78;201.94;12414.48;79
2020;A;INV;M;455;26562.3;989590.18;56542.09;816.67;62204.31;455
2020;B;VAS;F;4088;259060.82;7245018.74;576053.41;25582.1;720728.26;4082
2020;C;VAA;M;1721;103095.52;2878790.32;250538.87;11280.89;294318.47;1711
2013;C;INV;M;695;38832.95;844420.14;81854.46;903.84;99356.76;695
2014;A;INV;M;517;29754.49;1054663.74;64678.41;1244.26;73712.73;517
2016;A;VAS;F;6687;422960.9;16875467.31;926779.82;40261.37;1132785.61;6668
