date_de_la_mise_a_jour_territoire_poste_statut_localisation_capacite_accueil_capacite_transformation_capacite_reservee_s3renr_capacite_restante_s3renr_precedente_capacite_restante_s3renr_mw_date_de_la_precedente_capacite_restante_puissance_enr_en_file_d_attente_mw_dont_cr_signee_mw_quote_part_alerte_ora
-52.670635;0;58.0;15.9;12.4;12.8;2021-04-15;1.3;0.1;103.3;
-52.3325908;0;74.0;0;0;0;2021-04-15;0.9;0.29;103.3;
-53.046201;0;;0;0;0;2021-04-15;0;0;103.3;
-53.9637271;0;21.0;19.8;15.5;10.2;2021-04-15;4.3;0.359;103.3;
55.45058979;11;56.0;8.9;3.5;3.6;2021-04-15;5.4;0.1;20.9;
55.3287685;>50;;0;0;0;2021-04-15;0;0;20.9;
55.787795;0;;0;0;0;2021-04-15;0;0;20.9;
55.2804887;>50;79.0;3.2;1.3;1.4;2021-04-15;1.9;0.1;20.9;
55.3022844;>50;69.0;2;1.4;1.5;2021-04-15;0.6;0.2;20.9;
55.5327773;0;66.0;2.4;0;0;2021-04-15;2.7;0.6;20.9;
55.7878286;0;1.0;17.4;16.7;16.7;2021-04-15;0.1;0.1;20.9;
55.5148816;9;73.0;5.4;4.1;3.8;2021-04-15;1.3;0;20.9;
