mission_ministere_libelle_ministere_programme_ae_titre_2_ae_autres_titres_total_ae_cp_titre_2_cp_autres_titres_total_cp
Contrôle et exploitation aériens;23;Écologie;614;0;51771118;51771118;0;51771118;51771118
Publications officielles et information administrative;12;Premier ministre;624;0;102930675;102930675;0;104530675;104530675
Publications officielles et information administrative;12;Premier ministre;623;0;107045716;107045716;0;108045716;108045716
Contrôle et exploitation aériens;23;Écologie;612;0;499249316;499249316;0;499249316;499249316
Contrôle et exploitation aériens;23;Écologie;613;1137062063;598866839;1735928902;1137062063;598866839;1735928902
